排名：99
网址：https://www.bilibili.com/video/av18193325
更新时间：07-15
弹幕总量：566
preciseTime    ofTime          comment
0.0            1531574264.0    欢迎回来
0.04           1531473077.0    第28遍，不行，根本停不下来
0.083          1531546336.0    吐口痰 再走
0.256          1531483338.0    八国联军字幕准备就绪
0.26           1531641123.0    我发誓这是最后一遍
0.297          1531482068.0    八国语音翻译君上线
0.352          1531619342.0    我又回来了
0.398          1531547922.0    播放量牛逼
0.401          1531559602.0    欢迎回来
0.402          1531473104.0    第28遍，不行，根本停不下来
0.478          1531576405.0    看看55开能在鬼畜区活多久（报时间）
0.65           1531563215.0    即如此亦不试吾
0.834          1531575795.0    66666666666
0.881          1531468095.0    上香
0.999          1531560514.0    每日一刷
1.038          1531628748.0    7-15每日一刷
1.235          1531633333.0    卢姥爷保佑我期末考试开挂超神
1.253          1531567959.0    谁又TM顶上来了
1.367          1531645261.0    1.25倍新世界
1.423          1531463886.0    上香
1.443          1531535555.0    0
1.536          1531490481.0    流批
1.833          1531567779.0    八倍不屏息
1.999          1531563230.0    如欲试吾 吾求之不得
2.001          1531511303.0    绝地科学家八倍不屏息啊
2.032          1531454390.0    上香
2.076          1531579000.0    红字英语准备开始
2.158          1531529904.0    欢迎回来
2.494          1531569430.0    日常上香
2.64           1531613931.0    欢迎回来
2.985          1531582489.0    每日一刷
3.123          1531529558.0    八国联军字幕以上线
3.202          1531479148.0    绝地科学家
3.241          1531504802.0    欢迎回来
3.42           1531635314.0    上香
3.424          1531535050.0    又回来了
3.44           1531629110.0    绝对的科学家
3.801          1531646944.0    每日一刷
3.818          1531489380.0    ジェダイ科学者
3.86           1531559624.0    欢迎回来
3.916          1531579039.0    Absolute scientist. Don't give up. 
3.933          1531563277.0    绝地有善科学者 八倍而否屏息哉
4.006          1531567840.0    谁又TM顶上来了
4.038          1531575694.0    Jedi các nhà khoa học  Tám lần không I 'm Breathless. 
4.121          1531479248.0    上香
4.169          1531573063.0    1.5倍食用，可得劲儿了
4.341          1531562856.0    危机纪元，三体舰队到达地球只剩下几天，地球上的科学家已绝望。突然，一阵敲门声让科学家们转移了视线。“啊 卢科学家你不是改跳军事基地吗，怎么来了卫星站....”卢科学家没有理会他，他从包里拿出2盒7.6
4.35           1531467578.0    每日必刷
4.678          1531514635.0    绝地科学家，八倍不屏息啊
4.729          1531481753.0    Jedi scientist, eight times more uneven. hold your breath.
4.799          1531624749.0    上香
4.839          1531626364.0    绝地科学家，八倍不屏息
4.949          1531474001.0    绝地有科学家 八倍不止息也
5.007          1531484143.0    七百万助攻
5.02           1531478950.0    绝地科学家，八倍不屏息呀，八百里外把头打压！蓝D是我爸，斗Y是我妈妈，嘻嘻哈哈我们穷开挂！我是神仙卢本伟，日常修仙像喝水，带上导盲马飞飞，自瞄好用98K，松鼠发我实锤，说我开挂把我怼！我
5.069          1531482935.0    每日一刷
5.094          1531629514.0    上香
5.335          1531547679.0    绝对科学家
5.461          1531533300.0    上香
5.659          1531630762.0    上香
5.738          1531640317.0    上香
5.849          1531567409.0    再来一遍！
6.419          1531466178.0    上香
6.536          1531579050.0    Beat your head 800 miles away 
6.827          1531470136.0    上香
6.939          1531620958.0    求你了
7.044          1531563290.0    击敌首于八百里外
7.118          1531471791.0    每天一次
7.339          1531481772.0    800, hit someone inside and out
7.369          1531470061.0    上香
7.441          1531538470.0    八百里外把头打啊
7.519          1531645436.0    如你所愿
7.54           1531486712.0    八国联军字幕辛苦了
7.619          1531585888.0    7.15在此
7.689          1531639990.0    什么时候上千万
8.032          1531498295.0    4545
8.099          1531493305.0    上香
8.171          1531562995.0    赵高驾鹿车而从行，以马铠披于鹿身。秦二世曰：“丞相何为驾鹿？”高曰：“马也。”二世曰：“丞相误邪？以鹿为马。”高曰：“陛下以臣言不然，愿问群臣。”乃问左右，或曰：“此鹿也！鹿本为非马，铠挂而似马，为何
8.202          1531488333.0    今天是卢老爷不在的第七个月，想他
8.206          1531645614.0    上香
8.231          1531486687.0    火钳刘明
8.24           1531467983.0    八国联军字幕
8.277          1531477291.0    韩语来也汪汪汪汪汪汪汪
8.294          1531641699.0    从我的世界那回来听听
8.376          1531535547.0    欢迎会来
8.38           1531647212.0    每日一次
8.465          1531589026.0    这都不检测求你们啦
8.483          1531473926.0    击敌首于八百里外
8.596          1531461863.0    欢迎回来
8.602          1531534353.0    LD是蓝洞 DY是斗鱼
8.66           1531536708.0    八百里離れて頭を打つ
8.941          1531550230.0    700w助攻
9.05           1531453852.0    上香
9.299          1531564038.0    明天一刷
9.459          1531473380.0    每日上香
9.557          1531625730.0    上香\|/
9.619          1531538587.0    日常上香
9.656          1531579084.0    Blue hole It's my dad Bettas are my mother 
9.779          1531576392.0    第52遍了，不行了
9.83           1531535070.0    每日一刷
9.838          1531472912.0    上香
10.024         1531496345.0    up主人才
10.178         1531533503.0    一天一遍
10.217         1531467525.0    Blue
10.357         1531458286.0    最后一遍，真的最后一遍。
10.385         1531618930.0    上香
10.411         1531481803.0    Blue hole is my dad, fish fighting is my mom
10.419         1531629143.0    欢迎来到洗脑系列
10.429         1531544623.0    上香
10.496         1531558806.0    泪目
10.499         1531531631.0    上香
10.601         1531454658.0    上香
10.739         1531469802.0    每日一刷
10.743         1531474042.0    LD吾父也DY吾母也
10.82          1531563478.0    LD吾父也 DY吾母也
10.861         1531577783.0    另外299人你们好啊
10.888         1531489433.0    斗鱼是我妈妈😂
11.077         1531531006.0    700万助攻
11.078         1531456793.0    上香
11.248         1531473627.0    停不下来
11.641         1531455118.0    知乎路过
11.691         1531557904.0    给卢姥爷上香
11.761         1531531096.0    上香
11.947         1531486805.0    上香
11.964         1531557041.0    جدي من العلماء، لا تحبس أنفاسك ثماني مرات
12.012         1531534134.0    天天投币
12.032         1531553489.0    兄弟那是韩文别丢人现眼了
12.035         1531623759.0    上香
12.091         1531586834.0    上香
12.177         1531632890.0    每日一刷
