排名：66
网址：https://www.bilibili.com/video/av18913392
更新时间：07-21
弹幕总量：4920
preciseTime    ofTime          comment
0.0            1531527956.0    可耻的播放量！！！！！
0.025          1531284341.0    可耻的播放量
0.178          1531924804.0    没弹幕？
0.198          1531373022.0    可耻的播放量
0.404          1531814267.0    某些人的思想已经退化到文、革时期了吗
0.459          1531650185.0    看封面进来
0.575          1531728056.0    我猜有人会说“这可耻的播放量”
0.592          1531814061.0    只会疯狂吹嘘那些跟风主义、强权主义的正确
0.712          1531804310.0    这部作后把我拉入了二次元的深渊中……
0.724          1531892209.0    338万播放量……
0.788          1530890613.0    可耻的播放量
0.839          1531560947.0    支咐宝首页搜下“86OO14”低调别黄了
0.899          1531924102.0    人渣里的老师
0.924          1530927019.0    为毛我点了关注就暂停了（滑稽）
1.103          1530995192.0    可耻的播放量
1.187          1532056874.0     高清完整版资源加微:  H H L L  19 79                    高清完整版 资源加微:  H H L L  19 79             
1.199          1530845972.0    可耻的播放量
1.212          1531749933.0    一个被CEO投币的视频
1.298          1530842148.0    睿总你都在看什么啊
1.38           1532086578.0    捏造陷阱（早已被禁）百合番（敲厉害的！）
1.478          1531034687.0    睿总来的
1.48           1531719881.0    可耻的播放量
1.539          1531554711.0    开口跪
1.616          1532051053.0    可耻的播放量
1.62           1531834568.0    赌五毛钱有进击的巨人
1.731          1532160807.0    可耻！
1.76           1531661504.0    我看完了，解说得真好笑
1.859          1530948796.0    人渣！
2.296          1531367630.0    睿总给你投币了
2.346          1531360462.0    (⊙o⊙)哇，原来我之前看过一遍了
2.475          1531117335.0    想当初在b站看片
2.493          1531382241.0    这可耻的播放量
2.499          1531619908.0    可耻的播放量
2.51           1531579676.0    去陈睿董事长那里发现了投硬币给了这个视频（虽然之前看过）
2.577          1530975154.0    渣愿！！
2.58           1531986279.0    可耻的播放量
2.643          1531575680.0    这可耻的播放量！
2.722          1531307277.0    渣什么愿
2.849          1531114635.0    打开支付搜索
2.879          1531630503.0    这可耻的播放量
2.979          1531035030.0    可耻的播放量
3.34           1531230915.0    200万人为了封面而来
3.399          1531309819.0    见封滚
3.58           1532092733.0    这可耻的播放量
3.759          1531636714.0    可耻的播放量
3.809          1530938399.0    可耻的观看量
3.858          1531551608.0    说实话，这人解说真像唐人街探案
3.901          1531222648.0    可耻的播放量
3.918          1531909951.0    有人吗
3.98           1531877095.0    可耻的播放量，诶我怎么黄了！？
4.029          1531445729.0    罗总给你投比了
4.1            1531462361.0    可耻的播放量!
4.235          1531919403.0    可耻
4.401          1531845436.0    看到我的，已经是330万之后了
4.42           1531806839.0    啊啊啊啊啊啊人渣
4.523          1532106291.0    可耻的播放量
4.524          1531276519.0    可耻的播放量
4.609          1531854257.0    这可耻的播放量
4.682          1531459637.0    这个播放量是真的可耻
4.94           1531764712.0    开口脆啊哈哈哈
4.946          1531226878.0    可耻
5.058          1532158053.0    杰克！！！
5.099          1531902961.0    可耻的播放量
5.301          1532009323.0    up主有点激进以外，其他都还好
5.459          1531106884.0    肯定有人渣的本源
5.483          1532091185.0    B站最棒
5.501          1531647408.0    这个我看过
5.639          1531752773.0    第一个我还有资源哎嘿嘿
5.835          1532166023.0    捏造陷阱ntr被禁就是活该，看着闹心
5.841          1531898581.0    牛逼牛逼，关注
6.058          1532102063.0    一开头我差点以为是外国语言
6.069          1531490073.0    嗯
6.161          1531640259.0    BGM好评
