排名：54
网址：https://www.bilibili.com/video/av24682768
更新时间：07-18
弹幕总量：1082
preciseTime    ofTime          comment
0.0            1531640112.0    12222222222222222332
0.102          1531656629.0    可耻的播放量
0.237          1531746644.0    换封面了
0.42           1531562551.0    你们不感到羞耻吗
0.517          1531562498.0    我能说我特意去找这女的资源  然后无意间看到了很多女优 还不小心导了一管
0.636          1531451297.0    可耻的播放量
0.68           1531322118.0    惯例可耻的播放量
0.72           1531631562.0    可耻的播放量
0.767          1531468299.0    d
0.904          1531415922.0    可耻的播放量
1.04           1531670994.0    可耻的播放量
1.098          1531485338.0    冒险啊，不过我喜欢
1.117          1531704465.0    可耻的播放量
1.118          1531550639.0    这要老命的播放量
1.12           1531510073.0    闻封丧胆
1.158          1531311064.0    求番号
1.177          1531621955.0    哦这可耻的播放量
1.22           1531650070.0    可耻→_→
1.256          1531630905.0    可耻播放量
1.31           1531370521.0    嗯~
1.335          1531552115.0    这可耻的播放量
1.416          1531643721.0    可耻的播放量
1.46           1531662710.0    可耻的播放量
1.478          1531492547.0    可耻的播放量
1.555          1531401241.0    这可耻的播放量
1.597          1531658671.0    sy
1.62           1531453050.0    可耻的播放量
1.632          1531461142.0    播放可耻啊
1.7            1531643856.0    可耻的播放量
1.777          1531445851.0    哦，这可耻的播放量
1.84           1531696083.0    这可耻的播放量
1.92           1531564653.0    这播放量(๑•̀ㅂ•́)و✧可耻的人类
1.926          1531415019.0    上原瑞惠都不认识？
2.001          1531652983.0    可耻的播放量
2.02           1531466137.0    可耻的播放量
2.041          1531544835.0    可耻的播放量
2.121          1531383876.0    我想问一下这个电视里明明是模糊的，为什么up封面是找到了清晰的emmm
2.2            1531322904.0    在现场
2.27           1531565920.0    可耻的播放量！！！！！！
2.378          1531654389.0    可耻的播放量
2.388          1531560854.0    可耻的播放量
2.492          1531504864.0    可耻的播放量
2.52           1531563403.0    可耻的播放量
2.598          1531539654.0    封面来的，告诉我在几分几秒？
2.718          1531634254.0    可耻的播放量
2.73           1531367270.0    前方方言高能
2.731          1531410856.0    成人ap需要的加企鹅1297091873
2.841          1531540016.0    求番号
2.857          1531560708.0    谁知道封面番号
2.899          1531486611.0    这史上最可耻的播放量
2.961          1531662627.0    可耻的播放量
3.12           1531466639.0    可耻的播放量
3.42           1531455970.0    这可耻的播放量
3.585          1531642283.0    可耻的播放量
3.6            1531531561.0    可耻的播放量
3.801          1531681534.0    可耻的...
3.881          1531717018.0    播放量什么鬼
3.921          1531810612.0    请问大家来看什么的
3.94           1531491264.0    可耻的播放量
3.988          1531733284.0    交封不杀！！！
4.04           1531472611.0    李顺财
4.094          1531375286.0    哈哈红红火火
4.28           1531619990.0    交封不杀
4.286          1531379888.0        搞笑一家人
4.381          1531482834.0    可耻的播放量
4.417          1531639734.0    是你，shuncA
4.52           1531901122.0    换封面了？？
4.552          1531712805.0    这可耻的播放量
4.6            1531637242.0    这播放量
4.72           1531522505.0    可耻的播放量
4.824          1531642075.0    可耻的播放量
4.841          1531625942.0    可耻的播放量
4.917          1531686943.0    韩剧，叫搞笑一家人
5.0            1531509827.0    可耻的播放量
5.034          1531321183.0    封面是谁？
5.12           1531588929.0    求封面
5.14           1531718517.0    封希岛爱理
5.315          1531481087.0    交封不杀
5.361          1531567670.0    上原瑞惠了解一下
5.375          1531717042.0    可耻的播放量
5.421          1531456279.0    可耻的播放量
5.769          1531638198.0    可耻的播放量
5.936          1531393247.0    妙呀
5.998          1531563210.0    看过
6.007          1531566579.0    封面进来的
6.038          1531377391.0    这可耻的播放量
6.157          1531322177.0    封面饭冈加奈子
6.16           1531461474.0    封面呢
6.269          1531731563.0    可耻的播放量
6.657          1531620269.0    这播放量想干嘛
6.758          1531720707.0    可耻的播放量
6.795          1531461196.0    妙啊
6.92           1531479860.0    AV老头李顺才⊙▽⊙
6.996          1531542229.0    可耻的播放量
7.12           1531583572.0    老不落脚的
7.26           1531581633.0    上原瑞惠
7.419          1531702643.0    可耻的流量费
7.423          1531733435.0    搞笑一家人
7.62           1531391196.0    王健林后台作品
