排名：17
网址：https://www.bilibili.com/video/av24682768
更新时间：07-15
弹幕总量：1945
preciseTime    ofTime          comment
0.0            1531640112.0    12222222222222222332
0.171          1530957970.0    尘封在硬盘已久的作品
0.259          1530755639.0    可耻的播放量
0.297          1531279471.0    可耻的播放量→_→
0.42           1531562551.0    你们不感到羞耻吗
0.517          1531562498.0    我能说我特意去找这女的资源  然后无意间看到了很多女优 还不小心导了一管
0.596          1530687679.0    交封不杀
0.635          1531158871.0    你这封面=_=
0.636          1531451297.0    可耻的播放量
0.68           1531322118.0    惯例可耻的播放量
0.72           1531631562.0    可耻的播放量
0.767          1531468299.0    d
0.904          1531415922.0    可耻的播放量
0.938          1531303614.0    王健林还拍过电视剧呢？
1.028          1530962461.0    可耻的播放量
1.098          1531485338.0    冒险啊，不过我喜欢
1.118          1531550639.0    这要老命的播放量
1.12           1531510073.0    闻封丧胆
1.158          1531311064.0    求番号
1.177          1531621955.0    哦这可耻的播放量
1.194          1531160558.0    这是什么番
1.256          1531630905.0    可耻播放量
1.279          1530330796.0    嗯
1.31           1531370521.0    嗯~
1.317          1530531147.0    哪位老师的大作
1.335          1531552115.0    这可耻的播放量
1.364          1530534045.0    熬夜看球
1.4            1531071749.0    可耻的播放量
1.416          1531643721.0    可耻的播放量
1.478          1531492547.0    可耻的播放量
1.555          1531401241.0    这可耻的播放量
1.62           1531453050.0    可耻的播放量
1.632          1531461142.0    播放可耻啊
1.653          1530590144.0    妙啊
1.677          1530362784.0    嗯*1
1.7            1531643856.0    可耻的播放量
1.706          1531244546.0    名人不说暗话，封面交出来
1.72           1530772373.0    可耻的播放量
1.734          1531306306.0    可耻的播放量
1.761          1530705512.0    封面
1.777          1531445851.0    哦，这可耻的播放量
1.838          1531303728.0    封面ABP-144
1.881          1530594588.0    可耻的播放量
1.92           1531564653.0    这播放量(๑•̀ㅂ•́)و✧可耻的人类
1.926          1531415019.0    上原瑞惠都不认识？
2.02           1531466137.0    可耻的播放量
2.041          1531544835.0    可耻的播放量
2.089          1531101966.0    封面不是那啥嘛
2.121          1531383876.0    我想问一下这个电视里明明是模糊的，为什么up封面是找到了清晰的emmm
2.2            1531322904.0    在现场
2.22           1530679520.0    可耻得播放量
2.27           1531565920.0    可耻的播放量！！！！！！
2.388          1531560854.0    可耻的播放量
2.474          1530680882.0    求封面番号
2.481          1530628090.0    封面视频我竟然存着的
2.492          1531504864.0    可耻的播放量
2.516          1531117218.0    看看这可耻的播放量！
2.52           1531563403.0    可耻的播放量
2.521          1530967088.0    可耻的播放量以及实时观看人数
2.56           1530345261.0    可耻的播放量
2.595          1531019672.0    封面
2.598          1531539654.0    封面来的，告诉我在几分几秒？
2.718          1531634254.0    可耻的播放量
2.73           1531367270.0    前方方言高能
2.731          1531410856.0    成人ap需要的加企鹅1297091873
2.761          1531230127.0    可耻的播放量
2.841          1531540016.0    求番号
2.857          1531560708.0    谁知道封面番号
2.873          1531217853.0    可耻的播放量
2.883          1531068170.0    nb
2.899          1531486611.0    这史上最可耻的播放量
2.985          1530771976.0    交封不杀
3.001          1531130596.0    封面的作品请问是谁的，我找了好久了，还没找到，求大神解惑
