排名：86
网址：https://www.bilibili.com/video/av24831778
更新时间：07-21
弹幕总量：549
preciseTime    ofTime          comment
0.04           1530590842.0    你会浪费人生当中的2分钟
0.043          1531377840.0    15万播放量只有132条弹幕 你们的手都在干嘛
0.115          1530543746.0    被骗了，走吧
0.17           1532050847.0    这个视频将会浪费两分钟
0.317          1531893815.0    可耻的播放量
0.342          1531864297.0    上斗音的女孩都是坏女孩
0.578          1532129147.0    套鹿哥揭秘吃鸡游戏惊天秘密
0.668          1531461346.0    你会浪费生命的两分钟
0.698          1531802830.0    收藏量瞩目
0.779          1531738466.0    可耻的播放量
0.787          1530520984.0    keshi
0.998          1531943074.0    ↓听他的
1.215          1532059581.0    真的吗
1.254          1531884244.0    可耻的播放量
1.278          1532153978.0    零点七五倍加静音新世界，鲁死你
1.675          1531815385.0    在现场
1.746          1531129245.0    性欲吗？
2.03           1531791364.0    发个弹幕好难
2.128          1532098301.0    居然看到同款被子了
2.182          1531744035.0    可耻的播放量
2.197          1531943043.0    ↓这是真的
2.222          1531990793.0    穿什么穿 全拖了最好看
2.276          1531760850.0    看完后你发现浪费了人生的两分钟
2.339          1531513296.0    你会浪费掉你生命中的两分钟
2.549          1531398914.0    不，是浪费3分钟
2.84           1531967019.0    欢迎收看 看衣服系列●︿●
3.281          1531539548.0    为什么都穿的运动内衣
3.419          1531818158.0    别看了，全是AA
3.442          1531550579.0    无一是处
3.851          1531117820.0    1.5新世界
4.1            1531878250.0    可耻的播放量
4.346          1531933442.0    见封滚
4.419          1531708662.0    可耻的播放量
4.578          1532005271.0    都是运动内衣没什么好看的散了吧
4.598          1531908318.0    可耻的播放量
5.161          1530434645.0    你要是敢骗我
5.247          1531997139.0    没错，你将浪费人生中的三分钟。
5.454          1531822603.0    可耻的播放量
5.843          1531457620.0    22.1万播放量，才178弹幕，你们，你们，你们的双手在干嘛呢.............................................
6.078          1531964626.0    这可耻的播放量
6.325          1531927107.0    可耻的播放量
6.934          1531038646.0    666
6.96           1530940110.0    对A.要不起
7.0            1531983143.0    我更想看他们卸妆
7.097          1532098283.0    同款被子
7.442          1531353666.0    全程对A
7.615          1531360893.0    可耻的播放量
7.773          1531925946.0    一个人的㊙️密 她不在家寂寞了吧勁  爽  視  頻  尽在www.bilibili.com
7.775          1531390970.0    你将会浪费你生命的2分57秒
8.34           1531652128.0    谢谢弹幕提醒
8.51           1531896130.0    可耻的播放量
8.96           1532065007.0    有本事继续脱
9.167          1531812881.0    走了
9.42           1531641381.0    会有人阻止或自己不敢了的走吧
9.662          1531812031.0    可耻的播放量
9.731          1531538864.0    是紫色的吗
10.716         1531882181.0    护眼护眼护眼护眼护眼护眼护眼
10.741         1530408036.0    ……
10.881         1531834257.0    对A要不起
11.975         1531782906.0    全是网红脸
12.098         1531199664.0    就第一个好看，还有点腹肌
12.477         1531882959.0    骗子
12.481         1531978522.0    想想都有点激动
12.649         1531306164.0    接着脱啊
12.835         1531038652.0    666
13.228         1532130831.0    马桶时间
13.694         1531412393.0    穿这么多要死啊
14.503         1532151527.0    可耻的播放量
14.684         1531530774.0    受不了了
14.804         1531117829.0    ……
14.933         1531782714.0    文明观猴
14.98          1530575195.0    然后就被骗了
15.061         1531539581.0    运动内衣×1
15.195         1531874476.0    duia
15.197         1531488276.0    搓吊，搓掉
15.422         1531907577.0    ？
15.493         1531135127.0    可恶的播放量
15.6           1531309129.0    。。
16.332         1531886834.0    关掉声音看真尴尬
16.857         1531683230.0    哈哈哈  不 后悔 哦  哈哈哈
16.928         1532150900.0    。。。
17.46          1531626809.0    你们会看几遍？
18.099         1530369299.0    啦啦啦
18.208         1531385002.0    滚
18.545         1531900139.0    可耻的播放量
18.67          1531479366.0    脱掉啊
18.804         1531381302.0    对a，集合版
19.141         1531117837.0    1.5新世界 
19.478         1532166583.0    人，靠，衣，妆
19.6           1531388785.0    好看
19.745         1531750522.0    Gucci，有钱人
20.35          1531925959.0    一个人的㊙️密 她不在家寂寞了吧勁  爽  視  頻  尽在www.bilibili.com
21.311         1531385857.0    我赵日天要撸死在这
22.575         1531056665.0    我喜欢这个
22.772         1532138989.0    。。。
23.06          1531920079.0    只有我关注GUCCI吗
23.088         1530940146.0    对A.不要，过
23.161         1531881268.0    无聊
23.197         1531539382.0    感觉最喜欢这个
24.134         1531538927.0    自己戳自己胸
24.138         1531184884.0    濑美莉亚？
24.211         1531306184.0    有种接着脱
24.342         1530583944.0    这不良心
24.982         1531874485.0    对a要不起
25.147         1532119628.0    这个里面好有一件内衣的
25.201         1531224111.0    没腋毛
25.401         1532075290.0    好大的耐克
25.612         1531768903.0    呵呵
25.637         1531834818.0    播放量太可耻
26.779         1531538792.0    内衣脱呀
27.503         1531388462.0    良心呢？？？？？
28.438         1531410088.0    还有
28.544         1531904496.0    第二个眼睛好漂亮啊啊啊
29.102         1531886548.0    浪费人生系列
29.184         1531789941.0    倒是脱啊😢
29.569         1531123078.0    这种视频里的女人   能脱光一个  我倒立拉稀
30.14          1532157847.0    标题党
30.444         1531586870.0    三分钟好吗！！
30.511         1531545756.0    欧派变小了？
30.939         1531955700.0    让她脱让她脱
31.273         1531355797.0    我裤子都脱了，你就给我看这个？
31.302         1531528065.0    为什么你们衣服这么多
31.584         1531135430.0    已经是不错了     最起码脱到最后一件了
31.838         1531895271.0    脱着脱着的，别停啊
31.901         1531696280.0    这个手指比较笨
32.557         1531459190.0    这可耻的播放量
33.26          1531967357.0    良心你🐴呢？
33.28          1531036710.0    嗯哼。。
33.361         1530797853.0    这如果不算良心的话，你连这个都看不到
33.365         1531400415.0    男的
33.761         1531398884.0    歌都被毁了
33.98          1530572399.0    。。。。。
34.46          1531455799.0    呵呵呵呵！
34.661         1531404537.0    被静止
34.92          1531925473.0    这什么歌。。。
35.36          1531219543.0    穿这么多干嘛
35.441         1530519989.0    阿冷？
35.845         1531497954.0    裤子脱掉脱掉
36.08          1530582948.0    穿这么多不热吗
36.46          1531056466.0    良心被狗吃了系列
36.821         1530592878.0    你们都在干嘛
37.032         1531914479.0    辣鸡
37.259         1532002384.0    穿这么多不热么！
