作品名称：《仙剑皮侠传》第二集-卢本伟uzi大司马PDD
网址：https://www.bilibili.com/video/av24958712
更新时间：07-12
弹幕总量：1076
preciseTime    ofTime          comment
0.419          1531226825.0    uzi 我知道你在看
0.426          1531127202.0    进来吐痰
0.546          1531222751.0    开哥，我知道你会看的，我想你了
0.634          1531299405.0    吱付宝首页搜索“86OO14”蒂花之秀
0.678          1531230134.0    百万助攻
0.679          1531383134.0    能别恶心人么 PDD 大司马和卢本伟这几个就别拿出来博眼球了
0.682          1531212026.0    火钳刘明
1.877          1531142819.0    看这封面就皮的不行
2.323          1531198640.0    前方毁童年
2.699          1531230546.0    等到了
2.88           1531118851.0    666
3.019          1531122115.0    火钳刘明
3.242          1531234383.0    八百年了，终于更新了
3.419          1531218815.0    火钳刘明
3.64           1531359061.0    百万助攻
4.02           1531130161.0    66666666666666666
4.343          1531124543.0    上香
4.441          1531212864.0    标准开头
4.599          1531218492.0    终于更新了
4.71           1531128919.0    火钳刘明
4.805          1531248237.0    来了
4.819          1531132464.0    毁剧
4.86           1531129078.0    我才不管什么卢姥爷  我只看我嫖老师
4.899          1531217762.0    看了三遍了
5.06           1531317496.0    上香
5.16           1531197362.0    可耻的播放量
5.221          1531214988.0    我不是一定要你回来
5.281          1531359069.0    百万助攻
5.339          1531162878.0    卢本伟，大司马，剩一个我不认识
5.459          1531219178.0    哦哟
5.482          1531220462.0    这音乐，谁见让我身体表面泛起了鸡皮疙瘩
5.68           1531215139.0    消费过世老人，举报了，嘿嘿
5.738          1531219113.0    看看我发现了什么
5.74           1531215781.0    老是坑我存的两个硬币
5.799          1531228546.0    火钳刘明
5.822          1531198401.0    火钳刘明
5.908          1531188160.0    上香
6.091          1531225161.0    我先来😂😂😂😂😂😂
6.219          1531125144.0    火钳刘明
6.301          1531228754.0    666
6.32           1531217673.0    来了来了
6.4            1531122079.0    火钳刘明
6.56           1531241506.0    百万助攻
6.615          1531219610.0    消费过世主播
6.802          1531120987.0    上香
7.028          1531195037.0    安排
7.04           1531118012.0    看到卢本伟我就进来了
7.141          1531201120.0    我jio的海星
7.142          1531217355.0    百万助攻
7.264          1531213397.0    火钳刘明
7.32           1531191162.0    上香
7.682          1531355654.0    卢姥爷生前是个体面人
7.728          1531122185.0    不就是硬币吗？我给我给还不成吗？
7.763          1531143246.0    火钳刘明
7.779          1531233819.0    哈哈😄
7.85           1531211777.0    安排
7.979          1531209340.0    爱还没来？
8.021          1531279508.0    第五遍
8.241          1531195675.0    我来了
8.26           1531258584.0    百万助攻
8.288          1531215262.0    百万助攻
8.5            1531305272.0    火钳刘明
8.731          1531236051.0    火钳刘明
8.868          1531218306.0    666
8.921          1531218114.0    哈哈哈
8.967          1531299413.0    吱付宝首页搜索“86OO14”蒂花之秀啊
8.98           1531201204.0    火钳刘明
9.132          1531219996.0    安排
9.341          1531203079.0    安排
9.4            1531220424.0    来了来了
9.6            1531202440.0    稳了，这肯定要火
10.154         1531124853.0    鬼畜饶过谁
10.16          1531214301.0    前来打卡
10.626         1531208083.0    火钳刘明
10.74          1531281878.0    还不顶上去造福人类
10.899         1531201796.0    活前留命
10.928         1531124014.0    该来的还是来了
11.127         1531195049.0    必须安排
11.24          1531218741.0    火钳刘明
11.821         1531240400.0    火钳刘明
12.237         1531125736.0    66666
12.281         1531386437.0    火钳刘明
12.72          1531218026.0    恶心，恶心，恶心，恶心，恶心，恶心，毁经典，毁经典，毁经典，毁经典，毁经典，毁经典
12.727         1531215488.0    上香
12.801         1531216093.0    不就是硬币吗   看在仙3的面子↑  拿去拿去
12.876         1531218931.0    牛批
13.059         1531222596.0    火前留名
13.202         1531300036.0    火钳刘明
13.791         1531129235.0    火钳刘明
13.798         1531220882.0    😂😂😂😂😂
13.94          1531161409.0    高能
14.079         1531300890.0    上香
14.2           1531201357.0    卢本伟牛逼！
14.395         1531200335.0    流弊
14.48          1531222054.0    追番了
14.521         1531126884.0    火钳刘明
14.684         1531213159.0    火钳刘明
14.779         1531295098.0    百万助攻
15.021         1531198607.0    55开！！！！！！！！！！
15.095         1531120638.0    火钳刘明
15.239         1531232895.0    6666666666666666
15.694         1531226934.0    肯定火
15.819         1531128117.0    毫无PS痕迹
15.884         1531221673.0    带制作奥利给
15.997         1531215362.0    这不火没道理啊
16.213         1531207175.0    我姜永彤今天要撸死在这里
16.291         1531132917.0    卢老爷
16.39          1531229646.0    给了给了
16.408         1531120995.0    上香上香上香
16.519         1531228584.0    我看到了小🐶
16.54          1531198059.0    上香
16.658         1531216933.0    来了
16.701         1531191158.0    火钳刘明
16.937         1531222368.0    火钳刘明
17.077         1531125748.0    瞬间笑场
17.229         1531126182.0    火钳刘明
17.44          1531215692.0    火钳刘明
17.621         1531187939.0    大片
17.913         1531203816.0    开哥！
18.012         1531209157.0    准备好香火
18.311         1531160388.0    火钳刘明
18.32          1531206513.0    牛逼
18.321         1531117818.0    上香
18.616         1531299423.0    吱付宝首页搜索“86OO14”小意思不谢
