作品名称：全球第一起电信诈骗就这么诞生了
网址：https://www.bilibili.com/video/av25079729
更新时间：07-10
弹幕总量：495
preciseTime    ofTime          comment
0.276          1531043917.0    会员色
0.318          1531057707.0    Fa♂财了
0.417          1531043943.0    会员色
0.917          1531024296.0    会员色？
2.318          1530967973.0    这个动作突然感觉李团长好萌啊
3.323          1530995992.0    观看此视频请屏蔽“会员色”三个字
3.356          1530970898.0    会员?
3.856          1531131598.0    我试试
4.343          1530996000.0    观看此视频请屏蔽“会员色”三个字
4.949          1531046301.0     6666
5.108          1531065677.0    会？
5.444          1530996008.0    观看此视频请屏蔽“会员色”三个字
5.983          1530996016.0    观看此视频请屏蔽“会员色”三个字
6.186          1531018852.0    会员色是啥自有
6.285          1531015601.0    。。。
6.563          1530962631.0    会员:我才不色
6.685          1531023681.0    。。。。。。
6.781          1531022199.0    我就是杠精   猫鼠游戏了解一下  （二营长把你的意大利炮推走 张大喵  骑兵连 集体下马）喵喵喵
6.964          1530996030.0    观看此视频请屏蔽“会员色”三个字
6.985          1530960386.0    呵呵哈哈哈
7.15           1531044095.0    会员色
7.166          1531065089.0    会员色
7.19           1531037435.0    什么垃圾配音
7.273          1531062083.0    ……
7.277          1531052097.0    会员色
7.361          1531042509.0    。。。。。。。。
7.705          1531026691.0    ？
7.93           1531053020.0    哈哈哈
7.96           1530963433.0    我去
7.965          1531052478.0    会员色
8.005          1530967828.0    会员色？
8.018          1531056587.0    。。。
8.08           1531050184.0    什么颜色？
8.109          1530995839.0    是吗
8.257          1530970181.0    会员
8.358          1531045772.0    ，
8.424          1530956272.0    我李云龙前来还愿
8.501          1531037919.0    。。。
8.524          1530954556.0    哈哈
8.543          1531057656.0    中国红
8.832          1531059354.0    哈哈哈
8.861          1530993482.0    会员色
9.1            1531039444.0    ？？？
9.125          1531026757.0    会员色
9.273          1531059226.0    这不是电信诈骗，这是电信勒索！重复一遍，是勒索
9.308          1531221176.0    。。。
9.319          1530964558.0    会员色
9.405          1530985627.0    会员色
9.442          1531068113.0    请问啥是会员色
9.52           1531027509.0    会员？
9.531          1531068107.0    hhh
9.564          1530960543.0    ？？？？？
9.6            1531036392.0    (╯‵□′)╯︵┻━┻
9.863          1531037115.0    会员色
9.897          1530994924.0    dd
9.915          1531044512.0    ？？？
9.924          1531052613.0    啥玩意
10.025         1531054393.0    会员0
10.055         1531067273.0    ..
10.16          1531050863.0    啥叫会员色
10.165         1530968508.0    阿阿阿
10.282         1531031628.0    会员色？
10.404         1530963833.0    Shenm
10.485         1531050622.0    ？
10.515         1530953458.0    会员
10.583         1530952302.0    会员色
10.661         1531057913.0    。.
10.764         1530968667.0    ？？？
11.184         1531059658.0    什么是会员色
11.199         1530968555.0    哈哈哈哈
11.28          1531049438.0    会员色
11.347         1531045165.0    会员色
11.355         1531189762.0    会员srl
11.486         1531054191.0    ？？
11.487         1531025725.0    哦
11.497         1531047220.0    你们都是会员色♂
11.526         1531067498.0    什么色？
11.563         1531039872.0    kmm
11.678         1530970416.0    会员色是啥意思
11.704         1531061888.0    会员色
11.817         1531057669.0    中国红
11.886         1531023739.0    呃呃
11.965         1531034482.0    会员色？
11.989         1531068082.0    您这次……😂😂😂
12.122         1531054245.0    会员色
12.165         1531028378.0    。。
12.322         1531026264.0    之
12.444         1531032859.0    ？
12.482         1531018490.0    发财了
12.524         1530989397.0    不是会员嘤嘤嘤
12.538         1530988731.0    略略略
12.685         1531047658.0    会员
12.824         1531025893.0    ？
12.84          1530959681.0    会员色
12.91          1531014296.0    会员色
12.93          1530960275.0    什么色
12.959         1531059731.0    。。
13.102         1531027497.0    会员色？
13.137         1531044119.0    战国
13.166         1531015280.0    会员色
13.196         1531031715.0    您？
13.226         1531059891.0    会员色
13.234         1531047467.0    不多不多 几台意大利炮
13.264         1531062094.0    ……
13.334         1531123200.0    233～
13.403         1531052418.0    二营长
13.423         1531027212.0    弹幕怎么发啊，是这样吗
13.441         1531046109.0    爱奇艺会员色
13.467         1530966607.0    会员色
13.707         1530960513.0    李云龙
13.766         1531038729.0    第一次诈骗？
13.924         1531066922.0    ∠※
13.956         1530962485.0    么么么
14.003         1531053182.0    真
14.234         1531189773.0    会员色？
14.278         1531014538.0    卧槽？
14.303         1531067630.0    会员色？
14.344         1531019143.0    会员色
14.396         1530973588.0    会员色?
14.493         1531054761.0    什么会员？
14.509         1531028594.0    哈哈哈
14.519         1531053173.0    233
14.861         1531032368.0    会员:谁他女良的说我色？！
14.885         1530966008.0    战术诈骗
14.891         1531023490.0    。
14.925         1531052595.0    ？
14.926         1530957052.0    这才是会员色
14.954         1530954181.0    啥是会员
14.961         1531023796.0    会员色
15.0           1531059901.0    ???
15.006         1530964950.0    会员色
15.084         1531046567.0    会员色？
15.178         1531061902.0    会员色
15.209         1531212857.0    会员色
15.244         1530953660.0    什么是会员呀？
15.334         1531028968.0    。
15.423         1531008453.0    会员不色😍
15.445         1531065766.0    什么会员色？？
15.486         1531061586.0    O_o
15.523         1531049727.0    真.会员色
15.543         1530951979.0    你们怎么发的彩色弹幕？
15.72          1531036153.0    我是会员吗
15.744         1531020060.0    会员？？
15.769         1530974077.0    这不是诈骗，这是敲诈
15.784         1531117811.0    土鳖色
15.79          1531044375.0    666
15.805         1531060314.0    龟龟
15.975         1530970119.0    会员？
15.976         1531058256.0    啥是会员色
16.02          1531057681.0    会员色？
16.098         1530963485.0    什么是会员色？？？？？
16.101         1530997138.0    警告
16.125         1530980529.0    啥是会员色?
16.145         1531068042.0    了？
16.282         1531189138.0    ？？
16.285         1531034587.0    ？？
16.321         1531008044.0    ...
16.344         1530968519.0    啊
16.382         1531043061.0    非会员色。
16.463         1531010910.0    ？？？
16.464         1531040100.0    会员色？
16.479         1531066677.0    哈哈
16.482         1531063718.0    呵呵
16.641         1531059522.0    会员色
16.665         1531157448.0    123
16.68          1531049449.0    基佬紫
16.686         1531216201.0    会员色
16.717         1531022238.0    老公不在家寂寞了吧？勁  爽  視  頻  尽在www.bilibili.com
16.723         1531027354.0    看我什么色
16.844         1531017134.0    会员色是什么？
16.876         1531028393.0    会员色
16.925         1531054671.0    会员色
17.044         1531062006.0    (⁄ ⁄•⁄ω⁄•⁄ ⁄)
17.19          1530953161.0    你咋就不敢跟旅长干呢
17.32          1531034665.0    ？？？？
17.326         1531051257.0    啥？
17.364         1531118573.0    哈哈哈嗝
17.464         1531056360.0    ！
17.525         1531024154.0    是
17.546         1531061593.0    会员色？
17.646         1530963284.0    略略略
17.694         1531013865.0    会员shi
17.824         1531055393.0    啥是会员射啊？
17.88          1530957075.0    。。
17.887         1531037949.0    ？
17.92          1531054104.0    会员？
17.925         1530964072.0    哈哈哈哈
17.979         1531064566.0    ？？？？？？！
18.087         1531047453.0    ？
18.132         1530985620.0    嗄
18.249         1531218973.0    起死回生之李云龙 的悲伤
18.287         1531028282.0    。。。
18.288         1531044821.0    66666
18.309         1530956897.0    会员字体
18.404         1531039331.0    什么是会员
18.44          1530965331.0    会员是啥
18.456         1531049578.0    会员色
18.605         1531045084.0    在现场
18.646         1530967368.0    会员色
18.944         1530956418.0    什么色？
19.204         1531012537.0    会员色？
19.27          1531028606.0    233
19.28          1531050041.0    。。。。
