排名：99
网址：https://www.bilibili.com/video/av25255526
更新时间：07-19
弹幕总量：1410
preciseTime    ofTime          comment
0.0            1531555329.0    讲究
0.219          1530347774.0    封面在2分38
0.533          1531202213.0    这个我出200不能再多了
0.658          1531738044.0    垃圾视频，毁我青春
0.673          1531542604.0    这可耻的播放量
0.754          1531720647.0    我曹翼昶今天就是要撸死在这里，撸出血来！
0.809          1530959983.0    我决定从头看
1.414          1531136774.0    可耻的播放量
1.707          1531525887.0    可耻的播放量
2.017          1531844287.0    第一个是花椒直播主播小喵大宝，大家别被骗了
2.069          1531220096.0    屁屁那么小也好意思拿出来秀
2.262          1531706587.0    可耻的播放量
3.112          1531731134.0    支付宝首页搜索三零五四五零六，你会谢我的
3.242          1531183940.0    3分05谢谢
3.722          1531274282.0    掉下去就是另一个故事了
3.849          1531986963.0    看片APP1297091873可试看
3.903          1531752405.0    可耻的播放量
4.463          1531633314.0    被揍了吗？眼部瘀青……
4.493          1531125120.0    完事了
4.513          1531716771.0    这可耻可笑的播放量
4.678          1531902188.0    抖♂阴
5.199          1531192477.0    交封不杀
5.415          1531616447.0    请收下我的膝盖
5.486          1531305803.0    兄弟，才5秒啊
5.826          1531892492.0    用脚打字以示清白
6.359          1531133909.0    封面在2分42
6.364          1531903508.0    红字别跑我也是
6.649          1531791402.0    为何我最近把抖音卸了！却在b站看起了抖音！
6.674          1531566070.0    别看了关灯后都是一样的
6.72           1531630636.0    名媛 讲究
6.881          1530962492.0    审核员睡着了?
7.055          1531709984.0    300
7.128          1531725014.0    推下用让她喂鲨鱼
7.344          1531126607.0    抖音……
7.414          1531715431.0    一无是处
7.474          1531745026.0    QAQ画质感人
7.656          1531070509.0    多少钱，不便宜吧
7.902          1531985725.0    可耻的播放量
8.244          1531801198.0    可耻的播放量
8.267          1530863587.0    这是我姐，你们别看了
8.295          1531542136.0    200想啥呢，除非你只需要五秒
8.758          1531829928.0    可耻的播放量
8.877          1531300782.0    完事了
9.016          1531053307.0    过审小王子
9.369          1531198866.0    封面2分55
9.506          1531236286.0    完事了，走了
9.55           1531405262.0    温馨提示，三指竖屏放大
9.694          1531157580.0    我还能坚持一会
9.793          1531754080.0    没弹幕
9.807          1531737686.0    日她
9.934          1531723135.0    我出三百吧
9.992          1531703748.0    眼部淤青都你够了
10.0           1531044355.0    等你也有艘游艇时你能有好几个这样的
10.009         1531652295.0    我老婆是下一个
10.064         1531875594.0    指日可待啊
10.438         1531568029.0    可耻的播放量。
10.536         1530970609.0    我也不空降了
10.738         1531147309.0    00
10.787         1531413829.0    抖音孤儿
10.817         1531135292.0    一般秀游艇的都不是自己的。。
10.989         1529649554.0    火辣
11.154         1531400346.0    我出250
11.265         1531398988.0    胸假的，与身体线条不符
11.271         1531715395.0    著名的大脚丫子美女喵大宝
11.294         1531294210.0    温馨提示：把手机竖过来大屏
11.577         1531707161.0    什么叫可耻，美女自己晒视频我们欣赏怎么就可耻了，这世间没有比这更正常的事了
11.839         1531139501.0    完事了
12.026         1531580700.0    咋了，推下去呀
12.056         1531203279.0    我弟弟都吐了
12.231         1531656531.0    200
12.301         1529512548.0    外围女
12.452         1531127197.0    下海
12.472         1531529066.0    我在B站看抖音，有毒啊
12.597         1531736377.0    小
12.69          1531461765.0    有鲨鱼跳上来就是另一个故事了
12.91          1531847516.0    高级鸡
13.037         1531716350.0    换一批
13.057         1531655192.0    日日日日日日日
13.112         1531208343.0    索然无味
13.176         1531501259.0    可以
13.277         1531397623.0    完事了袄
13.352         1531393940.0    真快
13.558         1531664123.0    974/606
13.664         1531705113.0    交封不杀
13.68          1531420591.0    完事了
13.684         1531603989.0    我弟弟吐了
13.688         1531881347.0    这可耻的播放量
13.772         1531664472.0    当亲眼见过金发碧眼的泳衣美女，这都不算什么……
13.895         1531829543.0    这么小算了
14.073         1531988448.0    流逼血了😍😍😍
14.212         1531232269.0    老哥们，推荐个长宽比啊
14.222         1531585444.0    产奶吗
14.225         1531567530.0    舌头打字
14.295         1531712191.0    一jio
14.494         1531486669.0    没屁股0
14.525         1531288858.0    妆卸了美颜关了滤镜关了
14.905         1531731755.0    妈！我错了！
15.055         1531458215.0    我已经交代了
15.556         1531820660.0    抖阴
16.026         1531232096.0    我想要带你去网吧里偷耳机然后一起去东京丢垃圾
16.033         1531708415.0    都是男人，
16.334         1531399578.0    五百最多了
16.346         1531134658.0    我想要带你去网吧里偷耳机
16.405         1531209783.0    我还在坚持
16.608         1531954999.0    想想要带你去网吧里偷耳机，然后再去东京割包皮
16.713         1531716793.0    眼睛化妆了吗
16.759         1531743938.0    看猴系列
16.834         1531646387.0    快diaosh
16.978         1531579292.0    我5块拿下
17.177         1531116863.0    肾宝给我肾宝
17.315         1531319137.0    快了
17.474         1531968042.0    188套餐价
17.574         1531440269.0    13秒你都完事儿？
17.886         1531394603.0    一哆嗦，一小时后再见兄弟们
17.913         1531046522.0    其实这种妹子很好泡，不需要你多帅，会点小技术就行，比如单手开兰博基尼
18.025         1531969915.0    好矮
18.093         1531874229.0    性感
18.144         1531392283.0    那么问题lei了，视频都是谁拍的呢？
18.229         1531585475.0    我带你去叙利亚
18.491         1531992496.0    ，。。
18.556         1531804639.0    我晕奶
18.642         1531709998.0    200
18.727         1531046692.0    带你去网吧偷耳机
18.757         1531857673.0    看见播放量那么高进来瞄一下
18.847         1531561786.0    f
18.902         1531308996.0    土耳其能浪漫到哪？突厥人？俄土战争？
19.538         1531435845.0    马上就交了
19.623         1531406886.0    伴游
19.673         1531502357.0    这集我看过，后来来了五个大汉
19.69          1531127668.0    你们开始了吗？
19.735         1531218327.0    一无是处
19.793         1531392993.0    都听烂了
19.906         1531134695.0    然后一起去诵经和笆篱
19.936         1531918417.0    还要一起去东京割包皮
20.033         1529507027.0    我晕奶
20.095         1531387209.0    弱智歌曲好难听
20.197         1530928940.0    土耳其可不安全
20.257         1531790138.0    都是富人的精盆
20.302         1531560404.0    我好了，你们呢
20.359         1531407067.0    我想要带你去网吧里偷耳机，然后一起再去偷主机
20.374         1531302236.0    然后一起去东京割包皮~~
20.638         1531278394.0    好沟
20.742         1530597413.0    好白
20.78          1531719445.0    自拍杆拍的
20.942         1530848417.0    穷人的女神
20.994         1531159417.0    别看了都不是白虎
21.142         1531059659.0    外围女里的次品
21.369         1531847524.0    便宜鸡
21.872         1531395709.0    今晚动手？
21.895         1531398138.0    浪漫的土耳其? 库尔德武装了解一下。
22.098         1531199124.0    关声音保智商
22.333         1531328482.0    随便一帧都是封面系列
22.668         1531301720.0    吱付宝首页搜索“86OO14”同九何秀
22.922         1531972291.0    抖阴的  你暴露了……
22.929         1531429380.0    最开始是小喵大宝
23.159         1531424602.0    去了去了
23.325         1531115012.0    然后一起，去东京拖拉机
23.439         1531610389.0    都是哺乳期
23.505         1531399012.0    这个是挤的
24.172         1531980445.0    土耳其仇恨国人，可能被捶
24.193         1531716833.0    想要跟你去浪漫的土耳其，还有索契，巴拿马，叙利亚，伊拉克
24.221         1531477555.0    200零1毛谢谢
24.287         1531385539.0    在现场
24.407         1531753714.0    今晚12点 网吧门口不见不散。
24.413         1531984735.0    范冰冰
24.557         1531033464.0    高级服务人员
25.248         1531044221.0    qq飞车女主
25.306         1531655217.0    日日日日日日日日日日日日
25.969         1531495635.0    没了
25.983         1531136335.0    ↑原谅我邪恶了
26.215         1531222409.0    明明是去东京割包皮
26.615         1531705126.0    快点安排
26.861         1531059680.0    是滤镜白。。小盆友
26.938         1531720670.0    可耻的播放量
27.047         1531197801.0    算了吧要有钱的
27.306         1531663930.0    我晕奶ヽ（・＿・；)ノ
27.308         1531296072.0    索然无味
27.516         1530987193.0    要耐没耐。要技术没技术
27.544         1531184823.0    抖音差评
27.575         1531980389.0    并不许你嫁人
27.728         1531847531.0    家里鸡
27.795         1531783596.0    海纳百川   有容乃大
27.9           1531810630.0    我还是忘不了那个停车场的女人
27.982         1531204153.0    可耻的播放量
27.989         1531896468.0    五十
28.295         1531554325.0    860014
28.743         1531836752.0    抖阴  扩阴  骚阳
29.058         1531568546.0    50都嫌多
29.441         1531325461.0    怎么看着裤裆里有杀气
29.461         1531560424.0    我都结束了，你们们还没开始吗
29.514         1531843405.0    我完事了，你们随意
29.713         1531264554.0    出淤泥而不染，，，
29.962         1531654893.0    抖音exm
30.016         1531217176.0    假奶亮
30.327         1531526680.0    对A 那啥。。
30.368         1531710013.0    250
30.59          1531723405.0    都是整容脸
30.921         1531826870.0    68万播放量，1316弹幕，别以为我不知道你们在干嘛
30.965         1531305948.0    没觉得有蜜汁凸起么
31.287         1531994475.0    这个玻尿酸打的有点多，不如前两个好呢
31.78          1531466158.0    这什么鬼
31.835         1531699167.0    这nm的背景音乐，走了走了
32.083         1531615888.0    观阴大湿
32.305         1531651557.0    在抖
32.333         1531440294.0    这个是对A？说好的胸呢。
32.424         1531656551.0    50
32.457         1531628264.0    我猜这张脸花了五六万
32.794         1531134341.0    上香
32.795         1531040916.0    卸了妆，一个比一个吓人
32.892         1531285414.0    这个音乐听得想吐
32.974         1531302817.0    豁
33.013         1531752470.0    三指按屏拉大，不谢
33.018         1531717851.0    这种在游艇上的都不是什么好东西
33.11          1531487124.0    B站万岁！
33.297         1531461794.0    然后呢，一无是处
33.318         1530990105.0    但是会摇，好像
33.436         1531564011.0    白给哪个都要
33.73          1531151425.0    前提是，有钱（说实话，不看好）
34.81          1531496640.0    最后是别人的胯下之物
34.866         1531204384.0    一天天在那放首歌就抖来抖去，毫无意义
35.216         1531479532.0    拍摄技术精湛
35.226         1531899651.0    ？？？？？？？？？？？？？？
35.433         1531716850.0    要继续要我看着呢
36.244         1531544509.0    好丑
36.289         1531057778.0    都是小橡皮，想透
36.406         1530960005.0    啊啊啊，我晕奶
36.567         1531204435.0    除了传播负能量其他没什么了，也就是一群人自恋的丑比开一堆美颜瘦脸
36.741         1531242026.0    在大解
37.853         1531079453.0    这位阿姨，你有没有妹妹，或者女儿?
38.294         1531723169.0    这个可以四百
38.587         1531204463.0    让她们素颜关软件不开瘦脸不美颜谁敢做?
38.626         1531526698.0    硬挤。。。
38.883         1531869310.0    其实也就800块的水平
39.122         1530976117.0    海天盛筵么？
39.235         1531555413.0    我觉得红字说的对
39.253         1531563264.0    这个不太强
