作品名称：老外刚来中国VS在中国很久以后 (八)
网址：https://www.bilibili.com/video/av25394750
更新时间：07-10
弹幕总量：985
preciseTime    ofTime          comment
0.221          1530924652.0    :
0.378          1531012374.0    失踪人口回归
0.544          1531198026.0    失踪人口回归
0.678          1531006515.0    the world of Dave
0.799          1530985901.0    爷爷，您关注的up更新了！
0.821          1530531366.0    shape of you!!!!
0.918          1530814502.0    换歌了
0.944          1530935785.0    提前承包黄老板，说承包的都是后来的！
1.774          1530614761.0    ·
2.303          1530592271.0    比伯
3.003          1531013764.0    给大家推荐 CE的光影世界  与你分享精彩电影~
3.499          1531131979.0    失踪人口回归
4.06           1530693872.0    求爆肛门
4.55           1530686093.0    哇，我洗澡单就循环这一首歌半年过
4.598          1530892232.0    Shape of you！！！
4.646          1531189469.0    微信搜索爱潮汇，三折大牌鞋服质量保证
4.918          1531005322.0    本人本人
5.199          1531071112.0    ……
5.321          1530715837.0    同一首歌啊哈哈
5.5            1530906125.0    ye
5.501          1531049754.0    失踪人口回归
5.64           1531013925.0    小黄歌
6.289          1530853126.0    嗝儿
6.294          1531051855.0    敢不敢从kaitouch'n
6.558          1531017085.0    不好意思我也是这样
6.725          1530926755.0    黄老板的歌
6.954          1530848211.0    我洗澡也这样，还同一首歌😂
7.02           1530901469.0    宿舍的人洗澡天天那个音响进去，时不时就有这首歌
7.48           1531125444.0    小黄歌哈哈哈
7.499          1530927325.0    哈哈哈
7.547          1531132286.0    黄老板
7.634          1530963410.0    卧槽一模一样哈哈哈哈歌都一样！！！！！！
7.68           1530919890.0    黄老板！
7.721          1530522186.0    bgm好评
7.78           1530524464.0    湿身福利
7.781          1531014274.0    BGM好评
7.899          1530993353.0    shape of you
7.949          1531009075.0    承包bgm里的黄老板!!!
7.981          1531002124.0    滚回去滚回去
8.322          1530924705.0    aaa
8.619          1530921787.0    这是我一个中国人的洗澡BGM！！！
8.712          1530786616.0    求BGM
8.82           1530522204.0    bgm：shape of you
8.85           1530848284.0    洗澡唱黄歌，讲究
8.939          1530693145.0    。。。
9.099          1531017144.0    黄老板
9.1            1530675903.0    喜欢这个歌
9.121          1530683979.0    是我
9.181          1530788227.0    我昨天洗澡还刚刚放过这首歌╭(╯^╰)╮
9.426          1531187218.0    是我了
9.439          1530922322.0    是是是！
9.469          1530632038.0    lol
9.48           1531013383.0    黄老板的
10.235         1530690566.0    啊啊啊啊啊啊啊，我手机铃声
10.3           1531060780.0    是我蛤蛤蛤蛤蛤蛤
10.365         1531030967.0    小黄歌
10.44          1531017027.0    Shape of you
10.651         1530626307.0    老黄的小仙女来了~~~~~~~~~~~
10.665         1530595510.0    是我！
10.72          1531031505.0    这是我。但我听《青媚狐》，单曲循环的那种。
10.92          1531128093.0    福利福利福利。
11.021         1531048746.0    期待第九
11.141         1531009188.0    帮凯文捡肥皂?
11.161         1530949634.0    辣妹儿~
11.18          1531014649.0    黄老板的shape of you
11.242         1531186472.0    喜欢洗澡听歌+1
11.305         1530591949.0    shape of you
11.56          1531206176.0    啊啊啊啊啊啊啊啊啊shape of you!!!
11.669         1531197169.0    这首歌我喜欢！！
11.718         1530922661.0    我想知道十年前唱的什么歌，十年前没有这首
11.73          1531208057.0    shape of you
11.766         1530797912.0    往下一点更好
11.799         1530945903.0    断眉的？
11.899         1531133105.0    这不是我吗。。
12.001         1531017037.0    六得一批
12.219         1531037832.0    没错手机铃声
12.524         1530969513.0    233
12.56          1531014182.0    哈哈哈
12.649         1530856250.0    黄老板！
12.7           1530762444.0    黄老板的歌炸出来。
13.043         1530798943.0    Shape o f
13.18          1531014393.0    shape of you
13.374         1530928012.0    我手机掉到马桶以前也这么做🌚🌚🌚
13.573         1531017545.0    播放量一百多万！！！
13.756         1530610052.0    胖了
13.944         1530921416.0    这是我
13.978         1531009563.0    233
14.575         1530874223.0    前方高能预警！
