作品名称：活动作品我方老师 VS 敌方老师
网址：https://www.bilibili.com/video/av25397044
更新时间：07-12
弹幕总量：748
preciseTime    ofTime          comment
0.0            1531211328.0    温冬谢谢
0.407          1531032998.0    BGM好评
0.417          1531115577.0     好的 确认过眼神 我是敌方的人 我们班主任真的很帅 还练肌肉
0.695          1531382758.0    bgm:无心
0.797          1531391532.0    我方数学老师
0.798          1531258804.0    我方完胜，对不起
0.842          1531039209.0    一直都是喜欢自己老师的扣一，老夫自己都是喜欢自己的老师
0.945          1531050753.0    温冬老师！！
0.959          1531391499.0    是我们老师没错了（东哥威武）
0.987          1531150149.0    我方老师负责！越老的老师他们对我们的关系就越大
1.037          1531101623.0    我方老师必胜。
1.105          1531349455.0    我就喜欢皮的老师
1.229          1531021914.0    通过大部分弹幕总结：我方老师完胜
1.406          1531282681.0    怎么样都喜欢我方
1.415          1531023297.0    温东耶
1.416          1531068007.0    我方老师哪有那么好
1.446          1530962399.0    这个老师上过一站到底
1.591          1531353881.0    我方完胜，只有这样的老师才能让我们发自内心的快乐，老师辛苦了！
1.878          1531042593.0    除了最后一个，我方完胜！
1.886          1531341053.0    hhh
1.958          1531312429.0    BGM:心做し-双笙
2.021          1531278245.0    莫名想哭
2.116          1531127739.0    bgm无心
2.318          1531271053.0    不行我不要这种，上课不好皮了
2.424          1531198669.0    敌方很不错我选我方
2.605          1531300846.0    火钳刘明
2.741          1531087885.0    果然，和我班的数学老师就是不一样
2.879          1531324117.0    我喜欢我方的，敌方的颜值高但是无能
2.887          1531240106.0    我方老师可爱多了
2.903          1531210329.0    bgm 心做し
2.919          1531308063.0    像我们数学老师就是洪水猛兽
2.957          1531306270.0    我方完胜谢谢
3.343          1531206196.0    对不起，我的老师永远是其他老师比不了的
3.604          1531284322.0    这播放量
3.628          1531035867.0    我方很厉害
3.642          1531297949.0    巧了，我是敌方
3.667          1531119490.0    老师当然是越皮越舒服的啦
3.705          1531310936.0    心做し
3.761          1531175456.0    233333333333333333333
3.789          1531227964.0    BGM瞩目
3.8            1531282664.0    我还是喜欢我们老师
3.861          1531204075.0    二笙的bgm好评
3.899          1531219359.0    这是物理老师
3.937          1531142450.0    ……好像我们黄老师
3.982          1531363271.0    哇哇哇，话说我学校有一个物理老师超好看，是男生
4.101          1531224515.0    感觉我方的胜利丝毫没有悬念？
4.176          1531325594.0    这是我贺昌物理老师，up你看看黑板上写着力Fa
4.6            1531388405.0    我方完胜
4.641          1531013198.0    我要这个数学老师
4.972          1531351869.0    呜呜呜呜宗华我想你了
5.015          1531039094.0    喜欢我方的所有老师，应为他们淳朴
5.058          1531303279.0    bgm：心做し
5.322          1531057451.0    感觉我方的能教好我们，2333
5.491          1531118811.0    帅
5.515          1531367068.0    真实
5.565          1531128933.0    双笙我的
5.618          1531035380.0    100万
