作品名称：【ABO巍澜】澜以置信的A！B！O！（有车慎入！
网址：https://www.bilibili.com/video/av25521416
更新时间：07-10
弹幕总量：992
preciseTime    ofTime          comment
0.0            1530871466.0    居老师白老师！快出去！其余人请跟随我去3：13！！！！！！
0.083          1531047113.0    也就看了297次
0.16           1530927581.0    妈妈问我为什么跪着看视频
0.318          1530988075.0    白宇哥哥你快出去啊！
0.399          1530920638.0    请居老师和北老师马上退出视频啊啊啊
0.461          1530954115.0    欢迎收看毛猴与芒果的爱情故事
0.506          1531142911.0    前面这么长空白是为了让两位走吗？？？？？？？
0.513          1530760820.0    龙哥，出去！立刻现在！
0.638          1531019621.0    龙哥快走！
0.724          1530943963.0    7.7勿刷微博镇魂女孩们
0.788          1530932652.0    龙哥快走，请离粉丝的生活远一点
0.859          1530972542.0    北宇哥哥快走
0.936          1529993158.0    这视频上了B站首页推荐啊！你们是魔鬼么？
0.958          1530942101.0    居老师北老师你们还小 乖啊 关掉
1.055          1530946660.0    居老师！北老师！快跑啊啊啊！！！
1.109          1530933135.0    朱一龙你走开！
1.138          1530927958.0    居老师快走
1.42           1531209797.0    up主人才
1.598          1531219123.0    每日一刷
1.621          1530933144.0    白老师快走！
1.694          1529917645.0    5刷
1.839          1530930630.0    朱老师快走！不要看！
1.938          1530903593.0    bygg答应我不能看啊！你快点出去！！！啊啊啊啊啊
2.133          1530886546.0    每日一刷
2.18           1530950951.0    龙哥快走!
2.225          1530955628.0    现在走还来得及啊2333
2.226          1531036634.0    只有大庆可以看
2.345          1529998686.0    从结尾回来再看一遍！！！
2.351          1531196016.0    居老师bei老师快走！！！这不是你们看的视频
2.378          1530899977.0    朱老师请你离粉丝生活远一点！！
2.499          1530846146.0    朱一龙这不是你该进的地方！
2.645          1530933168.0    白老师快走啊！走！别看这个！
2.738          1530948344.0    北老师快出去！！！快出去啊！！
2.763          1531055238.0    我又回来啦
2.961          1530863106.0    居老师赶紧走，这里我顶着
