作品名称：【绅士专车】十个萝莉九个富 还有一个特别富！
网址：https://www.bilibili.com/video/av25541120
更新时间：07-11
弹幕总量：964
preciseTime    ofTime          comment
0.0            1531083824.0    正片3:30 ，不谢
0.229          1531293000.0    空降坐标3:15
0.353          1531274038.0    正品3.15不用谢
0.711          1531154232.0    老实人告诉你正片3.15
0.809          1531184341.0    说3：15和3：30的出来，我保证不打死你
1.02           1531277051.0    我刘楚鑫今天就要鲁斯在这里
1.119          1531300119.0    说3.15的过来，我绝逼不打死你
1.181          1531190943.0    3分16正片
1.252          1531240223.0    3：16才是正片
1.291          1531190415.0    正片3:16
1.392          1531091642.0    不要听他们p话  听我说 看到3:20就关掉 不然你会后悔的
1.52           1531296739.0    3.20正片
1.637          1531094350.0    正片2：09
1.777          1531041053.0    可耻的播放量
1.792          1531184294.0    。。。
2.08           1531285563.0     这可耻的播放量
2.398          1531058841.0    我也是牙膏过来的😂
2.6            1531187453.0    说3.30的站出来我保证不打死你
2.917          1531108959.0    3：15福利
3.622          1531084079.0    可耻的播放量
3.866          1531300217.0    gg
3.957          1531161557.0    3.30是高能预警
4.26           1531185143.0    可耻的播放量
4.736          1531177979.0    特地回来骂两句说三分多正片的
5.639          1531233366.0    我又回来了
6.24           1531201420.0    村里唯一去过夜店的猪
6.933          1531110480.0    每日一看
7.654          1531215778.0    3.30正片
8.426          1531186115.0    可耻的播放量
9.29           1531228979.0    这是深圳的校服
9.497          1531085429.0    正片3分15秒，我是活雷锋
9.698          1531162419.0    ？？？？
10.01          1531298628.0    菜某
10.835         1531091535.0    正片那个，我打死你啊
11.009         1531185530.0    说3:15的出来，看我不打死你
11.12          1531048186.0    放屁都是你们的，全是男的！
11.309         1531066037.0    贴吧有人曝光她了，400一晚上，包夜800
13.857         1531042790.0    尤克里里牛逼
14.992         1531190383.0    正片3:16
15.881         1531095235.0    可耻的播放量
16.381         1531288929.0    啧啧啧啧
16.558         1531108981.0    这不是蔡某吗
16.693         1531034905.0    正      正
16.943         1531075243.0    这个是女装大佬
17.935         1531230240.0    顶
18.051         1531034868.0    正      正
18.111         1531173978.0    正啊
18.729         1531230228.0    顶
19.413         1531092304.0    正。。。
19.559         1531092927.0    这个是特别富的
19.805         1531087864.0    东狼?
20.113         1531190396.0    正片3:16
21.354         1531230247.0    顶
21.476         1531181392.0    这不是男的吗
22.032         1531183523.0    上帝视角↑
22.577         1531225299.0    抖音上的蔡某
22.94          1531081378.0    棋王
23.22          1531039169.0    这播放量……
23.252         1531294597.0    正
23.313         1531184661.0    北京那个你知道人家住的庄园么？
24.077         1531052031.0    我刚刚是不是听到了陈独秀
25.479         1531187078.0    一股某音的气息
26.677         1531166200.0    看着没有任何感觉。。。
27.024         1531073753.0    这个播放。。。。
27.569         1531066095.0    贴吧曝光了她？200一晚上，不包夜
27.684         1531095806.0    这个是真的富 家里不知道有多少矿
28.13          1531090487.0    这是汤不热上的吧
28.608         1531178685.0    富婆
28.656         1531067379.0    这家可以的
29.322         1531051079.0    双马尾啊啊啊啊，我喜欢啊啊啊啊啊
29.652         1531091508.0    这个人其实是男的
29.689         1531119404.0    蔡某
29.861         1531185899.0    快手……
30.823         1531055814.0    全在抖音上扣的
31.603         1531068015.0    你太嫩了大兄弟，我一个182的大老爷们也能鸭子坐。柔韧足够好就行。
32.24          1531049605.0    监狱马甲
32.436         1531103256.0    1  24
32.493         1531056257.0    女装大佬
33.429         1531114112.0    青岛首富的女儿
34.271         1531158545.0    ？？？？尖嘴猴腮
34.626         1531290275.0    快手
34.662         1531108938.0    把猪放出来好吧
34.697         1531242431.0    这蹲姿我个男生也会好不好
35.442         1531179014.0    富你妹，才二级甲
36.128         1531182484.0    还是开头好看
36.685         1531061681.0    知男而上
37.609         1531049656.0    扯淡黄字，我就可以鸭子坐你怎么解释？
39.985         1531088408.0    真人吃鸡，讲究
40.319         1531096846.0    开开开哥别杀我 我我我 把抢都给你
40.645         1531107594.0    开开开开开开开哥别杀我😂
42.493         1531281126.0    好姿势
43.21          1531160354.0    快趁没有去世，赶紧拔了上啊
43.487         1531090483.0    吃鸡了
43.634         1531134308.0    她家有庄园。。。
44.184         1531290296.0    开开开哥别杀我，？卢本伟
45.74          1531181566.0    开开开开开开开哥别杀我
48.668         1531108812.0    趴的姿势都错了……应该手肘着地另一只手握拳在胸口 撑地是什么鬼……………
48.742         1531294625.0    嘤嘤怪
49.453         1531284958.0    男的，把丝袜舔了233
49.673         1531053227.0    WTF？这妹子我们学校的
50.458         1531112724.0    因为有钱的只取漂亮的，而生下的儿子女儿也自然好看。
52.562         1531092642.0    我就想知道录视频的人是谁
53.063         1531090977.0    欢迎大家收看:抖音合集大放送
57.579         1531296138.0    这个我在漫展上见过
57.699         1531160223.0    孤存？
59.301         1531303566.0    这个人声音真心难听
60.718         1531092514.0    。。
62.773         1531127654.0    这个是真的富
63.244         1531089289.0    抖音？快手？
63.51          1531234972.0    胃癌又闹
63.951         1531095609.0    额，呦吼
64.343         1531114621.0    她的那个掏出来比我的还大
65.768         1531094345.0    这里是她家的庄园
65.921         1531264538.0    这个真美
65.962         1531039897.0    这个真的好看
69.756         1531097036.0    哇
69.931         1531197660.0    不是富不富的问题，主要是我就喜欢这样的
70.194         1531163183.0    切，某音盗B站视频经过同意了吗↑
70.249         1531096797.0    wa
70.342         1531180285.0    扬尼玛的骨灰！
70.689         1531112621.0    Facebook？
71.964         1531094773.0    莫名像凛
72.78          1531215629.0    FADED
73.281         1531208874.0    这个还是蔡某
73.433         1531158584.0    这个真的富
73.886         1531041050.0    对不起，我家泳池是太平洋。你们都要交税给我
74.014         1531075072.0    是tm真的土豪
74.479         1531215639.0    FADED
74.73          1531206644.0    正正正正正正
74.956         1531101486.0    为啥要闹
74.962         1531160483.0    前方请用手遮住腰以下 会发现新世界
75.122         1531183521.0    天王盖地虎
75.163         1531091146.0    哪是后花园明显一张图
75.531         1531294671.0    正
75.904         1531096803.0    哇
76.171         1531183637.0    这个真的有矿吧
76.678         1531185053.0    都没水印
77.298         1531154398.0    求抖音号
77.647         1531294657.0    正
