作品名称：「巍澜」「燃向快剪车慎入」《赵云澜今天腰疼了吗》【朱一龙-白宇】take a hint
网址：https://www.bilibili.com/video/av25547030
更新时间：07-10
弹幕总量：1015
preciseTime    ofTime          comment
0.0            1529937399.0    歌词测试
0.005          1531040249.0    进来了就别想出去
0.083          1530605222.0    被封面吸引进来，封面好嘲讽
0.198          1530457030.0    温馨提示请两位主演火速撤离现场!!!!
0.317          1530533519.0    居老师快走！
0.397          1530596764.0    李砚，不准给他俩看，你听话啊
0.498          1530520701.0    霸气侧漏(°ㅂ° ╬)
0.638          1530694407.0    白宇哥哥姐姐快出去
0.798          1530960195.0    北宇哥哥快走！！！不要看！！
0.979          1530632504.0    第N遍刷路过！！
0.998          1530824010.0    哇嗷酷炫的开头
0.999          1530956138.0    开头小澜孩可爱死了天呐
1.141          1531005975.0    一遍又一遍，根本停不下来🙊🙊🙊
1.164          1530600157.0    快走！别看！
1.237          1531146555.0    其实我想说，居老师和白宇老师都是读过原著的，怕什么！浪起来
1.378          1530875400.0    龙哥和bygg我求你们快退出去！！！
1.599          1531113233.0    请按返回键退出233333
1.718          1530998647.0    白老师快出去!
1.747          1531218799.0    哈哈哈哈哈哈哈哈哈哈哈哈哈哈
1.875          1530694369.0    白宇哥哥快走
1.962          1530802412.0    哈哈哈哈哈哈哈
2.077          1530420173.0    龙哥！快出去！
2.196          1530525668.0    bygg也太犯规了吧
2.238          1530694337.0    白宇哥哥快出去
2.318          1530528642.0    这个开头很萌～
2.345          1530343659.0    带着弹幕再看一遍hhhhhhhh
2.36           1530767733.0    每日一刷
2.499          1530635657.0    你们快一点出去北老师居老师！！！！！
2.699          1530539491.0    快走
2.82           1530930847.0    居老师快出去！！！
2.84           1530968383.0    白叔快出去！不能看！
2.913          1531070586.0    片头有毒哈哈哈
3.004          1530819388.0    UP主，看我跪的标准不
3.061          1531147737.0    居老师看过来看过来
3.072          1530685676.0    居老师，白叔，请出去
3.292          1530902685.0    拜托北老师居老师快出去🙏
3.37           1530983643.0    这个开头哈哈哈
3.38           1530964578.0    请居老师出去
