作品名称：【前方高能】那些令人窒息的操作#6 硬汉是如何练成的
网址：https://www.bilibili.com/video/av25571769
更新时间：07-12
弹幕总量：985
preciseTime    ofTime          comment
0.092          1531303458.0    交封不杀
0.393          1531208047.0    看到封面我就笑了
0.558          1531209582.0    我又回来了
0.671          1531201330.0    公孙永浩是你吗？公孙永浩
1.157          1531206549.0    沙僧娶和尚
1.294          1531194482.0    前列腺刹车
1.299          1531212036.0    嘤嘤嘤
1.437          1531215834.0    见封滚
1.558          1531208984.0    骚
1.719          1531198386.0    为什么你如此nb？
2.217          1531297511.0    竖中指
2.449          1531202176.0    封面。。。前列腺刹车
3.323          1531299065.0    沙僧的弟弟 沙逼
3.539          1531193336.0    你说什么？你有胆再说一遍。
3.801          1531274509.0    老沙
5.367          1531298829.0    沙僧的弟弟，沙碧😂😂😂😂
5.675          1531193878.0    拉吉·菲·曼恬
5.688          1531193465.0    沙师弟
7.441          1531283293.0    ，²³³³³³³    6666666    厉害了23333     ²³³³³³³³³³³     2333     6666         ²³³   666    太流弊了！！卧槽     
8.053          1531197334.0    先锋我知道你在看！
8.564          1531231885.0    好指法啊～
8.705          1531287702.0    噗哈哈
8.917          1531203508.0    前列腺撒车
9.07           1531296174.0    你是沙僧的弟弟沙雕还是沙比
9.303          1531301003.0    掉下来砸头上
9.458          1531304868.0    🖕
9.477          1531215849.0    好湿好湿
10.079         1531296895.0    看见封面进来的
10.215         1531285325.0    好像三国演义的那种声音。。。
10.786         1531217882.0    辣鸡
11.319         1531292957.0    高速？
12.56          1531280433.0    好湿
16.671         1531198347.0    封面
17.253         1531217376.0    莫了他的几百
18.158         1531255648.0    所以她就这么半推半就的吗
18.877         1531264080.0    前列腺刹车？
19.279         1531198959.0    前方高能
20.249         1531278579.0    6666
21.706         1531285004.0    生日快乐哦
21.88          1531217902.0    交出封面
22.705         1531197855.0    66666666
22.882         1531292100.0    66666666666666666666666666666666666666666666666666666666
23.521         1531280607.0    这是鸡 吧
24.88          1531364017.0    一步到胃
26.685         1531280804.0    一步到胃。。。。
29.082         1531285011.0    那太好了
32.457         1531285703.0    暂停成功。
34.737         1531298992.0    女的还能勉强走动，男的已经死了。
34.809         1531281424.0    一步到胃
35.173         1531274832.0    人体器官贩卖？
35.285         1531373432.0    一步到胃
35.642         1531302155.0    这个上面应该有时间的，画面转换中间隔了5个小时
35.695         1531208647.0    抱得美人归
35.959         1531217781.0    这是一起案件吧
36.232         1531301312.0    哈哈哈哈哈哈
36.806         1531194252.0    这么快就完事了？
38.424         1531301179.0    没有耕坏的田，只有累死的牛
39.369         1531291058.0    _(´ཀ`」 ∠)__ 
39.386         1531294504.0    被搞了
39.579         1531211624.0    顶到胃了
41.118         1531189867.0    贩卖器官（被打
41.401         1531285024.0    那太好了
41.419         1531215154.0    吃撑了，人口减1
41.761         1531211527.0    感觉身体被掏空
41.79          1531357736.0    擦嘴  讲究
42.572         1531198734.0    事实证明男的已经挂了
43.034         1531281757.0    开口了
43.56          1531199872.0    肾没了
43.844         1531357719.0    还擦嘴
44.791         1531284482.0    一步到胃的你腰间盘为何如此突出
45.507         1531291064.0    66666666666
46.129         1531287222.0    火车污污污～
46.179         1531247392.0    注意，流血了
46.22          1531203984.0    不说了不行我还是要说他男朋友死在宾馆她胃疼就是这原因
46.285         1531356552.0    还擦嘴
46.366         1531197921.0    这个 就很形象了😏
46.724         1531199444.0    ?啥呀
46.996         1531218658.0    大佬都看的懂哦
47.846         1531190688.0    既生动，又形象。
47.969         1531298766.0    。。。。
48.015         1531219276.0    过了3个小时
48.088         1531190787.0    形象生动
48.244         1531285031.0    那太好了
49.899         1531278485.0    生动贴切
49.919         1531271543.0    生动形象
50.597         1531189884.0    噫生动形象
51.317         1531215896.0    生动形象
51.54          1531208148.0    形象
51.76          1531271737.0    盾构机（
51.918         1531296944.0    后期好评
52.042         1531301663.0    这是印度吧？
52.197         1531246362.0    一步到胃
52.199         1531206647.0    流血是最骚的
52.388         1531215553.0    生动形象
52.438         1531285035.0    那太好了
52.607         1531272582.0    出血了
53.761         1531274567.0    生动形象
53.782         1531256603.0    生动形象
54.121         1531214274.0    怪我太单纯
54.347         1531301544.0    哈哈哈哈
54.499         1531196010.0    这很形象了
54.768         1531196336.0    暗自流泪，深藏功与名
54.841         1531296493.0    哈哈哈哈生动形象
55.565         1531212731.0    一步到胃
56.08          1531273215.0    这是被弄哭了
56.65          1531285039.0    那太好了
56.889         1531200301.0    可怕
57.197         1531259751.0    这，，，怕不是贩卖器官吧
57.661         1531203853.0    哈哈哈哈(ಡωಡ)hiahiahia
57.748         1531218107.0    很形象
57.862         1531254853.0    6666
57.887         1531214846.0    生动形象
59.744         1531289465.0    6666
59.909         1531298624.0    666666
60.478         1531210332.0    🐮🍺
61.51          1531288240.0    什么情况
61.618         1531301827.0    被打了
61.875         1531216981.0    都哭啦
62.743         1531298038.0    那是27层
62.76          1531204011.0    就被那个了知道了吧
63.747         1531286680.0    捂得地方不对啊
64.191         1531212230.0    看发型
64.265         1531200990.0    第一次，破了
65.005         1531310946.0    肛裂
65.455         1531245700.0    天啊
66.3           1531286203.0    怎么可能是器官贩卖，脑子呢？没看到一开始还指了一下摄像头吗？你个睿智犯案回在摄像头下面？
66.622         1531217625.0    额
67.234         1531299515.0    都哭了……
67.516         1531301692.0    被顶的走不了路
67.557         1531210344.0    猛男
69.818         1531288582.0    什么情况
71.462         1531288378.0    划出那么深，不会戴了什么东西吧，不然那玩意儿还能用不，这不科目学
73.468         1531285056.0    那太好了
74.823         1531215475.0    霸王硬上弓
76.865         1531287206.0    可耻。
77.5           1531204042.0    他要升仙了？
77.753         1531194585.0    这个我看过
79.112         1531197848.0    可以
79.274         1531219560.0    前方请调大音量!
79.381         1531191138.0    前列腺刹车？？？
79.67          1531217200.0    非诚勿扰
79.689         1531272414.0    前列腺刹车
80.334         1531193754.0    前列腺刹车
80.481         1531214922.0    真前列腺刹车
80.877         1531211296.0    沙里有刀片
81.131         1531245057.0    非诚勿扰么？？
81.656         1531207652.0    哈哈哈哈哈哈哈哈哈哈
81.783         1531215701.0    前列腺刹车？
82.226         1531196046.0    哈哈哈哈哈哈哈
82.24          1531190779.0    这两年你都在练这个？
82.38          1531271833.0    前列腺刹车
82.478         1531194566.0    前列腺刹车
82.581         1531196060.0    前列腺耕地
82.799         1531277192.0    前列腺刹车？
82.83          1531289441.0    哈哈哈哈哈哈哈
83.004         1531198771.0    6666666636666666
83.079         1531229671.0    前列腺刹车
83.084         1531197881.0    6666
83.609         1531219287.0    投币
83.629         1531269432.0    非诚勿扰？
83.8           1531215709.0     66666666666
83.945         1531207994.0    哈哈哈哈哈哈哈哈
84.099         1531203890.0    呵呵红红火火恍恍惚惚哈哈哈哈
84.349         1531208695.0    woc我看过这个
84.568         1531301110.0    硬汉！
84.759         1531207496.0    钢铁直男
85.124         1531302408.0    硬邦邦汉子？
86.282         1531301027.0    硬♂汉
86.305         1531289492.0    666666
86.331         1531190828.0    66666666
86.464         1531228813.0    *6666666666666666
86.688         1531215637.0    前列腺耕地
87.005         1531208485.0    卧槽
87.101         1531254885.0    66666666
87.726         1531205285.0    比利？
87.756         1531359966.0    6666666666
87.98          1531296543.0    666666
88.18          1531301964.0    6666666
88.295         1531297243.0    。。。。。。。。
88.45          1531288149.0    这集我看过
88.597         1531211927.0    233333333
88.8           1531294252.0    66666666666666火钳刘明
90.062         1531191810.0    硬
91.281         1531199438.0    谭警官！
92.573         1531217610.0    谭警官
93.02          1531300016.0    何谓腰马合一？
93.768         1531190831.0    此人骨骼精奇
94.204         1531205255.0    23333
94.618         1531206619.0    高能
94.673         1531194613.0    神tm腰马合一
95.708         1531289423.0    技巧
95.853         1531215522.0    讲究腰马合一
95.999         1531285089.0    那太好了
96.929         1531280536.0    腰马合一
96.96          1531204071.0    哈哈哈哈哈哈哈哈哈哈哈哈😆
97.489         1531201839.0    前方高能，我已经笑趴了
98.022         1531254899.0    谭警官
98.71          1531287171.0    他是河南的嘛
99.0           1531273286.0    前方装壁高能
99.671         1531216777.0    警察叔叔惊呆了
100.24         1531211524.0    成都谭警官
100.321        1531190462.0    谭谈交通
100.879        1531248957.0    信仰？
101.78         1531280840.0    红绿灯，谭警官
101.932        1531276795.0    当时我正看这个新闻给我乐完了
101.981        1531191614.0    荷兰的
102.19         1531301501.0    看过
102.423        1531199425.0    老谭
102.681        1531333045.0    哈哈哈哈哈哈哈哈河南少林
102.995        1531193867.0    看过
103.91         1531205299.0    🐮🍺
103.935        1531202421.0    王境泽定律什么地方都能用
103.956        1531276176.0    小黑说交通
103.981        1531286181.0    又黑我大河南
104.076        1531194652.0    前方高能，这不是演习
105.234        1531209566.0    高能预警
105.503        1531198856.0    河南人的骄傲
105.673        1531281842.0    2333333333333333333
106.011        1531291138.0    2333333333333333
106.1          1531199324.0    高能
107.168        1531194859.0    笑抽风了这个
107.28         1531285103.0    那太好了
107.695        1531205220.0    2333333
109.034        1531215975.0    666666666666666666666
109.162        1531214345.0    周星驰电影看多了
109.526        1531288832.0    老白原来是警察
110.277        1531200880.0    憨豆
110.538        1531292759.0    前方高能
111.302        1531198515.0    哈哈哈，少林寺
111.412        1531202452.0    王境泽定律什么地方都能用😂
111.894        1531248219.0    前方高能 →_→
112.216        1531190165.0    夸子
112.756        1531203596.0    真香
112.999        1531285111.0    那太好了
113.311        1531292425.0    2333333
113.694        1531286267.0    当场去世
114.873        1531385432.0    哈哈哈哈哈哈哈
114.916        1531301745.0    当场去世
114.935        1531192478.0    真的高帅
115.256        1531296578.0    当场去世
115.564        1531206684.0    哈哈哈哈哈
115.713        1531209408.0    卧槽这汪成精了
115.738        1531282128.0    23333
115.75         1531214357.0    2333333
115.774        1531270644.0    哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
115.78         1531228871.0    哈哈哈哈哈哈哈
115.902        1531291152.0    哈哈哈哈哈
115.903        1531266153.0    这狗隔前清至少也是个贝勒233
115.937        1531300786.0    斯巴拉西
116.225        1531189629.0    哈哈哈哈哈哈哈哈
116.295        1531213479.0    尴尬哈哈哈哈哈哈哈
116.337        1531205441.0    2333333
116.379        1531218774.0    哈哈哈哈
116.398        1531202759.0    哈哈哈哈
116.484        1531204946.0    腰马合一。。
116.564        1531208518.0    哈哈哈哈哈哈哈哈
116.633        1531204966.0    这不是我那个表情包嘛
116.654        1531290333.0    打飞你的医保卡
116.91         1531281346.0    哈哈哈哈
117.168        1531295808.0    @罗汉
117.272        1531215787.0    哈哈哈哈哈哈
117.66         1531213186.0    666666666666666666666666666666
117.734        1531362694.0    罗汉23333333
