作品名称：【巍澜 《镇魂》误解向】结婚记（高甜高污）
网址：https://www.bilibili.com/video/av25602249
更新时间：07-11
弹幕总量：1024
preciseTime    ofTime          comment
0.839          1530858360.0    停不下来
0.958          1531036865.0    欢迎收看正确的镇魂
1.16           1530727326.0    啧啧啧
1.278          1531065162.0    请两位老师赶快出去！请不要干扰粉丝的正常生活！
1.45           1531061607.0    惺惺相惜，势均力敌
1.48           1531065350.0    居老师快走，这里好可怕
1.973          1531030163.0    居老师 现在出去还来得及
2.338          1530839501.0    居老师你现在走还来得及
2.43           1531063577.0    白宇哥哥别看！
2.882          1531094871.0    播放量吓到我了
3.624          1531028088.0    66666
3.986          1530936114.0    请居老师和北老师远离粉丝生活！！
4.26           1531060625.0    一会就来不及了
4.306          1530775010.0    N刷
4.547          1531056703.0    白老师朱老师请赶快出去！
4.639          1530863167.0    哈哈哈哈哈哈哈神剪辑啊
4.69           1531056804.0    镇魂正确打开方式
5.18           1530597990.0    第二遍，全程痴汉笑，嘿嘿嘿嘿嘿嘿
5.86           1531130726.0    白老师居老师请快速离开！！
6.57           1530857222.0    居老师你看！
6.866          1531016682.0    居老师快走！！！
7.039          1530880138.0    请两位老师退出一下，谢谢
7.523          1530600362.0    朱老师别进来啊啊啊啊啊啊
7.581          1531018791.0    该来的还是来了
7.681          1531052152.0    吹爆up
7.825          1531058208.0    又一位神仙UP主
7.899          1531141400.0    我劝你们离粉丝生活远一点
7.986          1530669360.0    北老师居老师千万别进来
8.106          1531135437.0    bgm好评
8.14           1531056357.0    居老师请你出去，千万别看啊( ´艸｀)
8.146          1531144156.0    请居老师白老师马上退出本视频！
8.188          1531026062.0    bgm！喜欢！超甜！！！
8.54           1530543027.0    表白bgm
8.982          1531026593.0    阿阿阿阿阿阿啊西城
9.159          1530789717.0    wwwwwwwwwww
9.386          1531116914.0    up神仙！
10.024         1531028100.0    漂亮
10.06          1531064644.0    这首歌超甜超适合结婚的
10.299         1530688795.0    居老师bygg快出去！！这不适合你们看！！！
10.339         1530881688.0    啊啊啊啊啊啊啊啊
10.672         1531024105.0    两位老师请出去
10.74          1531137412.0    求bgm
10.78          1531065375.0    居老师，这个特别无聊，别看了
11.05          1530935779.0    每日一刷
11.144         1531046563.0    完了完了，我出不去了
11.56          1531034835.0    黄老板的歌
12.219         1531018822.0    白叔快出去！！
12.274         1531130471.0    赵处不要面子啊哈哈哈哈
12.91          1530928676.0    我又回来了
12.921         1531034475.0    优秀
13.008         1530598015.0    嘿嘿嘿嘿嘿嘿
13.357         1531022181.0    哇哦⊙∀⊙！给up打call！
13.451         1530639754.0    朱老师现在撤退还来得及
13.62          1530698345.0    居老师来啊✔
14.139         1530710102.0    我总觉得小澜孩在诱惑局老丝
14.146         1531032475.0    up真魔鬼
14.205         1530946034.0    居老师别来！！！
14.386         1531021409.0    搞来的还是会来的
14.562         1531090255.0    神仙剪辑啊
14.88          1531034843.0    结婚结婚
15.335         1531040281.0    人才啊
15.342         1530600369.0    求你了朱老师
15.385         1531061265.0    喜欢😘
15.804         1531051121.0    结巴超可爱*^o^*
15.939         1530683155.0    up天秀！👍
16.37          1531044570.0    请居老师撤退
16.675         1530715571.0    wwwwwww
16.703         1530833553.0    居老师快走
16.841         1531027793.0    人才
17.281         1531054007.0    出不去了
18.68          1531124875.0    二位老师不要听她们的，留下来看完吧。很好看的！
18.812         1531058141.0    哈哈哈哈两位老师快出去
18.863         1531047743.0    up是干大事的人
19.455         1531029927.0    害羞惹敲可爱~~
19.621         1530608503.0    居老师好帅
19.876         1530841008.0    龙哥快走
20.271         1531047753.0    误解想好啊
20.881         1531292877.0    老师走吧
21.341         1531043917.0    居老师，快出去！
21.48          1530993010.0    居老师快走，我掩护你
21.636         1531288887.0    龙哥这样太美了!!!
21.788         1531021334.0    那个居居出去这个巨好看
22.482         1530558344.0    厉害
22.655         1531107144.0    居老师快跑！
22.7           1531203069.0    beautiful  in  white
22.899         1531238567.0    两个人都快出去
22.92          1530623211.0    大家好，我是白宇，我已经报警了
23.067         1530881354.0    啊啊啊啊啊啊BGM好甜
23.749         1531298105.0    最后一遍
23.919         1530986106.0    嫁给我
24.348         1530715579.0    wwwwwwwwww
24.872         1530758066.0    Love matters most
25.24          1530804576.0    毫无PS痕迹
25.651         1531022708.0    给up主跪下了哈哈哈哈
26.09          1531061816.0    居老师，请这边离开！
26.38          1531065411.0    大噶好，我是朱二龙，我已经报警了
27.421         1530856550.0    居老师，离粉丝生活远一点，快走，现在还来得及
27.852         1531111202.0    大大永远是大大
28.832         1531134394.0    我是警察，上述两位先生的报警我认为不用立案调查，大家继续hi没事😏
28.881         1530789297.0    我是朱一龙 我已经报警了
29.821         1530588600.0    居老师把眼睛闭上！
30.08          1531103010.0    BGM：buetiful  in  white
30.617         1530715585.0    啊啊啊
30.93          1530665398.0    笑的嘴巴合不上
30.975         1531102288.0    北劳斯居劳斯请你们看完！
30.98          1531051622.0    6666666
31.329         1531108483.0    啊啊啊我天
31.416         1531032202.0    北老师和居老师快走！
31.819         1531053145.0    大家好，我是龙哥，我已经报警了
32.255         1531065324.0    BGM：BGM：beautiful in white❤️
32.339         1530765222.0    6666666
32.506         1530958331.0    居老师现在走还来得及
32.806         1531057815.0    居老师请立刻撤离
34.15          1530607165.0    厉害哈哈哈哈哈哈哈哈哈哈哈哈哈哈
34.461         1531025765.0    毫无痕迹
34.471         1530543870.0    啥玩意哈哈哈笑死我了
34.601         1530875708.0    大神
34.66          1531046737.0    大家好，我是朱一龙女朋友，我已经报警了🙈
34.662         1530614383.0    ？？？？？？
34.883         1531047472.0    阿婆主是干大事的人啊
34.9           1530693324.0    哈哈哈哈哈哈哈哈哈
35.218         1530936215.0    神鬼剪辑
35.239         1531009058.0    666666666
35.261         1531033153.0    哈哈哈哈哈哈哈
35.441         1531112588.0    ？？？哈哈哈哈哈哈哈
35.845         1531019103.0    神仙啊
36.18          1531138913.0    毫无痕迹啊！
36.201         1531037629.0    嫁给？！p，娶
36.256         1530596123.0    哈哈哈哈哈哈哈.优秀
36.361         1530789744.0    wwwwwww
36.68          1530597056.0    up是干大事的人！
36.82          1530927250.0    哈哈哈哈哈哈哈哈哈哈哈
36.979         1531051158.0    UP是干大事的人
37.009         1531103752.0    哈哈哈哈哈哈哈哈哈哈哈
37.033         1531025148.0    娶赵处!不是嫁
37.054         1531029473.0    优秀
37.059         1531034119.0    哈哈哈哈哈哈，厉害厉害厉害
37.08          1531030378.0    哈哈哈哈哈哈哈什么鬼哈哈哈哈
37.22          1530856982.0    ？？？
37.46          1531017319.0    嫁？娶才对！
37.461         1531065437.0    这是什么科技力量
37.54          1531288501.0    神仙剪辑
37.769         1530715592.0    hhhhhh
37.928         1531049680.0    哈哈哈哈哈哈哈哈
37.96          1531010998.0    哈哈哈哈哈哈哈哈哈哈牛批了这怎么剪的
38.18          1531022989.0    请善良哈哈哈哈哈
38.311         1531146431.0    up神仙剪辑呀
38.354         1530946068.0    神仙剪輯啊
38.44          1530717414.0    卧槽
38.521         1531301920.0    🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸
38.619         1531032556.0    首页推荐哈哈哈哈6666
38.699         1531040758.0    这就是神仙剪辑吧！！！
38.71          1531018574.0    和哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
38.769         1531209848.0    神仙！！！
38.894         1531103437.0    6666666666666666666神仙！
38.985         1530694090.0    哈哈哈哈哈哈哈哈哈哈哈哈哈哈
38.998         1531152419.0    嫁，怕不是哦
39.14          1531056076.0    是娶
39.198         1530606350.0    优秀！
39.362         1531122625.0    黑科技
39.378         1531028135.0    厉害了23333333
39.46          1531107959.0    哈哈哈哈哈哈
39.509         1531021447.0    神仙啊
39.859         1531136219.0    白白快出去
39.893         1530669424.0    不就是要我的硬币吗拿去拿去都给你
40.0           1531106981.0    好优秀的阿婆爱您❤
40.022         1531060383.0    用牙，用心
40.379         1531074842.0    居老师快走！！！！！
40.399         1531060509.0    优秀
40.422         1530785517.0    真的是人才
40.447         1531057614.0    哈哈哈哈哈哈哈哈哈，up主🐂🍺啊
40.53          1531045472.0    哈哈哈哈哈哈哈
40.855         1531254373.0    妈呀↑↑我脑里有羞羞的画面了
41.234         1531144915.0    卧槽？？？
41.262         1530986123.0    优秀
41.294         1531037175.0    优秀！
41.475         1531108945.0    哈哈哈哈哈哈哈哈
41.521         1530674635.0    强大
42.151         1530704087.0    优秀
42.34          1530837934.0    太优秀了！
42.446         1530608526.0    神仙剪辑哈哈哈哈
42.62          1531136258.0    66666666666
42.792         1531015824.0    居一龙你快出去
42.819         1531280156.0    ？？？？？？？哈哈哈哈哈哈
42.842         1531296179.0    噗.......
43.092         1530853277.0    镇魂魔鬼无疑了
43.229         1530710076.0    是娶谢谢！
43.306         1531106812.0    哈哈哈哈哈神仙
43.392         1531046682.0    神仙剪辑啊哈哈哈哈哈
43.901         1531128980.0    有毒有毒
43.922         1531144848.0    666666666666666666666666666666666666666666666666666666666666666666666
44.057         1531163398.0    ？？？
44.079         1531131173.0    太厉害了吧
44.271         1530642519.0    优秀啊up
44.312         1530789752.0    wwwwwwwwwwww
44.366         1531112101.0    666666666
44.441         1531100896.0    厉害
44.494         1530550082.0    666666666
44.566         1531117695.0    哈哈哈哈哈哈人才
44.585         1530607175.0    笑死我了哈哈哈哈哈哈哈哈哈哈哈哈哈哈
44.661         1531109953.0    黑技术，这让人折服的黑技术
44.819         1531057995.0    前面蓝字好评
44.883         1531038339.0    明明是娶
45.21          1531145356.0    啊啊啊啊啊啊
45.352         1531051370.0    给跪了
45.714         1531060802.0    神剪辑啊，佩服
45.96          1531063552.0    居老师白老师快出去吧
46.16          1531015576.0    活字配音
46.632         1530718563.0    优秀
46.678         1531198821.0    哈哈哈哈哈哈哈
46.778         1531058716.0    给up主献花
46.94          1530872163.0    刺……刺激！！！
47.026         1530870540.0    up主是干大事的人
47.44          1531040153.0    优秀，天秀
47.521         1531108499.0    up主太优秀了
47.776         1531049858.0    龙哥快走！
47.8           1531137361.0    太优秀了
47.912         1530622999.0    是镇魂神仙！
48.0           1530581321.0    白老师请出去
48.2           1531052076.0    身体的可以哈哈
48.551         1531132418.0    娶啊
48.794         1531045480.0    66666
