排名：40
网址：https://www.bilibili.com/video/av25629255
更新时间：07-21
弹幕总量：2987
preciseTime    ofTime          comment
0.0            1531557027.0    温馨提示：1.5倍食用感觉也很棒！！
0.215          1532073705.0    大哥大接受挑战
0.309          1532056920.0    奔驰E级柏林之声12扬声器接受挑战
0.313          1531630670.0    lyb耳机接受挑战
0.34           1531329555.0    没啥，我听无损的差不多，我是7.1声道的
0.354          1531368413.0    吓得我摘下exk拿出大奥
0.575          1531384847.0    简介配置爆炸
0.635          1532078452.0    然而b站把你的视频音质压缩成aac格式
0.782          1532088342.0    支咐宝首頁捜索“86OO14”这么给力吗
1.026          1531495641.0    母盘，虽然大但是对于人耳来讲和无损没啥区别的
1.244          1531368944.0    111.1万
1.413          1531481579.0    加州招待所
1.414          1531322180.0    有资源吗
1.417          1531495400.0    不用powermap就算了，foobar都不用，用qq音乐？厉害厉害
1.495          1532071457.0    plantronics backbeats505接受挑战
1.498          1531325687.0    这个是基于原版，靠cpu多次浮点压缩后的，毫无意义，只是看着大
1.636          1532053635.0    为了你我专门戴上耳机
1.659          1531494750.0    然而录屏软件音质96K，上传到B站64K，一群人装*说音质还不错
2.114          1532098870.0    如丝般润滑
2.117          1531486752.0    无意义？母带听说过？无知还喜欢装逼
2.181          1531556892.0    支咐宝首页搜下“86OO14”以大橘为重
2.634          1532093523.0    聋的传人
2.836          1531474481.0    比劳资的崩坏三的内存还多
2.841          1531366763.0    首先，这音频很大可能是扩的，其次，用QQ音乐听也是讲究
3.234          1531452568.0    浪费时间没意义
3.495          1531321487.0    索尼mdr1abt接受挑战
3.539          1532059141.0    都去听听初音未来:圆周率
4.047          1531327325.0    那就代表这个视频又快
4.161          1532057416.0    求空降坐标
4.43           1531359261.0    双飞燕十五包邮
4.518          1532090108.0    突然想起来，哔哩哔哩放出来也就几十兆
4.647          1531356743.0    不知道后面人在秀什么，说和xxx差不多，注意这视频被b站压成70兆，离up的原声差远了
4.836          1532063419.0    索尼H900N来了
5.031          1532096904.0    圆周率之歌了解一下
5.158          1531531175.0    上传影片音质都压烂了，管你本来多少G有用?
5.281          1532076972.0    又是你
5.578          1532090465.0    索尼2200元耳机接受挑战
6.098          1531495481.0    这个应该是原声带，码率超高但是没用，很多信息对人耳来讲没有用
6.121          1531366831.0    PCHiFi的谁不知道Foobar？用QQ音乐播放你逗我吗？做成视频码率也降了，你让我戴耳机？
6.136          1531489243.0    我觉得是长度1.5GB
6.182          1532061391.0    苹果原配耳机🎧接受挑战
6.247          1532097552.0    为了你，我才发现耳机丢了！
6.313          1532088347.0    支咐宝首頁捜索“86OO14”能为所欲为
6.496          1531494639.0    然而B站压缩到64K一群人装Ｘ说还行，哈哈哈
6.502          1532097034.0    应该是那个升频的黑店
6.887          1532135493.0    3881楼音源！
6.949          1531350015.0    我喜欢这个视频
7.156          1532075776.0    铁三角陌生人妻接受挑战
7.203          1531390663.0    幻想御手？
7.278          1531496039.0    iPhonex接受挑战
7.638          1531480267.0    那视频多大
8.515          1531389355.0    那你的视频岂不是不止1.23GB
8.545          1532091062.0    9.9包邮耳机接受挑战
8.719          1532083539.0    奔驰c200柏林之声8音响接受挑战
8.779          1531386027.0    8848钛金手机接受挑战！
9.363          1531494806.0    然而录屏软件音质96K，上传到B站64K，一群人装X说音质还不错，小哥只能默默一笑
9.414          1532087338.0    7:40=12G
10.086         1532053535.0    到这只有几十兆
10.34          1531467369.0    dsd？艾利和表示不虚
10.383         1531574975.0    前面说浪费时间的，其实音质真的比一般在播放器上听好很多，听到这样的音质对于热爱音乐的来说真的还是很开心的
10.437         1531322472.0    3.1433223...
10.658         1531495546.0    拿常见的无损音质跟这个比较，金耳朵都听不出什么区别
10.961         1531366855.0    母带音乐没见过？
11.024         1531452884.0    简介最后一行好评
11.057         1531464084.0    幻想御手
11.172         1531475901.0    扬声器接受挑战
11.503         1531494572.0    专业级音乐播放器
11.694         1531631519.0    幻想御手的别走……
11.776         1532150051.0    5.99地摊货接受挑战
11.815         1532059235.0    视频播放是有采样频率的，不能真实还原
11.982         1532156809.0    漫步者接受应战
11.985         1531391472.0    qq音乐播放出5M的效果
12.062         1531494645.0    然而B站压缩到64K一群人装Ｘ~说还行，哈哈哈
12.154         1531327340.0    2G的缓存
12.155         1532085084.0    索尼大法好
12.217         1531484607.0    友情提示，没感觉的请闭眼
12.375         1531328231.0    15包邮哈哈
12.406         1532071225.0    0.5倍能听出区别，有感觉上的不一样
12.457         1532076850.0    小米自带二级接受挑战
12.675         1531389542.0    真好听
12.731         1532069051.0    大奥2前来报道
12.801         1531495888.0    鼠标配不上你的电脑
13.431         1531358002.0    ↑乌鸦坐飞机
13.434         1532065857.0    beats接受挑战
13.621         1531357113.0    视频没压缩可以达到五十多ｇ
13.635         1531367470.0    圆周率之歌了解一下
13.697         1531366926.0    这一首顶我350首
13.757         1531459650.0    320kps我就满足了。。
13.777         1532059013.0    校园广播站接受挑战！
13.833         1531370583.0    推荐
14.115         1531494762.0    然而录屏软件音质96K，上传到B站64K，一群人装X说音质还不错
14.182         1531468604.0    是母盘
14.716         1532089501.0    mdr1a dac接受挑战
15.121         1532087119.0    vivo耳机接受挑战
16.169         1532097572.0    小灵通接受挑战
16.507         1531390814.0    level
16.595         1532104890.0    漫步者接受挑战。
16.636         1532072504.0    sony 1000xm2接受挑战
16.708         1531381717.0    圆周率之歌无损1小时了解一下
16.844         1532092126.0    没有声音？
16.869         1532061900.0    带鱼屏！！！
16.889         1532088358.0    支咐宝首頁捜索“86OO14”可带劲了
16.975         1532092652.0    我不接受挑战
17.076         1532058511.0    百万调音师共同巨制
17.442         1531489055.0    win10
