作品名称：活动作品【02应援】只要胆子大，(              )
网址：https://www.bilibili.com/video/av25654297
更新时间：07-12
弹幕总量：1169
preciseTime    ofTime          comment
0.031          1531136121.0    不取标题也行
0.098          1531233497.0    有人像我一样尝试1.5倍速的么。。。
0.125          1531378835.0    020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202
0.133          1531302544.0    老师休产假
0.235          1531138847.0    母猪休产假
0.25           1531388427.0    第十三遍
0.383          1531280387.0    只要后台硬，B站是我家！
0.444          1531300502.0    出不去了！
0.518          1531140097.0    BGM是西野カナ的《Darling》
0.598          1531360995.0    老婆！！！！！
0.631          1531383716.0    吱付宝首页搜索“86OO14”小意思不谢
0.64           1531318216.0    审核休产假( ˘꒳˘ )
0.679          1531239372.0    老师休产假
0.681          1531131729.0    第一是你爸
0.701          1531123130.0    老师休产假！！！
0.91           1531386673.0    BGM：打死不看简介
0.958          1530165884.0    BGM：Darling
1.02           1531269628.0    只要胆子大，02带回家
1.042          1531287654.0    大声告诉我！这什么番？
1.08           1531249016.0    一遍又一遍
1.158          1530112362.0    这歌真是好听
1.347          1531308797.0    番名爱的自杀，再问供养
1.361          1531217384.0    再来一遍
1.405          1530269457.0    要封面全图的，热评有不谢
1.617          1531297901.0    番名，国家队
1.706          1530840044.0    廣:幼時相遇的那刻，我便已是你的Darling
2.048          1531368783.0    斯大林，斯大林
2.085          1531145731.0    欢迎回来
2.162          1531375871.0    又看一遍 出不去了
2.165          1531301441.0    结局惨男女主都死了。
2.239          1530356775.0    交出封面！！
2.381          1531312290.0    只要胆子大。老师放产假。
2.419          1531242744.0    番名:打死不看简介
2.442          1531391034.0    天天寒暑假
2.542          1531135770.0    见封滚
2.601          1531144663.0    桐人休产假
2.78           1530776074.0    欢迎回来
3.113          1531127187.0    没错我就是她的Darling
3.277          1530622684.0    数不清咯，刷了不下十遍
3.298          1531242749.0    番名:打死不看简介
3.304          1530189987.0    就算故事结局最后如果16没救回02，我也能感觉到一丝温暖、因为这是感情动漫而不是战争动漫。两人的心已经在一起了
3.369          1531184591.0    第四遍了，停不下来了，嘤嘤嘤
3.433          1531383728.0    吱付宝首页搜索“86OO14”同九何秀
3.461          1531152949.0    老师休产假
3.481          1531129953.0    没错我就是她的darling
3.546          1530806720.0    每日必刷
3.58           1531301033.0    好暖好暖
3.728          1530087186.0    第三遍
3.777          1531311081.0    再来一次
3.796          1531127213.0    就算我被钉在棺材上，我也要吼出
3.819          1531242755.0    番名:打死不看简介
4.197          1531383739.0    吱付宝首页搜索“86OO14”深藏功与名
4.322          1531389612.0    天天寒暑假
4.339          1531242760.0    番名:打死不看简介
4.343          1531273163.0    再来一次，
4.393          1531329155.0    再来亿遍
4.442          1531189613.0    老师放产假
4.564          1531279050.0    我也就看了300遍吧
4.819          1530968179.0    追了五个月
5.003          1531135290.0    只要胆子大，02方产假
5.338          1531242766.0    番名:打死不看简介
5.582          1531285495.0    为02打call
5.858          1531242774.0    番名:打死不看简介
5.87           1531119689.0    老师请产假
5.986          1531116899.0    这是什么番
6.059          1531384898.0    只要胆子大，老师放产假
6.141          1531320417.0    每日一看
6.144          1531237262.0    BGM：Darling
6.229          1531162368.0    666
6.292          1530087441.0    Darling
6.309          1531296197.0    这歌好配啊！
6.357          1531330277.0    买大力，买大力
6.491          1531227292.0    看见02就滚进来了
6.587          1531206641.0    up主做的真的超赞的！！！
6.612          1531134887.0    奶大力
6.642          1531221495.0    交封不杀
7.061          1531275618.0    见封滚
7.262          1531388447.0    第十三遍
7.461          1531300288.0    奶大龄 奶大龄
7.721          1531368202.0    每日一刷
7.739          1531292530.0    老师放产假。
7.934          1530168830.0    第5遍了
8.086          1531143219.0    完结就很烦
8.181          1531391893.0    只要胆子大，老师放产假
8.301          1531227610.0    我去
8.453          1531123693.0    借一部说话
8.489          1531127968.0    ！
8.613          1530359262.0    没错02叫的就是我
8.621          1530752568.0    ❤❤❤❤❤❤❤
8.983          1530146768.0    有02的地方就有我，02加油＾０＾~
9.2            1530696963.0    只要胆子大老师休产假
10.267         1531368972.0    每日一刷
10.553         1530262758.0    肥猪赛大象
10.554         1531230404.0    老师休产假
11.121         1531285507.0    020202
11.122         1530269467.0    明天十遍
11.589         1531119378.0    交封不杀
11.721         1531238599.0    只要胆子大，老师放产假。
11.819         1530545225.0    没错，我就是她的darling
11.88          1531192471.0    完了出不去
11.99          1531209234.0    老师休产假
12.126         1531358652.0    02抱回家
12.177         1530232387.0    心动了。
12.321         1531224458.0    交封不杀
12.392         1530148463.0    6666666666666666666666666666
12.422         1530274160.0    02万岁
12.442         1531196126.0    借一部说话
12.565         1531212851.0    我做了一个我变成喰种的梦，然后把你吃了
12.573         1531240218.0    嗯嗯，我就是你的达令
12.608         1531219769.0    ？？？？
12.627         1530855128.0    6666666666
12.654         1530363997.0    一天十遍
12.927         1531291863.0    ↓说你们呢
13.522         1531263550.0    被封面骗进来了
13.542         1530115863.0    up搞事
13.72          1530190510.0    忍不住又来了一遍
14.251         1531220927.0    前面喰种的站住
14.27          1531096984.0    好听！
14.573         1531206649.0    超喜欢
14.74          1531121576.0    啊～又想哭了   
14.821         1531285519.0    颜表妻
15.157         1531123024.0    不是给阿婆主的硬币，给的02
15.363         1531383750.0    吱付宝首页搜索“86OO14”只能帮你到这了
15.393         1531227375.0    可耻的播放量
15.526         1531388695.0    封面羞耻
15.637         1531282673.0    一天十八遍
15.863         1531241443.0    厉害了
15.886         1530103392.0    这美的突破天际了
16.039         1531119490.0    神曲，简直是神曲。
16.229         1530323662.0    糟了
16.242         1530889406.0    每天十遍
16.34          1531112927.0    666666
16.564         1531225048.0    忘记了这是第几遍了
16.574         1530520946.0    番名:DARLING in the FRANX
16.659         1531314573.0    只要胆子大，天天寒暑假
16.661         1531224323.0    求番名……
16.667         1530721287.0    1
16.681         1531116337.0    这是什么番
16.766         1530097124.0    才发现这首歌我爱听
16.994         1531218211.0    交封不杀
17.002         1531146580.0    bgm，求bgm
17.193         1530196816.0    666666666666666
17.288         1530281213.0    太好听了吧
17.323         1531288481.0    这是一个物语番？
17.342         1530766425.0    02
17.386         1531113867.0    万象天引
17.772         1530095809.0    咦，才刚开始，手你咋就去点洗脑循环了呢
17.801         1530632566.0    66666
18.043         1531239502.0    嗯呢叫我干嘛呢
18.201         1531188650.0    交封不杀
18.249         1530943040.0    好听哭了
18.375         1531303342.0    卡这了
18.432         1530250050.0    第4遍
18.468         1531316449.0    倒放是最骚的
18.575         1531127130.0    老师休产假？？
18.759         1531146766.0    我的电脑壁纸。。。。
18.954         1531212062.0    我叫你一声你敢答应吗
19.021         1531201699.0    好甜
19.582         1531068316.0    没有02的第5个小时
19.908         1531067320.0    撩了~！！！
19.944         1531156849.0    再来一遍看完就睡
20.493         1531146414.0    求bgm
21.49          1531180416.0    袜子不分左右，但分正反，谢谢
21.773         1531389124.0    耳机坏了
22.026         1531162384.0    第三遍
22.283         1531125798.0    好听的
22.351         1530866322.0    66666666
22.38          1531139801.0    袜子分正反？！
22.384         1531216496.0    开口跪。。。。
22.447         1530364007.0    好看没人系列
22.66          1531212133.0    BAM:darling(作者，西野加奈）
22.759         1531207061.0    内外反算吗
22.857         1531217984.0    又来了一遍....
22.879         1530358425.0    收拾衣服2333
22.913         1531198626.0    我老婆啊啊啊啊啊啊
22.958         1531198716.0    妈蛋，泪目了
24.025         1531144901.0    奶大力
24.219         1530110655.0    很喜欢开头的跳
24.588         1530519130.0    23333
24.703         1531233515.0    麻麻这个粉毛小姐姐她撩我
25.272         1530113491.0    kimigasukida
25.296         1531271700.0    不不不
25.342         1531178808.0    只要胆子大，死刑都不怕
25.504         1531226389.0    糟了，是弯了的感觉
25.727         1531003153.0    每日一刷
27.203         1531285571.0    厉害厉害
27.283         1530396614.0    有才
27.441         1530970994.0    这是什么动漫
27.446         1530358112.0    你对原力一无所知
27.624         1531277394.0    好撩人的02
27.701         1531236517.0    兄弟们帽子带好，别掉了
27.988         1530087463.0    BGM:Darling
28.483         1531215354.0    收拾衣服23333
29.251         1531131609.0    没羞没躁的幸福生活
30.003         1531117908.0    倒放讲究
30.02          1531294374.0    02放产假
30.045         1531145588.0    出不去了
30.281         1531285544.0    最喜欢02了
30.447         1531206665.0    每天800遍都不够
30.509         1531232112.0    有些袜子分正反。
30.689         1531361065.0    此番：DARLING in the FRANXX
30.727         1530580555.0    表白歌词
30.982         1531238006.0    刚刚看完，有点意犹未尽。
31.281         1531119459.0    啊啊啊啊up主好棒
31.403         1530545288.0    这个倒放好灵性的
32.156         1531120965.0    国家队
32.282         1530460015.0    你们这帮混蛋不许看完老婆
32.318         1531337958.0    怕是心头怕 胆子要放大
33.251         1530968659.0    喜欢
33.441         1530598498.0    足控福利
33.936         1530087216.0    怎么能不火
35.421         1531388104.0    刚看完加一
35.854         1530330364.0    ？？？
36.141         1531289145.0    这是什么番啊？
36.293         1530269600.0    66666666666
37.201         1531386782.0    尽梨了，银不了，莓胜算
37.632         1530333570.0    可以啊
38.082         1530584097.0    并
38.662         1531037419.0    02啊！！！！ 
38.789         1531120137.0    国家队啊
38.869         1531140839.0    动漫∶darling in the fanxx
39.209         1531233913.0    Darling in the Franxx
39.861         1531382461.0    看完番的我莫名想哭
40.455         1531316313.0    0202020202020202020202020202
40.547         1531241467.0    这波倒放
40.762         1531148191.0    求bqm
41.343         1531366596.0    020202020202
41.701         1531361111.0    我永远爱02！！！！！！！！
42.349         1530616947.0    哈哈哈哈哈哈
42.367         1531128006.0    想02
42.625         1530238604.0    空气变得蕉灼
42.708         1531322918.0    挺好一部番就毁在结局
43.042         1531196315.0    高调承包02
43.455         1531311333.0    哎呀02真可爱~
43.933         1531137216.0    6
44.192         1531293658.0    这番是什么
44.341         1531315595.0    然而中文叫国家队
44.415         1531116264.0    什么番
44.861         1531297792.0    Darling in the Franxx
45.097         1531279117.0    BGM：darling
45.236         1530116239.0    太棒了啊！！！
45.256         1530146786.0    好美
45.442         1531204033.0    心动的感觉，心动的感觉
45.692         1530675611.0    020202020202020202020202020202020202020202
45.821         1531212372.0    愿02和广转生幸福
45.846         1530968671.0    非常好
45.922         1531142966.0    可惜烂尾
45.979         1531197786.0    我要这硬币又何用？
46.084         1531188996.0    大结局若记忆还在就好了
46.314         1531152443.0    这个都完结了你们才问。。。。。
46.368         1531359100.0    挺好的番剧，就毁在举报者手里
46.784         1531220969.0    02可爱
46.823         1531389066.0    求bgm
47.403         1531017775.0    BGM是什么啊
47.442         1531238034.0    我感觉真的很棒
47.718         1531224933.0    自由的气
47.875         1531268600.0    这啥番
47.899         1531207479.0    西野カナ
47.982         1531105276.0    1.25倍食用更佳
48.14          1531296876.0    darling in the 弗兰克斯
48.205         1531281781.0    有鳝的表情
48.219         1531288950.0    糟了，是。。。。。。。心梗的感觉
48.406         1531378897.0    2020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202
48.501         1531285571.0    喜欢02
48.54          1531142370.0    真棒
48.956         1531192677.0    让我想起了某个自♂由的男人的笑容
48.962         1531230133.0    自由的微笑
48.98          1531138072.0    嘴型对上了，讲究
49.066         1531390837.0    笑容逐渐变态
49.162         1531217237.0    糟了，是心动的感觉
49.233         1531216616.0    象征着自由的女人
49.262         1531238069.0    不知道为什么那么多人吐槽
49.285         1531118312.0    眼熟……
49.43          1531297144.0    笑容逐渐变态
49.456         1531238458.0    自♂由的微笑
49.47          1530241899.0    截图干嘛!愣着啊
49.473         1531115614.0    大林
49.559         1531136159.0    自由的微笑
49.562         1531122057.0    02
49.652         1531137176.0    自由
49.784         1531270516.0    自由的气息。。。
49.789         1531155304.0    自♀由的大人
49.802         1531243008.0    这什么番
49.825         1531200834.0    自由的微笑
49.83          1530330401.0    自♂由
49.861         1531217705.0    是哪个象征着自由的女人
49.94          1531376337.0    自由的微笑
50.016         1531225933.0    香蕉是你吗
50.043         1531197935.0    自由的气息
50.045         1530279366.0    暂停学表情
50.047         1531373756.0    哲学的微笑
50.115         1531224220.0    自由的味道
50.24          1531121378.0    不就是硬币吗？给你就是了
50.277         1531134400.0    自由的微笑
50.3           1530087804.0    那个自由的象征
50.339         1531267212.0    粉红少女
50.42          1531028432.0    香蕉君🍌
50.44          1531222658.0    可惜，伙伴都GG了
50.518         1531231766.0    那个男人
50.543         1531146151.0    自由的气息
50.627         1531120983.0    国家队
50.796         1531308252.0    象征自由的女人！
50.897         1531299354.0    自由
51.121         1531155237.0    什么番
51.162         1531131034.0    自由的女人
51.952         1531126195.0    求番名
52.157         1531232664.0    自由的微笑
52.616         1530701912.0    喜欢02
52.682         1530855169.0    ahhhhhh
52.797         1531200157.0    好贱的表情，我喜欢😊
52.911         1531149044.0    流了心酸的泪水
53.119         1530205680.0    自由的男人
53.372         1530711806.0    糟了 是心动的感觉
53.999         1531206688.0    为啥就喜欢上你了呢
54.361         1530927883.0    刚才的表情真的像香蕉君……
55.217         1530173074.0    这个表情很魔性
55.562         1531220464.0    看完了
55.584         1531337982.0    心冻
55.845         1530968681.0    天秀
57.178         1531235470.0    02020202020202
57.361         1530971050.0    这是啥子动漫，哪位可解惑
57.723         1531123569.0    看到我，你就是486以后了
57.821         1531235423.0    诶～心动～
57.822         1531333298.0    ♂自♂由♂
57.862         1531131531.0    bgm叫打死不看简介
57.94          1531221968.0    Ծ ̮ Ծ不就是硬币吗？给你！
57.982         1531290360.0    0202
58.177         1530545338.0    02，一个象征自由的女人
58.311         1531152196.0    很强👍很优秀
58.33          1531391181.0    不愧为国家队，结局我哭了
