作品名称：【显微镜女孩】求你们品一品这些巍澜细节糖 （镇魂girl人人手持八倍镜）
网址：https://www.bilibili.com/video/av25659074
更新时间：07-12
弹幕总量：1192
preciseTime    ofTime          comment
0.465          1531191082.0    up你是魔鬼
0.553          1531020662.0    一枝独秀
0.741          1530860437.0    天秀
1.634          1531215889.0    up主你是魔鬼吗，冒个粉红泡泡
2.08           1530790524.0    你怎么这么优秀呀
2.345          1531306760.0    啊呀，我来啦啦啦
2.459          1531276630.0    我进来的时候是2333条弹幕
2.798          1530760688.0    我又来了
3.318          1531219518.0    阿婆主优秀 是干大事的人
3.438          1531113355.0    请收下我的膝盖
3.54           1530758891.0    十五倍镜谢谢
3.701          1530895704.0    宝藏女孩！！
3.83           1531062336.0    出不去了
4.193          1530925402.0    hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh66666666666666666666666666666666
4.258          1531219883.0    up优秀
4.877          1530929744.0    要再看一遍
5.126          1531033902.0    我回来了
5.161          1530890059.0    哈哈哈哈你们是魔鬼嘛
5.219          1531371002.0    每日一刷，神清气爽
5.394          1531153029.0    现在是半夜12:16，一共有 212 个人和我一起观看
5.44           1530875921.0    镇魂女鬼们大家好我游来啦
5.898          1530973231.0    表白BGM恋爱循环♡
6.61           1530841582.0    我来了
6.907          1531126450.0    啊啊啊啊啊啊啊啊啊啊啊
7.526          1531206388.0    我有十五倍镜
7.634          1531017059.0    我回来啦
7.681          1530743015.0    显微镜本镜😂😂
7.958          1531030625.0    这个。不是!不一样!
8.074          1530788271.0    杨幂？？(๑•ั็ω•็ั๑)
8.338          1531224719.0    我特意返回去看了这一集，衣服不一样。
8.362          1530693680.0    bgm跪了
8.491          1531149115.0    于是沈美人就一直穿着了
8.851          1531152225.0    up主你是干大事的人那
8.94           1530895712.0    不知道几刷
9.003          1531201875.0    哈哈哈哈哈
9.442          1530951030.0    这件衣服，沈教授也穿了好几集
9.495          1530888401.0    woc66666
9.642          1531155232.0    阿婆主绝对是干大事的人啊！
9.681          1531098191.0    这个好像是从哪里转载的
9.769          1531233271.0    bygg
9.773          1530934053.0    我又回来了
9.779          1530766250.0    bgm搞事起
9.876          1530890871.0    居老师这件穿了很多次！！
9.889          1530943014.0    啊啊啊啊啊啊优秀阿
9.92           1530886019.0    不像啊
9.974          1531059905.0    落地八倍镜是镇魂女孩的天赋技能 骄傲
9.98           1530753689.0    啊啊啊啊女朋友风衣
