排名：99
网址：https://www.bilibili.com/video/av25659644
更新时间：07-21
弹幕总量：4388
preciseTime    ofTime          comment
0.0            1530141856.0    真的是我最喜欢的一个剪辑了，感受到了当年第一次看镇魂原著的心情，谢谢up主，真的太棒了！
0.016          1531526038.0    无论什么时候都有100多个人一起看(*/ω＼*)
0.02           1530432810.0    有多幸运能刷到这个视频
0.04           1531496629.0    这句话是剧里的吗？
0.067          1531771798.0    来支持太太！n刷！！
0.157          1531625070.0    我找了你一万年
0.183          1531976149.0    百万助攻
0.295          1532060341.0    每日一刷
0.312          1531663815.0    我找了你一万年，希望你还记得，我们有约
0.318          1531303908.0    欢迎回来
0.326          1531721592.0    每日循环
0.335          1531186831.0    恭喜你发现镇魂镇圈之宝
0.338          1531510555.0    我找了你一万年，希望你还记得，我们有约
0.358          1531198141.0    appointment.
0.4            1531548459.0    七十万助攻
0.405          1531330157.0    7月11被今晚三集恶心到了来洗洗眼睛
0.419          1531741022.0    我自认为我不会被任何刀子虐到的，但是这个剪辑我输了
0.425          1531509153.0    我找了你一万年
0.502          1531316066.0    我找了你一万年，希望你还记得，我们有约
0.518          1531830376.0    镜像反转也很好看
0.541          1532152543.0    恭喜你找到宝藏了!!!
0.55           1531553769.0    我找了你一万年
0.558          1531368323.0    我找了你一万年
0.598          1531510573.0    我找了你一万年，希望你还记得，我们有约
0.607          1531297381.0    我找了你一万年，希望你还记得，我们有约
0.625          1531143445.0    我找了你一万年.希望你还记得.我们有约
0.638          1531368339.0    我找了你一万年
0.678          1531836834.0    我找了你一万年，希望你还记得
0.741          1530085111.0    哇这个视频剪得太好了吧QAQQQQQ
0.758          1531670246.0    宝藏剪辑
0.798          1531368007.0    我找了你一万年
0.806          1531564625.0    我找了你一万年，希望你还记得我们有约
0.811          1531358922.0    我找了你一万年，希望你还记得，我们有约
0.847          1531292139.0    我找了你一万年，希望你还记得，我们有约
0.853          1531708742.0    出不去了
0.867          1531195279.0    我又来了
0.906          1531297317.0    我找了你一万年，希望你还记得，我们有约
0.927          1531297371.0    我找了你一万年，希望你还记得，我们有约
0.938          1531136516.0    我找了你一万年，希望你还记得，我们有约
1.004          1531613616.0    又来一遍
1.02           1531364046.0    出不去了
1.024          1531807797.0    up神仙下凡
1.025          1530447253.0    感谢青厌太太下凡剪频！！！！
1.038          1531592144.0    百万助攻
1.058          1531373859.0    大家记得去优酷为镇魂点亮双子塔巨屏
1.075          1531974669.0    最爱的一个剪辑
1.089          1531806187.0    第12遍
1.114          1531293320.0    恭喜你发现镇站之宝
1.133          1531927903.0    出不去了
1.188          1531388534.0    我找了你一万年，希望你还记得，我们有约
1.195          1530158620.0    神仙剪辑！！！把原著的气势和深情都表现出来了！！QAQ
1.207          1531822707.0    我找了你一万年
1.222          1532003289.0    我找了你一万年，希望你还记得，我们有约。
1.224          1531550836.0    感谢太太下凡剪视频！！！！太棒了！！
1.226          1531375563.0    我找了你一万年，希望你还记得，我们有约
1.236          1531501625.0    我找了你一万年，希望你还记得，我们有约
1.238          1531747539.0    多幸运能刷到这个视频
1.278          1531642806.0    每日一刷
1.3            1531888043.0    神仙太太！！我出不去了！！！！
1.323          1531746046.0    一个没看过这剧的男生也被up主折服了
1.346          1531720644.0    真·神仙剪辑
1.36           1531317325.0    我今天才刷到这个
1.361          1532004060.0    谁在这个视频里下毒让我上瘾啊
1.365          1530087765.0    我今天看了二十遍
1.372          1531594854.0    我找了你一万年
1.389          1531840896.0    我很幸运，能刷到这个视频
1.398          1531098592.0    我找了你一万年，希望你还记得，我们有约
1.442          1532073848.0    每日一刷
1.449          1531673554.0    我找了你一万年，希望你还记得，我们有约
1.47           1531509122.0    💙
1.494          1530086311.0    我循环了一上午，下午又来了，剪得太好了
1.499          1531494531.0    我是专门来投币的
1.506          1531971534.0    被这个是一样的剧情气到了！真的编剧动动脑子吧！我要再看十遍青厌太太的洗洗眼！！
1.525          1530110316.0    请居老师在B站看看这视频。
1.536          1531845631.0    再刷一遍，实名吹爆太太！！！！
1.54           1531804847.0    这是我唯一一个想下载的视频
1.566          1532059534.0    播放量怎么掉啦？都掉到88万了
1.641          1531319274.0    我找了你一万年，希望你还记得，我们有约
1.651          1531560644.0    第一次希望居居和白宇看到这个视频♡
1.655          1532095606.0    看了不知道多少遍了呜呜呜
1.658          1531622513.0    我找了你一万年，希望你还记得，我们有约
1.663          1531501840.0    我找了你一万年，希望你还记得，我们有约。
1.665          1531153564.0    每日一刷我又来了
1.681          1530254575.0    这个实在太厉害了，所有的故事都欲说还休
1.685          1530193887.0    我一天都没出去过了。就在这循环了
1.689          1531722795.0    我找了你一万年，希望你还记得，我们有约。
1.703          1531495871.0    我找了你一万年
1.769          1531502244.0    我找了你一万年，希望你还记得，我们有约
1.781          1532051255.0    天天刷
1.799          1531847937.0    我找了你一万年，希望你还记得，我们有约
1.842          1530122298.0    怎样才能让他们俩看见这个视频啊
1.859          1531381164.0    每日一刷
1.899          1530092307.0    吹爆up主啊！！做的太棒了，后半程哭着看完的TAT
1.905          1531143404.0    我找了你一万年，希望你还记得，我们有约
1.914          1531729852.0    我找了你一万年，希望你还记得，我们有约。
1.936          1531564604.0    我找了你一万年，希望你还记得我们有约
1.957          1532170176.0    我又来了
1.989          1531199568.0    不就是硬币吗
1.998          1531625098.0    我找了你一万年，希望你还记得，我们有约
2.054          1531229294.0    我找了你一万年
2.061          1531380153.0    太棒了这个！
2.118          1531368358.0    我找了你一万年
2.15           1530262500.0    我吹爆这个up，神仙剪刀手
2.158          1531368327.0    我找了你一万年
2.221          1531278605.0    每天都要刷一遍
2.254          1531564583.0    我找了你一万年，希望你还记得我们有约
2.257          1531328207.0    我找了你一万年，希望你还记得，我们有约
2.282          1531386711.0    我找了你一万年，希望你还记得，我们有约
2.284          1531832563.0    神剪辑加上两个演员的开口跪系列，人间值得
2.297          1531385480.0    我找了你一万年
2.304          1530287372.0    青厌大大也掉坑了！首页漫威太太疯狂跳坑
2.372          1531194294.0    吹爆！！！
2.381          1531110851.0    这个视频太棒了！！！
2.472          1531233401.0    请收下我的膝盖
2.478          1531510586.0    我找了你一万年，希望你还记得，我们有约
2.516          1531502272.0    我找了你一万年，希望你还记得，我们有约
2.52           1531564639.0    我找了你一万年，希望你还记得我们有约
2.528          1531727794.0    每日一刷
2.541          1531103309.0    这是什么神仙剪辑
2.548          1531207037.0    我找了你一万年，希望你还记得，我们有约。
2.559          1531871166.0    超级喜欢这个
2.56           1531314206.0    我找了你一万年
2.598          1531368295.0    我找了你一万年
2.642          1530082819.0    我的妈我爆哭呜呜呜呜
2.655          1531297324.0    我找了你一万年，希望你还记得，我们有约
2.662          1531276459.0    我又来了
2.718          1531098599.0    我找了你一万年，希望你还记得，我们有约
2.725          1531142813.0    真的好烦呐哭到呕吐阿阿阿阿阿阿阿阿阿
2.758          1531368012.0    我找了你一万年
2.798          1531510604.0    我找了你一万年，希望你还记得，我们有约
2.808          1530115016.0    啊啊啊我又来了我爆哭我吹爆up主吹爆赵处沈教授啊啊啊哭了
2.82           1531127482.0    每日一刷
2.827          1531189222.0    我找了你一万年，希望你还记得，我们有约
2.84           1531719773.0    我找了你一万年，希望你还记得，我们有约
2.878          1531146944.0    五刷
2.945          1531308823.0    我找了你一万年，希望你还记得，我们有约
2.986          1530089613.0    吹爆太太，神仙剪辑
2.998          1531328847.0    我找了你一万年
3.037          1531564455.0    我找了你一万年，希望你还记得我们有约
3.073          1530800563.0    为我青厌打call！！
3.097          1531533423.0    玖*邓林之阴，初见昆仑君，惊鸿一瞥，乱我心曲
3.1            1531558395.0    每日三刷
3.12           1531489466.0    为啥还没破百万嘤嘤嘤
3.123          1531372233.0    恭喜你找到这个视频
3.141          1531638597.0    我找了你一万年，希望你还记得，我们有约
3.159          1531103554.0    这个视频真的要被我磕爆了，到处宣传，up大手
3.189          1531840926.0    我找了你一万年，希望你还记得，我们有约
3.198          1531226394.0    我找了你一万年，希望你还记得，我们有约
3.24           1531566717.0    我找了你一万年，希望你还记得，我们有约
3.244          1531146951.0    又来了！每天打卡！
3.259          1531380915.0    我找了你一万年
3.26           1531270432.0    我找了你一万年，希望你还记得，我们有约
3.269          1531138962.0    n刷
3.3            1531668740.0    每日一刷
3.323          1531553732.0    我找了你一万年，希望你还记得，我们有约
3.347          1531392072.0    我找了你一万年，希望你还记得，我们有约
3.358          1531368348.0    我找了你一万年
3.384          1532070854.0    啊啊啊啊啊
3.409          1530111739.0    欢迎观看神仙剪辑
3.413          1530365280.0    这个视频真是怎么夸都不为过
3.44           1531297300.0    我找了你一万年，希望你还记得，我们有约
3.46           1531373805.0    出不去了
3.498          1532014939.0    日常循环吹爆
3.53           1531610642.0    每天一刷
3.56           1531328713.0    我找了你一万年
3.572          1531354383.0    啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
3.601          1531373160.0    太棒了！
3.604          1531556781.0    我找了你一万年，希望你还记得，我们有约
3.614          1531502278.0    我找了你一万年，希望你还记得，我们有约
3.619          1531875659.0    我找了你一万年，希望你还记得，我们曾经有约。
3.659          1531714176.0    厉害了
3.66           1531661772.0    又来刷了真的吹爆太太
3.699          1531832961.0    继续n次刷刷刷
3.711          1530286748.0    恭喜up喜提全站第五👏
3.729          1531311854.0    我找了你一万年，希望你还记得，我们有约
3.736          1532143608.0    我们有约
3.758          1531368332.0    我找了你一万年
3.774          1531557239.0    每天刷二十遍
3.775          1531099570.0    感谢太太
3.832          1532086759.0    第一次充电给你了
3.84           1532092229.0    我找了你一万年，希望你还记得，我们有约
3.841          1531812915.0    我又来了
3.9            1531578598.0    入坑啦～
3.921          1531638226.0    我找了你一万年，希望你还记得，我们有约
3.924          1530087775.0    up超厉害的
3.94           1531577222.0    居老师💕💕💕
3.948          1531234353.0    狂刷
3.956          1531198190.0    我找了你一万年，希望你还记得，我们有约
3.96           1531552947.0    真的觉得特别棒
3.989          1530164112.0    龙哥你快来看啊啊啊啊！！！！这有个神仙剪辑！！
3.99           1531293549.0    我找了你一万年，希望你还记得，我们有约。
4.01           1530108830.0    色调棒呆啊啊啊啊啊啊啊
4.02           1532116843.0    我又回来了
4.059          1531534326.0    每日一刷
4.065          1532066168.0    啊啊 啊啊 啊啊啊啊啊
4.068          1531374073.0    T_T
4.121          1531391984.0    我又来了
4.126          1531145753.0    贡献今天份的播放量
4.14           1531667901.0    我找了你一万年，希望你还记得，我们有约
4.179          1531070488.0    欢迎回来
4.181          1531071358.0    剪的是真的好！！！！！！
4.199          1531812286.0    恭喜你发现镇魂神仙剪辑
4.2            1530106726.0    我从头又看了一遍，真的哭了
4.225          1531807081.0    这个视频我找了你好几天了，终于找到你了
4.226          1531978659.0    百万助攻
4.227          1531169088.0    我找了你一万年
4.24           1531637831.0    我找了你一万年，希望你还记得，我们有约
4.259          1531638437.0    我找了你一万年，希望你还记得我们有约
4.266          1530141899.0    真的太棒了，找回了方面第一次看原著的感动，感谢up主！
4.278          1531328230.0    我找了你一万年，希望你还记得，我们有约
4.288          1531933979.0    我又回来了
4.318          1531368300.0    我找了你一万年
4.331          1531751490.0    我找了你一万年，希望你还记得，我们有约。
4.336          1531553809.0    我找了你一万年
4.347          1531495373.0    我找了你一万年，希望你还记得，我们有约
4.352          1531551178.0    想醉倒朱一龙的声音里一万年
4.353          1531268607.0    我找了你一万年，希望你还记得，我们有约
4.379          1531223649.0    太优秀了吧这个视频
4.437          1531795745.0    我单方面宣布这是b站巍澜镇圈神作
4.459          1530446113.0    来吹青厌了啊啊啊啊
4.479          1531891067.0    我找了你一万年，希望你还记得，我们有约
4.501          1531356711.0    我又来了
4.537          1530083164.0    这个视频值得反复的刷！！！
4.586          1530099174.0    我的天呐
4.628          1531272943.0    我找了你一万年，希望你还记得，我们有约。
4.637          1531142504.0    又来了
4.638          1531328821.0    我找了你一万年
4.665          1531162941.0    我找了你一万年，希望你还记得，我们有约。
4.693          1530247006.0    十一遍了  我决定住这里了！！！
