排名：84
网址：https://www.bilibili.com/video/av25668559
更新时间：07-15
弹幕总量：989
preciseTime    ofTime          comment
0.0            1531483285.0    让腾讯做游戏，网易做动漫，腾讯画质太差
0.189          1531443312.0    这是网易斥巨资请日本做的  国漫什么的
0.306          1531580652.0    看晓音滚
0.418          1531458364.0    这个是韩国公司做的
0.613          1531559058.0    支咐宝首页搜下“86OO14”说了别谢我
0.945          1531348220.0    阿绫颓废版
1.09           1531359785.0    封面是非人学院里的晓音，不是乐正绫
1.179          1531496410.0    见非晓音滚进来
1.187          1531389522.0    网易云:被游戏耽误的动画公司
1.585          1531374048.0    非人
1.718          1531469413.0    晓音
1.801          1531371084.0    交封不杀
1.873          1531483686.0    看见封面以为阿绫的肯定不止我一个
1.952          1531358182.0    我有封面啊啊～
2.292          1531382654.0    看封面我还以为是阿绫
2.466          1531486150.0    。。。
2.849          1531359810.0    非人学院和王者差不多
2.968          1531389976.0    交封不杀
3.056          1531389143.0    阿绫
3.133          1531330555.0    该承包的承包，不要吵，文曲星我的
3.527          1531374301.0    雷震子，钟馗
3.612          1531367640.0    交封不杀
3.721          1531376396.0    晓音和阿绫特别像
3.782          1531407093.0    monster   high了解一下
4.29           1531474519.0    看成阿绫的等等我
4.528          1531452265.0    看见晓音才进来的
4.698          1531382739.0    抱走晓音
4.868          1531494080.0    非人学院
4.933          1531473386.0    封面看成阿绫+1
5.017          1531390031.0    可耻的播放量
5.063          1531493934.0    见绫滚……什么这不是阿绫？？？！
5.095          1531243752.0    非人学院不是游戏呢
5.158          1531442366.0    封面呢
5.553          1531397715.0    这不就是非人学园吗
5.71           1531380011.0    我要银角
5.717          1531468560.0    看到晓音进来了...
6.149          1531348661.0    封面几个意思
6.328          1531494093.0    晓音
6.481          1531399826.0    阿绫?
6.599          1531374327.0    虎力
6.871          1531382296.0    以为是阿绫
6.914          1531404131.0    红孩儿
7.148          1531418230.0    见晓音滚
7.509          1531465185.0    晓音啊
7.735          1531568812.0    米忽悠这个动漫公司已经被游戏耽误了
7.887          1531392632.0    封面壁纸
8.125          1531470663.0    吾
8.131          1531315413.0    非人学园
8.333          1531559066.0    支咐宝首页搜下“86OO14”真不用谢我
8.45           1531302315.0    白骨姐姐我的！
8.499          1531483245.0    这是韩国的工作室做的，不懂别乱说
8.641          1531358591.0    封面是我电脑壁纸
8.688          1531481164.0    非人学院
8.727          1531451535.0    用心做CG，用脚做游戏
