排名：43
网址：https://www.bilibili.com/video/av25961598
更新时间：07-17
弹幕总量：2112
preciseTime    ofTime          comment
0.083          1531323307.0    睡前刷一遍，好梦一整天
0.157          1530945045.0    这个既合原著，又大气精美，可以拍电影了
0.17           1531536287.0    投硬币到上限了
0.378          1531495935.0    bgm遇萤啊啊啊啊啊啊啊
0.397          1531545423.0    出不去了 
0.398          1530944881.0    居老师放心，这个能看
0.404          1531111232.0    无限循环
0.407          1530962837.0    0.75倍速真滴美味!
0.47           1530941632.0    带着弹幕再看一遍
0.475          1530944924.0    好了同志们，我要关弹幕好好舔（哭）了
0.489          1531205918.0    三遍了出不去
0.512          1531061985.0    邓林之阴初见昆仑君，惊鸿一瞥，乱我心曲
0.531          1531016426.0    神仙剪辑啊啊啊啊啊啊啊啊太还原了吧
0.683          1531537021.0    ……看哭了……
0.762          1530940225.0    请问是直接开始哭吗
0.768          1531712622.0    我又来了，大神啊，简直神剪辑，最近在追原著的我一个爆哭
0.783          1531057810.0    up主你看我跪的姿势标准吗？
0.852          1531407858.0    我要吹爆太太，超级厉害
0.878          1531546939.0    bygg快看！
1.024          1530960619.0    太好看了
1.041          1531273291.0    n刷
1.09           1531377695.0    7月12日下午14:41分156人正在看
1.194          1531748030.0    我发誓这是我看过最棒的剪辑
1.198          1531634609.0    欢迎收看神仙剪辑
1.45           1530889549.0    我的龙哥我来啦
1.499          1530888168.0    天呐，这个视频等了好久，太棒了，我心中的原著场景
1.5            1531394088.0    原著党一本满足
1.535          1531372799.0    第五遍第五遍第五遍第五遍第五遍第五遍第五遍第五遍第五遍第五遍第五遍第五遍第五遍第五遍第五遍第五遍
1.555          1531483531.0    不知道第几遍的第几遍
1.658          1530934910.0    邓林之阴初见昆仑君，惊鸿一瞥，乱我心曲。巍笔
1.792          1531322928.0    昆仑君至少应该有这样的美貌度
1.799          1531197303.0    啊啊啊啊出不去了我们开头结尾见
1.939          1531016460.0    神仙剪辑！！！！！！！！！！！！！！！！！！！
2.276          1531318312.0    2018
2.298          1531140433.0    情不自禁连刷好几遍
2.646          1530932689.0    太棒了！！！！！！！！！！
2.73           1531572712.0    真好
2.842          1530984852.0    又来一遍，，kufeng
2.855          1531147047.0    每天都要看好几遍，真的看哭
2.922          1531327030.0    四分钟的视频，基本上把原著都呈现出来了。UP主厉害啊
2.986          1531483733.0    我好爱
3.072          1531182156.0    每日一刷
3.124          1531536595.0    来了
3.157          1531757482.0    承包微微一笑里的真水无香
3.173          1531298764.0    把硬币都送你吧！！！
3.198          1531620696.0    这里的白宇哥哥巨好看！！！
3.218          1531560907.0    这个视频很好，我能看了无数遍
3.413          1531358654.0    一点都不好看！也就看了几十遍，还辣眼睛！把我辣的流眼泪！！！(;´༎ຶД༎ຶ`)
3.442          1531752192.0     邓林之阴，初见昆仑君，惊鸿一瞥，乱我心曲
3.452          1531375829.0    每天都来给黑袍哥哥小澜孩打call（爱）
3.48           1531036814.0    都给我哭出声
3.498          1530980279.0    吹爆up主
3.558          1531546878.0    白宇哥哥快来看快来看！
3.582          1531199708.0    再刷一遍
3.583          1531547846.0    每天一刷
3.584          1531543507.0    啊啊啊啊啊啊先哭为敬
3.622          1531457648.0    啊
3.66           1531501797.0    每日一刷
3.669          1531148348.0    看完才有空评论，简直了，神作！！！
3.68           1530861437.0    欢迎回来
3.708          1531325631.0    我又来了
3.761          1531756397.0    每日一刷
3.789          1531042957.0    吹爆
4.097          1531465198.0    表白bgm
4.141          1531117520.0    每日1刷
4.181          1531619289.0    请收下我的膝盖
4.2            1531609466.0    又来啦
4.241          1531369645.0    居老师这个能看！
4.264          1530979734.0    剪的太好了
4.266          1531330265.0    哭到不行不知道是第几遍了
4.32           1531295828.0    想起今日份还没刷，投币
4.321          1531073745.0    太太剪的太好了！！！！！！！！！！！！
4.335          1531404422.0    邓林之阴初见昆仑君，惊鸿一瞥，乱我心曲
4.339          1531286059.0    邓林之阴，初见昆仑，惊魂一瞥，乱我心曲。
4.393          1531234438.0    再刷一遍
4.44           1531741734.0    邓林之阴初见昆仑君，惊鸿一瞥，乱我心曲
4.499          1530967236.0    三刷，出不去了
4.522          1531662841.0    开头见我又来了发现up加了剧情啊啊啊啊啊
4.54           1531060409.0    不就是币么！拿去！
4.638          1531625997.0    原著党圆满了
4.765          1531059686.0    太太下凡辛苦了
4.78           1531460414.0    遇萤啊
