排名：50
网址：https://www.bilibili.com/video/av25974175
更新时间：07-21
弹幕总量：1349
preciseTime    ofTime          comment
0.092          1532077753.0    一团马赛克
0.16           1531971382.0    提示:斗鸡眼也可以
0.191          1531974414.0    AV画质
0.237          1531967114.0    辣妹儿~
0.278          1531969428.0    真丶AV画质
0.304          1531971542.0    视频马赛克是后期加的
0.317          1531976832.0    提示:近视眼摘下眼镜，保持正常距离观看即可
0.326          1531969277.0    摘下眼镜，解锁标清模式
0.354          1531973546.0    将手机拿远观看视频更佳
0.446          1531977808.0    这是....这是我的世界？
0.48           1532031542.0    支咐宝首頁捜索“86OO14”真的别谢我
0.555          1531966190.0    撸多了
0.833          1531973354.0    什么?模糊?撸多了吧
0.835          1532058970.0    刺激战场就刺激战场还绝地求生
0.874          1531974739.0    只是加了马赛克
0.88           1531974027.0    熟悉的画面
0.956          1531989906.0    提示:本视频适合使用360p清晰度观看
0.995          1531973407.0    聪明人才能看得清
1.041          1531968386.0    up主是个人才
1.417          1531978763.0    高清蓝光也拯救不了的画质
1.501          1531975525.0    请近视同学摘下眼镜
1.533          1531970712.0    辣妹
1.78           1531975650.0    我的世界既视感
1.783          1532062687.0    又拿AV来骗我？
1.901          1532029200.0    玩的了吗
1.904          1531974209.0    眯眼有奇效
2.077          1532015041.0    我的世界：刺激战场
2.201          1531973438.0    真-马赛克画质
2.373          1532135289.0    hop讲究
2.506          1531978064.0    提示:近视眼把眼镜摘下，再慢慢挪开一点手机即
2.56           1532007285.0    我的世界
2.692          1531980142.0    打个马赛克而已你唬谁呢？
2.714          1531967393.0    我是撸多了吗？
2.789          1532074930.0    支付搜索  515723163 你会感谢我的
3.199          1531975230.0    亲测，离手机3米距离就看得清了
3.323          1531992125.0    这什么鬼23333
3.599          1531976930.0    开口脆
3.718          1531966175.0    手机响了
3.779          1531968033.0    BGM好评
3.88           1531968821.0    BGM
3.993          1531973084.0    贫穷限制了你的想象
4.041          1531972642.0    bgm hop azis
4.117          1531974945.0    hop讲究
4.287          1532155026.0     把手机拿远，咪着眼看，相信我
4.321          1531970114.0    这是。。。。mc？
4.46           1531967992.0    我看的很清楚啊，看不清楚的都是撸多了吧！
4.603          1531972691.0    ¥纳骏兰P鑫C静4魁昕熬¥
5.183          1531970155.0    撸多了，会看不清。
5.199          1531972237.0    那种手机还有空间下载游戏？
5.208          1532136157.0    mc？
5.34           1531995117.0    火钳刘明
5.405          1531973342.0    我的耳机坏了，快赔我
5.505          1531980156.0    up举报
5.557          1531977103.0    mc万岁！【滑稽】
5.6            1531976863.0    我以为哪个大神用我的世界造了个地图。
5.623          1531965662.0    我的世界？
5.832          1531974766.0    就像一坨稀饭一样
5.843          1531977096.0    能玩就不错了
5.86           1532111659.0    自由的气息铺面而来
5.89           1531976518.0    脱眼镜加拿远＝解码
5.943          1531972845.0    像素低的一批
6.042          1532081330.0    这就很猝
6.049          1532005005.0    fuck here
6.543          1532052200.0    法克儿
6.817          1531977891.0    。。。。
