排名：52
网址：https://www.bilibili.com/video/av26017594
更新时间：07-15
弹幕总量：303
preciseTime    ofTime          comment
0.0            1531529046.0    d
0.914          1531579400.0    K
1.211          1531493981.0    隐蔽 兄弟连 通风 大补给
1.218          1531322548.0    黑的发亮
1.879          1531460721.0    你在哪？我看不到你!
1.991          1531322595.0    ↘
2.298          1531465827.0    6666
2.518          1531404535.0    我TM以为全是真人
2.912          1531461877.0    。。。
2.973          1531329183.0    都是抖音的视频……
3.237          1531324480.0    黑狗
3.373          1531404405.0    遁入暗影
3.854          1531379881.0    2333
3.955          1531403539.0    这不是超进化物语内的BGM吗
4.266          1531523286.0    让我想起名侦探柯南里的凶手了
4.545          1531325629.0    连牙床也是黑的0.0
4.648          1531539553.0    凉宫春日的BGM！！！！
4.892          1531401946.0    待会看我脸色行事
4.934          1531406092.0    怒刷存在感！(ง •̀_•́)ง
5.032          1531583615.0    这是什么东西(ﾉಥ益ಥ)
5.306          1531390649.0    扎克新皮肤？
5.383          1531314792.0    卧槽
5.423          1531461211.0    看我脸色行事
5.449          1531572471.0    卧槽
5.451          1531558941.0    支咐宝首页搜下“86OO14”蒂花之秀
5.473          1531411495.0    233
5.64           1531490263.0    FANF Bonnie?
5.796          1531556021.0    睡觉了关下灯
5.905          1531460753.0    隐入黑暗ing
5.942          1531411767.0    看我脸色行事
6.025          1531460830.0    眼前的黑不是黑，你说的白是什么白～
6.183          1531454586.0    我以为是真人
6.266          1531363571.0    遭了，这是心肌梗塞的感觉
6.274          1531321528.0    we are you now？
6.291          1531458118.0    @抖音黑脸，黑脸本人
6.586          1531568615.0    我也是能发弹幕的人啊。
6.604          1531443233.0    德拉克斯？
6.617          1531465837.0    666
6.671          1531530920.0    白裤裆寒冬一鸡
6.721          1531594337.0    卧槽，吓死我了
6.785          1531496071.0    好可怕!!
6.903          1531551409.0    漆黑的魅影
7.082          1531546092.0    天生刺客
7.127          1531461481.0    前面的，不许黑我Jeff
7.15           1531321312.0    哇，好吓人呀
7.457          1531355056.0    黑妹三阶段
7.493          1531377642.0    牙白
7.659          1531491495.0    暗物质
7.916          1531406695.0    我擦
7.954          1531374044.0    银爵？
8.034          1531315353.0    卧槽
8.152          1531483681.0    夜空中漂浮的牙
8.295          1531489342.0    6666666666
8.32           1531471921.0    银爵是你吗？
8.353          1531395132.0    这个肤色从来没有让我失望过!
8.432          1531485110.0    黑人牙膏是你吗
8.566          1531376182.0    杰夫杀手？
8.674          1531571361.0    好秀啊这个
8.869          1531461455.0    前面的，不许黑我Jeff
8.908          1531391936.0    哈哈哈哈哈哈哈哈消失了
8.948          1531333180.0    我有个龌蹉的想法
8.991          1531333452.0    这个真的吓人
8.995          1531478516.0    玩具熊的五夜后宫？
9.049          1531414429.0    #000000
9.072          1531402186.0    我去
9.141          1531392086.0    我擦。。。恐怖😱
9.266          1531475357.0    存在感极低
9.351          1531455965.0    与黑夜融为一体
9.49           1531373456.0    牙成精了
9.692          1531477417.0    up主你这次怎么又黑又短！(｀・ω・´)
9.768          1531580139.0    哈哈哈哈哈哈哈哈哈哈哈哈哈哈
9.877          1531482846.0    没吃奥利奥
10.053         1531385664.0    白裤裆寒冬一击
10.093         1531560078.0    我敲
10.121         1531559164.0    印堂发黑
10.128         1531385471.0    Hey apple！hey apple！
10.154         1531359042.0    这人是不是把消光漆喷脸上了
10.665         1531547474.0    我只看到了一个椭圆
10.921         1531479769.0    我滴妈这个真的吓人
11.297         1531372604.0    23333333333
11.374         1531398141.0    哈哈哈哈哈哈
11.67          1531389483.0    卧槽，牙成精了
11.753         1531370870.0    怪不得看你的时候总是出现消失出现消失
11.773         1531564259.0    2333333
11.794         1531561908.0    卧槽
11.905         1531368506.0    瓶中小人
11.966         1531314469.0    黑夜中我可以裸体隐身
12.015         1531533624.0    哈哈哈
12.073         1531546958.0    害怕
12.16          1531390410.0    666
12.213         1531319836.0    玩具熊的午夜后宫，了解一下
12.373         1531546667.0    宋小宝，似里吗？
12.472         1531572858.0    银爵的滚！我爵哥没这么黑！
12.476         1531553554.0    6666
12.486         1531408668.0    6
12.646         1531327994.0    好吓人
12.704         1531383925.0    卧槽
12.723         1531405527.0    2333333
12.931         1531557168.0    柯南家的小黑。
13.086         1531357758.0    卧槽
13.172         1531462478.0    6666666
13.174         1531313293.0    hi小黑
13.264         1531581387.0    666
13.292         1531547125.0    hhh是你吗
13.507         1531577162.0    66666
13.538         1531399083.0    哈哈哈哈哈哈哈
13.671         1531316501.0    哈哈哈哈哈哈哈
13.933         1531486639.0    玩具熊的午夜后宫?
14.034         1531375899.0    看我脸色行事
14.092         1531413559.0    有点小骚
14.274         1531325341.0    天啊
14.433         1531354507.0    卧槽
14.605         1531364833.0    哇哦
14.636         1531408812.0    可怕
14.663         1531442763.0    可怕
14.675         1531470707.0    瓶中小人233表情一模一样
14.767         1531324988.0    哈哈哈哈哈哈哈
14.994         1531319916.0    woc
15.342         1531316866.0    牛逼
15.428         1531627455.0    可爱
15.584         1531322202.0    黑色头套
15.649         1531320483.0    哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
16.064         1531323660.0    有点吓人
16.454         1531473602.0    牙白
16.548         1531321690.0    卧槽
16.582         1531316911.0    终于看到玩虚荣的了
17.164         1531329794.0    我真的！！！！
17.25          1531322842.0    好阔爱啊啊啊啊啊
17.311         1531471498.0    是玩虚荣的朋友吗
17.526         1531405246.0    种族天赋
17.589         1531313581.0    好可爱
17.61          1531397531.0    塔卡？？？
17.681         1531411376.0    不敢看了
17.84          1531355884.0    哇  优秀
18.007         1531393219.0    楼上正解啊，一起的啊
18.016         1531578157.0    合金装备。。。
18.018         1531400377.0    666
18.085         1531491721.0    这个吓人
18.258         1531317259.0    卧槽
18.473         1531480841.0    吉利服
18.535         1531586915.0    隐狐塔卡（｡ò ∀ ó｡）
18.543         1531413130.0    贪魔体
18.594         1531412071.0    哈哈哈，隐狐塔卡😂
18.892         1531400171.0    Snake!
18.976         1531485373.0    吓尿了
19.004         1531632697.0    卧槽！
19.191         1531334228.0    隐身术点满
19.195         1531319929.0    这不是合金装备吗
19.311         1531402624.0    吉利服
19.46          1531582498.0    真的吓人
19.536         1531357808.0    斯内克是你吗
19.589         1531396434.0    大果粒粒
19.794         1531397459.0    可爱
19.933         1531478940.0    塔卡紫皮
19.971         1531318739.0    隐狐塔卡
20.257         1531469991.0    塔卡!哈哈哈
20.374         1531553277.0    哈哈哈，隐狐塔卡。。。
20.412         1531583202.0    合金装备
20.478         1531492430.0    X﹏X
20.618         1531456903.0    塔卡2333
20.714         1531401227.0    233333333333333
