作品名称：活动作品千万别点进来，这里没医疗兵~【崩坏3】妹妹形态德丽莎
网址：https://www.bilibili.com/video/av26055630
更新时间：07-12
弹幕总量：522
preciseTime    ofTime          comment
0.309          1531163558.0    欢迎回来
0.642          1531297561.0    吱付宝首页搜索“860014”这么刺激吗
0.886          1531206828.0    求海星视角
0.944          1531157560.0    大家好我是海星
0.996          1531270630.0    [57,123,"1-0",6,"都\n是\n我\n的",0,0,57,123,500,0,1,"SimHei",0]
1.005          1531204028.0    可耻的播放量
1.39           1531229883.0    我是一个专业医疗兵随身带着医疗器械
1.526          1531196069.0    可耻的播放量
1.741          1531270418.0    [219,197,"1-0",6,"德丽莎我抱走啦~❤\n 你们抓不住我~",0,0,219,197,500,0,1,"SimHei",0]
1.798          1531270660.0    [571,136,"1-0",6,"你\n们\n休\n想",0,0,571,136,500,0,1,"SimHei",0]
2.225          1531215923.0    不需要医疗兵，因为我就是
2.358          1531227052.0    我关弹幕了？
2.502          1531235472.0    这里是医疗兵
2.789          1531236246.0    派大星:真舒坦
3.112          1531195450.0    大家好我是衣服
3.431          1531165397.0    BGM：私の時間
3.461          1531270901.0    [253,327,"1-1",4.5,"朕的后宫之一",0,0,253,327,500,0,1,"SimHei",true]
3.486          1531194123.0    可耻的播放量
4.065          1531160451.0    我是那件蕾丝裙
4.086          1531195106.0    可耻的播放量
4.183          1531189608.0    老夫不信这个邪
4.294          1531197817.0    我是妹纸
4.699          1531366614.0    里版私我
4.823          1531202952.0    完了我中毒了啊
5.265          1531233007.0    大家好，我是光
5.797          1531313781.0    屏幕有点脏系列
6.011          1531173763.0    医疗兵：你的遗像快拿好！
6.035          1531187466.0    可耻的播放量
6.427          1531205577.0    啊啊啊老婆
6.461          1531196038.0    德莉莎我老婆
6.488          1531188464.0    可耻的播放量
6.573          1531189058.0    大家好 我是海星
6.646          1531190334.0    我是帽子
6.647          1531187293.0    可耻的帮播放量
6.726          1531231057.0    你们这群现场怪
7.286          1531191630.0    哇
7.407          1531220928.0    我是热裤
7.676          1531187594.0    好腿
7.725          1531271403.0    [258,30,"1-1",4.5,"啪啪啪啪\n\n\n\n\n嗖嗖嗖嗖\n\n\n放烟花啦",0,0,258,30,500,0,1,"SimHei",true]
7.772          1531159194.0    第八套广播体操现在开始
7.865          1531197042.0    大家好，我是内裤
8.046          1531180577.0    我听说，这里需要医疗兵？
8.138          1531169379.0    老婆你怎么么出来勾引pue
8.27           1531212205.0    我是花环
8.398          1531204633.0    可耻的播放量
8.426          1531172131.0    大家好  我是海星
8.704          1531217339.0    。。。
8.707          1531226926.0    德莉莎世界第一可爱
8.874          1531270543.0    [6,34,"1-0",6,"德丽莎可是宇宙第一可爱你 卡哇伊内\n德丽莎可是宇宙第一可爱你 卡哇伊内\n德丽莎可是宇宙第一可爱你 卡哇伊内\n德丽莎可是宇宙第一可爱你 卡哇伊内\n德丽莎可是宇宙第一可爱你 卡哇伊内\n德丽莎可是宇宙第一可爱你 卡哇伊内\n德丽莎可是宇宙第一可爱你 卡哇伊内\n德丽莎可是宇宙第一可爱你 卡哇伊内\n德丽莎可是宇宙第一可爱你 卡哇伊内\n德丽莎可是宇宙第一可爱你 卡哇伊内",0,0,6,34,500,0,1,"SimHei",0]
9.126          1531201706.0    奈斯，戴夫～
9.19           1531292684.0    你 们 休 想
9.345          1531184118.0    幸好带了医疗箱
9.431          1531195314.0    德莉莎
9.486          1531196591.0    我是那花
9.583          1531214876.0    我的鼻血
9.749          1531180840.0    在现场，我是向日葵
9.793          1531206559.0    💊💊💊💊💊💊💊💊💊💊💊💊
9.988          1531196708.0    德莉傻
10.22          1531188302.0    看封进
10.243         1531195388.0    那我就是衣服好了＾０＾~
10.321         1531203552.0    大家好！我是内裤！
10.407         1531183145.0    我是胖次
10.531         1531191063.0    艺术就是派大星
10.607         1531201108.0    -在现场
10.727         1531207088.0    我是海星
11.14          1531235967.0    我是派大星
11.166         1531175461.0    德莉莎世界第一可爱
11.198         1531166014.0    大家好，我是向日葵
11.7           1531223935.0    我是裙子
11.718         1531271006.0    [8,38,"1-1",4.5,"德丽莎可是宇宙第一可爱你 卡哇伊内\n德丽莎可是宇宙第一可爱你 卡哇伊内\n德丽莎可是宇宙第一可爱你 卡哇伊内\n德丽莎可是宇宙第一可爱你 卡哇伊内\n德丽莎可是宇宙第一可爱你 卡哇伊内\n德丽莎可是宇宙第一可爱你 卡哇伊内\n德丽莎可是宇宙第一可爱你 卡哇伊内\n德丽莎可是宇宙第一可爱你 卡哇伊内\n德丽莎可是宇宙第一可爱你 卡哇伊内\n德丽莎可是宇宙第一可爱你 卡哇伊内\n",0,0,8,38,500,0,1,"SimHei",true]
11.767         1531234675.0    我是内内
11.949         1531199890.0    都别说了，我是舰长，整天抱学院长
12.326         1531182008.0    在现场我是向日葵
12.376         1531322269.0    红色弹幕那我可爱是卡哇伊伊 卡哇伊是可怜
12.406         1531201589.0    我是沙
12.494         1531297586.0    吱付宝首页搜索“860014”只能帮你到这了
12.587         1531190792.0    我是向日葵
12.725         1531198545.0    我是腿上的海星
13.29          1531179268.0    医疗兵在此！
13.365         1531207453.0    那我是向日葵好了
13.685         1531302131.0    可耻的播放量
13.691         1531182653.0    我是向日葵qwq
13.806         1531190584.0    我是胖次
13.871         1531200623.0    大家好我是胖次
13.885         1531286406.0    我是海星
13.926         1531237727.0    在现场，我是胖次
14.212         1531183469.0    我是向日葵🌻
14.319         1531189140.0    我是胸罩
14.406         1531155590.0    自带金刚狼血脉的我无所为惧
14.715         1531219825.0    我是沙子
14.765         1531198566.0    求海星视角
