作品名称：【业界良心COSPLAY】这可能是最真实还原的cos了吧～
网址：https://www.bilibili.com/video/av26064274
更新时间：07-12
弹幕总量：703
preciseTime    ofTime          comment
0.084          1530862261.0    真的无语。。这个标题，点进来看了个开头立马关掉了。。1
0.423          1531202315.0    可耻的播放量。
0.454          1530872248.0    欢迎回来
0.503          1530868037.0    窝王境泽今天就要撸死在这
0.654          1530772606.0    碧蓝航线的狗，獒
0.657          1531130545.0    可耻的收藏量。
0.774          1531389642.0    可耻的播放了
0.827          1530713170.0    B站看片，指日可待！
0.933          1530788086.0    真的很还原，很好认啊，没玩过游戏当然认不出来了
0.997          1531223592.0    平均每24个人有一个人收藏
1.414          1530805898.0    我是进来听歌的
1.561          1530849123.0    交出封面
1.575          1530774993.0    獒(高雄)有泳装皮肤，和这位cosercos的基本一样，可以说还原度很高了
1.604          1531190470.0    ╮(╯▽╰)╭
1.957          1530787878.0    碧蓝航线
1.979          1531102114.0    换一个BGM效果更好
2.12           1531290809.0    劳资不感觉可耻  反而有点骄傲
2.172          1531368815.0    这羞耻的播放量
2.205          1530696016.0    才248条弹幕
2.335          1530775231.0    犬(爱宕)也是有泳装皮肤的，而coser已经很厉害了，服装也是完美还原
2.411          1531220300.0    这个是谁
2.509          1530940332.0    哇！上来就肛塞的吗？？？？
2.597          1530805502.0    沙发不错
2.659          1531042468.0    下作的播放量
2.738          1530931716.0    青春的气息
2.854          1530773034.0    这个真的是游戏人物啊！
2.857          1530784400.0    bgm
2.974          1530695543.0    舒服
2.978          1531379966.0    我浅夏今天要撸死在这
3.677          1531079560.0    坎德沃吉尔邦硬
3.929          1530946191.0    。
4.017          1531115105.0    太恶心了，我弟弟看了一眼就吐了
4.423          1530842432.0    交封不杀
4.517          1530958366.0    什么时候出作品
4.757          1530774027.0    微微一硬，略表尊敬
4.809          1530894086.0    双手打字以实清白
4.835          1530791526.0    bgm:vagrant(veela)
4.88           1531313271.0    我洪华锋今天就撸死在这了
4.881          1531286128.0    见封进
5.001          1530990019.0    我要揭露。。节录。。。洁。。。去他的不戒了
5.059          1530962748.0    好像在哔咔看过
5.344          1531283822.0    我曹端程今天就要撸死在这里
5.499          1530796618.0    yjj女装这么好看的吗
5.783          1531313292.0    我洪华锋今天就撸死在这了
5.836          1530878678.0    弹幕怎么只有400多？
5.874          1530912016.0    吱付宝首页搜索“860014”何及汝秀
6.374          1531306108.0    音乐是vagrant
6.396          1530895784.0    我来听歌的
6.565          1531217534.0    vagrent
6.658          1530805522.0    澡堂不错
6.863          1530787920.0    獒(高雄)
6.891          1531056842.0    如同B站看片
7.012          1531291726.0    我李杰今天就要撸死在这里
7.213          1530767822.0    我完事了，各位老哥继续
7.312          1531023662.0    可耻的播放量
7.395          1530818238.0    阿弥陀佛
7.479          1531227785.0    我扎太劲爆了
7.755          1531040231.0    BGM:vagrant
7.844          1530936166.0    BGM    vargant
8.097          1531079570.0    坎德沃吉尔邦硬
8.112          1530853571.0    后台真硬。。
8.149          1531283732.0    我曹端程今天就要撸死在这里
8.364          1531283827.0    我曹端程今天就要撸死在这里
8.401          1531159115.0    b站看片 指日可待
8.419          1531226583.0    见封滚
8.462          1531288648.0    我狗七今天就是要撸死在这
8.715          1531260879.0    明人不说暗话~
8.822          1531228947.0    可耻的播放量
8.872          1531049020.0    高雄哦
8.956          1531254269.0    P站绅士参上！
8.998          1531121893.0    我是来听歌的(•̀⌄•́)
9.223          1531380687.0    我郝振今天就要撸死在这！
9.257          1530720812.0    快拿我的营养快线来
9.469          1531283742.0    我曹端程今天就要撸死在这里
9.511          1531193155.0    高雄
9.523          1531066797.0    我老婆！！！
9.557          1531243442.0    bgm：Vagrant Feint
9.6            1531191927.0    卡在了奇怪的地方！！！
9.654          1530841553.0    三百九十弹幕你们在干什么(눈_눈)
9.703          1531288668.0    我狗七就是要撸死在这
9.961          1530704868.0    不用证明，我就是在lu
9.963          1531283905.0    我曹端程今天就要撸死在这里
9.983          1531206364.0    这能是真人？我怎么那么不信啊？
10.015         1531264951.0    敖
10.017         1530856016.0    羞耻的播放量
10.094         1530805910.0    这歌好看
10.154         1531270932.0    这不是情趣装吗
10.328         1531284042.0    我曹端程今天就要撸死在这里
10.498         1531225161.0    双手打字
10.667         1531204770.0    可耻的播放量
10.736         1531227943.0    这刀真白
10.755         1531275955.0    我今天不撸死，不罢休，
10.856         1530788995.0    第一艘婚的
10.939         1530814798.0    只明白一件事
11.331         1531036308.0    真的过分
11.356         1531208144.0    我的高雄老婆！！！！！！！
11.357         1530805540.0    这刀不错
11.409         1531283750.0    我曹端程今天就要撸死在这里
11.463         1531162082.0    色即是空
11.517         1531067943.0    双腿打字以示清白
11.534         1530789347.0    真恶心
11.545         1531373595.0    这款卫生巾不错，什么牌子的？
11.624         1531283836.0    我曹端程今天就要撸死在这里
11.662         1530857769.0    how
11.757         1531289805.0    暂停看缝
11.837         1530871379.0    天啦噜
11.847         1531284047.0    我曹端程今天就要撸死在这里
11.934         1531289163.0    我詹二狗今天就要撸死在这
11.964         1530900713.0    哟
12.02          1531041016.0    可耻的播放量
12.058         1531026513.0    神乐版真冬
12.117         1530837648.0    志玲姐姐？
12.355         1530863055.0    是C字库！！！
12.377         1530899892.0    胸还是……哈哈
12.581         1531273735.0    我弟弟长大了
12.646         1530891660.0    这地板不错看着舒服
12.677         1530895803.0    这歌真大真白
12.704         1531283913.0    我曹端程今天就要撸死在这里
12.734         1530872294.0    营养跟不上啊
12.824         1531019721.0    它在吸取我的精气
12.966         1531235235.0    施主 ，佛祖教导过 撸前心如魔，撸后心如佛，请拔剑
12.968         1531284052.0    我曹端程今天就要撸死在这里
13.517         1531059628.0    不就是卖肉吗？
13.548         1530882142.0    后台强硬
13.557         1531020550.0    我高帅今天要撸死在这
13.615         1530844472.0    好听
13.823         1531283918.0    我曹端程今天就要撸死在这里
14.109         1531283780.0    我曹端程今天就要撸死在这里
14.121         1531243572.0    jb要变钢筋了
14.138         1530758979.0    这尺度居然没封？
14.161         1531383772.0    我王奎今天要撸死在这里
14.221         1531199545.0    厉害厉害
14.258         1530805553.0    椅子不错
14.388         1531284057.0    我曹端程今天就要撸死在这里
14.491         1530706267.0    可耻播放量
14.495         1530894983.0    交锋bu杀
14.575         1531282675.0    妖孽，休要迷惑世人，待老衲收了你，带回慢慢感化
14.578         1530795673.0    老婆
14.657         1530762789.0    这还能过审？？？？
14.864         1530874827.0    后台硬
14.904         1531036005.0    拍完就嗨嗨
14.977         1531119780.0    罪过罪过。
15.017         1531051152.0    同款刀
15.025         1530871551.0    就我一个女的吗？？？
15.029         1531283807.0    我曹端程今天就要撸死在这里
15.121         1531170687.0    丧心病狂
15.144         1531283926.0    我曹端程今天就要撸死在这里
15.273         1531382635.0    我孙志熊今天要撸死在这里！
15.669         1531283764.0    我曹端程今天就要撸死在这里
15.766         1530987536.0    色即是空
15.788         1531263280.0    嘿嘿嘿你个冯巩脸
15.889         1531209987.0    碧蓝航线
15.908         1531284062.0    我曹端程今天就要撸死在这里
15.992         1531371322.0    我今天就是要撸死在这
16.059         1531067766.0    假胸
16.149         1531283812.0    我曹端程今天就要撸死在这里
16.206         1530787588.0    碧蓝航线夕立poi谢谢
16.397         1530871552.0    见封滚
16.533         1530859527.0    流鼻血。。
16.626         1531283899.0    我曹端程今天就要撸死在这里
16.742         1530949836.0    不太好吧。。涉黄
16.857         1530805565.0    这花不错
17.121         1531133107.0    比卡有
17.128         1531284067.0    我曹端程今天就要撸死在这里
17.143         1531116025.0    emmm……
17.156         1531293199.0    这是出来卖的吧。。
17.32          1531277089.0    这可耻的播放量
17.38          1530787957.0    椿(夕立)poi~
17.657         1531061905.0    我是来看刀的
17.816         1531019815.0    我全都要
18.131         1530690836.0    过审小王子
18.212         1530869061.0    这播放量可耻啊，可耻啊！
18.266         1530807438.0    没胸，假的
18.278         1531271861.0    我郑天锐今天要撸死在这里  我郑天锐今天要撸死在这里  我郑天锐今天要撸死在这里  我郑天锐今天要撸死在这里  我郑天锐今天要撸死在这里
18.333         1531304194.0    一帮色狼
18.348         1531284072.0    我曹端程今天就要撸死在这里
18.364         1531210328.0    不像
18.617         1531288797.0    桌子不错
18.738         1531235060.0    营养不够阿阿阿阿阿阿
18.758         1531350021.0    我观浩然就是要撸死在这
18.767         1531186405.0    板面
19.036         1531303731.0    可耻的播放量和收藏量
19.075         1530956412.0    这桌子不错
19.136         1531290580.0    我小胖今天就要撸死在这里
19.192         1531026324.0    UP主亡我之心不死
19.445         1530874590.0    为啥每次关键帧会卡
19.492         1530816086.0    这腿不错
19.567         1530798587.0    bgm
19.74          1531277097.0    这可耻的播放量
19.75          1531050857.0    我去流鼻血
19.752         1530799321.0    营养快线！老子的一箱营养快线呢
20.12          1530975761.0    b站看片指日可待
20.195         1530784847.0    毒瘤
20.285         1530871405.0    好腿
20.453         1530688028.0    这腿真圆
20.637         1531350039.0    我观浩然就是要撸死在这
20.657         1531268977.0    我孙健今天就撸死在这里
20.682         1531129103.0    B站看片 指日可待
20.839         1531222180.0    兄弟们脱裤子
20.863         1531386576.0    bgm把我炸了出来
20.865         1530899180.0    舌头打字，表示清白
20.946         1531319133.0    遭了是心肌梗塞的感觉
21.13          1531276726.0    这刀看起来挺好，在哪买的？
21.206         1531291836.0    圣人在此
21.214         1530722260.0    纸巾十块钱一包有人要么！
21.896         1531249900.0    好刀
21.985         1530793860.0    我的纸巾呢！
21.999         1530839821.0    在下瞄人缝
22.002         1531174646.0    怎么过审的？
22.105         1530877302.0    我快破皮了啊
22.117         1530805580.0    这刀不错
22.203         1531287707.0    做她男朋友可能要死在他床上
22.217         1531288822.0    我狗七就是要撸死在这我狗七就是要撸死在这我狗七就是要撸死在这我狗七就是要撸死在这我狗七就是要撸死在这我狗七就是要撸死在这
22.493         1530931200.0    你花多少买通了审核君
22.529         1531387451.0    刀不错
22.697         1531350045.0    我观浩然就是要撸死在这
22.82          1530802242.0    求bgm
22.873         1531267038.0    c圈真乱
22.888         1531123667.0    这刀不错，我要了，其他你们随意
22.892         1531024053.0    bgm：vagrant
22.946         1530795472.0    这歌真好看
22.997         1531269010.0    我周翔今天就撸死在这里
23.033         1530685652.0    双脚打字
23.098         1531273379.0    刀不错
23.25          1531042170.0    碧蓝航线～
23.255         1530983634.0    哈哈
23.377         1531350050.0    我观浩然就是要撸死在这
23.475         1531067413.0    好香
23.561         1530723407.0    妈见打
23.697         1530760430.0    每次都有你
23.731         1530871285.0    医疗兵何在！！！
23.834         1530798431.0    bmg流浪者
23.921         1531065297.0    说男的那个   你是不是会缩阳入腹了
24.044         1531226613.0    足控福利
24.097         1530872083.0    原图呢
24.116         1531180457.0    贵圈不乱才怪
24.241         1531290293.0    妹子不错
24.802         1531290344.0    骗人骗人骗人骗人骗人
24.876         1531277734.0    我赵江涛今天就撸死在这里
24.894         1531263688.0    白猫
24.958         1531350062.0    我观浩然就是要撸死在这
25.12          1531229506.0    逼……逼真
25.124         1531290373.0    骗人骗人骗人骗人骗人
25.149         1530959152.0    营养跟不上了
25.189         1531049280.0    可以说是很妙了
25.238         1531061882.0    怎么不去拍片？
25.291         1531289909.0    真⊙∀⊙！
25.377         1531121841.0    不行了要去了
25.516         1530864805.0    腰很棒
25.703         1531235755.0    在下苗人缝
25.754         1531264926.0    关弹幕
25.787         1530951077.0    靠修图
26.01          1531002794.0    黑丝
26.018         1530779176.0    业绩撩人
26.272         1530970343.0    各位这个颜色认识吧！
26.293         1531213011.0    可耻的播放量
26.325         1531023103.0    后台 ……
26.356         1531125294.0    因为是男的
26.6           1531063981.0    人好丑
26.729         1531387465.0    这水不错
26.787         1530852885.0    双手打字以表清白
26.989         1530800367.0    舔舔舔舔
27.041         1531243596.0    怎么可能是男人
27.223         1530882456.0    獒没有耳朵犬有
27.517         1530847006.0    辛苦后期了
27.956         1531268342.0    可耻的播放量
27.97          1531061144.0    瞄人缝
28.041         1530704740.0    超管干活！
28.084         1530787395.0    不行了！我弟弟要吐了！
28.402         1531191181.0    这腿还行
28.413         1530907392.0    66666
28.588         1530864266.0    这丸子想吃
28.666         1531262339.0    舒服
28.726         1531141864.0    bgm是啥
28.784         1530774063.0    这能过审牛逼啊
28.837         1530889326.0    唉弟弟长大了  敢吐我口水了
28.841         1530787656.0    怎么过审的。。
28.843         1530931228.0    这可耻的收藏量
28.845         1531019743.0    今天要撸死人了。
29.098         1530957806.0    瞄人缝
29.2           1530871465.0    弟弟弟弟，你怎么吐了？
29.201         1530711039.0    男的？说的我更兴奋了
29.332         1531133663.0    后台比吊硬
29.404         1531283646.0    BGM是什么
29.407         1531227831.0    好*不过我喜欢
29.5           1531111862.0    让我康康！！
29.601         1530859334.0    卖纸巾啦！质量贼好的哦⊙∀⊙！5毛一包
29.623         1530746199.0    你是我的营养快线
30.417         1531108395.0    姑娘老夫看你与我有缘我不要任何回报帮你治好这俩个肿瘤可行
30.556         1531210127.0    每次扫黄都有你
30.585         1531283558.0    犯罪的边缘
30.756         1531304227.0    想要妹子了
30.929         1530963565.0    我邓泳涛今天就要撸死在这
31.009         1530998367.0    口水哗哗哗
31.035         1530697154.0    老壳痛
31.061         1531269042.0    男孩子
31.083         1531195493.0    我是来听歌的
31.457         1531275363.0    我刘明明今天要撸1000发
31.529         1530973426.0    666666666
31.595         1530977615.0    在下瞄人峰
31.852         1531326230.0    我徐凯就是要撸死在这里
31.875         1531280326.0    这沙发不错，我要了
32.056         1531118875.0    在下苗人凤
32.097         1530756268.0    0.5倍速
32.098         1531288838.0    我狗七就是要撸死在这我狗七就是要撸死在这我狗七就是要撸死在这我狗七就是要撸死在这我狗七就是要撸死在这我狗七就是要撸死在这
32.134         1530702514.0    好丑
32.276         1530968684.0    哦呼。。。
32.357         1530851309.0    有没有人cos波多老师的
32.416         1531065196.0    他肚子里面的猴子我定了
32.56          1531035662.0    这歌不错啊
32.705         1531226632.0    这伞挺好的
32.786         1530868682.0    小姐姐你cos的是谁啊，都没有介绍都是看腿的大叔
32.85          1530850495.0    毫无反应，弹幕是认真的？
32.966         1530798649.0    我弟弟想站起来了
33.035         1531291937.0    圣人在此 富强 民主 文明 和谐 公正 法治 爱国 敬业 诚信 友善 自由 平等
33.281         1531294227.0    这一定是可爱的男孩纸
33.537         1531345290.0    舌头打字以示清白
33.717         1531104893.0    在下盯人缝
33.779         1531236593.0    请问阁下可是盯档瞄？
34.212         1530957441.0    好凸
34.354         1531293136.0    美颜
34.357         1530777797.0    AV拍摄前
34.454         1531036331.0    还不分？
35.035         1531008806.0    我弟弟口吐白沫
35.056         1531187857.0    流鼻血自动~
35.145         1530795394.0    微博：过期板面
35.375         1530874391.0    各位再见
35.53          1530799105.0    纸巾50块钱一包谁要
35.619         1531209470.0    阿弥陀佛，罪过罪过
35.633         1530799539.0    软体不稳定
35.699         1530878366.0    给一个就行
35.761         1531243611.0    卧槽！
35.841         1531132909.0    收藏起来，当镇店之宝
35.981         1531220605.0    我就好奇这是怎么过审核的。。。。
36.015         1530879343.0    泳衣不错
36.04          1531010049.0    百合了解一下
36.047         1530781304.0    咸鱼老板
36.213         1531164662.0    在下苗人凤(๑•ั็ω•็ั๑)
36.45          1530988161.0    真香
36.478         1530700311.0    我想~~
36.557         1530795698.0    老婆老婆
36.652         1531034689.0    这小哥哥霸
36.708         1530879021.0    软体不稳定那个别跑
36.869         1530811383.0    丑女人
36.921         1531274451.0    BGM啥
37.016         1531288082.0    各位再见，我完事了
37.025         1530697824.0    我弟弟还在睡觉呢
37.081         1530704919.0    看了四十遍才索然无味
37.147         1531385807.0    坐看cosplay被这种人带偏，坐看广电封你
37.276         1530945928.0    在下苗仁凤
37.281         1531304250.0    歌不错
37.309         1530749500.0    屏幕有东西我先舔一下
37.7           1530876367.0    呕
37.815         1531116011.0    身材真的好
37.875         1531312405.0    我选刀
38.004         1531270301.0    我李威今天就要撸死在这了
38.057         1530712313.0    呸，肯定有男孩子
38.294         1530843925.0    好腿！！
38.345         1530715481.0    这是怎么过审的？
38.38          1531288754.0    我二狗子今天就要撸死在这。
38.5           1530844719.0    可耻的搜藏量
38.521         1530836810.0    666
38.848         1531230704.0    急得我弟弟流眼泪
38.928         1531197311.0                                                                              海绵体不稳定
38.943         1530879593.0    可怕
39.061         1531322069.0    50多万观看，才1000多弹幕，告诉我你们在干什么
39.081         1530847238.0    打字干嘛愣着啊！
39.1           1530836988.0    我有一个不成熟的插法(
39.115         1530803965.0    在下盯裆猫
39.132         1530877330.0    对不起，我破皮了没吐出来
39.194         1530729120.0    可耻的播放
39.236         1531264914.0    bgm是什么
39.318         1531289956.0    上网搜   推次元 里面都是cos的图片
39.563         1530806772.0    可耻的播放量
39.617         1531046738.0    看得我弟弟都要吐了
39.715         1530837853.0    靠斯普雷，就是露肉的换装
39.737         1530783053.0    腿玩年
39.992         1531232152.0    可能就我一个女孩子很痴迷了
40.335         1531196970.0    在下深宫鲍
40.356         1531197152.0    脸怎么有点想男的？
40.898         1530787212.0    这居然能过审核。赶紧收藏
40.977         1530878119.0    我咋一点感觉都没有
40.986         1531264804.0    我要输出她
41.18          1530937371.0    bgm:vagrant
41.217         1531097528.0    海绵听充能玩毕
41.236         1531097214.0    组织充能中.........
41.289         1530874076.0    幻肢崛起
41.459         1531112640.0    盯裆猫。
41.488         1531021906.0    可以确定这个女的有报价了，估计1500能搞定
41.516         1531255438.0    一群绅士
41.697         1530810575.0    少女映像了解一下
41.756         1530883102.0    灯不错，嘿嘿
41.836         1530804549.0    这屁股
42.279         1530942112.0    卖肉卖肉，你们就知道卖肉！又不是你们女朋友操那闲心
42.365         1530990858.0    这衣服不错(*๓´╰╯`๓)♡
42.377         1531288857.0    我狗七就是要撸死在这我狗七就是要撸死在这我狗七就是要撸死在这我狗七就是要撸死在这我狗七就是要撸死在这我狗七就是要撸死在这
42.382         1530947526.0    苗人凤
42.44          1531281924.0    软体不稳定 ∧
42.519         1531042449.0    弟弟，你怎么了，不要乱吐啊
42.532         1531144245.0    不会被封吗
42.726         1530887342.0    好好吃的样子……不，是好看
42.916         1530986506.0    我真的对不起我弟弟
43.018         1530799328.0    可耻的播放量
43.116         1531381924.0    不要问了审核君已经死了。ヾ(￣0￣； )ノ
43.132         1530858352.0    这歌好看啊不是这人好听
43.201         1530975210.0                                  软体不稳定︽
43.675         1531126573.0    后期真辛苦(๑`･ᴗ･´๑)
43.707         1531273006.0    阿弥陀佛
43.796         1531128760.0    我tm社保
43.921         1530986745.0    呵呵，女人，，
43.968         1531304271.0    衣服不错
44.095         1530697216.0    观视阴
44.168         1530941805.0    不错，手感不错~~
44.219         1530797673.0    真丑
44.26          1531286029.0    可乐倒屏幕上了，舔舔
44.279         1531038993.0    我真的不知道为何我一个妹子居然要来看。
44.72          1530786366.0    。男的?我更性奋了
44.821         1531028328.0    足控福利
44.898         1531209483.0    666
45.025         1530802844.0    这么可爱一定是男孩子
45.046         1530854258.0    等于情趣内衣所以洗脚店有这个选项吗
45.111         1530833617.0    糟糕是那个赶脚！
45.122         1531044486.0    本子区里面好像看过一模一样的？
45.139         1530928930.0    在下秒人缝
45.208         1531138013.0    营养快线也粗不起来啊，营养跟不上了
45.229         1531116831.0    真的丑
45.321         1531288793.0    怎么过审核的
45.396         1530693810.0    让我来舔爆
45.501         1531180180.0    可耻的播放量
45.504         1530777667.0    up主和审核有一腿
45.65          1530800032.0    在下瞄人缝
45.697         1530729564.0    一样的表情。。
45.773         1531065689.0    前面说人格的，对不起我女的。
45.818         1531227078.0    没人觉得像啦啦啦吗
45.844         1530833519.0    我靠，这身材，榨干我吧
45.882         1531298353.0    各位人才小弟服
46.118         1530931888.0    🖐🐛
46.128         1530729320.0    我敢拿我人格担保全是男的在看。
46.222         1531133590.0    不好看→_→我只喜欢女装大佬
46.299         1531288098.0    岂可修
46.311         1531115070.0    吐白沫了
46.32          1531056909.0    这刀不错
46.375         1530782821.0    不一定是最还原的，但可以是更漏的
46.578         1531002815.0    真香哎呦
46.683         1531271997.0    我只要那把武士刀！其他你们随意！OK吧！
46.776         1530722417.0    怎么过审的
46.897         1530802287.0    诸君拔刀吧
47.137         1531054653.0    海绵体正在充血
47.15          1531273463.0    我罗鹏远今天要撸死在这里！
47.217         1530784952.0    现在审核尺度都这么大吗
47.264         1530891379.0    盯裆喵
47.282         1530890089.0    这里女孩子emmm
47.427         1531109529.0    好恶心 在下撸断吊都要吐了
47.498         1530952131.0    轮回主，打包带走
47.543         1530953519.0    丑死了，我弟弟都看吐了
47.643         1530849496.0    好评
47.697         1530723752.0    全都有裹胸和防护的，还不如看哔咔cos
47.897         1530899957.0    我觉得她可以去模仿战列舰
47.925         1531025881.0    拿人格担保那个 你的的人格怕是要崩了   我是女的
48.051         1531191685.0    不好意思。有女的
48.315         1530806380.0    海绵体不稳定
48.356         1530966086.0    双手打字以示清白
48.418         1531288867.0    我狗七就是要撸死在这我狗七就是要撸死在这我狗七就是要撸死在这我狗七就是要撸死在这我狗七就是要撸死在这我狗七就是要撸死在这
48.538         1531284151.0    我曹端程今天就要撸死在这里我曹端程今天就要撸死在这里我曹端程今天就要撸死在这里我曹端程今天就要撸死在这里我曹端程今天就要撸死在这里我曹端程今天就要撸死在这里我曹端程今天就要撸死在这里我曹
48.652         1531266786.0    一定是个男的
48.737         1531108464.0    这刀真白不是这腿是鲟鱼
48.738         1530775142.0    脸不行
48.761         1531286059.0    雪碧倒屏幕上了，舔舔
48.788         1530788055.0    营养快线救不了了
48.868         1531304295.0    Me,too
48.912         1531166453.0    居然还有人关心bgm  好汉呀
48.928         1531153273.0    射♂硬湿
48.931         1531131951.0    超频了………
49.016         1531101591.0    好长的脸
49.033         1531315793.0    我i，女的
49.085         1530883730.0    我要面纸
49.178         1531288876.0    我狗七就是要撸死在这我狗七就是要撸死在这我狗七就是要撸死在这我狗七就是要撸死在这我狗七就是要撸死在这我狗七就是要撸死在这
49.243         1531122391.0    老铁，我杠杠的妹子了解一下
49.597         1530775455.0    女的在看
49.669         1531241538.0    明显的蓝孩子
49.697         1531020848.0    是卖肉，不过我喜欢💃🏻💃🏻💃🏻
49.741         1531208454.0    索然无味，告辞！
49.757         1531210812.0    这刀我要了，其他的你们随意
49.758         1531056104.0    下载在哪？😭😭😭😭
49.881         1530785051.0    老是想骗我去做摄影师
49.898         1531279525.0    邪恶势力崛起
49.905         1531267065.0    你们明白小鸟酱吗
50.001         1530848083.0    눈_눈
50.262         1531218352.0    在下望峰
50.336         1530966181.0    卖肉肉的吧😂
50.367         1531372508.0    不行完全没感觉
50.397         1531074933.0    各种滤镜修图软件
50.556         1531113584.0    真白啊！
50.578         1531303306.0    眼神打字以示清白！
50.625         1531274464.0    我只想知道BGM
50.679         1531305630.0    没人注意到紫色吗
50.723         1531286079.0    牛奶倒屏幕上了，舔舔
50.738         1530770713.0    改日吧
51.3           1530841210.0    双手表示清白
51.301         1531210041.0    这播放量不对呀
51.455         1530928037.0    我是女生……
51.51          1530880352.0    B站看片，指日可待
51.516         1530799440.0    这尺度估计是b站极限了
51.561         1530960473.0    我是女的……
51.639         1531228760.0    只想说一句三次元，永远，今后，未来，都不会超越二次元。三次元垃圾😏
51.671         1530975248.0                                            软体不稳定︽
51.676         1531280387.0    摄影师，你够了！
51.745         1530853277.0    肉偿的吧
51.884         1531285193.0    这歌真白，阿不，这腿真好听
51.896         1530765501.0    我只想知道bgm是啥
51.916         1530823609.0    我是女的在看热血沸腾
52.06          1531170748.0    我才是华发，老头发
52.099         1530931245.0    我是来听BGM的，对，没错
52.167         1531239937.0    衣服和背景都很白白。
52.263         1530687845.0    一只手打字真累
52.375         1531187775.0    男的+1
52.675         1531059551.0    你TM没有人格
52.879         1530880773.0    Drum & Bass
53.028         1531127421.0    幻肢一米八
53.156         1531381153.0    BGM好好听哦
53.271         1531024547.0    。。。我女的
53.35          1531101631.0    进度条撑住啊！
53.45          1530759889.0    不说了，我弟弟吐了，要去照顾一下了
53.517         1531282547.0    请不要问我是怎么死的
53.606         1531353499.0    Bgm；vagrant
53.63          1531249322.0    这歌真好听
53.669         1530808031.0    双脚打字以示清白
53.837         1531017422.0    我是女的
53.841         1530757331.0    可以
54.335         1531378106.0    我是妹子。。。
54.635         1530863114.0    在下瞧缝
54.86          1530801689.0    妈耶！
54.862         1531132436.0    好恶心，我弟弟都看吐了
54.895         1531228213.0    B站看片终于不用等了？！
54.974         1530886789.0    前面的，你人格不保，有女生看
54.992         1530866671.0    我老婆
55.057         1531380629.0    我是女的。。。。。。。。。
55.22          1530856795.0    弟弟你怎么吐了
55.337         1531288888.0    我狗七就是要撸死在这我狗七就是要撸死在这我狗七就是要撸死在这我狗七就是要撸死在这我狗七就是要撸死在这我狗七就是要撸死在这
55.457         1531030777.0    我“弟弟”都看“吐”了
55.512         1531265051.0    在下乔峰
55.584         1531048861.0    女。。。
55.767         1531324433.0    我的。。。
56.143         1530785809.0    我想犯罪，地址在哪？
56.156         1530948549.0    这羞耻的播放量
56.17          1530998392.0    手好酸
56.182         1530791753.0    妹子在这
56.272         1530798463.0    bgm
56.308         1531327605.0    poi::>_<::
56.363         1530808945.0    卧槽
56.377         1531313217.0    我洪华锋今天就撸死在这了
56.458         1530950558.0    女孩子路过，小姐姐路过
56.475         1531025830.0    我是女的
56.477         1531180531.0    用批判的眼光看
