排名：89
网址：https://www.bilibili.com/video/av26066003
更新时间：07-15
弹幕总量：526
preciseTime    ofTime          comment
0.156          1531460956.0    真的，这个是素颜最好看的了。。。
0.757          1531444588.0    兄弟们这第一个其实还行 如果觉得不行你还是别看后面的
1.979          1531637713.0    看完我戒了
2.445          1531560549.0    今天结婚证，明天离婚证
2.482          1531413412.0    瞬间觉得不会再爱了
2.649          1531603899.0    6666666
3.528          1531494381.0    简直精神污染
3.551          1531473389.0    突然对自己有了自信。。。
3.741          1531463673.0    我妈说“儿子，搞基去吧，”
4.037          1531426128.0    堪比恐怖大片
4.206          1531384126.0    芊芊秋雨我等你
4.502          1531612375.0    化完妆都这么难看，不要说卸妆了。
4.503          1531389877.0    民政局:你们早上才来的怎么下午又来了
5.489          1531465843.0    快打120！！
6.015          1531453865.0    我不结婚了
6.164          1531456027.0    恶心到我就了
6.661          1531476436.0    老板，我要下机，快，现在下机还能退钱吗？
6.938          1531415614.0    感到头冷。。。。
7.036          1531478983.0    怎么都是老阿姨
7.824          1531495820.0    卸妆了反而更舒服点
7.889          1531638295.0    遭了，是心肌梗塞的感觉
8.055          1531386992.0    换头了！这肯定换头了
8.357          1531627803.0    眉毛呢
8.518          1531446215.0    这个眉毛…………
8.533          1531418785.0    还可以啊，
9.475          1531380803.0    反正跟结婚证上的照片不一样，我不认
9.652          1531380080.0    啊
9.907          1531572961.0    眉毛？！
10.162         1531569221.0    还行啊
10.213         1531377040.0    果然还是AV里面的妹子最真实
10.372         1531494398.0    眉毛还真是没毛
10.4           1531634428.0    ´_>`
10.582         1531526894.0    还能离婚呢 你悠着点
11.299         1531620445.0    以后找个男的凑合凑合
11.313         1531543905.0    说的好像不能离婚一样
11.516         1531404465.0    还不错啊
11.837         1531491384.0    开始撕脸的是啥？
12.123         1531509655.0    你们会怀恋这个小姐姐的
12.623         1531584809.0    这不是易容术吗？
12.744         1531490099.0    离婚
12.975         1531477029.0    ，，，，，，
13.036         1531432865.0    画皮啊？
13.267         1531492861.0    她们都是没眉毛的嘛？？ 天呐
13.498         1531493371.0    我觉得还行
14.055         1531476030.0    说还不错的意思是没有想象中的丑，但绝对很一般
14.093         1531383988.0    挺好
14.122         1531495579.0    非战斗人员请撤离
14.42          1531421055.0    亚洲变脸术
14.445         1531582001.0    不难看，还可以
14.603         1531490604.0    挺好看的啊
15.411         1531473319.0    刚刚那个其实我还可以接受
15.617         1531557942.0    这是老丈母
15.806         1531458683.0    关了美颜才知道究竟长啥样！！！
16.16          1531418949.0    还好啊
16.717         1531452428.0    小姐姐什么的还是算了吧
17.536         1531416928.0    黏在脸上一片一片的是什么
18.946         1531472971.0    离婚
19.523         1531551792.0    离婚!
19.609         1531547595.0    吓死了
19.972         1531442572.0    当场离婚
20.538         1531425282.0    鼻子上那个是啥啊！！！超级好奇！！
20.781         1531423287.0    恩，很好看。。。。
20.945         1531544385.0    卒
21.273         1531440047.0    国家法律能出相关法律不，这诈骗太狠了，误终生啊，受不鸟🐤！
21.582         1531463535.0    小别致长的挺东西啊！
22.461         1531545961.0    那是肤蜡，但是各位小姐姐不要用太长时间，会对皮肤不好哒
22.869         1531546291.0    拜拜了
22.9           1531418019.0    关了灯全都一个样~~
23.661         1531418028.0    这个emmmmm
23.73          1531387717.0    呵，女人
23.864         1531488459.0    她画完妆以后感觉根本就是个男人
24.189         1531420236.0    第一个还凑合
24.717         1531397706.0    眉毛呢？
25.022         1531386207.0    真尼玛可怕
26.004         1531464788.0    我的妈呀
26.401         1531457821.0    这皱纹..老了十岁
26.741         1531508820.0    鼻子上的到底是什么鬼
26.825         1531557917.0    老丈母
26.921         1531571992.0    我的妈眉毛……
27.695         1531631606.0    看完知道二次元才是信仰
27.964         1531431951.0    警告你啊，别过来啊！
28.014         1531474269.0    别这样，我怕
28.33          1531420006.0    画皮技艺高超
28.439         1531587967.0    我勒个去
28.46          1531419808.0    ？？？？？
28.62          1531459030.0    哎呦妈呀，快去请观音娘娘
28.919         1531453910.0    怎么都没有眉毛
28.982         1531545987.0    这是肤蜡
29.434         1531572985.0    WTF
29.486         1531586944.0    ？？？
29.813         1531419387.0    卧槽
29.826         1531588431.0    其实卸了妆还是挺好看的。
29.86          1531376183.0    这是简化版易容术
30.337         1531471327.0    我一个女生 有眉毛……
30.339         1531550977.0    过分啦第二个
30.505         1531461107.0    我只想说这张脸 看着就是那种小婊砸样子的脸
30.959         1531549045.0    第三个这个还以为自己化妆漂亮，化妆都丑
31.021         1531578092.0    等等我缓缓
31.299         1531412653.0    假的吧。。。。。。。
31.58          1531562968.0    上了妆还特丑，卸妆惨不忍睹
32.102         1531381146.0    这属于诈骗谢谢
32.12          1531417842.0    注意后面的字
32.188         1531538525.0    伯母你好，我是儿子的男朋友！
32.319         1531494178.0    楼上的我挺你
32.6           1531446719.0    难受啊马飞
32.618         1531471532.0    woc
33.147         1531461396.0    鱼尾纹厉害
33.315         1531381316.0    糟了，是心肌梗塞的感觉
33.507         1531396916.0    打扰了
33.508         1531379414.0    看到越漂亮的，卸完后就越丑！
33.806         1531585595.0    好恐怖啊
33.879         1531384872.0    这个有点假
34.086         1531465305.0    大部分看五官就知道不好看
34.131         1531576780.0    这里开始倒放
34.3           1531552967.0    √就是那种婊砸妆
34.351         1531558069.0    我去
34.457         1531423590.0    结婚证能让你这么照？
34.922         1531411712.0    这个化了妆也丑！我擦
35.083         1531459708.0    这些要卸就卸 这么多戏干什么阿
35.107         1531560314.0    不是没有眉毛而是把眉毛修掉了，真实的眉型不好看，或者眉毛散
35.561         1531460555.0    这个化了妆也好丑
35.665         1531422046.0    这个就算化妆了也丑
35.936         1531421808.0    都想打她
36.141         1531466435.0    女的为什么不长眉毛？
36.178         1531438180.0    。。
36.192         1531528662.0    原来真有双手去美瞳的
37.1           1531444903.0    把眉毛修掉比较好画眉型。
37.153         1531486160.0    我想请你闭上眼镜
37.862         1531404701.0    女人都是大猪蹄子
