排名：65
网址：https://www.bilibili.com/video/av26102339
更新时间：07-16
弹幕总量：1090
preciseTime    ofTime          comment
0.0            1531200068.0    欢迎回来
0.083          1531283869.0    我又回来了！
0.099          1531407532.0    我又来了
0.102          1531470089.0    科普一下   赵处长版地址    av26503039
0.112          1531113522.0    朱一龙快走！你现在退出这个视频还来得及！
0.129          1531583622.0    又来了
0.17           1531132668.0    大家好我又回来了
0.2            1531081634.0    放我出去啊啊啊啊啊啊
0.229          1531143941.0    救命！放我出去！！
0.233          1531116931.0    给切哥打电话
0.341          1531236548.0    完蛋了，今天已经陷在这里了
0.377          1531068559.0    循环到能背了。。。。
0.398          1531235694.0    欢迎回来
0.399          1531117134.0    快走！！！！！！！！
0.426          1531111006.0    还是回来了
0.429          1531451618.0    欢迎回来😂😂😂
0.442          1531298714.0    我又回来了
0.457          1531214861.0    欢迎来到鬼打墙
0.478          1531662434.0    欢迎回来！
0.479          1531297502.0    这是个有魔力的视频
0.485          1531224106.0    出不去了
0.511          1531155830.0    对不起出不去了第三遍了
0.512          1530980373.0    每天一遍，法力无边。
0.517          1531141427.0    哈哈哈想知道居老师看到这个的反应
0.519          1531260576.0    我又回来了
0.599          1530985477.0    欢迎回来
0.635          1531145113.0    我已经连着看5天了！
0.67           1531045741.0    卧槽我要出去
0.677          1531155268.0    赵云澜版av26503039
0.678          1531109330.0    我也就看20多遍吧
0.715          1531483433.0    鬼打墙哈哈哈哈哈哈哈哈哈哈
0.72           1531546970.0    居老师，请你尽快离开
0.739          1531124267.0    欢迎回来
0.758          1531154487.0    我又回来了
0.759          1531031038.0    居老师快走！晚了就出不去了！
0.767          1531110928.0    又回来了
0.778          1531720521.0    免贵，姓毛，单名一个猴字，毛猴
0.78           1530977766.0    欢迎回来⊙ω⊙
0.821          1531664215.0    妈呀！
0.848          1530974840.0    开始第32遍浏览
0.933          1531497603.0    求bgm
0.938          1531123260.0    欢迎回来！
0.958          1531542716.0    欢迎回来
0.961          1531091473.0    我又回来了！
0.974          1531162631.0    朱老师这个视频可以看！！！
1.017          1531114056.0    每日一刷
1.018          1531265293.0    7.11我又来了朋友们
