作品名称：【污妖王】法棍究竟有多硬！
网址：https://www.bilibili.com/video/av26105702
更新时间：07-11
弹幕总量：1078
preciseTime    ofTime          comment
0.134          1531223438.0    吱付宝搜索“95O6639”，你会回来打死我的（滑稽）
1.241          1531123539.0    提醒你
1.707          1531128626.0    见封滚
2.193          1531272441.0    该死的支付宝搜索，到处都是
2.568          1531120192.0    我是超威蓝猫！
2.652          1531126168.0    什么鬼
2.925          1531110055.0    大家好我是超威蓝猫
2.992          1531192774.0    ENM
3.148          1531199103.0    我是超威蓝猫🐱
3.284          1531126123.0    我系渣渣辉
3.542          1531149693.0    喂？喂？他在说话还是在嚼口香糖？
3.977          1531199935.0    我怎么看成法棍到底又多污
4.01           1531131844.0    哈哈好
4.047          1531162663.0    如图
4.232          1531063086.0    哈哈哈哈哈
4.253          1531165881.0    ？？b
4.326          1531218685.0    丢你雷，下老子一跳
4.347          1531044901.0    面包穿脑袋加一
4.388          1531214744.0    你吼那么大声干什么嘛
4.76           1531049067.0    封面以为法棍穿过了脑袋
4.838          1531114295.0    啊！我的耳朵！
5.445          1531053095.0    我是罐罐
5.908          1531050699.0    突然变帅(⊙∀⊙！我是男的我靠)
6.689          1531146619.0    巫妖王
6.704          1531303028.0    优衣库的t
7.07           1531157442.0    打算试做了！
7.147          1531112806.0    4444
7.263          1531045617.0    我是地主
7.59           1531071049.0    我是你爸爸
7.675          1531144754.0    真香
7.849          1531149650.0    我TM！
7.906          1531195316.0    吓得我手机砸脸上
7.925          1531081210.0    什么鬼？
8.138          1531144881.0    全家光光
8.168          1531060061.0    帅哥你声音吓到我了
8.495          1531114987.0    法棍硬？大列巴不服
8.567          1531211571.0    没吃饭吗大点声
8.806          1531129732.0    我的耳朵
8.872          1531156204.0    聋了。赔钱
9.453          1531067031.0    新出炉法棍一天时间内都很绵软，味道最好。
9.61           1531192781.0    emmm
9.844          1531188928.0    大点声，我邻居敲门说听不清
10.457         1531076149.0    。。。。
10.561         1531141811.0    hhh
10.586         1531046095.0    我聋了
11.007         1531058811.0    皮皮？
11.286         1531054321.0    大声点听不见
11.533         1531058914.0    吓哭
11.725         1531044341.0    外放无所畏惧
11.839         1531305403.0    优衣库迪士尼款
12.031         1531047155.0    法棍确实硬
12.276         1531126178.0    前方高能
12.287         1531042697.0    脑子有饼吧
12.416         1531191549.0    哈哈哈哈
12.625         1531108616.0    法棍刚出炉热的很好吃
13.041         1531104522.0    卧槽，耳朵炸了
13.074         1531048544.0    你好平民，我是狼人……
13.086         1531213966.0    婷婷
13.131         1531062200.0    帅哥你是谁
13.222         1531108721.0    聋了聋了
13.326         1531039720.0    好帅的平平
13.336         1531205321.0    哈喽，大家好，我是渣渣辉。
13.685         1531225057.0    真香啊呀
13.707         1531224520.0    刚买完签售票
13.928         1531117528.0    7.20也是我生日真的
14.307         1531038980.0    万年答题终于答完了
16.032         1531059305.0    我吃过，邦硬
16.104         1531107567.0    想去
16.549         1531118195.0    我是渣渣辉
16.958         1531139999.0    23333
17.078         1531114333.0    封面略惊悚
17.304         1531037616.0    我的扁扁
18.206         1531071793.0    那时候我在跟朱一龙蜜月！！！
18.466         1531203115.0    厉害
18.924         1531147475.0    厉害
19.403         1531209226.0    我是你爸爸
19.525         1531146540.0    平平变帅了是我的错觉吗
20.166         1531058440.0    emmmm，我聋了
20.413         1531272253.0    焦油舞台
21.223         1531192264.0    大家好，我是贫民
21.871         1531219580.0    666
22.045         1531060777.0    大家好，我是郭杰瑞
22.418         1531240872.0    一家三口，平平最丑
22.509         1531153043.0    好帅
22.988         1531123069.0    哈哈
23.107         1531062011.0    初中买了法棍打算早上吃。。。后来就拿来满教室大人
23.144         1531106988.0    声微 饭否？
23.406         1531055731.0    跤♂友舞台
23.626         1531055452.0    人家的样子平平无奇
23.668         1531112310.0    什么鬼，吓我一跳
24.28          1531125957.0    魔鬼
24.466         1531040772.0    法棍碎颅杀！
24.545         1531108532.0    嘤嘤嘤
24.606         1531110034.0    别哪都是镇魂谢谢您，烦不烦
24.984         1531229789.0    让你找刚交的朋友吗
25.085         1531100912.0    法棍不是打架时候biubiubiu的吗
25.262         1531043649.0    那时候我和朱一龙在床上玩耍
25.34          1531048191.0    那时候我在白宇怀里
25.504         1531176652.0    我以前吃了一个法棍，牙崩了……
25.737         1531059008.0    66666
25.799         1531061790.0    那时候我在朱一龙的床上
25.857         1531044325.0    那时候我在李易峰怀里
26.394         1531073125.0    呃啊啊啊啊啊啊我的耳朵！
26.564         1531095421.0    那个时候我在朱一龙的怀里
26.838         1531041457.0    那时候我在黄婷婷怀里
27.135         1531202342.0    2333
27.302         1531125969.0    朱一龙是我的
27.369         1531149541.0    我的耳朵呢，刚才就在这儿的，两个耳朵！！！
27.668         1531045426.0    那时候我在张艺兴怀里
27.692         1531192769.0    那时候我和尤长靖在度蜜月
27.767         1531097615.0    那时候我在羽生结弦怀里
27.973         1531040037.0    那个时候我在叶修怀里
28.225         1531198996.0    那时我在局长怀里
28.239         1531043658.0    那个时候我在花少北怀里
28.399         1531288598.0    那时候我在马嘉祺怀里
28.447         1531046844.0    1433223
28.725         1531057882.0    那时候我在郝子贤怀里
28.769         1531147127.0    那个时候忽悠在我怀里
28.925         1531284899.0    分身之术？
28.994         1531155253.0    放弃隔壁了吗。你个逗比
29.185         1531046118.0    那个时候我在M78
29.227         1531212038.0    那时候我在方思明的怀里
29.246         1531141451.0    那时候我还在和魏无羡打牌
29.354         1531123062.0    那时候我在翟天临怀里
29.496         1531042617.0    安排
29.609         1531056409.0    安排
29.627         1531182639.0    焦油？
29.677         1531058834.0    那时候我开学QAQ
29.766         1531100864.0    面包人
29.848         1531153097.0    那时候我在华晨宇怀里
29.933         1531093772.0    那时候我还在朱正廷怀里
30.017         1531147380.0    白宇在我身下，你们算辣个
30.411         1531052896.0    22号路过～
30.487         1531064015.0    那个时候我在奈布怀里
30.489         1531110273.0    不可能
30.549         1531077858.0    投币4396诶
30.625         1531203118.0    被安排得明明白白
30.657         1531054332.0    那个时候我在陪小哥盗墓
30.695         1531093706.0    我是扁扁
30.881         1531222529.0    那个时候我还在等茶蛋回归。。。
30.953         1531109370.0    那时候我在范丞丞怀里
31.072         1531175160.0    现场做饭吗？
31.185         1531059893.0    那时候我正在王琳凯的怀里！
31.575         1531047295.0    。
31.752         1531272097.0    哇我们要补课。。
31.81          1531062972.0    新鲜法棍不硬
32.065         1531045609.0    那时候我在范丞丞怀里
32.066         1531083713.0    那时我在芋头怀抱里
32.078         1531047209.0    有人棍吗.....
32.17          1531063397.0    那时候我在学校
32.306         1531207918.0    那个时候我在查杰怀里
32.332         1531127398.0    怀里
32.484         1531095475.0    那个时候我在朱一龙的怀里
32.575         1531046998.0    那个时候我在玩mc
32.622         1531206122.0    好了好了我知道了
32.66          1531288615.0    那时候我在马嘉祺怀里
32.847         1531058547.0    朱一龙怀里的朋友 朱一龙在我床上呐
32.987         1531142967.0    那时候我压在陈独秀身上
33.047         1531295346.0    那时候我还在马嘉祺怀里
33.147         1531111636.0    那时候我在李艺彤怀里
33.283         1531192017.0    说朱一龙的其实他30了，而且是我的
33.432         1531207783.0    被安排的明明白白的
33.594         1531111387.0    那时候我在CC怀里
33.688         1531215786.0    脑子有病？在这刷什么啊？
33.826         1531106629.0    那时候你们都在梦里
33.861         1531222562.0    那个时候我还在张艺兴身下
33.927         1531046530.0    那时候天依在我怀里，bw太乱会吵到她的
34.042         1531104215.0    牵手
34.207         1531109100.0    那个时候我在蔡徐坤怀里
34.389         1531049127.0    那时候我在朱一龙怀里
34.614         1531113429.0    嘤嘤怪臣服在1.5倍速下
34.951         1531227921.0    我正在和猛汉打游戏
35.187         1531036642.0    那时候我在花少北怀里
35.235         1531078724.0    那时候我在肖战怀里
35.285         1531046134.0    那个时候我在M78
35.386         1531219421.0    那时候我在家里躺着
35.523         1531192031.0    易烊千玺也是我的
35.725         1531144782.0    大家好，我是真香
35.966         1531212854.0    那时我在王一博怀里
36.006         1531095852.0    那时候我在毕雯珺怀里
36.201         1531192568.0    那时候我在马嘉祺床上
36.326         1531044826.0    我在怡红院
36.427         1531196246.0    丑平平
36.692         1531040062.0    那个时候农坤已经在一起了
36.707         1531102231.0    我在农农的怀里
36.93          1531093836.0    那时候我还在朱正廷床上
37.08          1531288628.0    那时候我在马嘉祺怀里
37.481         1531116525.0    那时我在朱北中间
37.546         1531193785.0    那个时候我在白宇怀里
37.698         1531094027.0    我在朱正廷朱正廷怀里
37.906         1531054868.0    蔡徐坤的那位，他一直陪着我呢
38.282         1531108250.0    那时候我在易烊千玺被窝里
38.548         1531208167.0    那时候我在华晨宇怀里
38.747         1531210460.0    那时候我在被窝怀里
38.97          1531202203.0    大佬大佬
39.027         1531110564.0    那时候我在钱堆上
39.041         1531215491.0    那时我已经在bygg怀中了
39.127         1531099336.0    有病吧你们
39.433         1531056038.0    交友♂
39.608         1531053901.0    一群神经病
39.633         1531057707.0    都在杭州 却要跑去上海看你
39.746         1531056684.0    那时候，我在Reol怀里
39.867         1531094454.0    没钱去不了上海，看不到平平
40.042         1531218912.0    那时候我在黄明昊怀里
40.088         1531106548.0    那个时候权贵已经在一起了
40.468         1531147946.0    我在张威科的怀里。张威科张威科
40.548         1531040366.0    那时候我左边躺着李常超，右边搂着张威科(*¯︶¯*)
40.568         1531044710.0    阿泰那个等等我   一起啊
40.827         1531036718.0    放下吴世勋！！
40.912         1531214304.0    略略略
41.091         1531155880.0    那时候我已经在六道大帅逼怀里了
41.197         1531220922.0    我在菜徐鲲嘴里，他竟然想把我一口吃掉
41.326         1531200516.0    那时候我在张艺兴怀里
41.404         1531140104.0    up衣服优衣库同款
41.956         1531106259.0    那个时候我和郑号锡在床上接吻
41.969         1531049563.0    那时候我正在黑子哲也的床上
42.067         1531042043.0    看到后面的平嫂了！！
42.198         1531103508.0    那个时候我在王遗风屋里听他吹笛子
42.226         1531305158.0    那时候我在给炜炜送钱
42.322         1531196252.0    没钱
42.423         1531191865.0    那时候我在李先生怀里
42.477         1531095314.0    那时候我在易烊千玺怀里
42.646         1531105194.0    那时候窝在家里
42.685         1531048580.0    瓷砖反光看到摄像小妹～
42.737         1531145548.0    滚滚滚沈巍赵云澜都在我怀里
42.916         1531108423.0    那时我在霉霉怀里
42.922         1531045253.0    那时候我在磕cp
43.052         1531108099.0    那时候我在李泽言怀里
43.16          1531195583.0    那个时候我在花少北怀里
43.242         1531297040.0    刷明星偶像的有毛病吗？
43.353         1531143755.0    那是我也在花少北的怀里
43.366         1531108389.0    1433223
43.407         1531107925.0    我在华晨宇怀里
43.476         1531065252.0    那时候我在金在奂的怀里
43.643         1531273724.0    王凯是我的
43.658         1531048328.0    那时候我在和阿洛一起放花灯
43.928         1531096614.0    okok既然没有人看见 我就在杜雨阳and金承志的怀里
44.032         1531147868.0    那时候小四已经是我妹了
44.388         1531202209.0    大佬大佬
44.52          1531224590.0    那个时候我在华晨宇怀里
44.62          1531189909.0    那时候芋头在我怀里
45.599         1531156279.0    想被插嘴
45.875         1531035010.0    你以为我差那点票钱吗？我差的是路费和住宿费
47.866         1531068510.0    放下我的阿泰！
47.962         1531191610.0    我在田柾国身下
48.126         1531222500.0    同款酵母
49.218         1531037673.0    那个时候我的清华同方的录取通知书可能到了
49.912         1531110684.0    你好，我弟弟叫法棍，请不要吃我弟弟
50.187         1531064889.0    那时候迪丽热巴在我怀里
50.73          1531099171.0    那时候我在白敬亭怀里
52.694         1531196262.0    没钱没钱，不去不去
52.969         1531180385.0    那个时候我和禹智皓在啵啵
53.176         1531039032.0    声微饭否
53.4           1531093878.0    那时候我还在跟朱正廷吃饭
54.265         1531220941.0    放下朱一龙
54.406         1531114294.0    膨胀了 洋葱宝贝呢
54.667         1531036065.0    那时候我和吴亦凡去看你
54.825         1531144066.0    那时候我在污妖王怀里
54.958         1531055569.0    刷在干什么的真的没毛病？
55.066         1531042373.0    那时候忽悠会在我怀里
55.306         1531186044.0    那时候我在和陈伟霆吃饭
55.96          1531132219.0    这期好多幻想症患者
56.046         1531036070.0    肖战我的
56.447         1531224028.0    那时候我在斯外戈的怀里
56.473         1531212685.0    猪笼粉能不能讲点道德到处烦人
56.766         1531112211.0    宽粉
57.24          1531035957.0    那个时候我在上班
57.252         1531156950.0    各位ky够了吗
57.502         1531052681.0    那时候我和小李子在骑单车
58.628         1531041375.0    刚好那个时候去上海
59.111         1531112345.0    好吃吗？
59.709         1531188880.0    我在忽悠怀里
60.442         1531222614.0    那个时候我在金钟仁怀里
60.898         1531123080.0    我的法棍能粗能细能长能短
61.323         1531043768.0    那时候我跟蕾姆在床上
61.421         1531069020.0    每个时候我都在想我的女朋友❤️
61.882         1531222635.0    那个时候我在吴世勋身下
62.646         1531141671.0    那时我还在和比利王摔跤
63.014         1531061270.0    买法棍不行吗，几块一根
63.821         1531222650.0    那个时候我在朴灿烈怀里
63.97          1531198667.0    真的硬啊
65.191         1531212099.0    官鸿哥哥不让我去
65.314         1531064911.0    我跟迪丽热巴在床上
65.334         1531237892.0    那时候迪丽冷巴在我怀里
65.614         1531112352.0    你试试啊
66.1           1531114501.0    法棍是放硬的
66.221         1531048874.0    真香警告
66.312         1531108885.0    ii
66.458         1531055808.0    ⊙∀⊙！
67.416         1531052346.0    德棍怎么样？（滑稽）
68.002         1531137942.0    吃的时候记得打上马赛克
68.156         1531066778.0    日五晚俺软
68.185         1531110328.0    话都说不清了
68.555         1531221809.0    那时我已经成神了，
69.282         1531140243.0    哇撒
69.607         1531062256.0    假的
70.237         1531293284.0    那你要做的怕不是油条吧？？？
71.405         1531066135.0    厉害的法棍。烤箱带加湿器的
71.57          1531155904.0    内len 内lun 
71.761         1531099081.0    法棍是用来打的
73.007         1531105125.0    哈哈哈，舌头捋不直，心疼你三秒钟
73.475         1531056384.0    2333
74.071         1531182656.0    刚刚新垣结衣还和我在一起drak游戏呢
75.065         1531060716.0    外焦里嫩
75.125         1531049149.0    大约的时候最爱吃法棍了，现在附近难找到卖的面包店就没吃了
75.396         1531100006.0    那时候我在韩红强势的怀里嘤嘤嘤
75.486         1531121963.0    是韧劲超足
76.472         1531126556.0    内软？
77.548         1531046763.0    毫无剪辑痕迹
78.218         1531121372.0    那是油条吧
79.34          1531057386.0    空降吧！大家
79.51          1531062266.0    不存在的
79.658         1531125589.0    记得两年前的平平不是这样的
79.701         1531127099.0    制杖现场
80.467         1531217456.0    前面的把林在范放下！七个人都是我的！
81.989         1531133664.0    可是法棍放一放真的会很硬啊……
83.122         1531058304.0    那不就是油条了么么
83.515         1531069661.0    药品不能放回原试剂瓶
84.261         1531295393.0    法棍挺好吃的
84.454         1531105831.0    杉木面包了解一下
84.653         1531038638.0    盐多必湿
86.981         1531221534.0    精准予否
87.251         1531177517.0    讲究讲究
87.299         1531193077.0    油条还行哈哈哈哈
87.527         1531198155.0    ??????
88.473         1531045104.0    不是春药
88.92          1531040414.0    不是春药么？
89.342         1531179635.0    盐重的后果！
90.415         1531062277.0    多了吃掉
90.682         1531059167.0    法棍是有严格的工序标准的 稍微不同都不能叫法棍
90.796         1531110764.0    为什么放糖
91.131         1531103733.0    盐重的后果
92.543         1531063645.0    油条吗233333外酥里嫩
93.599         1531147238.0    放了四勺！还说不能多！
94.62          1531035058.0    真香
94.8           1531100216.0    电脑配件
96.423         1531104277.0    蚁人哈哈哈哈哈
96.908         1531210529.0    嘴上说着不要，身体上却很诚实。
97.614         1531063656.0    我就静静的看你庄b
97.91          1531147548.0    hhhhhh
98.005         1531044224.0    我还以为是榨菜2333
98.017         1531062285.0    然后就多了
98.981         1531203059.0    建议看看小肛和阿灿的视频😂😂
100.549        1531199572.0    看到酵母撒在盐上 我已经猜到了结局
101.102        1531110397.0    他怎么知道这就是10克的酵母
102.07         1531056191.0    我以为是包榨菜！
102.68         1531146065.0    酵母用水化开比较好
104.344        1531159802.0    酵母不能碰到盐啊
105.683        1531201050.0    酵母碰到盐真的大丈夫么orz
105.733        1531057660.0    好吃的，样子。
106.301        1531221861.0    法棍单吃当然硬啊。。。
106.822        1531047286.0    没有烤箱的我进来干嘛。。。
107.086        1531207082.0    咸湿
107.91         1531137372.0    FA♂棍
109.404        1531191809.0    盐多必失
110.321        1531039553.0    这逼没装好
111.196        1531198568.0    我喜欢法棍
115.065        1531140289.0    多了，不好意思，不好意思不好意思
115.286        1531226772.0    2333333
115.456        1531104538.0    我滴烤面筋可带劲啦(,,・ω・,,)
117.495        1531113388.0    哈哈哈哈
117.874        1531112404.0    硬的好吃
118.031        1531104299.0    真香
118.382        1531055542.0    白案师傅
121.216        1531152703.0    emm
122.242        1531197609.0    看你们把这些美食博主吓的
123.413        1531096261.0    同款手毛
123.465        1531062310.0    盐多必湿
126.616        1531083906.0    同款宜家大盆
127.272        1531307891.0    装逼！
128.111        1531222255.0    流口水了
128.2          1531111942.0    酵母不用水冲开再和面吗
128.59         1531048093.0    老手嫩揉
129.001        1531064222.0    多了多了，不好意思
130.12         1531227960.0    不用开水消消毒吗？(滑稽)
131.517        1531237729.0    这样就不会有人BB洗没洗手了 机智
132.014        1531133714.0    这个碗看起来好重啊
134.206        1531111496.0    手毛法棍
134.502        1531059792.0    盐能杀死酵母菌
134.944        1531095241.0    。。。。。
135.673        1531207471.0    水多加面  面多加水23333
135.746        1531041659.0    揉面说那么多话不会喷口水吗
136.387        1531115872.0    太干了……
136.688        1531193135.0    太湿讲究
137.476        1531048108.0    加粉，讲究
138.245        1531121636.0    哈哈哈
138.264        1531209706.0    我要笑死了
139.067        1531186515.0    傻媳妇和面，越和越多
139.087        1531183539.0    面多加水水多加面
139.178        1531241336.0    混凝土和易性调整
139.182        1531110812.0    噗
139.207        1531095600.0    夏天该把毛衣脱了
140.89         1531048118.0    加水，讲究
141.051        1531139583.0    ？？？？😂
141.267        1531128751.0    233333333333333
142.573        1531293222.0    技艺高超？？？
143.067        1531216696.0    跟我一样哈哈哈
143.101        1531074550.0    欢迎进入平平打脸环节
143.21         1531053756.0    我现在知道为什么不能吃了
143.289        1531102173.0    👍
143.377        1531197414.0    加着加着做出来了两根
144.077        1531067385.0    这是我的操作
146.086        1531132902.0    出现了！出现怪！
147.236        1531048568.0    真香
147.418        1531110821.0    哈哈哈哈哈
147.861        1531040606.0    加粉加粉
148.073        1531136076.0    没错  我们出现了  出现怪！！
149.165        1531229647.0    跟我一模一样最后很大了
149.589        1531099915.0    你可能对法棍有什么误解………
151.984        1531118713.0    说不干净的反正是他自己吃无所谓的啦！
152.276        1531095258.0    沾手了呢
153.124        1531291499.0    在现场
155.457        1531163746.0    面团:你再这样摸我我就要……啊~
158.147        1531143699.0    猪油？？
159.126        1531049230.0    讲究
159.479        1531222810.0    洗洁精？😂
159.617        1531054254.0    猪油
159.954        1531272460.0    啊～一库↘
162.014        1531209017.0    是，，，胶水？
162.133        1531131880.0    来来来个弹屏轨去个弹幕怪
165.56         1531062352.0    感情为主
166.272        1531111551.0    糟糕的声音
166.804        1531193173.0    口意
166.889        1531129535.0    有种奇妙的触感。。。
167.313        1531104348.0    阔怕
168.197        1531068126.0    禁止开黄腔
169.043        1531055505.0    法棍不是没有油吗？
169.051        1531119092.0    糟糕的声音
169.153        1531218136.0    呦西
170.292        1531151307.0    猪油马杀鸡
172.588        1531086905.0    手毛做其他菜的时候应该掉光了
172.807        1531065751.0    按……按摩？
173.078        1531221633.0    糟糕的呻吟
173.501        1531250244.0    那不是你做鸡的手法吗
173.643        1531220662.0    你们太可怕了吧
173.664        1531062494.0    我还以为我听见了射的声音
173.739        1531187928.0    揉五分钟后油就已经全部被呲出去了
174.046        1531067664.0    法棍没油吗。。我买的都有唉。。。
174.943        1531127102.0    。。。
175.284        1531121453.0    不，是被你的手吸收了
175.422        1531042954.0    面团马杀鸡 UP主真会玩
175.766        1531048163.0    啪啪啪
176.052        1531049310.0    哈哈哈
176.115        1531193187.0    糟糕的声音
177.155        1531149798.0    咕叽咕叽
177.494        1531227269.0    声音有点奇怪。。
177.647        1531061736.0    不断不断打自己脸
178.606        1531144881.0    biu飞出去了
179.305        1531095285.0    油多了
179.46         1531132554.0    啪啪啪
180.069        1531139223.0    奇怪的声音
181.9          1531067933.0    字幕好评
181.933        1531197166.0    smar
182.131        1531096758.0    这个声音
182.827        1531197461.0    被手吸收了
182.999        1531211342.0    asrm
183.924        1531070219.0    记住这个光面 不对！这不是光面！
185.271        1531105395.0    记住这个光面
185.784        1531276777.0    平平对法棍的误解太重
186.531        1531226668.0    小?
186.811        1531186193.0    这是个有味道的面团
188.262        1531190218.0    什么声？我邻居让我开门！
189.031        1531053566.0    盖上锅盖听成了盖上扑该
189.607        1531211499.0    😂
189.715        1531120985.0    面：我醒了
190.475        1531192880.0    手毛的你要笑死我
191.608        1531148821.0    白白胖胖
192.504        1531095207.0    法棍面团这么硬？
193.265        1531049342.0    把面团啪啪啪了
193.491        1531126680.0    感觉是馒头
196.241        1531105549.0    醒就能变大？
198.912        1531049348.0    这叫技巧
199.296        1531216776.0    假装没看到还行
199.611        1531205228.0    做烤面筋吗
199.846        1531229784.0    吃起来就会松松软软了
201.108        1531100697.0    水多了
201.757        1531062388.0    祖小锅盖传
201.917        1531280629.0    醒了之后晨勃当然变大了
203.934        1531199655.0    醒了就能变大
205.057        1531128831.0    前方高能
205.073        1531100380.0    前方高能！
205.292        1531050862.0    前方高能
206.901        1531198663.0    水有点多了吧
207.992        1531303278.0    刘醒
208.16         1531142990.0    战术醒面
208.326        1531133153.0    什么鬼
208.368        1531193224.0    噗哈哈哈哈
208.961        1531039769.0    骚微撒一点
210.069        1531049370.0    哇
210.295        1531193233.0    膨胀了
210.361        1531101996.0    哈哈哈
210.566        1531065962.0    膨胀
210.925        1531063187.0    23333
210.944        1531116715.0    卧槽
211.207        1531042003.0    哈哈哈哈哈哈哈哈
211.222        1531284857.0    哈哈哈哈哈哈哈
211.29         1531149391.0    哼哈哈哈
211.677        1531104392.0    哈哈哈哈哈
212.344        1531082314.0    哈哈哈哈哈
212.669        1531121710.0    hhh
212.929        1531104676.0    哈哈哈
214.171        1531095321.0    啊啊宝贝
214.351        1531110790.0    牛批
214.436        1531167135.0    兴奋
214.73         1531147603.0    哈哈哈哈哈哈哈好大
214.893        1531149060.0    哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
215.352        1531192905.0    哦呦
215.836        1531049376.0    可以
216.782        1531207225.0    同，南方人表示收到惊吓
216.989        1531133799.0    你这个酵母质量好
217.685        1531212653.0    因为放酵母，所以才变大
217.974        1531144138.0    哈哈哈哈哈哈哈哈哈哈哈哈
219.11         1531149403.0    刺激
219.883        1531064653.0    233
219.985        1531062567.0    这么大，要是某些东西就好了……
220.245        1531052731.0    气泡都没了这叫法棍？别闹
220.29         1531062407.0    这nm太大了
220.881        1531131932.0    卧槽咋变成这么大的
222.445        1531070417.0    我有一个大胆的想法
222.548        1531198290.0    ?????????
222.776        1531036373.0    举报了！
224.622        1531156386.0    欧派。。
225.546        1531039554.0    手毛好长
226.491        1531129451.0    大坨的法棍
226.883        1531285924.0    奶牛的酥胸
229.976        1531096605.0    又变回去了……
230.62         1531049390.0    记住开头说的
230.757        1531199719.0    气排掉了干嘛要发酵？？？
231.746        1531165228.0    法棍出什么膜？？？
233.279        1531115977.0    ……
234.459        1531114713.0    谁排气了
235.924        1531112584.0    摸摸大
236.053        1531194851.0    我家门口卖烧饼的也这样为什么它不叫法棍？
236.712        1531143894.0    现在看起来就可以吃了诶
238.086        1531156077.0    放屁呢
239.243        1531220732.0    放屁。。？
240.853        1531052762.0    这特么真不是法棍！别误导了
241.921        1531214804.0    掩饰放屁
243.194        1531049403.0    我做的是外酥里嫩
243.941        1531130706.0    棍状物
246.21         1531197662.0    b
246.634        1531062433.0    糟糕的声音
247.418        1531143950.0    看起来好吃
247.926        1531043354.0    醒醒，你们都是单身狗
249.458        1531148041.0    手刀讲究
249.833        1531054181.0    我摸过
251.744        1531069260.0    手刀～讲究
251.874        1531063479.0    不不不不
252.077        1531045143.0    神tm法棍
252.399        1531103015.0    好听么？好听就是好包
252.581        1531111713.0    在现场 用的是气功
254.78         1531116007.0    还揉
254.964        1531049431.0    慢悠悠
255.082        1531155129.0    我知道，趁面团不注意
255.848        1531057377.0    这跟快有什么关系！！
255.932        1531190102.0    剪刀手？
256.122        1531143959.0    。。。。
256.133        1531120736.0    QAQ画质感人
256.186        1531100253.0    胸弟 好手法 我想……
256.708        1531104438.0    排气
257.451        1531127877.0    摩羯座的修罗
257.646        1531036262.0    雷欧手刀
258.278        1531117794.0    料理废想问下，要排气为啥还要加酵母？~
258.798        1531100012.0    重复小技巧讲究
258.838        1531095367.0    放屁
259.873        1531048693.0    真香
260.673        1531110938.0    哈哈哈哈哈哈
260.876        1531151513.0    笔药脸
261.228        1531210703.0    呵呵-_-||
262.867        1531143966.0    。
263.766        1531219258.0    up不断打自己脸
264.236        1531143928.0    其实是虾鸡把做233333
264.674        1531061100.0    真香
264.965        1531151803.0    排水，通气
265.061        1531052563.0    和我家楼下卖烧饼的大爷手法一样
267.286        1531044789.0    说话句句打脸
267.486        1531212991.0    真香
268.098        1531137052.0    很认真的看节目结果发现是搞笑up
268.55         1531118923.0    专业
270.236        1531108658.0    真香
270.988        1531200409.0    我卷花卷就这么卷的
271.83         1531103686.0    真香
272.163        1531073814.0    法棍=法师的棍子？
272.301        1531049450.0    哈哈
272.434        1531054825.0    打脸
272.616        1531224041.0    在面团里揉入你的角质层~
272.814        1531102453.0    一个节目下来脸都能打的跟猴子腚似的。
272.926        1531143943.0    666
273.476        1531287550.0    烧饼好了那曹鹤阳咋办
273.5          1531094653.0    fa♂的非常大♂
274.477        1531040007.0    那就通氮气吧
276.436        1531069000.0    没什么气体的话，，不会很硬吗【完全没做过饭】
277.453        1531062023.0    我似乎在屏幕外闻到了面粉的味道。
278.559        1531122452.0    牛
284.832        1531130812.0    棍状物
285.046        1531054628.0    兄弟们这长度这样可以领残疾证了
285.401        1531110602.0    很大很硬。。
285.936        1531063967.0    这可真是根长面♂包
286.326        1531221715.0    烤面筋？
287.407        1531124459.0    充血变大
287.727        1531058830.0    超大号花卷
289.175        1531197574.0    可以炸油条了
289.784        1531049468.0    非常粗
291.111        1531204476.0    做的好丑。。。
293.79         1531119045.0    两根...
294.545        1531039525.0    法棍:我的内心毫无波动甚至还想翻个身。
296.007        1531049474.0    非常大
296.295        1531115976.0    fa♂ 的非常大。
296.306        1531039632.0    好像啊，哈哈
297.66         1531137503.0    7777777
297.804        1531116062.0    一本正经胡说八道
298.286        1531044824.0    面筋h
298.801        1531193095.0    药八刀？？
300.539        1531065917.0    Fa♂的非常的大
300.611        1531137288.0    是五道。
300.9          1531123239.0    前方高能
301.854        1531193985.0    洗手水
302.092        1531232076.0    胡说八道
302.58         1531105306.0    有点东西、
302.817        1531151500.0    用嘴巴喷水啊
302.848        1531100083.0    一本正经的胡说八道啊
303.441        1531039675.0    唤灵仪式进行中
303.472        1531092885.0    为什么要被判刑？做面包还有这些要求？
303.899        1531055498.0    23333
304.275        1531118959.0    胡说八道
305.201        1531049483.0    面筋哥
306.192        1531140503.0    ？？？？？？？？
306.754        1531208151.0    灵魂洒水😂
307.172        1531187484.0    此处可鬼畜
307.565        1531105475.0    真的笑死了
307.625        1531096977.0    用手喷水 讲究
307.703        1531136216.0    2333333
307.946        1531198191.0    6666666666
308.02         1531066712.0    哈哈哈哈哈哈嗝
308.304        1531051188.0    23333333333
308.422        1531103683.0    注入灵魂！！！
308.563        1531220804.0    哈哈哈哈哈
308.651        1531148086.0    哈哈哈哈哈哈哈
