作品名称：活动作品【央视段子手】朱广权：世界杯怎能少了我？
网址：https://www.bilibili.com/video/av26152573
更新时间：07-10
弹幕总量：986
preciseTime    ofTime          comment
0.0            1530969040.0    这里是流动法语翻译区
0.026          1531150839.0    标准片头
0.224          1530971604.0    标准开头
0.264          1530875361.0    欢迎回来
0.493          1530822723.0    我居然在b站看新闻
0.607          1530852735.0    天道有轮回，鬼畜饶过谁
0.627          1530813273.0    火钳刘明
0.645          1530854559.0    欢迎回来
0.656          1531045890.0    标准开头
0.704          1531199295.0    火钳刘明
0.752          1530971339.0    标准开头
0.764          1530836417.0    哈哈哈哈哈哈来了来了
0.825          1530946545.0    标准开头
0.844          1531018148.0    自知则知之做做
0.954          1530880862.0    来了
1.084          1530848396.0    看到我你已经是13万后的了
1.422          1530866274.0    夭寿啦我居然在B站看新闻联播
1.715          1531121744.0    jie'suo'cheng'jiu
1.947          1531030881.0    火钳刘明
2.157          1531112339.0    火钳刘明
2.365          1530978631.0    给权哥点个赞
2.551          1530868252.0    我居然在B站看新闻
2.628          1530876989.0    欢迎收看CCTV13娱乐频道
2.882          1530969142.0    Vous regardez Bilibili guichu
3.071          1531042531.0    百万预定
3.087          1530888560.0    经典开头
3.127          1530919397.0    不行了。。现在看电视里新闻开头心理都开始鬼畜了
3.527          1530892230.0    跟你们酱，在现场
3.668          1530882781.0    活了刘明！
3.682          1530879601.0    火钳刘明
3.726          1531112854.0    标准开头
3.741          1531026543.0    这世界太乱
4.248          1530877169.0    火钳刘明
4.256          1530891435.0    又是你
4.284          1530849942.0    您正在收看的是 央视freestyle
4.521          1530852680.0    看我刷到了什么
4.525          1530813665.0    跪求bgm
4.567          1530870653.0    B站看新闻
4.587          1530853441.0    哇我到B站看央视
4.603          1530939203.0    火钳刘明
4.625          1530869390.0    呵呵
4.63           1530954290.0    我在b 站看新闻😂
4.803          1530945627.0    。。。。。。。。。
4.805          1530946662.0    您正在收看的是，共同鬼畜
4.873          1530839322.0    朱广权是我见过最皮的主持人
4.926          1530876931.0    火钳刘明
5.087          1530852247.0    bgm是什么
5.104          1530963188.0    火钳刘明
5.147          1530884292.0    标准开头
5.153          1531018154.0    再找找
5.155          1531033418.0    天道好轮回，鬼畜饶过谁
5.186          1530878767.0    标准开头
5.218          1530893246.0    火钳刘明
5.219          1531043736.0    火钳刘明
5.228          1531035711.0    火钳刘明
5.307          1530940241.0    火钳刘明
5.361          1531010878.0    火钳刘明
5.365          1530854814.0    火钳刘明
5.481          1530856617.0    解锁成就：B站看新闻
5.527          1530864153.0    火钳刘明
5.691          1530976795.0    火钳刘明
5.791          1530949848.0    火钳刘明
5.829          1530941818.0    💃 💃 💃 💃 💃 💃 💃 💃 💃 💃 💃 💃 💃 💃 💃 💃 💃 💃 💃 💃 💃 💃 💃 💃
5.866          1530926772.0    我居然在b战看新闻
5.949          1530892748.0    哈哈哈哈哈哈哈
5.954          1530814985.0    看我刷新刷出了什么！
5.972          1530844660.0    火钳刘明
6.028          1530892907.0    火钳刘明
6.035          1530859584.0    我在b站看新闻系列
6.04           1530876869.0    火钳刘明
6.088          1530871365.0    火钳刘明
6.214          1531023502.0    火钳刘明
6.218          1530980844.0    朱广权邪性
6.265          1530898748.0    恩？？看我刷到了什么？？
6.296          1530927002.0    火钳刘名
6.348          1530956548.0    火钳刘明
6.526          1530937927.0    火钳刘明
6.627          1531105977.0    火前留名
6.686          1530863010.0    嗯???我刷到了什么
6.752          1530956259.0    火钳刘明
6.849          1531032626.0    权叔！权叔！权叔！
6.871          1530872763.0    看我刷到了什么
6.994          1530978747.0    共同鬼畜
7.102          1531036260.0    火钳刘明
7.166          1530835048.0    该来的还是来了
7.209          1531041417.0    火钳刘明
7.255          1530849679.0    火钳刘明
7.369          1531061603.0    火钳刘明
7.446          1530921562.0    火钳刘明
7.475          1530840456.0    火钳刘明
7.616          1531018136.0    sdgd
7.697          1530937314.0    火钳刘明
7.776          1530842390.0    火钳刘明
7.782          1530856456.0    达成成就 在B站看新闻
7.894          1530919132.0    终于可以当一回现场怪了
8.083          1530888229.0    欢迎收看流水的手语老师铁打的朱广权节目
8.141          1530839412.0    这位帅哥
8.172          1530935936.0    标准开头
8.241          1531030431.0    ..............
8.28           1530839919.0    左下角瞩目
8.306          1530837032.0    看到我那已经是8.5万开外了
8.384          1530870671.0    火钳刘明
8.385          1530978592.0    共同鬼畜。
8.387          1530887040.0    先投币
8.481          1531009721.0    火钳刘明
8.546          1530971540.0    弹幕呢？
8.602          1530946227.0    开始.
8.644          1530836730.0    王振鸡🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔🐔
8.685          1530856662.0    真当朱广权不上b站
8.725          1530878095.0    BGM:One more night
8.731          1530847050.0    火钳刘明
8.931          1530874419.0    火钳刘明
9.024          1530966084.0    火钳刘明
9.03           1531106113.0    手语老师买板砖敲死朱广权
9.148          1531119959.0    火钳刘明
9.269          1530969198.0    Faisons attention à la Coupe du Monde en Russie.
9.273          1531015075.0    哈哈哈哈哈哈哈哈我来啦
9.388          1530890695.0    什么叫火钳刘明
9.398          1530920121.0    火钳刘明
9.588          1530963411.0    在死亡的边缘疯狂试探
9.623          1530987107.0    真当我朱广权不上b站？
9.924          1531028293.0    火钳刘明
9.96           1530869249.0    火钳刘明
10.026         1530815644.0    看看我发现了什么？
10.027         1531022746.0    火钳刘明
10.067         1531111173.0    手语老师快跑
10.101         1530879199.0    火钳刘明
10.169         1530893168.0    现在的手语老师的名字叫做余航，是个很可爱的手语老师
10.306         1530860916.0    手语老师×1
10.394         1531130663.0    哈哈哈哈哈哈哈哈
10.412         1530863479.0    骚的一批
10.423         1530869975.0    火钳刘明233
10.523         1531014882.0    1
10.566         1530961148.0    真当央视不上b站？
10.728         1530893556.0    厉害
10.754         1530969233.0    48 matches de groupe sont terminés
10.819         1530925858.0    单押x1
11.086         1530875512.0    黑犀铠甲，合体！
11.226         1530892161.0    手语难度：简单 普通 困难 地狱 朱广权
11.33          1530857237.0    火钳刘明
11.345         1530893645.0    背景音乐瞩目
11.506         1531059345.0    你即将浪费生命中宝贵的两分钟
11.543         1531214578.0    该来的来了
11.665         1530830977.0    标准开头
11.979         1530871724.0    火钳刘明
12.078         1531199016.0    给片头曲跪了
12.126         1530839655.0    火钳刘明
12.182         1530916473.0    好东西
12.184         1531026050.0    hhhh
12.304         1530837698.0    哈哈哈
12.423         1530893190.0    大家记得关注余航老师的表情
12.442         1531030422.0    哇哦
12.48          1530850437.0    看我发现了什么_(•̀ω•́ 」∠)_
12.835         1530881305.0    临江仙优秀
12.95          1531024691.0    来了来了
12.973         1530820377.0    提前点赞
13.022         1530869314.0    我是好孩子
13.057         1530964424.0    無限大な夢のあとの 何もない世の中じや~抱歉走错了
13.229         1530809094.0    兹茨一个
13.343         1530935525.0    哈哈哈哈哈
13.344         1530979390.0    bgm是one more night
13.54          1530960761.0    火钳刘明
13.667         1530920301.0    我不是药神医药公司那位？
