作品名称：【水彩】简单几笔就能画出来的玻璃质感
网址：https://www.bilibili.com/video/av26158210
更新时间：07-10
弹幕总量：499
preciseTime    ofTime          comment
0.0            1530941333.0    前
0.605          1531151029.0    只用蓝色系太美妙了!
0.692          1531105855.0    感谢up的上色技巧
0.698          1531091921.0    梵高水彩
0.715          1530971219.0    欢迎收看一看就会 一画就废系列
0.721          1530970467.0    都散了吧，看了也不会
0.758          1531091906.0    阿诗四面封胶300g
0.778          1531091772.0    丢丢已经在介绍里说了，但还是有人在问材料，这里提醒~
0.945          1531062387.0    BGM：きみがみたゴースト 本人悠幽竹
0.96           1531091864.0    樱花自动铅笔
1.118          1531091837.0    百乐彩色铅笔
1.787          1531103865.0    首先你要有个这么好的线稿
1.835          1530932887.0    表白丢丢！！
3.18           1530951932.0    进化版的琪露诺?
3.311          1531130790.0    只有我一个人以为是水彩笔吗……
4.537          1530933833.0    吹爆！！！
4.64           1530935104.0    表白丢丢
4.857          1530962934.0    在现场！
5.82           1530942642.0    丢丢。。居然。。更新了
6.158          1531091955.0    表白前面红字
6.629          1531172559.0    woooo
7.156          1531150686.0    我突然发现up是个有钱人，阿诗的水彩纸平均七块一张！
7.242          1531127407.0    11111111111111111
7.26           1530934431.0    好看！
7.362          1530942773.0    好可爱
7.379          1530961876.0    进化版的⑨那个别跑
7.416          1530969231.0    表白丢丢！其他都是我小号！
7.438          1531091972.0    暂停看红字
7.455          1531091341.0    我一个板绘的为什么要看。。。
8.032          1531130482.0    666666
8.323          1530975645.0    Bi
9.145          1530944382.0    表白丢丢！！！
9.706          1531130689.0    恭喜上首页~
10.072         1530975666.0    别人家的简单几笔
10.703         1530953493.0    画的好棒
11.159         1531031361.0    bgm！！
11.428         1530951236.0    看画风识up
11.674         1530932491.0    来啦
11.921         1531110719.0    触啊
12.237         1530932614.0    报道
12.892         1531038199.0    阿诗300克？有钱人
13.452         1530939392.0    吹爆丢丢
13.817         1530942617.0    超可爱(≧▽≦)
14.549         1530961446.0    １１２
15.724         1530955710.0    表白丢丢
15.772         1530932489.0    第一?
16.031         1530957654.0    一点都不好看，我就看了几百遍而已
16.514         1530948657.0    啊啊啊啊啊啊，好可爱啊！
16.604         1530977909.0    好可爱啊～
17.377         1531110359.0    看画风识up+1
17.8           1530935033.0    在现场
18.353         1530969506.0    好早！
18.436         1531191681.0    BGM 1.5倍速超好听啊
18.481         1530940962.0    好可爱啊
18.624         1531032990.0    优秀！
18.808         1530959729.0    好可爱的画风
20.621         1530983785.0    看标题识up
20.833         1530961966.0    丢丢更新了!
21.36          1531131925.0    说好的几笔呢？？？？
21.945         1531147919.0    简单几笔，，，，吗，，
22.338         1531127659.0    bgm:きみがみたゴースト
22.905         1531204582.0    因为丢丢有赚稿费
22.979         1530932643.0    ♡♡♡
23.139         1530972894.0    被bgm炸出来/
23.418         1531142593.0    神仙的草稿
23.881         1531046291.0    在现场嘿嘿
24.611         1530937586.0    糟了，是心动的感觉
24.781         1530965195.0    求BGM(๑Ő௰Ő๑)
25.295         1530944517.0    三小时前看到了。
25.66          1531055535.0    真的是简简单单几笔
25.721         1531136116.0    卡哇伊
25.888         1531054263.0    散了吧要手的
26.76          1531136942.0    给丢丢打call
26.997         1531113660.0    bgmきみがみたゴースト
27.757         1530940649.0    再次观摩神仙画画
27.768         1531025009.0    简单几百笔
28.328         1530976536.0    可爱，收藏了
29.39          1531133652.0    大神
29.961         1530933104.0    表白丢丢
30.101         1530933188.0    好干净啊
30.282         1530966964.0    画风好棒
30.701         1530965309.0    啊丢丢！！
30.78          1531051542.0    恭喜丢丢上首页！！！
31.019         1530940184.0    卡哇伊
31.717         1531140371.0    好可爱
32.107         1530932895.0    六分钟
32.765         1531073606.0    听开头……我想到了海草舞
33.635         1530932513.0    前面第一的等我
34.141         1530936491.0    好可爱
34.556         1530944535.0    再次观摩神仙
36.922         1531223453.0    海草舞等等我
37.539         1531132976.0    几笔？
37.875         1530964355.0    妈妈你看我刷出来什么！
39.368         1531140192.0    一看就会，一画就废
41.667         1530951769.0    心在扑通扑通跳
41.699         1530983090.0    这是神仙在和我们开玩笑呢！惊不惊喜意不意外
41.819         1530938927.0    求bgm呜呜呜
42.087         1530946263.0    美腻～～～
42.663         1531062594.0    BGM：きみがみたゴースト 本人悠幽竹
42.88          1531083667.0    丢丢的画风真的超可爱qwq
43.589         1530973887.0    bgm 
44.059         1530968753.0    BGM是啥
45.688         1530932665.0    第一次前排
46.404         1531120676.0    别看了，要手的
47.602         1531139877.0    .
49.336         1531143173.0    首先你要会画线稿
51.88          1530946964.0    前前前
53.531         1530967036.0    超可爱
53.794         1530965249.0    求BGM呜嘤嘤嘤
53.874         1531137631.0    教练！！！！！！
54.194         1531072731.0    想知道笔是啥，看起来很好用
55.234         1531128302.0    你是天使嘛！
55.839         1530971375.0    bgm是什么
59.107         1531134327.0    谁能告诉我现在画了几笔了？
60.469         1531032036.0    下凡辛苦了
63.299         1530987727.0    出现了！神仙留白！！
64.06          1531025858.0    出现了，嘤嘤怪！
64.461         1531106029.0    ？？？？？？？刚刚发生了什么？？？？
64.606         1530968723.0    bgm1.5超好听！
64.643         1530974688.0    这是几笔能画出来的吗？
64.849         1531056368.0    可爱
64.905         1530999846.0    ？！发生了什么
64.925         1531139895.0    可以
66.059         1530969643.0    神仙留白，讲究
68.58          1531137251.0    哇！！！这个留白。。。。
69.436         1530978063.0    可爱多(๑• . •๑)
