作品名称：【白展堂】刀马旦
网址：https://www.bilibili.com/video/av26164799
更新时间：07-11
弹幕总量：1066
preciseTime    ofTime          comment
0.0            1531208645.0    吱付宝搜索“95O6639”，你会回来打死我的（滑稽）
0.53           1531060346.0    欢迎回来
0.701          1530954403.0    惊人的播放量
0.758          1531046189.0    1.5倍新世界
0.844          1531018737.0    建议1.25品尝
0.86           1531007020.0    真当我沙溢不上B站？
1.044          1530973819.0    汉中市同福客栈欢迎您！
1.204          1531141180.0    给了3个硬币
1.74           1531016189.0    看我刷到了什么！
1.743          1531062994.0    火钳刘明
1.92           1531010628.0    👏👏👏
2.218          1531126863.0    欢迎回来
2.455          1530970136.0    李勇你在这干嘛
2.464          1531031822.0    yeah
2.6            1531027276.0    很强很强
2.948          1531119277.0    1.25倍完美速度
2.995          1530972713.0    这两句伙计很多有没有伤不起的感觉
3.645          1531031874.0    dungeon,do anel
3.72           1531052516.0    明明早上人还在洗澡，洗完穿上皮革有点♂骚
3.754          1530942136.0    什么
4.161          1530981313.0    见封滚
4.182          1530987113.0    当真？
4.221          1531032568.0    心疼沙溢
4.236          1530962745.0    有新鬼畜看了！开心！
4.388          1531017544.0    沙溢:当我不上B站
4.417          1531094014.0    每日一遍
4.437          1531287788.0    封面笑死
4.546          1531033989.0    裆震 ？
4.663          1530950485.0    牛逼
4.682          1531013168.0    妞妞唱的最好听
4.739          1531016963.0    我是老白我已经报警了
4.923          1531031883.0    it's a fucking shit
4.951          1531022035.0    再来一遍
5.168          1530966123.0    第一万个币！
5.239          1531101983.0    14232231423223
5.348          1531020240.0    火钳刘明
5.358          1530939390.0    裆真？
5.541          1531020956.0    66666666
5.734          1531026224.0    一直觉得白展堂帅的不行
5.741          1531047382.0    火钳刘明
5.76           1531160743.0    溜肥肠
5.851          1531283237.0    火钳刘明
5.906          1531028778.0    233333
6.099          1531302727.0    好久没听了，话说酷狗这首歌被酷狗下了。
6.199          1531074084.0    哈哈哈，老白
6.219          1531055740.0    再来一遍…………
6.281          1530942602.0    ...
6.336          1531280840.0    ？？？
6.599          1531035853.0    我很喜欢的一首歌。。。
6.633          1530952273.0    有毒
6.898          1531139752.0    欢迎回来
6.986          1530986096.0    喜欢啊嗷嗷嗷
7.096          1531022682.0    wa
7.144          1531081140.0    火钳刘明
7.159          1531025837.0    火钳刘明
7.397          1531140237.0    第八遍
7.437          1531127936.0    。
7.712          1531027301.0    💃💃💃💃💃💃💃💃💃💃
7.751          1531133661.0    葵花点穴手
7.77           1530991812.0    door♂真
7.8            1530936944.0    火钳刘明
7.82           1531057788.0    火钳刘明
8.021          1530949378.0    🔥前刘明
8.417          1531122247.0    火钳刘明
8.442          1531062536.0    66666
8.535          1531028095.0    老白！！！！
8.629          1530944756.0    火钳刘明
8.747          1530947698.0    好的太棒了
8.88           1531037089.0    周董的歌
8.995          1531068043.0    火钳刘明
9.114          1531203918.0    来了来了
9.13           1531031895.0    oh my god
9.26           1531101996.0    14232231423223
9.348          1531024694.0    1
9.367          1531032003.0    swallow my cum
9.419          1530985890.0    开头舞蹈，溜肥肠
9.629          1531027116.0    咚哒哒
9.65           1531048897.0    厉害了
9.68           1531221734.0    火钳刘明
10.114         1530942945.0    火钳刘明
10.245         1531102767.0    鬼畜严选
10.278         1530998875.0    稳的一批
10.315         1530935672.0    感觉很厉害的样子
10.325         1531140435.0    我又来了
10.44          1531034461.0    ∠( ᐛ 」∠)＿
10.52          1531305530.0    瑰宝吗？
10.565         1530960793.0    Door♂马♂Dark
10.582         1531194479.0    每日一刷
10.701         1531077020.0    66666666666
10.899         1531016486.0    我是周杰伦我已经报警了
10.917         1531008738.0    成功占领音乐区
10.961         1530984291.0    恍恍惚惚
11.008         1531029988.0    金钟罩铁布衫！
11.101         1531018970.0    1.25倍极妙
11.218         1531032022.0    that turns me on
11.459         1530935727.0    原唱不是李玟吗？周杰伦只有一段rap
11.572         1530982928.0    up人才
11.595         1531022419.0    沙溢窥屏中
11.597         1530981337.0    还出了音频哈哈哈哈
11.806         1530953937.0    出不去了
11.82          1531042353.0    已投
11.841         1531053929.0    火钳刘明
11.935         1530961727.0    💃💃💃💃💃💃💃💃💃💃
12.038         1530962564.0    火钳刘明
12.042         1530958978.0    当真
12.366         1531226037.0    做lex的啊
12.372         1531140217.0    欢迎！！！
12.421         1531055256.0    火钳刘明
12.64          1531186554.0    来人，给这个魔鬼一个硬币!
12.699         1531122890.0    ， 
12.721         1531076926.0    全是螳螂那边过来的？
12.759         1531134737.0    nb
12.901         1531031756.0    火钳刘明
12.917         1531027996.0    新人都是怪物
13.016         1531102113.0    开口跪
13.166         1531043344.0    耍花枪！
13.201         1531132147.0    火钳刘明
13.357         1530972772.0    火钳刘明
13.517         1530961337.0    390在线
13.618         1531277952.0    DAOMADAO
13.727         1531028303.0    你的四周美女有那么多
14.04          1531039651.0    233333333
14.045         1530998823.0    我来组成弹幕
14.078         1530968901.0    1.5
14.081         1530959277.0    牛逼
14.177         1531009767.0    💃💃💃💃💃💃💃💃💃💃
14.633         1531012605.0    @泽野螳螂
14.641         1531055051.0    那个什么都会的小六会来吗
15.13          1531122208.0    你的微博里面辣妹很多
15.187         1531028314.0    原来我也只是其中一个
15.253         1531041535.0    @泽野螳螂
15.669         1530935691.0    好熟悉的旋律
15.743         1530973176.0    1433223
15.905         1531013875.0    van游戏
16.283         1531019401.0    可耻的播放量
16.299         1530978112.0    💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃
16.54          1530992028.0    开口跪
16.561         1531015384.0    66666开口跪猝不及防
16.805         1531053982.0    火钳刘明
16.844         1531025388.0    鬼畜饶过谁
17.493         1531062204.0    大脑在颤抖
18.019         1531094027.0    很嗨~
18.067         1531089548.0    💃💃💃💃💃💃💃💃💃💃💃💃💃💃
18.083         1531145520.0    开口跪23333
18.19          1531094221.0    101个小伙伴你们好
18.411         1530947708.0    噗hhhh
18.49          1531037212.0    666666666
18.529         1530967325.0    6666666666666
18.569         1530965046.0    🔥💰⑥名
18.945         1531025222.0    6666666666666666666
19.046         1530956198.0    dd
19.264         1531194229.0    💃💃💃💃💃💃💃💃💃💃💃
19.586         1530963456.0    火钳刘明
19.609         1531134744.0    nb
19.871         1531017206.0    看我刷到什么
19.984         1531133476.0    啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
20.053         1531030223.0    原来我也只是其中一个？
20.152         1531238859.0    真当沙溢不上B站
20.46          1531015636.0    开口跪
20.543         1530970764.0    开口跪
20.581         1531132157.0    开口跪
20.762         1531013110.0    666
21.038         1531027077.0    开口跪
21.231         1530969556.0    交封不杀
21.293         1531152272.0    💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃
21.347         1531029815.0    火钳刘明
21.392         1531105709.0    席方平，席方平，席方平
21.65          1531135226.0    哈哈哈哈哈哈哈哈
21.797         1530966451.0    6666
22.0           1531005751.0    妙啊
22.111         1531234176.0    好听哈哈哈
22.116         1531049268.0    心疼沙溢
22.14          1531015175.0    6666666
22.144         1531136959.0    door♂马旦♂
22.241         1531201097.0    开口跪……
22.654         1531023431.0    火了流明
22.698         1530990974.0    没有我白展堂不会唱的歌
22.788         1531043846.0    💃💃💃💃💃💃💃💃💃💃💃💃💃
23.061         1530968801.0    2333
23.39          1531101997.0    厉害
23.481         1530968986.0    呜哇呜哇
23.654         1531125479.0    只有我一个人似曾相识，你的微博，美女有那么多。了吗？
23.684         1530991231.0    that good...
23.727         1531023505.0    💃💃💃💃💃💃💃💃💃💃
23.797         1531023086.0    23333333333
23.981         1530982512.0    up主魔鬼啊
24.048         1531059988.0    火钳刘明
24.098         1531032056.0    don't stop 动次打次
24.149         1531028718.0    开口跪
24.205         1530968653.0    迷幻电音
24.411         1531068486.0    hhhhh
24.544         1531103900.0    你的微博里面辣妹很多
24.631         1531061796.0    牛逼
24.832         1531011967.0    因为是周董写的歌并且rap很出色
24.833         1530969454.0    666666666
24.971         1531028775.0    为老白点赞！
24.997         1531054013.0    开口跪😂😂😂
25.093         1531051950.0    💃💃💃💃💃💃💃💃💃
25.658         1530979355.0    💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃
25.732         1530963024.0    火钳刘明
25.76          1530980818.0    fa♂q
25.915         1531010638.0    233333333333
26.006         1531031697.0    怪物。。。。
26.04          1530941083.0    明明早上人还在洗澡
26.16          1531055763.0    66666
26.179         1531277964.0    带那打吧
26.321         1531060842.0    开口跪
26.52          1531159200.0    心疼沙溢
26.592         1531136997.0    明明早上人还在洗澡
26.881         1530979136.0    卧槽
26.999         1530960130.0    请收下我的膝盖
27.16          1531305492.0    66666666
27.161         1531030223.0    火钳刘明
27.372         1531048434.0    哈哈哈
