作品名称：【泛式奶爆新番】暑假最值得期待的10部动画！不怕打脸！(轻点)
网址：https://www.bilibili.com/video/av26186448
更新时间：07-10
弹幕总量：1485
preciseTime    ofTime          comment
0.0            1531218840.0    支付宝搜索“95O6639”，你会回来打死我的（滑稽）
1.503          1531037870.0    罪域的骨终为王
1.766          1531190710.0    吹爆杀天
3.914          1531115224.0    666
4.181          1531042683.0    進擊的巨人
4.205          1531044802.0    啦啦啦
4.52           1531013713.0    我先来。百万女装！
4.795          1531190719.0    杀戮的天使!
4.841          1531032917.0    看成爆奶新番的我……
5.242          1531052866.0    Ray!
5.537          1531074889.0    竟然不是新番妙妙屋
6.144          1531032275.0    100万
6.78           1531041732.0    没有暑假的我默默的点开了视频
7.52           1531050741.0    女装女装
7.537          1531056879.0    封面是啥动漫
7.757          1531021328.0    来来来
8.121          1531034141.0    吾乃侍奉无上至尊之人
8.979          1531041454.0    100w贺电
9.5            1531049282.0    百万女装
10.527         1531017827.0    可以的
10.955         1531019687.0    我大杀天
12.161         1531013093.0    BGM是春物里面的吗？
12.612         1531022773.0    666
13.226         1530987289.0    杀戮首推
13.481         1531187900.0    _(:з」∠)_
13.676         1531194753.0    千绪~
15.521         1531001624.0    工作细胞
15.573         1531188135.0    w
17.322         1531050734.0    可以，每个季度番都是越来越值得期待
17.555         1531100277.0    aaaaaaaaaaaaaaaaa
18.881         1531036017.0    巨人三
19.18          1531032472.0    哎呦呵，你还记得更新啊
19.543         1531042053.0    百万女装百万女装啊
19.981         1531019269.0    百万粉丝！
20.044         1531200944.0    哇！
20.265         1531034884.0    骨王
20.985         1531046708.0    当然是后街女孩啦
21.289         1531201395.0    工作细胞!本生物狗；我TM吹爆
21.532         1531046008.0    女装！！！
23.038         1531033495.0    当然是骨傲天拉
23.307         1531136179.0    382个小伙伴你们好呀
23.789         1531100283.0    aaaaaaaaaaaaaaa
24.451         1531013690.0    奈奈华姐姐！
24.831         1531034728.0    巨人巨人
25.756         1530995408.0    动画中最有趣最精彩的永远不是而一定是
25.778         1531022310.0    jojo
28.049         1531054325.0    吹爆杀戮天使
28.939         1531040469.0    刃牙吹爆
29.613         1531016091.0    island
30.077         1531039222.0    我只期待骨王和人体细胞
31.212         1530989516.0    百万传统啊
31.751         1531027986.0    骨王进击就这俩
31.772         1531046718.0    反面教材国家队....
33.077         1531042066.0    百万女装百万女装
34.092         1531100293.0    aaaaaaaaaaaaaaaaaaa
35.341         1531027764.0    汤摇庄的嘿嘿嘿
36.2           1530989005.0    死亡小组实力都好强啊
36.953         1531001690.0    天才恶偶了解一下
37.839         1531200761.0    工作细胞好看
38.466         1531013745.0    骨王  巨人
38.787         1531025198.0    都追都追
39.538         1531025632.0    骨傲天不用多说。
39.899         1531061485.0    骨王和巨人啊不用想
40.921         1531120480.0    骨傲天
41.081         1531045462.0    然后股民都跳楼了2333333333
41.621         1531106098.0    23333333
41.967         1531038907.0    也就后街女孩和工作细胞比较好看
42.18          1531028425.0    天才玩偶原名恶偶
43.159         1531049705.0    后街女孩
43.861         1531112654.0    后街女孩漫画党在此声明真的特好看
43.925         1530997000.0    动画中最有趣最精彩的永远不是而一定是
44.103         1530992082.0    动画中最有趣最精彩的永远不是而一定是
44.458         1531048186.0    巨人巨人！
45.229         1531187763.0    工作细胞骨傲天轻羽飞扬百炼霸王奴隶魔术了解一哈
45.419         1531017553.0    巨人笑死所有人
45.868         1531006494.0    骨王
45.958         1531049157.0    你可以做打脸视频233
46.016         1531039762.0    骨王啊
48.249         1530995522.0    死亡小组实力都好强啊
48.44          1531114849.0    天狼
49.737         1531030208.0    巨人，唯一
52.48          1531200071.0    后街女孩，NO，1
52.983         1531021668.0    岸田教团！！！！
53.842         1531004573.0    这个我要看！
55.131         1531148955.0    我吹爆！！！！！！！！！！！！！！！！！
55.445         1531036342.0    动画中最有趣最精彩的永远不是而一定是
55.663         1531218524.0    朋友前任叫天狼..
56.397         1531017372.0    天狼!!!
57.34          1531027821.0    纯打斗番，详情请观看制作组列表
57.429         1531041384.0    我脸咋红了
59.078         1531023579.0    `
59.52          1531038129.0    wryyyyyyyyyyyyyyyyyyyy!
61.64          1531018197.0    10号骨王出来让你知道什么是霸权
62.17          1531044630.0    冲这名字，老子追了（我永远喜欢小天狼星）
62.312         1531045526.0    广主席又是李
62.548         1531124015.0    骨天乐
63.084         1530993473.0    有巨人在，老骨往后稍稍
63.337         1531028699.0    这个好看
63.481         1531034209.0    骨傲天在还想霸权
63.883         1531033688.0    昭和？
64.299         1531018942.0    安藤真裕啊朋友们!!!!!
64.311         1531040316.0    有骨王你和我谈霸权？
64.507         1531068628.0    国家队....5555
64.584         1531127227.0    prpr好评
64.969         1531048938.0    刃牙是不需要纯度低的观众的谢谢
65.306         1531025159.0    开追开追啊啊啊
65.587         1530989831.0    动画中最有趣最精彩的永远不是而一定是
66.111         1531034686.0    巨人3啊啊啊
66.461         1531019884.0    死亡小组实力都好强啊
67.426         1531117558.0    国家队2号
68.89          1531024120.0    up主也没说是B站霸权啊
70.026         1530995065.0    动画中最有趣最精彩的永远不是而一定是
70.052         1531025867.0    像甲铁城生驹的，你不是一个人
70.081         1531046760.0    我只服骨王
70.131         1531016651.0    天狼赛高
70.328         1531026342.0    吹爆
