作品名称：活动作品【欣小萌】足球宝贝 ♡ 草地蹦迪BBoom BBoom！
网址：https://www.bilibili.com/video/av26192654
更新时间：07-11
弹幕总量：556
preciseTime    ofTime          comment
0.0            1531284564.0    欣小萌加油！！！
0.014          1531244868.0    个人建议关闭弹幕食用
0.038          1531244884.0    个人建议关闭弹幕食用
0.061          1531244878.0    个人建议关闭弹幕食用
0.08           1531214590.0    横屏1080+才是王道( •̥́ ˍ •̀ू )
0.12           1531198878.0    由我来组成第一波弹幕
0.123          1531126896.0    可耻的播放量
0.125          1531198847.0    由我来组成第一波弹幕
0.131          1531244832.0    个人建议关闭弹幕食用
0.21           1531289411.0    欢迎回来
0.318          1531143917.0    真的最后一次                                      真香
0.38           1531243116.0    心疼脚下的小草。。。
0.382          1531137020.0    求BGM
0.438          1531043531.0    最后一遍×10
0.458          1531185368.0    我是进来看世界杯的 根本就没有 
0.621          1531190273.0    再来
0.685          1531306318.0    害得我又要买纸了
0.704          1531272417.0    每日一刷，欢迎回来
0.858          1531214538.0    横屏王道1080+
1.052          1531050296.0    没错，我又回来了（傲娇脸）
1.078          1531041430.0    最后一遍。。。不存在的
1.348          1531106385.0    路人进，我是女生，但是也重复刷了好几遍这个可爱又好有活力的小仙女，是心动的感觉没错了。
1.405          1531119558.0    不好。我上瘾了。再看一遍！
1.64           1531043318.0    可耻的播放量
1.661          1531289430.0    欢迎回来
2.001          1531289417.0    欢迎回来
2.088          1531199800.0    最后一遍，再看，……再看就再看呗
2.46           1531100952.0    百万合影！！！！
2.544          1531034496.0    66
2.595          1531105649.0    这个播放量很真实
2.599          1531116258.0    。
2.6            1531289423.0    欢迎回来
2.681          1531055414.0    坏了，又看了，可能是戒不了的了
3.019          1531190177.0    求过微生物！！！
3.274          1531161542.0    MMD一般的腿啊
3.28           1531052262.0    一天不看浑身难受
3.319          1531089888.0    一周的精华没了
3.459          1531053055.0    可耻播放量
3.512          1531198256.0    快住手，我的坟头要炸了！
3.728          1531196687.0    单手打字
4.127          1531126184.0    我又回来了   3.
4.298          1531043478.0    666
4.391          1531069521.0    草地上。。。。。。。。。。。。。。5次？
4.887          1531135086.0    额(⊙o⊙)…
5.0            1531043426.0    cnm
5.18           1531134051.0    不穿衣服跳舞最好看
5.204          1531292448.0    停不下来了
5.48           1531103977.0    请收下我的膝盖
5.566          1531208802.0    我满腿都是他的脑子
5.819          1531056078.0    💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃
5.961          1531059708.0    横屏做电脑壁纸，竖屏做手机壁纸，哇～up主能不能给个壁虎，啊不壁纸
5.997          1531134883.0    无限循环
6.401          1531059811.0    给力我里giaogiao
6.423          1531152804.0    👀
6.44           1531194690.0    这个脸是抹了多少粉。。。。
6.937          1531135606.0    最后一遍
7.362          1531125778.0    一天看一次
7.371          1531099638.0    百万助攻
7.42           1531115298.0    双手打字表示清白
7.61           1531151697.0    这舞跳得一点儿都不可爱，我也就看了几十遍而已
7.841          1531307548.0    这位好歹也是南开大学学生，诸位痴汉让开
7.906          1531053729.0    白色
8.029          1531292496.0    额我爱你
8.371          1531208028.0    刷一波弹幕
8.599          1531152811.0    👀
8.648          1531113607.0    抱歉告辞
8.695          1531119092.0    酸好酸
8.739          1531214341.0    最后一次
8.837          1531051672.0    白色的
8.955          1531157921.0    我又来了
9.122          1531053497.0    漂亮
9.384          1531113770.0    你那不是傻笑是银笑
9.412          1531112142.0    太太。。。太好看了啊啊啊！！
9.853          1531143033.0    百万！
10.053         1531049940.0    6666666666
10.277         1531137115.0    我是听歌的
10.325         1531031931.0    表情……
10.44          1531043488.0    漂亮
11.561         1531040210.0    可耻emmm
