作品名称：活动作品全世界到底怎么看中国高科技？
网址：https://www.bilibili.com/video/av26217475
更新时间：07-10
弹幕总量：1002
preciseTime    ofTime          comment
0.0            1531225933.0    你想窃取中国机密
1.441          1531156359.0    高方核能！钢蛋视频里第一次的推广
4.52           1531146713.0    可以
9.239          1531207867.0    🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳
9.351          1531131879.0    海关:那我们把出口税弄高点就行了
9.966          1531188909.0    小米大法好
10.666         1531135135.0    法国冠军
11.137         1531136508.0    海军
12.339         1531174087.0    了解一下findx
13.976         1531214252.0    铁蛋！！我好想你QAQ
14.272         1531223014.0    法国总冠军
16.3           1531201805.0    每天都充满活力，看到你们我好开心呀
16.792         1531187684.0    Hello everybnody1!!!!!!!!!!!!!!!!!!
17.457         1531140679.0    法国战忽局成员
17.665         1531187780.0    参加
18.575         1531216039.0    还有狗蛋
18.826         1531198259.0    我是炸弹
20.521         1531225296.0    铁蛋啊
21.8           1531219652.0    哇铁蛋
21.932         1531142309.0    参加？
22.016         1531131878.0    名字讲究
22.968         1531151531.0    铁蛋回来啦
23.481         1531143512.0    我是酱普蛋
24.4           1531201197.0    于谦弟弟的媳妇儿王钢蛋小名儿叫铁锤
25.393         1531148928.0    还有笨蛋
25.449         1531132813.0    你好我来自中国我来参加世界杯
27.328         1531143164.0    理性看待！
27.457         1531158681.0    前方高能
27.701         1531139985.0    参加世界杯？？？？
28.501         1531209258.0    各个国家都来参加世界杯 心酸
28.563         1531147568.0    张全蛋
29.22          1531198124.0    bc
29.717         1531149195.0    我是皮蛋
31.299         1531219922.0    非正式会谈
32.256         1531150321.0    乌拉
32.592         1531191770.0    我是捣蛋
32.756         1531153200.0    那是篮球吗？？？
34.461         1531184504.0    你这个问题有点不应景啊
34.739         1531189047.0    参加世界杯可还行
34.86          1531222861.0    热闹
34.945         1531145437.0    我是水龙弹
36.274         1531198132.0    有钱人
38.173         1531183012.0    参与吧
38.286         1531193681.0    我是皮蛋
38.549         1531216012.0    我是“皮”单😏
38.939         1531144241.0    请收下我的膝盖
39.899         1531133786.0    你们都是垃圾，我是原子弹
39.927         1531199785.0    我来过这
40.839         1531137295.0    内马尔，你等着我
41.534         1531151892.0    法国三F团
42.154         1531146078.0    我扯蛋表示在座的各位都是辣鸡
42.325         1531195694.0    我是扯蛋
42.553         1531221962.0    求此处bgm！！！！！！
43.22          1531140973.0    BGM  3320楼，这个是祖宗
43.665         1531215441.0    我很好奇!
44.579         1531212084.0    睾♂科技
44.599         1531206141.0    睾♂科技
44.865         1531194993.0    我是松花蛋。
44.992         1531140906.0     高卢雄鸡。。。
45.048         1531191782.0    我也是茶蛋
45.46          1531140979.0    3320
48.654         1531151633.0    我是原子弹
48.878         1531199443.0    我是氢弹
49.327         1531151134.0    我是木蛋
51.142         1531195390.0    giao科技
51.179         1531218649.0    我是床蛋
51.37          1531152566.0    中国有高科技吗？
51.699         1531212114.0    姆巴佩
54.401         1531185221.0    我是狗蛋
54.912         1531137747.0    我是皮蛋
55.052         1531221637.0    前面说贸易战我们输的，你家里怕是没联网吧
55.731         1531182802.0    我是完蛋
56.28          1531144005.0    华为五六年前在中国市场很小，但在国外很广阔
57.971         1531221154.0    弹幕里接受不了批评啊
59.617         1531215371.0    我是核弹
60.961         1531198025.0    我是炸弹💣
62.455         1531193773.0    我用华为我自豪🇨🇳🇨🇳🇨🇳🇨🇳
63.617         1531202572.0    我是蛋蛋
64.34          1531204831.0    华为确实很不错的
65.818         1531147223.0    为什么我都没听过
66.018         1531136319.0    是我大旺普拉斯！！！
66.382         1531150359.0    在现场
66.709         1531201298.0    郭不辣
67.84          1531145572.0    一加万步
67.88          1531208198.0    一加5t路过
68.266         1531131934.0    华为牛逼
68.267         1531159245.0    小米
68.584         1531189462.0    华为牛逼
69.116         1531153244.0    一加？？？
69.221         1531226172.0    手持一加5T
70.358         1531138202.0    手持一加
70.741         1531202874.0    壮我大China
70.835         1531132731.0    我擦我都不知道1加
70.841         1531206918.0    小米万岁
70.905         1531145994.0    手持小米8
71.106         1531187768.0    一加good
71.315         1531195662.0    一加万岁！！
71.721         1531152246.0    恭喜小米上市！
71.763         1531217029.0    手持一加
72.099         1531212119.0    雷军了解一下
72.401         1531205783.0    你有你的一加，我有我的小米，不是很溜，但是很烫，安排？
72.508         1531148107.0    小米NB
73.347         1531191224.0    壮哉小米
73.376         1531131350.0    小米天下第一
74.558         1531201405.0    小姐姐笑起来好像年轻时的娜塔莉啊！！！
75.619         1531226185.0    黄种人。。。。
75.842         1531150976.0    小米!!!
76.474         1531194926.0    nice
76.801         1531184151.0    喂喂，别懒么葱东，这是在俄罗斯，命要紧……
77.201         1531152263.0    恭喜雷总，小米上市！
77.258         1531213126.0    小米！！！
77.387         1531147974.0    妹子真好看
77.539         1531221543.0    小米!
77.759         1531136776.0    好帅
77.899         1531194242.0    这个小哥挺帅
78.002         1531143221.0    笑起来好甜
78.478         1531140177.0    小姐姐好好看啊
78.61          1531219050.0    米粉！路过:)
78.632         1531197960.0    小姐姐好看
79.425         1531185288.0    作为一个中国人我居然不知道一加是什么
79.52          1531214048.0    一股青春的气息啊
79.568         1531218761.0    壮哉我大小米
79.7           1531225364.0    妹子好可爱
80.453         1531135892.0    快银
80.48          1531132148.0    一加没用过
80.663         1531216123.0    小米天下第一！！
81.206         1531142032.0    女孩有点像郑爽
81.215         1531200110.0    毛妹
83.509         1531148389.0    一加6
84.0           1531209748.0    挺好看的，这妹子
85.709         1531218370.0    和女孩约会的小男孩很烦躁啊
86.481         1531213648.0    华为，我也在用
86.819         1531221565.0    小米便宜又实用
87.088         1531194524.0    看来手机很深入他们啊
88.799         1531192901.0    yes怪
89.464         1531136827.0    小哥很帅
90.166         1531197231.0    华为是俄罗斯市场占有量最大的手机厂商
91.035         1531198213.0    小哥好白
93.178         1531140375.0    中华有为
93.303         1531163502.0    不是吹的，华为营业额的三分之二都在国外
95.819         1531218018.0    中华有为，国之荣耀
96.984         1531148404.0    哈哈哈哈
97.115         1531221066.0    法语？讲究
99.662         1531203350.0    荣耀8路过
100.262        1531151529.0    iphone就是个垃圾⬆️
101.509        1531135866.0    真香
102.058        1531209347.0    好吧 比利时冠军
102.422        1531134303.0    HUAWEI
102.746        1531148409.0    V10
105.041        1531216151.0    2333333333
105.644        1531134329.0    华为太强了
106.302        1531187158.0    哈哈哈
107.434        1531216714.0    真香定律
108.14         1531212378.0    真香
108.37         1531131550.0    真香
108.564        1531191345.0    真香
108.625        1531192368.0    真香
109.579        1531214802.0    上回还有个人说看不起安卓机呢
109.605        1531144008.0    华为这么厉害吗？？
109.64         1531198621.0    中华有为
110.105        1531189021.0    香你🐴，不懂意思在这刷梗
110.679        1531201330.0    嗯！真香
110.745        1531149014.0    中国高科技～沙县
110.865        1531191883.0    真香
111.201        1531224805.0    铁骨铮铮
111.78         1531148418.0    V10
112.585        1531193334.0    真香
112.596        1531196798.0    中国男士脸盲不认识外国人的脸。
112.681        1531137529.0    真香
112.774        1531144240.0    真香
113.589        1531191422.0    stupid23333
113.759        1531197776.0    真香
113.868        1531213162.0    真香
114.004        1531196805.0    所以我们通常认为它们长得一样。
114.909        1531193827.0    真香
115.0          1531142551.0    我的手机也是华为的诶
116.574        1531218798.0    真香
117.939        1531209790.0    沙县这个六
118.339        1531226272.0    无人机。。。。。大疆
118.734        1531149587.0    真香
119.485        1531221681.0    真香警告
120.405        1531196420.0    哇知道大疆啊
122.456        1531143450.0    DJI
122.921        1531148429.0    V，10路过
125.346        1531187532.0    真香
125.381        1531132787.0    俄罗斯人民颜值确实高
126.736        1531135473.0    大疆是无人机吧，大概
128.097        1531199905.0    中华有为那个很好
130.641        1531184650.0    大疆真滴火在国外
134.785        1531155790.0    壮哉华为
135.026        1531197012.0    华为好火
135.103        1531207609.0    明明是华强北（滑稽）
136.061        1531212413.0    壮哉华为
136.916        1531177321.0    华为棒棒哒
137.199        1531224248.0    壮哉我大华为
138.681        1531207630.0    但我觉得华为不是特别好用
140.402        1531150733.0    mi？
141.759        1531131661.0    手持米8
142.305        1531133076.0    华为不实，为所欲为
143.019        1531226366.0    小米好像在印度的销售量打到了全印度的百分之50
143.86         1531221632.0    小米
144.308        1531202714.0    小米小米！！！
144.781        1531214098.0    收了华为多少广告费
145.009        1531139260.0    花粉别膨胀。
145.54         1531148452.0    华为V10路过
147.39         1531135184.0    华为挺火的
147.701        1531196337.0    花粉膨胀中.......
148.475        1531136278.0    哦？那么就是他精挑细选的用华为小米的人了？那么为什么普遍的人都不用苹果？
148.956        1531144637.0    卧槽，识别度这么高
149.102        1531131567.0    华为这么出名吗
149.173        1531146150.0    都是华为
149.383        1531135639.0    这很正常，华为在外国的销售远远高出其他中国手机
149.779        1531212205.0    只知道华为和小米吗
150.228        1531148198.0    小米
150.438        1531183527.0    壮哉我大华为
150.649        1531215039.0    花粉开始膨胀...
151.156        1531194588.0    他们的发音系粤语“华为”
151.303        1531139927.0    华强北♀
151.304        1531204081.0    在现场
151.527        1531195251.0    华为：你大爷还是你大爷
151.905        1531151375.0    华为这么多？
152.346        1531187649.0    喔噢
153.22         1531140119.0    手持p20
153.655        1531185724.0    壮哉我大小米
153.78         1531225952.0    用的手机都是华为
154.065        1531155390.0    666
154.345        1531196864.0    可能又有人想他们可能是偷手机的上次也是
154.581        1531148107.0    我还以为华为在我国不好卖……
154.739        1531187813.0    哈维！
154.936        1531136415.0    瑞典！
155.858        1531139973.0    华为在国外超贵
155.945        1531192428.0    P8P9?P10
156.263        1531150770.0    华为国外这么猛
156.401        1531196293.0    vivo何在
156.416        1531209414.0    下一个手机一定买华为
157.308        1531133899.0    壮大我华为
157.365        1531148464.0    P10
157.629        1531221719.0    华为又不仅仅是做手机的
158.701        1531220188.0    华为在欧洲真的做的很大
158.782        1531220302.0    就我这小红米 散热超棒的（小米色）
160.214        1531132822.0    用的比我还好
160.812        1531152171.0    原来华为这么厉害的。其实华为早就是世界第三的手机厂商了。而且关键这还是人家的副业。
160.846        1531142021.0    华为就是国外的“苹果”
162.372        1531191372.0    4000万像素？
163.859        1531218852.0    糖果手机了解一下
164.004        1531152585.0    不好意思，摄像头大多数都是索尼的
164.551        1531142584.0    小米华为
164.84         1531196065.0    牛逼啊，华为
165.04         1531225442.0    没剪辑过吗？
165.824        1531149349.0    莱卡摄像不解释
166.617        1531162177.0    壮哉我大一加！
166.719        1531139872.0    华为的我
166.84         1531213385.0    我用Mate10
167.355        1531146623.0    我华为mate10
167.481        1531141796.0    神威太湖之光，量子通信，天眼，悟空，等等等等
167.831        1531179563.0    哇偶，好多人用华为啊
168.425        1531225003.0    我用的就是HUAWEI
168.779        1531212089.0    拿着索半斤不敢说话
169.379        1531170753.0    我身为一个祖国人为什么我觉得华为坑。。。但是我喜欢小米
170.003        1531192088.0    额.惊了，华为这么有名啊
170.179        1531194263.0    一加到底是什么 我一个中国人 居然不知道
170.794        1531153959.0    iPhone呢？？？
171.008        1531133734.0    全球速卖通？？？
171.231        1531195500.0    我是p8。
171.267        1531148478.0    V10
172.933        1531187879.0    微信哈哈哈哈哈哈优秀
173.038        1531191059.0    华为nova2
174.4          1531221753.0    你以为华为是靠做手机到世界500强的吗？
175.02         1531212236.0    喂插
