作品名称：【非正式会谈】第4季02期：肥宅快乐15秒，再刷一会好不好？（20180706）
网址：https://www.bilibili.com/video/av26237683
更新时间：07-10
弹幕总量：2970
preciseTime    ofTime          comment
0.0            1530940302.0    来啦来啦，非正小哥哥们
0.08           1531046910.0    真的好想请张大爷和松鼠同台啊，求组织实现我的愿望！！！！
0.178          1531056263.0    这一期很精彩↑
0.318          1530949063.0    承包郭富城
0.718          1531005070.0    温馨提示:要缓存视频的同学，点击视频窗口的那三个点，就会看到了（手机端）
1.273          1530936921.0    非正，我又来了
1.54           1531014299.0    神分p
2.099          1530938226.0    非正真棒
2.158          1530974560.0    暗影猎手，准备就绪！！
2.484          1530939081.0    正式开始有非正的假期生活 啦啦啦啦
2.841          1530965558.0    来了来了
2.912          1531022351.0    六刷了，谁有我厉害？手机3刷+电脑3刷
2.965          1531038999.0    来啦
3.072          1530940372.0    mark
3.48           1530938214.0    来了来了！！！☜报道，
3.754          1531051448.0    开始加弹幕厚度
4.241          1530966400.0    来啦
4.404          1530937265.0    三刷~
4.499          1531065014.0    我来了
4.522          1530941615.0    分5p会不会有一点过分
4.608          1530938398.0    来了来了
4.721          1530988904.0    这一期最搞笑的就是印度代表天乐那里了
4.849          1530968074.0    又分p........
4.864          1531051465.0    非常担心弹幕少了赞助商没有信心
5.037          1530952044.0    刷完电视刷b站
5.212          1531023311.0    来了来了
5.461          1530940121.0    本期超棒 陈铭老师最后提升辩论维度
5.478          1530942474.0    啊
5.501          1530954171.0    二刷
5.6            1530937197.0    二刷
5.83           1530939831.0    来啦来啦
5.918          1531136434.0    本期质量很好
6.44           1530939231.0    停播那么久我都忘了！
6.502          1530937134.0    期待期待
6.912          1531041560.0    以后都要分5p了吗
7.02           1530938875.0    你这个分p阿
7.297          1531052186.0    魔鬼分p
7.327          1530948535.0    哈哈哈哈哈
7.442          1530935850.0    表白全員！！！😘😘😘
7.68           1530964900.0    来看濑濑的呀！！！
8.069          1530957869.0    他把我这个很少发弹幕的人都逼过来了幸好我有b战。
8.257          1531051908.0    第一次b站看哈哈哈哈
8.321          1531138057.0    糟糕的分P
8.48           1530946944.0    左大建的女人来了！
8.499          1530972979.0    来啦来啦
8.561          1530947811.0    郭杰瑞能来参加一回节目就好了
8.82           1531097389.0    来啦来啦
8.96           1531021100.0    赖赖~
9.125          1531135969.0    二刷
9.174          1531134724.0    喜欢非正
9.181          1531014325.0    濑濑濑濑濑濑
9.321          1530965205.0    终于找到了 现在好像只有b站能看了
9.442          1530977565.0    又是5p！
9.542          1530960357.0    来了
9.664          1530958715.0    功总😁😁😁😁😁😌
9.939          1531014797.0    冲刺
10.139         1530971605.0    听说高能
10.196         1530941761.0    我周六的精神食粮啊！！终于等到你！！
10.508         1531004578.0    @一之濑
10.54          1530940118.0    终于等到你
10.564         1530964980.0    开始吃饭
10.649         1530949017.0    为城城打call
10.72          1530943269.0    濑濑濑濑濑濑濑濑濑濑濑濑濑濑濑濑濑濑濑濑濑濑濑濑濑濑濑濑濑濑濑
10.979         1530967465.0    。。。
11.08          1530965642.0    一之濑 一之濑 一之濑 一之濑一 之濑
11.308         1530971458.0    濑！！！！
11.834         1530970896.0    分5p好夸张！
11.842         1530939220.0    来了来了来了
11.879         1531121725.0    冲呵
11.946         1531050366.0    我来了
12.038         1531058878.0    濑濑
12.202         1530956997.0    分p咋越来越多 
12.408         1530977220.0    我来了
12.545         1530961188.0    弹幕太多啦啦啦啦啦
12.921         1530960301.0    看我刷到了什么
12.97          1531051480.0    呼吁新片头
13.14          1530939055.0    看到分p的我，笑容逐渐凝固
13.84          1531047166.0    明天期末考试  悲伤
13.916         1531054162.0    好想第五期韩国东东能来啊...
13.925         1530966663.0    为我濑而来
13.973         1531021499.0    表白田原皓
14.044         1530935713.0    来了来了
14.125         1530935502.0    我来了
14.25          1530974190.0    甜甜啊！！！！！想你啊！！！想贝甜cp啊！！！
14.274         1530946624.0    留爪
14.421         1530938630.0    三刷来了
14.46          1531101912.0    很久不看这个节目的我居然为了一个up看了这个节目
14.849         1530948284.0    三刷啦
15.313         1531013017.0    神一样的分p
15.347         1530957381.0    我今天生日
15.401         1530960673.0    萨沙萨沙
15.445         1531115428.0    电视上看完再来这里刷一遍为了看贝贝
15.616         1530969278.0    呼唤新宣传片
15.643         1530974050.0    为什么要分这么多P
15.701         1530959701.0    表白濑濑
16.387         1530966505.0    骚气的分p
17.036         1530942094.0    来了
17.31          1531221615.0    终于找到了
17.365         1530940697.0    shii一样的分p
17.416         1531134745.0    喜欢
17.555         1530950537.0    留爪
17.574         1531013839.0    二刷
17.64          1531111054.0    非正常会谈
18.005         1530969600.0    超级喜欢看这个的哈哈哈
18.922         1531064791.0    有点想米可和帅波波
19.082         1530997349.0    贝贝！我来了！！！
19.174         1531137507.0    熟悉的屎一样的分p！
19.456         1531051502.0    有新的可以期待起来了
19.519         1530946132.0    可不可以不分5段...
19.738         1530940523.0    1600人看。。哇咔咔
19.752         1530976179.0    啊啊啊啊第四季
19.807         1530943313.0    来了
19.882         1531093275.0    我来了，好期待
20.068         1531047007.0    差点找不着组织了
20.082         1531054185.0    第五季 说错了
20.402         1531039908.0    来了！
20.802         1531044285.0    现在怎么分4p了
20.961         1530942247.0    5pp太多了吧
21.013         1530955947.0    电视上有一个金主广告版片头超级帅的，怎么这个版本没放啊
21.333         1530946482.0    😂
21.446         1531057363.0    一之濑~~
21.7           1531016565.0    二刷
21.729         1530946737.0    用流量看的我是真爱
21.949         1530937749.0    分p太多了
21.963         1530944316.0    为我城城打call 对你爱不完～
22.296         1530951352.0    我来了！！！！
22.459         1530941516.0    本集水准回升，可放心享用
22.675         1531015183.0    为什么我手机没有弹幕？
23.135         1531126626.0    拉拉啊啦啦啦啦啦
23.299         1530941639.0    第一次这么前
23.829         1531053473.0    有小剧场就好好
23.882         1531196462.0    怎么不能下载
23.96          1530946413.0    那个，大家记得调成自动分p哦
24.325         1531095027.0    没有第一期？
24.8           1530945452.0    咋没有宣传片
24.81          1530960749.0    超超的小裙子我有同款
25.069         1530937921.0    看了第一期还以为羞耻小剧场没有了呢，看了还是一如既往
25.201         1530955745.0    终于有小剧场了！
25.207         1530966920.0    二刷
25.34          1531004593.0    为了看一之濑
25.386         1531204907.0    对你爱不van
25.56          1530951495.0    坐等新片头
28.417         1530937805.0    纸：我不是故意的，都是这个女人把我扔下来的
28.586         1530963664.0    Zara 同款裙子
29.122         1530935880.0    表白敲敲！！！😘
29.368         1530936560.0    肥宅快乐水
29.439         1530949761.0    只有我想到吕锐吗
29.804         1531134282.0    宁大人嘻嘻嘻
30.184         1531134777.0    羞耻小剧场
30.325         1531029005.0    超超更美了耶
30.701         1530945216.0    为啥没人吐槽这分P
31.232         1530948094.0    羞耻小剧场
31.848         1530936668.0    分班考试也要看
32.141         1530961823.0    又是羞耻小剧场@_@
32.917         1531010805.0    羞耻剧场回来了⊙▽⊙
33.178         1530969306.0    羞耻小剧场回来了！
33.365         1531146971.0    这个裙子我同款哈哈
33.376         1530938649.0    BGM：对你爱不完
33.9           1530973529.0    超超是有多喜欢这双鞋，微博视频都是呢，或许同款n双，哈哈哈
34.472         1531134792.0    帅气
34.539         1530967639.0    这上面有女人的香气
34.73          1530970188.0    一看这么多弹幕，我也要发
34.77          1531124412.0    越來越美了
34.8           1530936673.0    敲敲越来越美了
34.816         1530969318.0    好美的敲敲！
35.363         1530957442.0    手机刷起来
35.581         1530982063.0    差点以为是。。。
35.915         1531110989.0    哇缓存不了……路上咋看哭哭
36.407         1530937872.0    杨杨这蜜汁五五身
36.437         1530961290.0    啊啊啊啊
36.85          1530952731.0    分了5p啊
37.01          1530958783.0    1108个小伙伴你们好吗！！！
37.376         1530943385.0    杨杨刚刚那个角度拍摄显得好矮啊……
37.461         1530962432.0    为啥不是2p 5p太多了
37.895         1531104509.0    求个人直拍！！！
38.001         1531047854.0    头哥是真的头大
38.314         1531051596.0    杨杨
38.4           1530968958.0    功总！！！
38.528         1531192169.0    帅绝人寰
38.99          1531212139.0    哇哇哇
39.594         1530936055.0    这双Gucci穿了一季还多，值了
39.695         1530948841.0    偶像剧吗
39.799         1530959247.0    报道啦
39.835         1531032981.0    终于找到第四季了，
39.889         1531033165.0    小贝镜头好少
39.908         1531017212.0    超超太美了
40.005         1530940700.0    抱歉，本来对一之赖感觉还不错，但看了他室友的视频，不好意思我护非正
40.042         1530958993.0    这个笑容满分💯
40.349         1530953237.0    哇 小剧场回来了！！！！！！！！！！！
40.96          1531120443.0    我的天羊羊好攻啊
41.141         1530935897.0    揚揚
41.4           1530948569.0    来了
42.076         1531221587.0    为伦打
42.414         1531029669.0    扬扬C位出道
42.474         1531051620.0    扬扬扬扬
42.718         1531142284.0    xiu chi a
43.15          1531036415.0    羞耻
43.399         1531145975.0    伦的裤子为什么那么短？？😂
44.218         1531193767.0    表白一之濑
44.592         1531051564.0    伦～
44.919         1530935844.0    为什么要分5P？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？看起来真的很不方便好吗！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！
45.033         1531112167.0    身高还蛮统一的，哈哈哈
45.187         1531203755.0    濑濑应该是C位才对！
45.22          1531060652.0    扬扬的表情小傲娇
45.248         1531047053.0    羞耻小剧场不羞耻了
46.165         1530946523.0    😂可耻的怀旧
46.408         1531060598.0    虽然很羞耻但萨沙刚刚那个镜头真的帅到我了
46.533         1531136016.0    非正男团
46.639         1530936685.0    闺蜜小贝呢
46.695         1531022166.0    我扬C位出道啦
46.807         1530963554.0    fa乐器
46.942         1531025436.0    濑濑哈哈哈哈！
47.56          1530949841.0    萨沙
47.761         1530976627.0    现在是导演爱上港台劲爆舞曲？
48.226         1531047220.0    老功好帅
