作品名称：【老E】在废弃火车站小树丛.AVI
网址：https://www.bilibili.com/video/av26238386
更新时间：07-10
弹幕总量：2961
preciseTime    ofTime          comment
0.0            1531202239.0    支付宝搜一下"95O6639",你会回来打死我的（滑稽）
0.083          1531104243.0    2018   7   9   10.44
0.1            1530932754.0    在现场的
0.387          1530934534.0    标题：废线【废弃车站下车之旅】
0.705          1530949840.0    4114个兄弟你们好啊
0.998          1530887745.0    来了O(∩_∩)O
1.025          1531064667.0    建议屏蔽关键词【第五人格】
1.129          1530959794.0    鹅好～
1.341          1530955313.0    19:13正片预定
1.495          1530948032.0    能不能别老抄袭抄袭的啊，玩法一致就叫抄袭吗？那是不是所有不对称对抗游戏都是抄袭的捉迷藏啊！
1.64           1530947250.0    这个中国风，让我想起了这个东风破里面的mv拍摄现场
2.049          1530969465.0    看到标题突然兴奋
2.39           1530934735.0    记住这个标题
2.44           1530892468.0    对不起，我住在B站
2.481          1530947198.0    这个中国风
2.5            1530890621.0    你终于活过来了
2.507          1531019287.0    一起上帮老E拔毛
2.559          1531195080.0    灵魂画手的非正常发挥
2.68           1530941085.0    老e我似李的歌迷
2.819          1531005418.0    老e的画画水平又提升了
2.84           1530934736.0    一起上帮老E拔毛
3.053          1531064635.0    lei了lei了
3.386          1530932371.0    可以可以
3.905          1531063190.0    0..............
3.96           1530935062.0    超好看
4.2            1530957230.0    昨天太害怕了没敢看完，今天接着看
4.299          1530899554.0    ↑ 灵魂筹码
4.32           1530947215.0    让我想起了东风破的这个...
4.922          1530894426.0    爱老e
4.951          1530935955.0    老鹅你也开始玩这个了？？
5.121          1531003915.0    这里面的鬼哪有这么快
5.392          1530976528.0    游戏名：学好数学很重要
5.54           1530904490.0    老e我来了
5.619          1530959342.0    。
5.699          1531201963.0    趁机承包老E~
6.099          1530949570.0    我前几天和老e说.灵魂筹码了解一下..结果
6.198          1530946999.0    脑E我似里的歌迷！
6.316          1530942953.0    E某人
6.367          1530910018.0    火钳刘明
6.389          1531022290.0    灵魂画手
6.438          1530947282.0    是谁在用琵琶弹奏
6.481          1531015409.0    才听完面筋哥的东风破。。。。。˙Ꙫ˙
6.733          1531038271.0    23333
6.768          1530940591.0    😂😂😂😂😂
7.017          1530948214.0    画技逐渐提高
7.082          1530883986.0    在现场
7.137          1530955350.0    老e我是李的歌迷！！！
7.341          1530889958.0    封面好看
7.509          1530928693.0    灵魂筹码
7.703          1530935823.0    我是李的歌迷！
7.812          1531135202.0    谁在用吉他弹奏一曲图森破
7.946          1530937426.0    李应该找
8.245          1530929334.0    四sei在用屁啪弹奏
8.249          1530964460.0    !
8.47           1530891241.0    23333
8.758          1530947292.0    一首东风破
8.8            1530890778.0    好听!
8.918          1531057795.0    我是李的歌迷！
9.0            1530899626.0    封面很有艺术造纸
9.219          1531028381.0    老E撸完抽根烟
9.347          1530956448.0    失踪人口
9.386          1530902537.0    好听
9.428          1530941835.0    233333
9.628          1530888127.0    我就没听过翻唱的这么好的
9.642          1531057911.0    我似李的歌迷
9.7            1530968953.0    老鹅，我是你的歌迷
9.956          1530941077.0    好听
