作品名称：【OVERLORD】第三季首话浴室福利回！雅尔贝德骑上骨傲天
网址：https://www.bilibili.com/video/av26242252
更新时间：07-10
弹幕总量：988
preciseTime    ofTime          comment
0.0            1531040802.0    yy
0.083          1530962970.0    每次扫黄都有你
0.212          1531040788.0    老婆大人
0.424          1531055107.0    我老婆↑
1.108          1530883841.0    好久没有更新了！
1.263          1531040796.0    老婆大人
2.224          1531017376.0    2333333
2.745          1530940447.0    我只要索留香
3.961          1530979732.0    吾乃侍奉无上至尊之人
5.777          1530938095.0    老婆
5.856          1531025746.0    laopo
6.395          1531147747.0    可耻的播放量
6.626          1530893080.0    骑
6.71           1530876295.0    关禁闭
6.763          1530943843.0    7月10号上映好像是
7.407          1530887990.0    哦
7.594          1530973715.0    可耻的播放量。。。
7.681          1531049178.0    45老婆
7.8            1530958335.0    冲这开头就关注了
8.019          1530890972.0    熟悉的开头，那个“无耻的”要“满满的真吐槽弹幕的阿婆主又冒出来了”
8.754          1531018109.0    原著党表示早已知晓一切
8.97           1531041207.0    猫宫，爱酱，辉夜月
9.122          1530901196.0    大家们，我在小迪的快乐农村等你们!
9.204          1530897966.0    猫宫
9.518          1530897227.0    失踪人口回归
9.723          1531013464.0    无稽之谈
9.841          1531104157.0    233
10.141         1531027513.0    抱走小迪
10.177         1531092548.0    蕾姆谁都别抢走开
10.55          1530874077.0    卡在奇怪的地方了
10.639         1531215907.0    看完原著的我毫不畏惧
10.789         1530951841.0    暂停成功
10.833         1530876230.0    00：10  
10.98          1530967775.0    暂停成功
10.999         1530931610.0    南半球赛高！
11.0           1530964402.0    暂停成功
11.003         1531061707.0    我卡了
11.099         1530986277.0    都是我的
11.163         1530922672.0    截图成功
11.19          1530946637.0    哈哈
11.236         1531030291.0    呼
11.25          1530955345.0    咳咳，看到了不该看的
11.311         1530964068.0    妈妈他们两个凶我
11.332         1530951656.0    6666666666666666666
11.468         1530876736.0    开头既视感
11.626         1531109779.0    .
12.076         1530924788.0    骨王
12.49          1530897469.0    ⊙∀⊙！好凶
12.785         1530891728.0    神奇
12.898         1530966833.0    骨傲天
13.919         1531135171.0    冲着开头给你关注
14.034         1531060252.0    14号骨王回归
14.308         1530879969.0    又卡在了奇怪的地方
15.802         1530948024.0    快了
18.219         1530942473.0    雪风会保护大家
19.084         1530879613.0    废柴加加……
19.664         1530876266.0    00：10  不谢
20.214         1530880191.0    你们的老婆都出轨了
21.418         1530882855.0    弹幕444。。。。
21.763         1530899596.0    我的骨王
24.337         1531045453.0    窝窝漏
24.428         1530948032.0    就还有3天
26.023         1531019301.0    头盖骨
30.463         1530948038.0    啊啊啊
30.625         1531021594.0    这BGM是在准备打安徒恩吗？
31.255         1531025947.0    雅尔贝德是我的
31.993         1531126406.0    明天
32.094         1530969151.0    ...........................
32.762         1530888585.0    还要等4年
32.787         1530885469.0    啥昨天都播了 溜了溜了 去看了￣ ￣)σ
32.948         1530956942.0    还有俩天
33.105         1530889267.0    up是不是有点感冒了
33.119         1531044520.0    周二的26点35 算上时差 就是周三1点35咯
