作品名称：【咬人猫X露露】与你同行~B With U~❤️这个夏天陪你们一起度过o(≧▽≦)ツ
网址：https://www.bilibili.com/video/av26252517
更新时间：07-12
弹幕总量：1184
preciseTime    ofTime          comment
0.0            1530891056.0    刷完这次就去复习线代！（认真脸）
0.025          1530881584.0    超级无敌可爱
0.04           1530883066.0    久违的合作！！！！
0.08           1530892109.0    先投币再看
0.12           1530948186.0    好棒啊，你们两个
0.158          1530975873.0    不管了！投币先！
0.52           1530935286.0    承包喵酱和露露
0.6            1531013513.0    超级棒
0.612          1531067984.0    啊！～这是...这是...这是双倍的快乐！～
0.914          1530889464.0    好久不见的小熊
1.157          1530938455.0    欢迎回来
1.327          1531033811.0    表白露露和喵酱
1.389          1530878747.0    ☆与你同行~B With U~☆
1.773          1530943219.0    恭喜你发现新生物——咬人兔
1.804          1530890633.0     超级可爱！！！
2.004          1531028481.0    之前就想看猫跳这个了，终于等到了哈哈哈
2.032          1530952321.0    微笑很有感染力了
2.269          1530899740.0    粉嫩孪生姐妹！
2.504          1530911938.0    双厨爆炸！！！
2.639          1530925645.0    爱死这对了啊啊啊啊啊
2.783          1530886052.0    是AP家幸福复活节小裙子诶
2.793          1531306331.0    可爱
2.808          1531011599.0    欢迎回来
2.922          1530929842.0    出不去了啊啊啊！
3.132          1530928241.0    我喵酱和露露打call
3.199          1530881370.0    来啦来啦！！突然看到喵酱更新！！超激动的！！！！
3.371          1530887686.0    也就看了十几遍吧
3.561          1530891513.0    承包两个小可爱(๑• . •๑)
3.614          1530880821.0    哇  刚从露露那过来    惊喜啊
3.682          1530978318.0    好难得的同框啊
3.759          1530884247.0    等了好久的合舞!QAQ
3.899          1530888796.0    超喜欢彩虹色的裙撑!
3.962          1530885936.0    深夜吃橘猫播不播
4.046          1531306842.0    超爱你
4.119          1531137123.0    糟了，是心肌梗塞的感觉！
4.35           1530884788.0    咬人猫一遍，露露一遍，小熊一遍，完美！
4.36           1530895333.0    投完币再来
4.363          1530888081.0    好喜欢呀
4.685          1531026598.0    又来刷两只了
4.821          1530878749.0    Bilibili with you~
4.829          1530984801.0    表白两只啊好可爱
