排名：80
网址：https://www.bilibili.com/video/av26254958
更新时间：07-15
弹幕总量：1038
preciseTime    ofTime          comment
0.0            1531452556.0    2333333
0.426          1531431259.0    撒贝宁是故意问他这些问题的呀，顶
1.3            1531343877.0    火绒了解一下，360
1.979          1531479423.0    电脑卡肯定是装了360
2.499          1531445392.0    Aipc就不会中毒
3.84           1531433233.0    撒贝宁杀乌鸡
4.188          1531349720.0    可以
4.608          1531439378.0    可以，很好
4.878          1531646937.0    360流氓软件
5.12           1531457234.0    手机自带管家不是挺好用的吗？
5.361          1531356287.0    额😊怼他
5.741          1531446177.0    哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
5.855          1531455250.0    2333
5.921          1531457411.0    360原本就是病毒生意做大才有所收敛小撒肯定被3721害过
6.079          1531445472.0    然后就被别人买走了
6.799          1531572416.0    360导航了解一下
6.819          1531439030.0    ...
6.826          1531439476.0    哈哈
7.425          1531356210.0    火绒牛逼
7.679          1531449059.0    卸载了毒就没了。
7.942          1531444625.0    红衣教主表情略尴尬
8.021          1531358268.0    360本身就是毒
8.058          1531457960.0    360杀毒，也有毒，营销手段
8.367          1531421455.0    一个流氓
9.042          1531357125.0    卸载360之后，电脑就不中毒了
9.56           1531443588.0    Windows Defender了解一下，现以加入Windows10豪华套餐
9.611          1531555628.0    不乱下载东西不会中毒，用了好多年了都没问题
9.799          1531461116.0    你看了不该看的东西……
10.18          1531356318.0    360不是流氓软件吗？啥时候变成杀毒软件了？
10.571         1531449449.0    红衣主教等等我
10.981         1531426856.0    前方高能预警
11.057         1531567070.0    强烈推荐火绒，安静的和没有一样
11.162         1531456418.0    360是能杀毒的病毒
11.219         1531355900.0    233
11.315         1531360207.0    360真的不要装
11.44          1531456160.0    春心荡漾，360病毒。
11.479         1531455294.0    借口真多
11.507         1531446615.0    2333反讽一波
12.299         1531491902.0    360就一流氓软件，绑定一套辣鸡给你
12.341         1531460285.0    尬的一批
13.658         1531637814.0    这里生气了↓
14.265         1531397992.0    火绒了解一下，没有广告
14.336         1531439500.0    哈哈
14.819         1531454027.0    撒老师：emmmmmm
15.14          1531452116.0    哈哈哈哈哈
15.2           1531456294.0    流氓红衣
15.274         1531441155.0    我也是这样
15.646         1531456240.0    360是最大的病毒
15.798         1531330127.0    可以卸载的
15.88          1531356755.0    国内杀毒软件都不如外国的一个叫avast的软件
16.042         1531461413.0    这个回复太机智
16.162         1531435433.0    毒瘤教主
16.24          1531440740.0    你都载了什么东西(ಡωಡ)hiahiahia 
16.859         1531428400.0    360够流氓，反正我是不敢用
16.897         1531448873.0    之前我庄360也中毒了(๑• . •๑)
17.083         1531441611.0    谁还记得快看
17.26          1531358973.0    让你皮。。。但是360是真滴。。。
17.642         1531354775.0    360真的流氓软件
17.657         1531349733.0    233333333
17.749         1531456098.0    360本身就是个垃圾软件
17.772         1531442998.0    360有一次把我手机的一个重要软件判定为恶意软件。
17.841         1531565820.0    这人要是倒霉，放屁都能砸到脚后跟子
17.92          1531539959.0    这个恶心人的流氓
17.979         1531360054.0    360是流氓软件，不多解释
18.179         1531444433.0    360就是流氓软件
18.7           1531447221.0    360真的是垃圾软件
18.943         1531447836.0    360是真的恶心 呸
18.995         1531425629.0    360是个疯子
19.2           1531458399.0    360就流氓，卸都卸不干净。
19.399         1531635048.0    撒贝宁杀乌鸡
19.561         1531352772.0    本来就是垃圾软件
19.745         1531348978.0    ？？！
19.801         1531446201.0    哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
20.339         1531442552.0    懂得人是不会用360的任何东西，腾讯实在没办法
20.869         1531461521.0    现在没中病毒，反而中了个杀毒全家筒
20.935         1531584982.0    360是真病毒
21.311         1531330086.0    360本身就是病毒
21.44          1531401001.0    360基本没人能卸载干净 除非格式化
21.441         1531418965.0    为什么我用360强力卸载卸不掉360
22.309         1531395901.0    一针见血
23.978         1531453606.0    其实360还好，百度才是最不要脸的软件
24.064         1531456278.0    周某人虽然学历高但没什么素质
24.091         1531394165.0    诡辩
24.096         1531443212.0    小A万岁
24.296         1531330248.0    建议用火绒，绝对好用
24.32          1531581561.0    互喷
24.404         1531449127.0    360前身是3721那个流氓
24.576         1531339413.0    已经不是流氓了
24.824         1531609939.0    扎心
25.173         1531457177.0    你能扯着自己的头发把自己提起来吗？
25.186         1531441687.0    金山毒霸，说我没有权限卸载它……
25.539         1531355937.0    删除360方法：pe删文件，over
26.26          1531441458.0    电脑管家好
26.522         1531439643.0    360就算辣椒，用了电脑总是卡顿
26.559         1531358356.0    流氓软件360
26.6           1531447979.0    流氓360，卸不干净
26.623         1531567960.0    腾讯电脑管家了解一下，好用
26.656         1531456494.0    火绒来一波
26.779         1531357262.0    哈
26.819         1531355493.0    用糸统自带的软件管理卸
27.938         1531563433.0    火绒秒了 
28.601         1531455280.0    卧槽，小天才电话手表！！！
28.949         1531460522.0    2333333333333333333333333333333333333333333333333333333333
29.014         1531445495.0    他就做了360可以删
29.057         1531355582.0    我拒绝360我用电脑管家
29.579         1531350205.0    流氓软件之父。
29.72          1531461186.0    小天才
29.896         1531359692.0    捆绑软件恶心
29.901         1531446218.0    哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
29.961         1531441244.0    卡巴斯基和大蜘蛛了解一下
30.167         1531356245.0    瑞星，金山，360
30.401         1531351194.0    可以推荐一个好的杀毒吗 
30.583         1531456890.0    业界毒瘤
30.651         1531357981.0    360很流氓
30.661         1531576565.0    毒之祖师
30.998         1531355594.0    大爱腾讯不爱三六零
31.02          1531440951.0    手上的360儿童手表瞩目
31.033         1531449385.0    哈哈哈哈哈哈哈真 周红衣
31.301         1531437503.0    垃圾软件
32.022         1531440756.0    去你那的360
32.044         1531439733.0    策略组了解一下
32.385         1531357855.0    360重装之后黑屏。。。。
32.622         1531454537.0    这脸打的  pia pia pia 
32.768         1531451542.0    360一占内存就占了1个多G
33.023         1531440304.0    流氓软件
33.113         1531440126.0    360真的好烦
33.162         1531459921.0    老周戴儿童手表
33.35          1531455795.0    呵呵。不用360
33.474         1531340488.0    我不用杀毒软件
33.739         1531419165.0    3721了解一下
34.213         1531454686.0    我想起来那个用360卸载360的
34.863         1531442040.0    360就是流氓软件
34.979         1531418888.0    360整天烦得很
35.04          1531455809.0    金山要到文件夹里去找他的卸载目录
35.078         1531358007.0    用360强制卸载360😂
35.297         1531457002.0    流氓软件起家的梦能好到哪
35.441         1531457425.0    360儿童手表？
35.539         1531457957.0    IE浏览器不是不服谁
35.736         1531646991.0    小天才电话手表
36.66          1531355809.0    我早就把360卸了
36.81          1531438488.0    以前是良心，现在的确是流氓
37.139         1531456951.0    迈克菲了解一下
37.242         1531358285.0    手上戴的电话手表
38.161         1531440022.0    知道爱奇艺这个软件吗
38.656         1531440418.0    以前360没那么多广告
38.819         1531639866.0    流氓软件。就想着各种弹窗。该系统设置。杀毒杀个屁，杀自己啊
39.017         1531498200.0    你与众不同你喜欢抄越你有梦想你有力量你从不把原创作为目标记住你的名字叫做360360快视频奇虎公司制造包裹**外衣大容量盗视频128TB1024P清晰度向盗版的人生致敬36
39.08          1531453237.0    火绒了解一下
39.189         1531444956.0    金山也是流氓了
39.665         1531357503.0    360真的不是很好
39.706         1531452481.0    撒贝宁杀乌鸡
39.985         1531348175.0    什么小天才，那是360智能手表
40.199         1531481782.0    你们说360是流氓软件。。那你们用什么杀毒。。。
40.377         1531448716.0    关我游戏
40.381         1531456953.0    360最恶心软件没有之一
40.401         1531455335.0    红衣服的人身上带着小天才电话手表
40.74          1531445995.0    你容易卸载  病毒也容易
40.789         1531439425.0    小红伞 赛门铁客 金山卫士也还可以吧
40.841         1531424169.0    这不是小天才，是360！！！
40.877         1531442892.0    360真的很贱
41.041         1531454587.0    说360的跟风狗真多
41.64          1531420597.0    360就是病毒
42.503         1531359824.0    那是360手表
42.742         1531441650.0    谁还记得快看
42.902         1531487892.0    小天才手表的那个666
43.307         1531461263.0    这带的小天才好看啊（滑稽）
43.666         1531442780.0                               小天才电话手表↘↘↘↘↘↘↘↘↘↘
43.839         1531457657.0    免费给你们用就别牢骚一大堆，有钱去装卡巴斯基啊
44.806         1531498206.0    你与众不同你喜欢抄越你有梦想你有力量你从不把原创作为目标记住你的名字叫做360360快视频奇虎公司制造包裹**外衣大容量盗视频128TB1024P清晰度向盗版的人生致敬36
44.917         1531562554.0    敢用免费软件杀毒 你系统不要钱？
45.461         1531446242.0    我要被笑死了
45.713         1531453751.0    小天才电话手表
46.193         1531472564.0    周总手上带的是小天才电话手表？？？？
46.404         1531349762.0    红衣军
46.535         1531430212.0    表示用了10年360没任何问题
47.04          1531448165.0    浏览器导航给你锁住
47.358         1531359736.0    手机的360有没有问题
47.486         1531348553.0    360现在是真的不行
47.922         1531437526.0    360原来很好，现在越来越糟糕了，正在纠结要不要装腾讯
48.25          1531351618.0    360 以毒攻毒
48.481         1531440172.0    我告诉你们我这辈子最恨460和360了
49.601         1531445027.0    360快视频
49.689         1531449524.0    垃圾390
51.121         1531356334.0    我去
51.394         1531450230.0    腾讯管家，了解一下
51.561         1531361821.0    卸载360全家桶要了我好几个小时
51.856         1531341772.0    360挺不错，比腾讯好多了
52.242         1531632751.0    流氓软件之父
52.462         1531410392.0    小天才电话手表
52.781         1531498214.0    你与众不同你喜欢抄越你有梦想你有力量你从不把原创作为目标记住你的名字叫做360360快视频奇虎公司制造包裹**外衣大容量盗视频128TB1024P清晰度向盗版的人生致敬36
52.827         1531339870.0    前面黑的都太没水平了，自从用了360再也不怕病毒了，牛逼你用瑞星去啊。
53.798         1531357096.0    360手表
53.974         1531566775.0    上午踢了两个小时球
54.057         1531447251.0    红衣教主
54.384         1531613000.0    233333333333333
54.901         1531453823.0    小伙子带的什么什么表，哦，小天才电话手办吔
