作品名称：【YouTube中国舞团火了】火影忍者史上最牛舞蹈秀！外国网友：看哭了，评价翻译
网址：https://www.bilibili.com/video/av26255945
更新时间：07-11
弹幕总量：661
preciseTime    ofTime          comment
0.0            1531209814.0    ...
0.077          1531126823.0    原视频av23818365
0.093          1530975687.0    那个男人会来么
0.166          1531046639.0    建议屏蔽 牌牌琦 食用
0.611          1531211269.0    av23818365
1.057          1531054047.0    AP
1.992          1531106861.0    这队伍是广州的，参加的是全球齐舞大赛，Arena2018年度总决赛，5月20日在四川成都欢乐谷举行
2.273          1531220819.0    有共鸣虽然只追了150多因为懒。。。但看了想哭说真的从这部出开始我就在看虽然因为懒
2.342          1531137207.0    原视频地址看简介
3.256          1531137265.0    右边雏田瞩目
3.441          1530939228.0    wow
4.215          1530969443.0    那个男人会来吗？
5.474          1530977751.0    见火滚
5.514          1531040497.0    明明是黑人小哥好吗，黑人小哥最好看
5.689          1531285519.0    啊？
5.832          1531097705.0    原版看简介
6.598          1530949959.0    我很好奇为什么会有500多👎？？？？？
6.62           1531175472.0    6666
7.535          1531070620.0    old dog!
7.585          1531206552.0    第三遍
7.652          1531212142.0    抱歉，我想到了黑人小哥
7.732          1531037446.0    那个男人是谁？
7.756          1531026461.0    那位大人
7.856          1531062839.0    500 这么少你还要求什么
8.414          1531023084.0    火影火影火影
8.617          1531215496.0    不应该是黑人那个吗？
8.778          1531128864.0    大家好，我是香蕉，他们叫我蕉忍，我就是那个男人👨
9.04           1530977567.0    http://www.bilibili.com/video/av24681534?share_medium=android&share_source=copy_link&bbid=EB6EBD53-2
9.538          1531129912.0    空气逐渐变得焦灼
10.358         1531065710.0    二周目
10.482         1531061177.0    中间那段变奏的九尾 跪求bgm
10.666         1531017764.0    突然想到牌牌琦
11.472         1531022675.0    忍法，三指放大之术
11.638         1531148383.0    牌牌琦
13.553         1531097390.0    空气焦♂灼
13.598         1531024282.0    bgm一换，就是牌牌琦
13.755         1531062554.0    佐助
14.881         1531203321.0    在现场..
14.932         1531012995.0    因为有很多讨厌中国的
15.715         1531024784.0    ？？？牌牌琦什么东西拿他和这个比？？？
16.044         1531025908.0    前面牌牌琦的，是不是瞎
16.05          1531061217.0    这个比赛真的还有更牛逼 虽然我觉得这个已经是冠军 因为我是火影迷
16.093         1531004120.0    蕉忍疾风传♂
16.257         1531033639.0    牌牌琦的那位哈哈哈
16.754         1531106145.0    帅啊
16.786         1531035371.0    说是牌牌琦的睿智?你家牌牌琦跳的跟这水平一样?不懂就别出来丢人现眼
16.82          1531095182.0    影分身？
18.533         1531113861.0    仙法：3指巨化
19.299         1531184067.0    苏喂苏喂
19.653         1531030892.0    Naruto！
19.773         1531028496.0    我居然是通过油管才看见了中国的舞蹈
20.172         1530968206.0    可能别人以为是日本人
20.22          1531153710.0    啥是gay
20.336         1531024519.0    我更喜欢非洲版的
21.253         1530985110.0    还有个九尾头2333
21.643         1531136876.0    肉麻
23.107         1531014566.0    这里太棒了
23.522         1531122028.0    杀丝k
23.552         1531141628.0    哇 想看现场 感觉要激动得哭出来
23.678         1531023182.0    我要硬币何用
24.677         1530952869.0    这个九尾太有创意了！！！！！！！！！！
25.445         1531148884.0    美拍好评
25.675         1531047019.0    辣仙根！
25.698         1531139280.0    辣仙根
26.912         1531284275.0    这个音乐响起突然很感动，小学接触火影，现在已经大学毕业了
27.414         1531043178.0    牌牌琦的，现在就不行了
27.444         1531190858.0    66666666666
27.84          1530939268.0    哇塞
27.945         1531219302.0    拿第三的舞在你眼里就跟牌牌琦一个水平？抽象艺术看不懂这也看不懂？
28.09          1531126796.0    一克搜！可啦嘛！
28.242         1531140645.0    火影话剧？
28.278         1531111892.0    为啥用的是日本的文化而火的
28.452         1530884865.0    鸡皮疙瘩
28.751         1530979520.0    好赞啊啊
28.876         1531152443.0    6666
29.068         1531227907.0    酷
29.109         1531224500.0    666
29.474         1531022942.0    太赞了！
29.59          1530921342.0    想看这个舞蹈的原版视频 另外想知道前两名的表演是多出色
29.6           1531049257.0    太棒了！！！！！
29.713         1530976224.0    九尾狐？
29.726         1530898178.0    好帅啊
29.951         1531023208.0    这个真的很厉害
30.182         1531150132.0    e
30.193         1531061031.0    这个好像是东北一个社团排的
30.634         1530945290.0    鸡皮疙瘩！！！！
30.753         1531028977.0    np
31.108         1530969651.0    哇！
31.121         1531304254.0    鸡皮疙瘩都起来了
31.213         1530982497.0    瞬间爆炸！！！！！！啊啊啊
31.492         1531152533.0    在中国这叫很牛逼，在日本这叫很正常。
31.707         1531209432.0    我是火影迷！我给冠军！
31.806         1531062694.0    哇哇哇
32.33          1530961005.0    鸡皮疙瘩!
32.349         1530975328.0    鸡皮疙瘩＋1
33.313         1530968080.0    九喇嘛！
33.434         1531234370.0    鸡皮疙瘩起来了
33.572         1530951821.0    拜托，原版本站就有。
33.613         1531025613.0    说牌牌琦的莫不是脑子有饼
34.072         1531239125.0    我一看这个就想起了那群黑人
34.48          1531150136.0    e
34.573         1531024705.0    是真的鸡皮疙瘩
34.58          1531133815.0    らせん丸。
35.052         1531062837.0    太6了
35.224         1530979314.0    我想看这个跳舞视频
35.874         1530965400.0    鸡皮疙瘩
36.056         1531095202.0    九喇嘛
36.438         1531128447.0    火遁豪火球之术
36.492         1531221385.0    牌牌琦
36.716         1531145658.0    下次翻译尽量别加修饰词
38.721         1531015349.0    原版b站就有
39.299         1531142450.0    长沙的吧……听到最后主持人说了个“感谢来自长沙的……”
39.756         1531153535.0    我看哭了
40.116         1531146446.0    有，我哭唧唧
40.74          1531034380.0    鸡皮疙瘩
41.074         1531035041.0    我想看全屏的
41.374         1530976248.0    八格牙路八格牙路。。。
41.565         1531093811.0    日本
42.081         1530939285.0    哇
42.172         1531019823.0    三指放大了解一下
42.529         1531144555.0    神秘骂街男
42.653         1531059186.0    鸡皮疙瘩都起来
42.68          1531026304.0    鸡皮疙瘩都起来了
42.759         1531036588.0    这就是街舞！
42.778         1531153390.0    一言不合就来段R&B
43.814         1531058822.0    好棒啊
43.933         1531021942.0    八尾的rap吗
43.94          1531130888.0    pce
44.041         1530939303.0    看的说不出话，要是有原本就好了
44.114         1530993725.0    听不懂
44.115         1531187232.0    666
44.224         1531266115.0    不知道为啥起一身鸡皮疙瘩
44.263         1531015286.0    突然泪目
44.294         1531194682.0    八格牙路
44.493         1530984689.0    疾风传后再无火影！
44.537         1531137602.0    哭？贼JB尴尬
44.577         1531203356.0    在成都
