作品名称：当王境泽使用自己的表情包会发生什么？真香警告！【结尾高能】
网址：https://www.bilibili.com/video/av26261060
更新时间：07-10
弹幕总量：418
preciseTime    ofTime          comment
0.68           1530879473.0    我在这个群
1.047          1531138173.0    提前大赞1016楼
1.082          1530935268.0    顶上去
1.543          1530886302.0    哈哈哈哈哈，粉丝群来的，我是五群饭饭，留念一下
1.635          1530924981.0    会被做成视频发到b站来
1.724          1531059271.0    会被拍成视频发到B站
1.865          1530880200.0    会上b站
2.062          1530881583.0    会被拍成视频放到B站
2.266          1530892014.0    结尾小高能
2.423          1530929159.0    素质三连顶上去！！
2.852          1530881659.0    (⑉°з°)-♡
2.87           1530882885.0    会被放到b站上
3.199          1531025759.0    有人在吗？
3.307          1531014925.0    ）
4.071          1531033414.0    1级号11万粉，牛逼
4.185          1530880329.0    我昨天晚上加的这个群
4.374          1530932851.0    顶上去
5.313          1530886210.0    139031646
5.604          1530902057.0    说这个不是王境泽QQ的可以去他空间看，参加变形计前的照片里面都有
6.417          1530858158.0    会被发到B站
6.699          1531106305.0    香香五楼报道
7.003          1531019849.0    群主头像好评，DARLING！
7.363          1530925407.0    小米手机
7.563          1531138030.0    会上b站
8.024          1531138382.0    王妃好评
8.205          1531023243.0    BGM:王妃
8.236          1531020350.0    BGM好评
8.359          1530923824.0    在群里！
8.403          1531226559.0    王妃？
8.743          1530935141.0    真香
9.187          1531016548.0    真香
9.465          1530924736.0    我跟我爸
9.543          1530887844.0    真香
9.591          1530929175.0    已推荐
9.683          1531025403.0    王妃
9.877          1530880128.0    bgm:王妃
10.03          1530924938.0    %
10.065         1531025766.0    有人吗理理我
10.415         1530987489.0    ，，，，
10.643         1531024343.0    顶
10.687         1531113547.0    这里唯一。。。
10.695         1531002449.0    会上B站
11.343         1530920422.0    王妃_萧敬腾
11.349         1530929002.0    在群里哈哈哈哈哈
12.478         1531026637.0    全程高能，要看完哦
12.905         1531019597.0    23333
13.245         1531018276.0    竖屏讲究
13.292         1530935282.0    点个推荐顶上去
14.683         1530935211.0    会被发到b站
14.804         1531014552.0    神特么QQ群名字叫香香
14.873         1530890525.0    发个弹幕
15.275         1530884145.0    会被做成视频放到B站
15.634         1530882363.0    在现场
16.05          1531058818.0    王妃
16.142         1530884104.0    同款碗
16.306         1530889031.0    bgm好评
16.623         1530927851.0    hhhhhhhh我在这个群里
17.036         1530932863.0    推荐让更多人看到！
17.545         1530923701.0    BGM:王妃-萧敬腾，再问自杀
18.178         1531035713.0    已经上B站了
18.259         1530901859.0    我估计只是扣扣群的备注改成王境泽而已。
18.504         1531124861.0    bgm好评
18.637         1530889232.0    bgmhhhhhhh
19.58          1530938959.0    在现场哈哈哈哈哈哈哈哈哈哈哈哈哈
20.068         1531018058.0    真香
20.964         1531023113.0    真香
21.235         1530889019.0    BGM???
21.277         1531026646.0    结尾高能
21.423         1530889418.0    我去，同款气泡，居然有人也和我一样
21.505         1531049455.0    香香楼一楼某不愿意透露姓名的成员前来报道
21.808         1531020374.0    BGM逐渐崩溃
22.045         1530924554.0    会被放到b站
22.291         1530932052.0    三号佛楼来此领略风景
22.563         1531015964.0    哈哈哈
24.186         1531022009.0    王境泽版鬼畜
24.674         1530914404.0    假的吧就改了个备注
25.005         1531020403.0    同款碗
25.387         1531061661.0    真香
25.467         1530929458.0    说假的自己进群看他QQ再回来，这就是王境泽本人
25.829         1530858166.0    真香警告！
25.865         1531019088.0    同款饭碗
25.891         1531199824.0    气泡是艺兴  哈哈哈哈哈哈哈
25.9           1531018025.0    哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
25.928         1530901004.0    好像还挺好喝的
26.132         1531018823.0    在现场
26.184         1531021365.0    bgm 王妃―王境泽
26.486         1530891874.0    2333
26.569         1530902100.0    抱歉这个的确是王境泽
26.617         1530927432.0    真香
27.002         1531009627.0    哈哈哈哈哈哈哈哈蕾丝
27.026         1530870800.0    没人？
27.501         1531023120.0    真香
27.71          1530880117.0    我也在一群，现在还是禁言状态
27.825         1531014868.0    这个是王导大号，我也有QQ，奈何群主不让公布，再说公布了你也加不了
28.056         1531017969.0    真香
28.099         1531022800.0    真香！
28.363         1530931486.0    哈哈哈哈哈哈哈哈哈
28.93          1531188818.0    真香
28.946         1530921573.0    这是真的！！！
29.123         1530927875.0    在这个群告诉你们，是本人hhhhhhhh
29.184         1530934696.0    真香
29.198         1531025516.0    同款碗
29.343         1530889044.0    收回好评
29.72          1530882153.0    神tm萧敬腾的王妃
30.034         1530929875.0    就是本人
30.415         1531104945.0    真香
30.585         1531019784.0    真的真的
30.665         1530884236.0    意识下按了下辅助点
31.082         1530877855.0    顶上去，报复社会
31.253         1530921358.0    一群总禁言
31.312         1531023250.0    官方吐槽，最为致命
32.062         1530994716.0    老弟来一口
32.069         1531010993.0    @
32.717         1530891802.0    我家有这个碗
33.25          1530889989.0    靠
34.349         1530933895.0    bgm好评
34.456         1530888536.0    表情满分
34.643         1531012422.0    我进一群的时候只有十个人
34.963         1531020280.0    一个梗火起的人 居然有那么多人粉 真是什么都能火
34.967         1530923565.0    同在一群hhhh这个真是泽哥
35.253         1530931364.0    真香
35.821         1530877867.0    真香警告
36.143         1531139587.0    真香
36.2           1530886133.0    好好哈哈哈哈哈哈哈
36.303         1530898447.0    按辅助点的加我一个
36.931         1530928266.0    假的吧
37.403         1530926089.0    都有粉丝群了?
37.996         1531010186.0    bgm好评
38.024         1531011931.0    每次我翻消息的时候看见一群99+我进去的时候就有全体禁言了。。
38.037         1531151658.0    BGM好评
38.069         1531119490.0    真香警告
38.756         1531040391.0    真的！！！
38.77          1531010085.0    老张气泡好评ヽ(ﾟ∀ﾟ)ﾉ!
40.221         1531211938.0    真香！
40.228         1531009132.0    这个是真的好像
41.43          1531021551.0    同款饭碗
41.626         1531010925.0    ？下拉弹幕框可以拉长
41.842         1530933139.0    这个表情包下载搜狗输入法里面的斗图有
41.965         1530892824.0    然而王境泽并没有承认任何qq
42.106         1531013072.0    BGM:王妃-王境泽
42.634         1531004977.0    真当王泽境不上b战
43.06          1531052763.0    假的
43.67          1530923859.0    PS：这个是真的王境泽
44.049         1531118011.0    不自觉的往下划
44.143         1530890921.0    我有一套
44.712         1530885679.0    你是不是气我呢
44.883         1531012496.0    王境泽有毒
44.922         1530883590.0    发了三张图片，禁言2333
45.1           1530934907.0    一楼的小伙伴举起你们的双手！！！
45.26          1531022287.0    2鬼!!!!!
45.444         1531017992.0    这个不是王境泽
45.605         1530905538.0    都安排！
45.828         1531002474.0    二鬼哈哈哈
45.918         1531022587.0    四楼养老楼
45.921         1531015131.0    233
45.992         1530886075.0    同款碗
46.706         1531015494.0    我有没有酒不知道，但炒饭和真香我有
47.283         1531019954.0    二鬼哈哈哈哈哈哈哈哈
47.343         1531123076.0    二鬼老公！
47.362         1531150263.0    二鬼！！
47.869         1531018489.0    2鬼2鬼2鬼
48.591         1531064566.0    4k
49.171         1530923613.0    同款头像
49.285         1530891255.0    小米手机
49.557         1530931986.0    2鬼好像是真的？
49.581         1531022748.0    白晓生同款头像
49.586         1531020570.0    是2鬼！是真的王境泽！
49.727         1531023687.0    膨胀了？？？
