作品名称：活动作品papi酱突然更新的放送——裁判永远是对的！如果裁判错了……你就完了
网址：https://www.bilibili.com/video/av26262069
更新时间：07-10
弹幕总量：993
preciseTime    ofTime          comment
0.0            1531060111.0    g
0.419          1530972548.0    赞👍
0.567          1530973311.0    高产似那啥
0.646          1531056878.0    前排防不胜防预警
1.557          1531025032.0    papi保佑我期末考试！！！！
2.229          1530978079.0    66
3.61           1531029825.0    看到下面相关游戏了
3.617          1531151384.0    我活了2333333岁的祖宗生前最喜欢看你的视频了
3.716          1531106153.0    失踪人口回归
3.816          1530976762.0    失踪人口
5.01           1531196845.0    失踪人口回归
5.409          1531145426.0    。。。
5.495          1531051289.0    失踪人口回归
5.52           1530980940.0    真突然
5.534          1531143516.0    表白papi酱
5.629          1530969369.0    好有道理，我竟无言以对了，233333
5.673          1531028861.0    失踪人口回归
5.783          1531037319.0    失踪人口
5.914          1530974827.0    突然更新 男泣女泪
6.114          1531031686.0    失踪人口
6.236          1531140246.0    没有白鼠片头的都是赞助的
6.548          1531014422.0    女神女神
7.252          1531041501.0    ！
7.465          1531067290.0    失踪人口回来啦
7.81           1531038650.0    时隔多年的放送
8.114          1531055868.0    卡
8.127          1531027360.0    失踪人口回归！！！！！
8.144          1531063873.0    你可算回来啦
8.194          1531127942.0    猝不及防预定
9.135          1530981970.0    说的是今天早上比利时vs巴西那场吧。
9.432          1531112404.0    233333333
9.743          1530985109.0    猝不及防
9.815          1531117903.0    你还有脸回来
9.879          1531013140.0    这个球衣！！突然想到我葱！
10.1           1531138416.0    德意志！！
10.55          1530973244.0    失踪人口回归
10.661         1531220982.0    泪目
10.921         1531130616.0    6666666
11.086         1531059750.0    ??
11.513         1531111185.0    终于能发弹幕了感动得落泪
11.931         1531052705.0    我德！！！！！
12.85          1531145045.0    德国队！！！
13.222         1531192216.0    @某贞德
13.687         1531060481.0    前面想起我葱的傻苞别走。
13.877         1530984926.0    这是棒球场！？
14.019         1531189617.0    姜阿姨
14.655         1531222536.0    晚上查成绩，保佑保佑
14.857         1531101927.0    一股老师的气息
14.901         1531071175.0    班主任上线
15.415         1531198570.0    这个太像我们老师的语气了
15.472         1530982911.0    哈哈哈哈哈哈
16.005         1531124259.0    黑我内马尔？？？？
16.254         1531220462.0    哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
16.292         1531148352.0    。。。
16.432         1531047281.0    来了😁
16.559         1531026072.0    6666666666这期牛逼
16.846         1531150841.0    比利时对巴西裁判瞎了
17.229         1531059757.0    没弹幕?
17.298         1530982988.0    你去哪里了啊。。
17.632         1530975724.0    哈哈哈哈
18.8           1531194002.0    ？？？？？？？？
19.476         1530976904.0    papi啊啊啊啊啊
20.393         1531112420.0    真实
21.211         1531023850.0    你都失踪多少次了
21.449         1530972571.0    对对对
21.768         1531110070.0    这个巫师发型，应该是门将吧......
22.0           1531050870.0    厉害了
22.753         1531123731.0    失踪人口回归正常
23.233         1531041506.0    看你不顺眼呀
23.798         1530979404.0    @桑保利
23.824         1531217342.0    阿根廷流泪
24.993         1531220350.0    怀念德国！！！！！！！
25.014         1531185178.0    考前一看
25.471         1531066337.0    卧槽班主任你怎么在这儿
25.648         1531028926.0    一天前
26.309         1530971846.0    阿根廷吗？
26.57          1531130660.0    下面德国那个赔了吧
26.746         1531061843.0    @韩国裁判
26.998         1531049138.0    @内马尔
27.339         1531223382.0    一模一样…………
27.379         1531045225.0    哈哈哈哈哈哈
28.614         1531198599.0    这个太像我们老师讲的话了
28.654         1531222854.0    我们朱老师奇偶哦是这样纸
28.812         1530975716.0    真棒
29.225         1531050167.0    这老师没毛病
29.735         1531222392.0    太真实了8
30.713         1531212811.0    哈哈哈哈哈
31.722         1531106894.0    妈呀像极了蛤蛤蛤
31.861         1531053166.0    班主任
31.961         1531139271.0    papi真白
31.977         1531129596.0    真实
32.634         1531210173.0    班主任哈哈哈哈哈哈哈哈哈
32.794         1530969818.0    22个人每人一分钟可以同时进行，所以还是1分钟。赛场上那么多人鼓掌是不是要鼓掌几万分钟？
33.096         1531129490.0    那你怎么不说一个人一节课45分钟，全部22个人是不是一节课有45X22分钟？
33.355         1531197514.0    红字优秀
33.495         1531147215.0    老师？
33.553         1531028623.0    神还原
33.713         1531048108.0    十分真实
34.511         1531044333.0    好老师都是这么上课的
35.65          1531028648.0    2333333
35.791         1530977578.0    毫无违和感哈哈哈哈
35.939         1531152248.0    每句话都…
35.971         1531015795.0    别挡字幕
36.155         1531112044.0    我们老师没错了
36.462         1531057180.0    就怕过pg 
36.512         1531146219.0    这是我班主任了
36.79          1531022351.0    可以说是很像了
36.919         1531207386.0    真像哇！
37.407         1531049661.0    原来每个老师都会说这种话 哈哈哈哈
37.754         1530991626.0    说的就是阿根廷对法国那一场
37.892         1531112440.0    真实
37.921         1531048340.0    我们数学老师每节课都这么说
38.138         1531119174.0    十分还原
38.384         1531223298.0    简直上课的写照
38.403         1531146482.0    是本人了
38.78          1531223110.0    优秀
38.793         1530969597.0    班主任？？？
38.902         1530972949.0    没人么？
38.973         1531204803.0    就是我们老师了
39.5           1531225840.0    就是这个逻辑
39.696         1531107338.0    哈哈哈哈是我们老师了
40.131         1531019908.0    挡你🐴的弹幕
40.193         1531092548.0    随
40.401         1531053175.0    是的
40.439         1530971340.0    23333
40.604         1531222736.0    真的是我的老师
40.694         1531203629.0    袖子上的梅花爪爪印花
41.379         1531044044.0    这不是老师吗
41.633         1531208171.0    工资照样拿！
41.893         1531092573.0    所以老师你现在在浪费谁的时间？
41.938         1531116676.0    伤停补时十分钟hhhh
42.018         1531035200.0    233333333333333333333
42.079         1531083611.0    真实
42.172         1531049355.0    哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
42.34          1531128824.0    这个太真实了!
42.479         1531042534.0    楼下的大学字幕真实了
42.766         1530970622.0    红字23333
42.888         1530972977.0    老师当裁判哈哈哈
43.024         1530982420.0    有道理
43.189         1531121167.0    哈哈
43.216         1531059831.0    这声“啊”我以为是牛在叫哈哈哈
43.768         1531117466.0    班主任既视感2333
43.872         1530977606.0    哈哈哈伤停补时宛如压堂
43.991         1530973524.0    班主任既视感
44.082         1531041542.0    你以为我想比呀
44.263         1530969409.0    班主任既视感
44.326         1531039312.0    哈哈哈哈哈哈哈哈哈
44.328         1531212825.0    优秀！！
44.634         1531025948.0    太真实了
45.634         1531120267.0    绿字超越神了
45.954         1531035236.0    是我老师没错了
46.393         1530975737.0    哈哈哈哈哈
46.464         1530971878.0    老师？
46.514         1531118899.0    卧槽……一模一样
47.095         1531049410.0    非常像了
47.477         1531095425.0    班主任
47.866         1531009698.0    想起来了初中班主任.....
47.894         1531113521.0    啦啦啦啦啦
48.805         1531220262.0    班主任啊！！！！
49.121         1531041569.0    谁注意了后面的背景板
49.459         1531022501.0    这就是我们班主任。。
49.714         1531031893.0    老师本师了
49.798         1530973735.0    这不是我们老师吗
49.834         1531112544.0    我们老师
49.852         1531205143.0    哈😄
49.874         1530970896.0    一模一样
49.973         1531126516.0    也TM太像了，笑死我了
50.014         1531198628.0    是我老师
50.095         1531126571.0    太真实了真的
50.608         1531128925.0    非常真实
50.622         1531130684.0    班主任上了？？？
50.645         1530979753.0    @内马尔
50.838         1530974450.0    好平
50.97          1531112622.0    班主任？？？
51.092         1531221071.0    哎哟卧槽听到这话虎躯一震啊完完全全我们数学老师
51.199         1531148402.0    班主任即视感
51.257         1531028640.0    我们的英语老师……
51.385         1531028664.0    神还原
51.67          1531225563.0    我隔壁班的老师哈哈哈哈哈哈哈哈
51.674         1531056230.0    就是我们体育老师
51.775         1531053511.0    23333333333
51.792         1531037955.0    我的天呐，太像了
51.82          1531047069.0    哈哈哈红红火火恍恍惚惚，神还原
52.387         1531028425.0    我们老师附体
52.494         1530975301.0    仿佛看到了班主任
52.533         1531081857.0    生动形象
52.652         1531011804.0    @郭旭明
52.696         1531011262.0    哈哈哈哈哈哈哈
52.734         1530975750.0    高中老师哈哈哈哈
52.796         1531206663.0    哈哈哈哈好可怕太像了哈哈哈哈哈
53.015         1531020085.0    班主任😂😂😂
53.067         1530972883.0    语文老师，是你吗
53.312         1531016407.0    这不是我老师吗？！
53.346         1530974460.0    真的是我本人了
53.354         1531113536.0    太真实了
53.451         1530974724.0    一模一样
53.463         1531016996.0    是我们班主任了
53.533         1531114933.0    班主任嘛？
53.575         1531037049.0    一毛一样
53.584         1531031091.0    @郝向华
53.634         1530969572.0    班主任口吻2333
53.638         1531060433.0    超级像了
53.717         1531151465.0    太真实了
53.719         1530970537.0    绝了绝了，老师本师了
53.752         1530972620.0    一模一样
53.815         1531143234.0    ？？？？？？？？？？
53.929         1530975763.0    要点脸太像了
54.295         1531126165.0    我们的游泳老师23333333333
54.513         1531015890.0    看看看，后面，这样子都没几个人看世界杯了
54.664         1531036784.0    老师啊……一模一样
54.67          1530969095.0    哈哈哈哈哈哈哈哈哈哈哈
54.736         1531104828.0    一模一样233333
54.773         1531197080.0    哈哈哈哈哈
54.88          1530977483.0    哈哈哈哈哈哈哈哈
54.972         1531149064.0    哈哈哈哈哈哈哈
55.102         1530972570.0    原来的味道哈哈哈
55.304         1531113823.0    残
55.46          1531022137.0    6666666666666666
55.663         1531217358.0    我擦
55.713         1531116397.0    是老师本人了
55.854         1531058762.0    班主任吧
55.856         1531026312.0    班主任没错了
56.218         1531145571.0    真实。。。
56.334         1530969620.0    我们老师啊哈哈哈
56.343         1530983648.0    23333333333
56.409         1531146245.0    这不是我老师吗
56.461         1531134311.0    太真实了
56.542         1531114108.0    好像啊
56.588         1531065262.0    厉害厉害
56.691         1530972607.0    哈哈哈哈哈哈哈
56.783         1530978350.0    英语老师原话没错了233
56.806         1531152979.0    这不是我们老师嘛
56.843         1531150270.0    粉笔是什么鬼
57.097         1531145244.0    厉害厉害。惹不起
57.409         1530982080.0    穿的是小裙子吗？就不能换个小裤衩。
57.414         1531069565.0    卧槽，好像看到自己班主任的名字了，吓die
57.685         1531107369.0    班主任哈哈哈哈
57.801         1531030411.0    太真实了........
57.936         1531031290.0    0.5倍速  真的超棒
58.189         1531021407.0    ⚽️⚽️⚽️
58.33          1531027738.0    扔粉笔哈哈哈哈哈
58.919         1531219537.0    裁判变体育老师
58.968         1531220598.0    〒_〒
59.76          1531068144.0    胸前卡尔美商标贴了，两袖的卡尔美标还露着
60.867         1530980827.0    @班主任
60.869         1531061750.0    啥时候点胡德镇的名2333
60.928         1531128871.0    班主任本任了
61.233         1531099805.0    为什么天下的老师都一样哈哈哈
61.533         1531152063.0    15号瑟瑟发抖
62.448         1531116852.0    硬核裁判
62.673         1531149075.0    哈哈哈哈哈哈哈
62.838         1530973542.0    绝了
63.087         1531119547.0    老师呀！
63.115         1531128010.0    咱不上课了啊两班都来看你俩吵
63.274         1531049120.0    1001
63.533         1531204838.0    绝了，一模一样
64.783         1531017562.0    同一个世界，同一个老师
