作品名称：【墨香铜臭原著《天官赐福》】剧情向伪电影预告（为你战死是我至高无上的荣耀）
网址：https://www.bilibili.com/video/av26263269
更新时间：07-10
弹幕总量：1409
preciseTime    ofTime          comment
0.092          1531031708.0    大家快来看神仙做法！！！！
0.109          1530980440.0    影视版？告辞告辞
0.156          1531136871.0    这是第十遍了，啊啊啊啊百看不腻
0.835          1530969129.0    我信了原著轻松文的邪！！！！
0.859          1530980415.0    霍建华，居老师，真颜表立，一直get不到霍建华的帅点
0.901          1531064527.0    我已经点开视频了！！！请问是直接跪吗？？？姿势对不对？？？？
0.933          1530964891.0    第n遍
1.207          1530974690.0    放我出去！！！！！！
1.24           1531050182.0    吹暴
1.362          1531037227.0    假的假的 都是假的 电影？预告？呵呵 别想了 不存在的 仔细看一下标题
1.443          1531058882.0    怎么说呢，我一点也不喜欢真人的电影，即使人长得真好看也不及我心中的花怜一分
1.48           1530872466.0    疯狂表白神仙剪辑
1.489          1530866260.0    终于等到你！还好我没放弃
1.6            1531216174.0    真的牛批
1.669          1531063570.0    再看最后一遍
1.747          1531021404.0    我保证这是我的最后一遍
1.945          1531186960.0    日刷3/3
2.479          1530967177.0    硬币走你
2.63           1531155024.0    表白朱老师的花城 蟹蟹神仙up主
2.776          1531189781.0    应该是第五遍了
3.005          1530870070.0    我又来了
3.033          1531067461.0    啊啊啊啊啊啊啊秦且歌
3.554          1531037272.0    诸位请再仔细看下标题
3.638          1531098092.0    ？？？？
3.659          1531059648.0    啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊阿
4.1            1531051524.0    舒服
4.204          1530872233.0    想再去看一遍原著
4.339          1531048807.0    天官赐福 百无禁忌
4.97           1531106094.0    [0,0,"1-1",4.5,"神仙剪辑",1,1,700,500,1000,0,1,"SimHei",true]
5.455          1531064170.0    天官赐福，百无禁忌
5.604          1531037325.0    伪电影
6.2            1531026529.0    炸裂！！！！！
6.38           1530872304.0    火钳刘明
6.488          1530870311.0    应该是moxiangtongxiu不是chou
6.942          1530873235.0    火钳刘明
7.265          1531032252.0    日常一刷
7.357          1531029565.0    看了一遍，准备看小说了
7.665          1531066584.0    天呐!!!!!!秦且歌配怜怜啊啊啊啊啊啊啊
8.021          1531101083.0    ？？？？？？？？？？？？？
8.423          1530871551.0    优秀！！！
8.544          1531215765.0    啊啊朱一龙
8.56           1530870487.0    太棒了
9.122          1531204925.0    我又来了！
9.361          1530986337.0    天官赐福！百无禁忌！
9.707          1531063734.0    表白墨香大大！！
9.787          1531109018.0    出不去了~
10.123         1530871176.0    好看(*σ´∀`)σ
10.147         1530867536.0    从预告那天等的
10.153         1531024364.0    我的华哥啊啊啊啊
10.367         1531060824.0    443个小伙伴你们好
10.656         1531102405.0    表白霍建华老师
10.694         1530866268.0    啊啊啊啊！！！！
10.845         1531095204.0    神仙姐姐如果电影真的这样就好了
11.12          1531024894.0    太棒了
11.251         1531219144.0    我又来了，十四刷
11.508         1530968178.0    寻龙诀？
12.207         1531102186.0    霍建华素颜出演白豆腐
12.386         1530873120.0    我的妈好豪华
12.545         1531116436.0    看第一遍，我都不想发弹幕，太好了，辛苦下凡剪辑了
12.56          1531034806.0    每日一刷
12.729         1530867993.0    哇塞qwq！！
12.808         1531059121.0    神仙剪辑神仙剪辑啊
13.117         1531061339.0    UP主是神仙！！！！
