排名：94
网址：https://www.bilibili.com/video/av26264035
更新时间：07-16
弹幕总量：282
preciseTime    ofTime          comment
0.319          1531304461.0    好的标题在3分24秒
0.541          1531651522.0    可耻的播放量
0.641          1530900110.0    刚看完这个男人要自爱
0.822          1531527032.0    去查漫画正常模式，跟这个的剧情一样
2.442          1531461967.0    可耻的播放量
2.507          1531419350.0    封面在3:27哇⊙∀⊙！
3.113          1531199719.0    可耻的播放量
3.232          1531205924.0    可耻的播放量
3.744          1530883450.0    相信被图吸引的并不少
3.9            1531560167.0    闻封而来
4.011          1530880837.0    封面3:25
4.82           1531448006.0    男人其实更现实更会算计
5.841          1530881776.0    播放量可耻
6.101          1531560244.0    可耻的播放量
6.259          1531506511.0    女装
6.785          1530880271.0    封面什么鬼？
6.961          1530881058.0    导演一定是个老女人
7.362          1531451318.0    封面搞事情
8.206          1531688202.0    可耻的播放量
8.701          1530884366.0    我就想看看有没有和我一样看错封面的
8.73           1530899935.0    可耻的播放量
8.916          1531672252.0    我小名叫君君🌝
9.18           1530880577.0    想多的人举手
9.506          1530902545.0    我不是，我没有，别瞎说啊！
10.402         1530904635.0    这女的毛这么多，肯定骚
11.146         1531312228.0    吱付宝首页搜7105335拿去买零食交电费不谢
12.543         1531662006.0    可耻的播放量
12.803         1531725153.0    可耻的播放量
13.454         1531282560.0    交封不杀
13.754         1530883351.0    来一个
13.787         1530881315.0    女装梦( •̀∀•́ )
14.084         1530881818.0    封面？
15.461         1531563318.0    老夫当年也想当一个小公举
15.682         1530882462.0    封面好评
15.743         1531731086.0    up嘴好快
15.949         1531575837.0    打开支付搜索
16.407         1530874784.0    见封滚
16.896         1530883288.0    可耻播放量系列
17.342         1530899889.0    我是爷们
17.48          1531439827.0    谁规定的，男人自己啊，好用来嘲讽同志。
17.562         1531506424.0    朵蜜公主朵蜜梦
17.761         1530882087.0    我
18.015         1531563786.0    是男人
18.39          1531570197.0    粗♂糙
18.561         1531454903.0    谁规定男人只准喜欢女人的 
18.791         1531418639.0    声音像胡歌啊，景天啊
19.626         1531217748.0    公主梦？？？
19.969         1531510829.0    六六六六六六六
19.976         1531572197.0    打开支付搜索  515723163 你会感谢我的
20.188         1531577443.0    公众号【滚石电影】免费看完整版，你懂的5
20.51          1530902093.0    可耻的播放量，
21.341         1531376657.0    谁还不是个小公举
23.031         1531517554.0    可耻的播放量
24.523         1530883103.0    我就来看看封面进来的有多少人
25.748         1530883242.0    比利王：……
25.945         1531319404.0    没有声音？
27.383         1531506895.0    蛤蛤哈哈哈哈哈哈哈哈
27.53          1530880039.0    粉色三角裤还行。
27.574         1531562228.0    羞耻羞耻。。。
27.647         1531222418.0    可爱qaq
28.686         1531156943.0    好了，我穿好了
29.209         1531145917.0    13.1万播放。。。你们都在干什么。。。
29.757         1531488115.0    哈哈哈哈
31.829         1531362303.0    这个不就是小说里的场景吗 好像不错
34.943         1531566783.0    副总指挥
36.393         1531448054.0    这是直男癌中的精英，至少有本事
37.643         1531623896.0    吖？
38.649         1531156956.0    啧啧啧
38.656         1531593011.0    星际穿越男主?
38.697         1531567830.0    卧槽还真是副总指挥
38.72          1531384059.0    反过来要被女权婊喷死了吧？
39.902         1530904794.0    哇，这世界，我喜欢
40.458         1531536419.0    好腿
40.533         1531362321.0    这部电影叫什么
42.537         1531448090.0    我们要同情直男癌，他们的人生可能受到过重创
43.309         1530880127.0    这不是很好看吗
44.203         1530880720.0    男主很像班纳啊
44.759         1530879415.0    从小女装
44.946         1531404282.0    幸运儿
46.907         1530884090.0    想不到这里也能看到发男神班纳！
47.937         1531156973.0    女装怎么了！
50.783         1530879852.0    这就是传说中的女装大佬吗
51.407         1531462486.0    这不是cooper嘛
53.157         1531473464.0    帅气的长脸哈哈哈
53.162         1530880997.0    库伯你怎么了
53.872         1531305616.0    帅气的长脸66666666
56.121         1531476285.0    好像看过
56.764         1531141156.0    帅气的长脸23333解说灵性
58.175         1531679636.0    女装难道不是变态？
58.535         1531455187.0    有前途
59.001         1531562451.0    凯特琳是你
60.284         1531239919.0    推荐本“好书”，丹麦女孩
61.009         1531430786.0    女装大佬
63.399         1530883630.0    哪里帅了
65.446         1531322097.0    女权？
68.39          1531455197.0    从小女装，有前途
68.621         1531600614.0    感觉男主像魔男。。。
68.752         1531719975.0    标题呀
69.086         1530879942.0    漂亮
69.843         1531276676.0    这个女主也不好看吧，太老了
71.103         1531577481.0    公众号【滚石电影】免费看完整版，你懂的6
71.193         1531554035.0    😂😂
72.425         1530881083.0    我差点以为男主是阿汤哥
73.87          1531190478.0    我可能会比中指回去
76.478         1531632649.0    听了这个“无耻”之后，我打算关注你
76.479         1530904242.0    想想你的所做所为
76.914         1531704449.0    这番会让人身体变差(*´﹃｀*)
78.122         1530879733.0    一边短裤，一边围脖？？
78.661         1531356058.0    带我一起啊
79.282         1531544669.0    这个 无耻 好可爱！
79.408         1531298791.0    233333333
79.772         1530883838.0    他帅嘛？
80.003         1530879997.0    报应
80.207         1531658474.0    哈哈哈哈哈哈哈哈哈
80.754         1531381765.0    老天有眼
80.981         1531452574.0    舒服
81.255         1531634549.0    哈哈哈哈
81.316         1531380501.0    哈哈哈哈
81.74          1530884934.0    万恶之源？？以前好像见过
81.852         1531301060.0    哈哈
82.252         1530882555.0    哈哈哈
82.444         1531313637.0    23333
82.53          1531563902.0    恍恍惚惚
82.983         1531462851.0    哈哈哈哈哈哈哈
83.029         1531424725.0    呆喵
85.623         1531331165.0    看过了，不知道讲点啥。乱拍的
86.131         1531143540.0    这。。这亲了一口？
87.935         1531229786.0     导演对帅可能有误解
92.172         1530900982.0    jumping egg?
95.219         1531473981.0    围巾都换了
