作品名称：《仙剑皮侠传》第三集-大司马卢本伟呆妹PDD厂长明凯
网址：https://www.bilibili.com/video/av26264323
更新时间：07-10
弹幕总量：992
preciseTime    ofTime          comment
0.0            1531219737.0    支付宝搜索“95O6639”，你会回来打死我的（滑稽）
0.341          1530934765.0    第一就是我
0.445          1531220715.0    上电视
0.498          1530934371.0    龚一帆我知道你一定会来看的。。。。
0.773          1531108254.0    哲学
1.278          1530965919.0    啊啊啊很皮啊 啊啊啊很皮啊 啊啊啊很皮啊 啊啊啊很皮啊 啊啊啊很皮啊 
1.397          1531027741.0    先笑为敬
1.442          1530958683.0    该来的还是来了
2.218          1531206620.0    不火天理难容
2.438          1531031958.0    居然没人上香嘛?
2.999          1530937159.0    如获珍宝！
3.299          1531060642.0    上电视
3.32           1531214360.0    激动
3.399          1530977246.0    火钳刘明
3.419          1531096965.0    7777777
3.44           1531218331.0    有生之年系列
3.855          1531108044.0    有生之年系列
4.226          1531033842.0    有生之年
4.278          1530968717.0    有生之年
4.299          1530937300.0    我在b站追剧
4.376          1531106819.0    二刷
4.399          1531111758.0    火钳刘明
4.499          1530986768.0    我去，终于更新了。
4.55           1530938481.0    大制作啊
4.64           1530937266.0    啊啊啊啊啊
4.743          1531040685.0    上电视
4.76           1531059233.0    你是谁，为什么会在我太爷爷的关注里面
4.867          1531193715.0    有生之年系列
4.923          1530935577.0    熟悉的声音
5.001          1530934545.0    先赞投币在看
5.094          1531108821.0    火钳刘明
5.268          1531123036.0    7777777
5.494          1530935844.0    咦
5.619          1530966228.0    先投币
5.802          1530963339.0    我是第4800个点赞的！
5.809          1530938524.0    我来啦
5.813          1530935264.0    终于更新了
5.825          1531019882.0    火钳刘明
6.042          1531043827.0    终于等到你
6.089          1531071601.0    上香
6.357          1530946276.0    来了来了
6.372          1531015349.0    大司马老师我知道你会来看的
6.478          1531071144.0    有生之年
6.697          1531102964.0    不跳op
7.144          1530951359.0    大司马老师我知道你会来的
7.168          1531019055.0    马老师我知道你会来的
7.26           1531059526.0    听到bgm泪目
7.299          1531029388.0    非战斗人员请撤离
7.386          1531146446.0    牛
7.541          1530935531.0    在我还年轻的时候我就在追
8.761          1530935040.0    火钳刘明
8.789          1531033770.0    hhhh
8.979          1531059551.0    Dua dua dua
9.02           1530947087.0    2018弹幕。。。。
9.263          1531041232.0    熟悉的bgm
9.282          1530937417.0    该来的总会来！！！
9.341          1530957329.0    我只是来听BGM的
9.4            1531040150.0    献上我的处女币
9.56           1531076545.0    Jv
9.801          1530934345.0    终于等你更新了
9.884          1531096415.0    火钳刘明
9.94           1531101165.0    终于更新了
9.96           1531076561.0    有生之年
