作品名称：【大忽悠】两个男人只说人家，不说我，终极肉麻聊天太恐怖惹。
网址：https://www.bilibili.com/video/av26267162
更新时间：07-11
弹幕总量：1779
preciseTime    ofTime          comment
0.112          1531037099.0    大家好，这里粉字科普菌
0.677          1531058762.0    我是真的叫任嘉
0.88           1531231434.0    千年等一回
0.948          1531037110.0    人家:指自己或某人以外的人;别人
2.771          1531140050.0    右上角瞩目
4.381          1531091224.0    二刷
5.398          1531132573.0    我也在现场阿阿阿
6.443          1531146964.0    ∠( ᐛ 」∠)＿
7.019          1531096332.0    第一次当现场怪
7.021          1531110322.0    人家怪
7.061          1531110541.0    终于来了
7.205          1531101807.0    期待下期
7.869          1531034823.0    失踪人口回归
8.041          1531041414.0    生生忍到考完试才来看
8.079          1531124297.0    红红火火恍恍惚惚
8.227          1531105306.0    人家，，呸洒家终于看完了
8.243          1531117852.0    哈哈哈终于当一次现场怪
8.519          1531047965.0    终于能说一句在现场了
9.502          1531142468.0    好丑0 0
9.609          1531040808.0    终于在现场
10.4           1531213850.0    在现场
10.52          1531050749.0    新人都是怪物
10.638         1531155480.0    人家肥来惹
11.133         1531146099.0    20多小时？暗示我开哥?
11.856         1531212340.0    三刷
11.943         1531089946.0    请大家认真看完一个衡水一中的男孩喜欢上了一个衡水一中的女孩。男孩是交了择校费进来的，可是那个女孩很优秀。男孩费尽一切努力来引起女孩的注意。开学一星期后，他顶着染黄做了造型的头发大摇大摆进了教室
12.299         1531077446.0    在现场
13.109         1531104246.0    这声音好可爱
13.919         1531064266.0    去你心里啊
14.25          1531204968.0    这局人家轮
15.78          1531035053.0    人家怪出场
16.108         1531147126.0    何炅！
16.729         1531039714.0    人家×1
16.833         1531040109.0    人家×1
16.878         1531185371.0    吐槽一句，右上角变态的贴图越来越自然了
17.614         1531037727.0    万恶之源
17.758         1531041975.0    人家*1
17.935         1531203392.0    人家x1
18.687         1531058414.0    红红火火恍恍惚惚
19.248         1531101820.0    mua宝贝亲亲你
19.779         1531211757.0    我玩了20几个小时
20.053         1531058154.0    啊啊啊啊啊啊啊终于等到人家怪了！
21.01          1531130985.0    人家怪
21.166         1531043000.0    第一句的人家是正常的。。
21.49          1531039727.0    人家×2
22.65          1531039731.0    人家×3
22.958         1531041990.0    人家*2
23.12          1531290138.0    现场…
23.381         1531217787.0    人家
23.54          1531093756.0    emmm，这其实正常，有的地方常用这词表示别人，比如四川话人家（ren nia）
23.757         1531041569.0    看完再来一遍！辛苦计数君了！
23.826         1531203404.0    人家x4
23.958         1531042003.0    人家*3
23.99          1531039735.0    人家×4
24.201         1531117465.0    他广东人，我也经常说人家
24.598         1531042010.0    人家*4
25.18          1531089959.0    吧
26.081         1531297762.0    人家×4
26.353         1531056925.0    6666
27.38          1531305935.0    何炅？
27.886         1531228546.0    右上角。。。
29.868         1531295708.0    我擦，我这都考完试回来了，你还没更新.
30.249         1531039744.0    人家×5
30.719         1531203416.0    人家x5
30.878         1531042028.0    人家*6
31.441         1531297778.0    人家*5
31.769         1531039748.0    人家×7
31.773         1531146872.0    顶针!!!
31.814         1531306624.0    人家在四川是别人的意思
32.165         1531089966.0    请大家认真看完一个衡水一中的男孩喜欢上了一个衡水一中的女孩。男孩是交了择校费进来的，可是那个女孩很优秀。男孩费尽一切努力来引起女孩的注意。开学一星期后，他顶着染黄做了造型的头发大摇大摆进了教室
33.031         1531212522.0    白云深处有人家 人家爱死你了啦
33.032         1531290451.0    现场怪！
33.513         1531195010.0    万花丛中两点绿
33.531         1531297815.0    白元深处有人机，人机爱死你了拉
33.559         1531194982.0    白云深处有人家，人家爱死你了啦
