作品名称：LOL洲际赛：Faker粉丝送他几十份外卖，完全可以吃到比赛结束了
网址：https://www.bilibili.com/video/av26268382
更新时间：07-10
弹幕总量：180
preciseTime    ofTime          comment
1.213          1530946130.0    对没错是你手机坏了
1.374          1530938076.0    我瞎了？
2.879          1530968833.0    hello
3.392          1531071892.0    职业假笑
3.913          1531017859.0    。。。。。。。
4.531          1530977135.0    对 你是瞎了
4.532          1531205681.0    666
4.921          1531059287.0    恭喜lpl
5.108          1531178827.0    封面我看的感觉好像innovation。。
6.131          1531046484.0    BGM好评
6.294          1531087670.0    我以为是实场视频嘤嘤嘤
6.483          1530975039.0    被水淹没 不知所措。。。。
7.382          1531032182.0    中单发育这么好，不去抓一下吗
7.562          1530974117.0    会不会有牛肉面～？
7.6            1530881181.0    怕是想单杀faker啊
7.76           1531012340.0    这莫大？
7.958          1530948636.0    职业假笑
7.993          1531056304.0    没错，你瞎了
8.007          1530953240.0    666
8.381          1531012918.0    放泻药了对吧
8.637          1530945259.0    这是豪客来
8.943          1531052766.0    哇
10.492         1531213914.0    这是唯一能单（cheng）杀（si）李哥的办法了
10.752         1531033868.0    全是牛肉粉
11.641         1530966918.0    哈哈哈哈哈
11.753         1531029720.0    点了一份海底捞
11.91          1531033972.0    李相赫的挚爱，珍珠奶茶
11.968         1530935365.0    有没有定牛肉面的
12.119         1531021230.0    接受粉丝的馈赠吧
12.26          1531149883.0    还是贡茶 讲究阿 这里都得1k了吧
12.79          1531225505.0    吃死你
12.8           1531061592.0    恭喜lpl
12.882         1531059301.0    lpl牛逼
13.327         1531023506.0    放了泻药233
13.885         1530957494.0    我屏幕是怎么回事
13.922         1530938120.0    我去
14.259         1530975398.0    怎么这么大，
14.551         1530950942.0    不会尿急?
14.584         1530941561.0    可以做吃播
14.637         1531027620.0    刚刚有个锅盖头人硬拉着我，说要教我打中单
14.642         1530931070.0    这是十份？
14.762         1530941225.0    99次我爱他
15.232         1531034273.0    送的全是牛肉面
15.381         1530955898.0    这是黑粉吧
15.542         1530978880.0    我眼睛瞎了
15.559         1530947723.0    这1个月省了不少
