排名：97
网址：https://www.bilibili.com/video/av26269488
更新时间：07-15
弹幕总量：330
preciseTime    ofTime          comment
0.009          1531568113.0    举报在哪里
0.364          1531634135.0    可耻的播放量
1.596          1531523870.0    可耻的播放量
1.602          1531554009.0    一群人都不看简介嘛
1.674          1531554758.0    为啥感jio是气球
2.345          1531554025.0    一群人都不看简介吗
2.398          1531584465.0    可耻的播放量
2.623          1531458797.0    可耻的播放器
2.905          1531484121.0    可耻的播放量
2.995          1531554042.0    一群人都不看简介嘛
3.769          1531568328.0    对K要不起
4.203          1531460040.0    可耻的播放量
4.418          1531461589.0    可耻的播放量
4.478          1531556047.0    哈哈
4.605          1531619326.0    可耻的播放量
5.503          1531570917.0    可耻的播放量
6.188          1531493452.0    70.2万播放量
6.625          1531455371.0    WTF
6.864          1531493545.0    觉得会掉
7.241          1531460644.0    卧槽！
7.257          1531473795.0    别吓我
7.744          1531486795.0    这。。。没事吗？
8.086          1531545875.0    假的，肤色都不对
8.125          1531430978.0    卧槽
8.25           1531425351.0    每天负重走不累吗
9.04           1531491218.0    这是真的，百度搜索可以搜到
9.346          1531484144.0    卧槽这四个啥
9.442          1531524289.0    卧槽
9.524          1531582831.0    瑟瑟发抖
9.533          1531556052.0    裤衩
9.642          1531472329.0    琴女的都没这么打
9.849          1531549695.0    p上去的
9.926          1531484162.0    放了两个肉色的西瓜吗
10.096         1531624566.0    可耻的
10.16          1531643349.0    绝对假的 有这么大一定会驼背！
10.485         1531531748.0    可以切吗。。。
10.523         1531452789.0    睡觉会不会缺氧？
11.545         1531546455.0    世界杯!
11.657         1531635433.0    卧槽牛逼
11.747         1531502970.0    怪物啊
11.768         1531580479.0    好想拿针
11.938         1531598239.0    隆胸失败品
12.298         1531611242.0    对Q要不起
12.523         1531569680.0    WTF??
12.539         1531475787.0    哈哈哈哈哈哈哈哈
12.686         1531476050.0    这是世界杯
13.004         1531492925.0    她带球撞人
13.469         1531428708.0    厉害了6666
13.479         1531448445.0    ！！！？？？
13.825         1531567009.0    这是两个气球吧？？？😐
13.995         1531555048.0    切开一看，里面全是肿瘤细胞
14.004         1531600666.0    这音乐猝不及防
14.096         1531470912.0    假的
14.279         1531574636.0    这可耻的播放量
14.47          1531465646.0    我靠假的吧
14.552         1531592363.0    z+++++++++++
14.585         1531454757.0    假的，两个球
14.645         1531560280.0    四个啊
14.667         1531568021.0    都是硅胶
14.701         1531567186.0    要不起要不起
14.742         1531506055.0    假的吧，那么大
14.841         1531461603.0    假的
14.847         1531499597.0    可耻的播放量
15.08          1531576819.0    哇这是气球吧
15.384         1531616054.0    硅胶不重吗？
15.788         1531504720.0    lip？
15.793         1531431274.0    。
15.812         1531504782.0    好假🌚
16.046         1531482845.0    气球
16.471         1531473491.0    我去
16.559         1531536001.0    确定不是两个气球？
16.613         1531565666.0    可耻的播放量……
16.646         1531482636.0    可耻的播放量
16.734         1531451931.0    世界杯
17.064         1531411413.0    卧槽
17.065         1531629286.0    假的吧，，，
17.465         1531486644.0    我不知道为什么有人相信是真的。。塞的球
17.592         1531584475.0    wolgq？！
17.622         1531551863.0    能用针扎吗😊
17.724         1531643655.0    欣赏不来
18.046         1531414676.0    毫无撸的欲望
18.075         1531438258.0    啊呀woc
18.182         1531473806.0    假的
18.243         1531579642.0    我记得她的是隆的
18.371         1531475223.0    军姿准备！！
18.549         1531444686.0    发生了什么，发生了什么
18.856         1531452171.0    何为当代大神器，两枚导弹好大颗
18.875         1531590886.0    求弹幕护眼，看着恶心
18.992         1531488478.0    洗面奶
19.142         1531457890.0    肿瘤哈哈哈哈
19.228         1531640151.0    人体肉番
19.246         1531553877.0    这现实中的本子剧情？我还以为没有这种牛的
19.306         1531483241.0    假的
19.318         1531481732.0    晕奶
19.414         1531497396.0    好恶心
19.434         1531525330.0    气球
19.443         1531470794.0    这明明就是假的啊
19.736         1531550676.0    🤮
19.807         1531569728.0    很恶心看着
19.879         1531468951.0    好大的肿瘤，施主老衲会按摩消肿瘤，我们深入谈谈吧
20.204         1531450610.0    怀孕就是三个球了
20.492         1531489878.0    卧槽  卧槽
20.606         1531583961.0    🤓😎🤗🙌
20.825         1531620479.0    不重吗
20.924         1531544908.0    割了吧
21.106         1531627445.0    文明观……球……
21.478         1531525336.0    气球
21.583         1531451645.0    蜜汁凸起
21.662         1531548164.0    假的，都看到里面小的胸了
21.683         1531413622.0    这胸是假的吧……
21.755         1531590203.0    比二次元还夸张的乳量
21.885         1531573162.0    绝壁假的
22.279         1531582947.0    假的，都看到里面了
22.379         1531526408.0    假的吧
22.387         1531545932.0    日漫裏那些大的嚇人的東西歐派原來不是憑空想象的
22.58          1531488889.0    头儿都露出来了
22.825         1531637593.0    硅胶吧？
22.845         1531560972.0    假的吧
22.967         1531531322.0    好心疼，做手术改善吧
23.013         1531624579.0    下作的乳量
23.262         1531476065.0    不信
23.485         1531574195.0    世界杯可以
23.745         1531413801.0    累不
23.773         1531624641.0    谁能告诉我这个怎么玩？？没玩过
23.883         1531480222.0    这妹子两百斤了吧，一百二十斤是胸
24.103         1531460742.0    是气球
24.123         1531585335.0    假的
24.208         1531632424.0    吓死人了
24.306         1531641551.0    假死
24.354         1531465876.0    这一个球就能把人窒息而死呀
24.605         1531630452.0    世界杯
24.815         1531555843.0    确定不是充气的？？？
24.82          1531458789.0    这是假的
24.914         1531466010.0    Search YouTube是气球。
25.286         1531556502.0    手感肯定很硬，算了，毫无感觉。
25.294         1531483532.0    好恶心。。。
25.71          1531575079.0    你说针扎一下会不会炸
25.726         1531445623.0    假的
25.949         1531645406.0    要是真这么大的话，我估计他得趴那儿走
25.96          1531487503.0    怎么睡觉啊
26.144         1531465206.0    这明显是两个气球啊，还用看?
26.181         1531503906.0    好假
26.266         1531572182.0    会不会炸
26.286         1531471924.0    漏点了
26.305         1531482692.0    会掉吗
26.565         1531623959.0    如果乳腺癌怎么办
26.584         1531546421.0    她不驼背吗。。
26.774         1531576237.0    如果是真的，她不可能“提”得动。
26.934         1531533251.0    难道是传说中的5g？(虽然不可能)
27.004         1531646396.0    这么多肉卖了，可以卖好多钱的吧
27.324         1531644092.0    谜之凸起
27.377         1531498335.0    走的时候都不抖还能是真的？
27.676         1531482917.0    对腰椎颈椎都不好吧
27.843         1531536329.0    七尺大乳
27.943         1531645256.0    热气球
27.973         1531459661.0    666666666666666666
28.168         1531646623.0    passionlip
28.627         1531454624.0    假的
29.128         1531449621.0    看上去像肿瘤
29.275         1531569641.0    两个西瓜
29.407         1531539920.0    炸了的话是手雷威力，还是核弹？
