作品名称：裸体求生：遍地的幻影坦克，隐身几率有多高？利用好它们，能吃几鸡？
网址：https://www.bilibili.com/video/av26270795
更新时间：07-10
弹幕总量：2925
preciseTime    ofTime          comment
0.067          1531208505.0    吱付宝搜索“95O6639”，你会回来打死我的（滑稽）
0.677          1531007907.0    看标题识UP
0.787          1530955507.0    更新了啊啊啊啊
0.918          1531121235.0    失踪人口回归
1.109          1531018647.0    失踪人口回归
1.722          1530967781.0    失踪人口回归
1.739          1531018362.0    失踪人口回归
2.118          1531011260.0    大爱林家boy♂next♂door川
2.75           1531047565.0    失踪人口回归
2.939          1531009410.0    🚗🚕🚓🚒🚑🚙🔫🔫🔫🔫🔫
3.363          1531123819.0    看看我刷推荐出来了啥
3.399          1531019735.0    失踪人口回归
3.501          1531063467.0    66666666666666
3.58           1531016678.0    door川♂终于更新了
3.943          1531017149.0    失踪人口
4.04           1531094975.0    失踪人口回归
4.28           1531130058.0    你还有脸回来
4.293          1530959274.0    头上有点绿
5.034          1531145806.0    居然拿枪了，过分
5.119          1531131198.0    。。
5.361          1531217143.0    失踪人口回归
7.238          1531010346.0    失踪人口回归！！！
7.455          1531058036.0    失踪人口回归
7.765          1530970845.0    快！放下屠刀，立地成佛！
7.806          1531184148.0    上次一个人一爬下我什么都看不见了
7.987          1531019862.0    失踪人口回归
8.484          1531149735.0    233
8.715          1531003974.0    黑椒墨鱼？
8.939          1530971944.0    666
9.555          1531002506.0    失踪人口回归
9.581          1531023980.0    握草，终于更新了
9.627          1531015412.0    哈哈哈
9.984          1531124888.0    进度条惊喜
10.478         1531212430.0    呵呵
10.702         1531017415.0    还可以往上撒，金坷垃
11.139         1531027075.0    知道了，孙子。爷爷这就来
12.458         1530965641.0    这集爆炸强！！！！
13.024         1530971948.0    666
13.028         1530969680.0    承包空屏
13.44          1531116254.0    哈哈
13.899         1530977276.0    来了来了爷爷知道了
14.261         1530978679.0    死亡人口复活
14.636         1531027200.0    妙蛙粽子
15.16          1530971001.0    失踪人口回归
15.274         1531017039.0    眼神好的一眼就看出来
15.601         1531026233.0    失踪人口回归
16.521         1530957165.0    爷爷你关注的up主更新啦！！！
16.647         1531060292.0    居然背着枪
17.32          1531130021.0    失踪人口回归
17.558         1530971953.0    666
18.08          1531023317.0    now you see me？soon you won't.
18.102         1531059208.0    改变v还会覆盖除非刚才
18.2           1531111592.0    妙蛤种子
18.24          1531010357.0    男盆友！！你终于来啦！！！
19.841         1531017757.0    1号线3号线4号线换乘。。。
20.82          1531026318.0    妙蛙逗川
21.062         1531011295.0    妙蛙花用睡眠粉睡了他们!
21.173         1530956693.0    失踪人口回归
21.813         1531212441.0    哈哈
21.816         1531025418.0    失踪人口回归
22.369         1531010853.0    wadu hek
22.709         1530971958.0    666
23.2           1530963986.0    逗川爱墨鱼
23.601         1531027977.0    日语叫声是大内大内。。。
23.978         1531022640.0    额m m m m
24.105         1531047594.0    这个颜色好
24.337         1531012787.0    锡兰锡兰，树荫下
25.886         1531203374.0    秒蛤种子
26.08          1531017187.0    失踪人口回归
26.161         1531022791.0    露出马脚
27.539         1531047606.0    什么颜色的帽子？
28.352         1530976390.0    锡兰锡兰树荫下
28.372         1530971963.0    66
28.415         1531017485.0    你见过带安全套的妙蛙种子吗
28.699         1530971022.0    啊~
28.997         1530973929.0    这是个背叛！
29.675         1531119986.0    终于能发弹幕啦~
30.112         1531052181.0    便地是黄金
30.537         1530959209.0    屏息凝神
30.76          1531186919.0    着吧玩了着吧玩了
30.783         1530962079.0    屏息凝神！屏息凝神！
31.133         1531152940.0    锡兰?
32.73          1531055604.0    女少虫圭禾中子
32.775         1531218682.0    颜色不错！
33.214         1531022340.0    惊恐VAN壮
33.286         1531136387.0    绿色护眼
33.728         1530976415.0    大家都是岷白人
34.134         1531024090.0    木瓜
34.45          1530960903.0    锡兰：“这是个背叛！”
34.96          1530971970.0    666
35.544         1531186947.0    摸鱼摸鱼！
35.642         1530965667.0    这集爆爆爆炸强
35.818         1531022250.0    锡兰:保护大籽然
37.696         1531062411.0    电竞不需要视力
37.982         1530977662.0    遇到我这种看到草堆下意识就开两枪的，你们没得搞！
38.147         1530966978.0    1998人正在看。我擦
38.31          1531005185.0    电竞不需要视力
38.807         1531145692.0    电子游戏不需要视力
39.89          1530971975.0    666
