作品名称：【新番咋了31】曾经有三个糙汉，后来他们变成了少女。
网址：https://www.bilibili.com/video/av26272605
更新时间：07-11
弹幕总量：1667
preciseTime    ofTime          comment
0.0            1531113834.0    .
0.083          1531116819.0    第一次玩
0.424          1531108514.0    卧槽，第一
0.638          1531055230.0    暗示投币（滑稽）
0.887          1531137618.0    你背着我们偷偷去玩枪火战神 我看见你了
2.002          1531294137.0    视频下面的相关游戏是什么东西啊
2.434          1531138519.0    后街女孩
2.622          1531134231.0    明示投币
2.802          1531122313.0    疯狂暗示
2.836          1531153804.0    我卡了？
3.494          1531045242.0    七月番天秀
3.851          1531066097.0    嘻嘻嘻
3.918          1531229714.0    暗示投币
4.257          1531275217.0    明示投币
4.266          1531039896.0    有生之年……
4.379          1531115238.0    又是你
4.436          1531131345.0    暗示投币
5.129          1531047014.0    你是我见过最菜的UP
5.494          1531106900.0    暗示投币
6.097          1531128589.0    好
8.271          1531106408.0    这个我看过图解！
8.406          1531219248.0    有生之年
10.31          1531224625.0    ？？？？？
10.416         1531055098.0    你还是胖次
10.863         1531038996.0    然后送了25万元宝？
10.887         1531133703.0    :
11.219         1531043022.0    我永远喜欢原随云.jpg
11.776         1531106482.0    暗示投币
12.444         1531129343.0    你终于来了
12.485         1531065443.0    那个黑帮的吼！
12.522         1531051819.0    猝不及防
13.129         1531288296.0    66666666
13.409         1531101253.0    天呐猝不及防
14.289         1531042182.0    我已经无法直视这娃（脸带杀气）
14.413         1531042319.0    措不及防
14.444         1531069593.0    居然还有这个节目？
14.51          1531114891.0    猝不及防
14.895         1531107476.0    失蹤人口
14.928         1531125376.0    ???
14.949         1531042641.0    忍者杀手
15.37          1531142864.0    。。
15.441         1531053814.0    我看过蕾丝捏的脸⊙﹏⊙
15.504         1531140804.0    为胖次喷一下
16.2           1531115872.0    看过漫画，很搞笑
17.137         1531125769.0    ？？？
18.107         1531124285.0    23333333333
18.222         1531106795.0    失踪人口回归事件
18.624         1531130697.0    又来
18.725         1531057860.0    猝不及防的广告。。。
19.033         1531050112.0    大爱AXERO的TRIP
19.202         1531044636.0    6
19.837         1531132056.0    新开头
21.562         1531050483.0    好久没看了
21.601         1531036138.0    我来增加弹幕！！！*罒▽罒*
21.745         1531059686.0    我不信
21.849         1531050598.0    不敢看州际赛的我
22.06          1531036299.0    你好呀(●°u°●)​
22.295         1531102691.0    我昨天刚卸了楚留香
22.626         1531051754.0    凉风的视频竟然有人赞助，不可思议！！！
22.885         1531043659.0    kai
22.958         1531041830.0    网易游戏，没矿，不玩
22.962         1531047774.0    胖次没惹
24.001         1531076904.0    为了弹幕而弹幕
24.832         1531124219.0    第一次高级弹幕
25.362         1531060044.0    233
25.721         1531277188.0    求bgm
25.801         1531215948.0    我来了
25.946         1531039655.0    咔酱的hhhhhhhhhhhhhhhhhhhh
26.551         1531053433.0    我的胖次在你之上
27.008         1531095834.0    、、
27.061         1531049614.0    纳尼
28.609         1531044647.0    哈哈
29.138         1531110229.0    哇哈哈哈
29.361         1531108384.0    哈哈哈哈
29.385         1531282929.0    佩恩
29.466         1531133741.0    ?
29.55          1531202076.0    左下角瞩目
30.283         1531194085.0    呃呃呃额额
30.474         1531109461.0    放了个P，啊啊啊！补课补到8月，然后8.20开学！！！
31.028         1531148593.0    握草，我补课补到八月放十天继续补课。高三党😂
31.136         1531145022.0    还在考试周的只能嘤嘤嘤
31.358         1531112018.0    揍一顿再说
31.423         1531136238.0    拖出去打死
31.757         1531038672.0    我们还没放假
31.93          1531194100.0    拖出去枪毙
31.949         1531048828.0    拖出去砍了
31.961         1531055849.0    那以前就是一毛
32.105         1531105338.0    无耻老贼
32.106         1531272943.0    呵呵，暑假放9天的人不说话
32.228         1531044604.0    拖出去斩了
