作品名称：【洛天依原创】洛阳怀【忘川风华录】
网址：https://www.bilibili.com/video/av26273939
更新时间：07-11
弹幕总量：1062
preciseTime    ofTime          comment
0.0            1531237463.0    666
0.07           1531049098.0    从蕾某人处来
0.134          1530969700.0    洛阳人路过
0.147          1531039836.0    集体换色66ccff
0.15           1530989831.0    和音太好听了
0.252          1531091752.0    先投币再看，投两币。先收藏再看，收进殿下专属收藏夹，分享，分我最活跃的的群
0.345          1531037722.0    求不刷哪里来的QAQ
0.421          1531039745.0    洛阳人疯狂打call 洛阳天空依旧蓝w
0.591          1531023825.0    洛一高的报个到
0.597          1531140051.0    洛阳的报道
0.628          1531057056.0    大家在听洛阳怀的同时不要忘了刷一波多情岸啊  大家在听洛阳怀的同时不要忘了刷一波多情岸啊
0.878          1531267608.0    请不要刷别的唱见和从哪来，不礼貌
1.089          1531038652.0    各位喜欢的伙伴们关注一波up不要每次都刷从哪里来嘛
1.095          1531057127.0    大家在听洛阳怀的同时不要忘了刷一波多情岸啊
1.158          1531026924.0    太美了
1.187          1531112511.0    哇
1.21           1531026930.0    这里洛阳人！！！
1.237          1531267646.0    望尊重原唱
1.436          1530963283.0    洛阳人+1
1.472          1530957818.0    表白填词！！！
1.761          1531035485.0    底端弹幕能别发了么，影响观看
2.327          1531019428.0    洛阳高调路过
2.388          1531028120.0    欢迎大家报考河南科技大学
2.478          1531017522.0    神都洛阳
2.495          1530991581.0    这个二胡
2.611          1531016901.0    2333333
2.875          1531116869.0    超好听
2.878          1531103069.0    我又回来了！
3.106          1530965110.0    壮哉我大洛阳
3.272          1531214448.0    惨案
3.6            1530959573.0    没胡子杜甫有胡子李白！信我！
3.669          1531142181.0    洛阳报道
3.682          1530988304.0    +1
3.746          1531070306.0    +1
3.894          1531113649.0    麻薯映像吹爆  PV牛逼
3.902          1531045341.0    为我老婆疯狂打电话
4.154          1531060161.0    抱歉，挡到歌词了
4.155          1531064315.0    吹爆吹爆
4.169          1530973541.0    啊啊啊啊！！
4.226          1530976530.0    好听
4.325          1531076835.0    天依蓝
4.451          1531196225.0    我大洛阳！！！
4.462          1530970639.0    洛阳人在这~
4.525          1530981392.0    你们是神仙吧！！！
4.567          1531048170.0    请收下我的膝盖
