排名：85
网址：https://www.bilibili.com/video/av26275390
更新时间：07-21
弹幕总量：1091
preciseTime    ofTime          comment
0.0            1531993238.0    居老师，这个视频你可以看
0.12           1531539946.0    UP主是镇魂女神啊~
0.163          1531830438.0    有没有一块儿拼“车”的女孩儿们？
0.237          1531928490.0    欢迎回来！
0.239          1531835537.0    0.75好评！！！
0.248          1531522105.0    再来一遍
0.353          1532017549.0    欢迎回来
0.401          1531926132.0    我知道你会回来的！欢迎！
0.438          1531673873.0    出不去了
0.547          1532076071.0    居老师这个可以看
0.592          1531660622.0    1.25倍速贼带感！
0.675          1532057779.0    up剪得超好啊调色也好看
0.684          1531910163.0    支咐宝首頁捜索“86OO14”这么哲学吗
0.697          1531654226.0    泰拳警报
0.727          1531667448.0    居老师，推荐你看这个呀！！
0.848          1531755405.0    居老师帅得我跪下啦
0.896          1531677721.0    温馨提示：建议0.75食用，更健康
0.92           1531540024.0    UP主是镇魂女神啊~
0.933          1531756496.0    0.75推荐
0.956          1531708404.0    是总攻
1.044          1532013774.0    0.75来一遍
1.189          1531524536.0    A爆
1.279          1531561489.0    沈教授，我是不会爬墙的，太A了！！！
1.307          1531649068.0    啊啊啊啊啊啊啊啊啊
1.422          1531496130.0    666666666666
1.442          1531833376.0    真的最后一遍了。
1.445          1531730794.0    参见魔仙女王
1.601          1531897514.0    每天都要看一遍
1.678          1532059131.0    攻！攻得很！！！
1.74           1531580151.0    欢迎回来
1.783          1531581564.0    1.5超带感！
1.84           1531536136.0    欢迎回来！
1.995          1532099919.0    我发誓这是今天最后一遍
2.059          1531637520.0    循环播放
2.069          1531751670.0    1.25了解一下
2.08           1532018307.0    我来了
2.153          1531566295.0    前面毛猴的你是魔鬼吗😂
2.177          1531648611.0    0.75超帅！
2.288          1532131909.0    欢迎回来
2.316          1532096726.0    推荐-。75倍速的，慢慢欣赏
2.32           1531755334.0    受不了了沉迷美色啊
2.409          1531810337.0    bgm：D.T.M 
2.418          1531970241.0    果断0.75
2.42           1531806953.0    他是我de
2.561          1531752174.0    第四遍
2.656          1531989221.0    让我看看发现了什么好东西
2.703          1531799824.0    这首歌叫什么？？
