作品名称：ã€�é•‡é­‚å·�æ¾œã€‘å¤§åº†çš„ç³Ÿå¿ƒæ—¥å¸¸ï¼šæ¯�å¤©éƒ½èƒ½çœ‹åˆ°æˆ‘å®¶é¢†å¯¼å¤§å�‹å�Œæ ‡ ã€�é«˜è�Œå‰ªè¾‘æ”¹è¯�ç¿»å”±ã€‘
网址：https://www.bilibili.com/video/av26278367
更新时间：07-12
弹幕总量：1057
preciseTime    ofTime          comment
0.0            1531062566.0    一天一遍
0.034          1531048796.0    哇，到首页了！
0.588          1530875707.0    是不是第一
0.675          1531143298.0    好可爱
0.758          1531043829.0    该来的总是会来的2333
0.857          1530983863.0    欢迎回来
1.036          1531177803.0    每日循环神清气爽
1.119          1531382280.0    该来的总会来的😂😂
1.206          1531229075.0    我又来了！！！
1.216          1531299300.0    对不起 我这个镇魂女孩拖后腿了
1.297          1530928745.0    〖大庆〗已进入直播间
1.324          1531310862.0    救命啊，我出不去了
1.338          1531022212.0    朱老师点进来也没关系_(:з」∠)_我们已经放弃治疗了
1.506          1531035657.0    【海星鉴】进入直播间
1.524          1531051071.0    居老师，这个可以看
1.639          1530945552.0    第四遍
1.671          1530963617.0    简直不要太优秀
1.881          1531026928.0    优秀！
1.898          1531210798.0    大家又见面了
2.043          1531214758.0    我要这硬币有何用
2.179          1531215510.0    居老师，北老师这个视频可以看，超好看！
2.241          1531021727.0    该来的还是来了
2.332          1531188649.0    居老师！北老师！大庆快来看！这个视频超棒！
2.371          1530937036.0    哈哈哈哈哈
2.414          1530967399.0    看完来发弹幕，大大你太优秀了！歌词唱歌都很可爱又好听，硬币送上！
2.44           1531299235.0    日刷
2.45           1530962176.0    表白填词啊啊啊啊
2.515          1530970063.0    〖烛九〗已进入直播间
2.54           1530976236.0    好棒，真的超级用心
2.56           1531060691.0    三刷
2.717          1530940503.0    感恩~
2.809          1531129948.0    w
2.938          1531219626.0    〔镇魂女孩〕来了
3.009          1531041997.0    镇魂女孩刷起来:沈美人好man
3.02           1530970707.0    再看一遍
3.097          1530928770.0    〖沈教授〗已进入直播间
3.157          1531231662.0    优秀的up主 不得不服
3.239          1531219923.0    欢迎回来
3.319          1531370569.0    我怎么又进来了
3.71           1531146095.0    出不去了！
3.711          1531254576.0    居老师这个可以看！！！快来
3.736          1530928802.0    〖赵云澜〗已进入直播间
3.741          1531211632.0    第五遍了
3.82           1531193821.0    啊！
3.9            1531229095.0    棒！！！！！
3.94           1531216348.0    优秀！！！！！！！！！
4.101          1531296347.0    优秀！
4.138          1531220552.0    哈哈哈
4.271          1531031123.0    up主超优秀
4.318          1531267192.0    优秀
4.385          1531389140.0    啊啊啊又回来了
4.477          1530970365.0    妈呀 这个好棒
4.48           1531061911.0    欢迎回来，六刷
4.578          1531364889.0    up主是个人才
4.802          1530952599.0    没有VIP的镇魂女孩表示每天只能靠这些活着
4.839          1531014515.0    【沈巍】进入直播间
4.848          1531345579.0    太优秀了
4.938          1531176607.0    〖居老师〗进入直播间
4.989          1531385222.0    我又回来了
5.015          1531134756.0    再听一遍^ _ ^
5.043          1531273165.0    优秀！
5.108          1531201935.0    又一遍
5.174          1531050072.0    啊啊啊啊终于有这个歌了！
5.387          1531134759.0    优秀
5.497          1530961453.0    该来的总会来
5.531          1530962568.0    小姐姐声音太可爱
5.572          1531194610.0    真是太优秀了
5.725          1531301991.0    BGM炸到我了
5.76           1530937244.0    表白表白
5.792          1530876618.0    可爱！！！！
5.806          1530881952.0    再来一次
5.868          1530896169.0    再嗑一遍
5.937          1531014007.0    【林静】已进入直播间
5.939          1531279257.0    又来了我
5.989          1531027841.0    秀啊！
6.343          1530968596.0    看了四遍了😁
6.387          1531239821.0    甜甜甜爆到炸裂
6.696          1530928827.0    〖祝红已进入直播间〗
6.712          1530912151.0    二刷发弹幕
6.819          1531283943.0    北老师居老师，这个可以看的
6.873          1531236631.0    太优秀了太太↖(^ω^)↗
7.151          1531012950.0    完了，出不去了……
7.236          1531286246.0    出不去了
7.244          1531283589.0    Up主声音太太太可爱啦！！
7.285          1531278709.0    该来的还是来了
7.319          1531235088.0    出不去了
7.439          1531228856.0    出不去了
7.449          1531105823.0    优秀
7.681          1531313137.0    再听一遍
7.89           1531017831.0    哈哈哈哈哈哈哈哈哈哈哈哈哈哈
7.955          1531143892.0    [沈巍]进入直播间
8.08           1531196403.0    bgm哈哈我只能想起曼爹
8.168          1530980857.0    十分优秀！！！
8.262          1531050097.0    果然必经曲目
8.359          1531198206.0    【小澜孩】已进入直播间
8.38           1531196779.0    小澜孩帅
8.448          1531017982.0    微博过来的
8.489          1531239330.0    优秀
8.514          1531227582.0    我来了
8.654          1531197122.0    音量优秀
8.76           1531010989.0    【小郭】已进入直播间
8.817          1531032554.0    【祝红】已进入直播间
8.952          1531045113.0    {楚恕之}进入直播间
8.959          1531069501.0    ？？？？
9.002          1530972381.0    第二遍
9.054          1530938982.0    再看一遍
9.268          1531166461.0    歌词太棒了吧
9.284          1531018608.0    【沈巍】已进入直播间
9.477          1531025827.0    2333333
9.615          1531015908.0    这哥不是巍巍吐槽一下
9.661          1530948887.0    BGM好评
9.728          1531233124.0    出不去啦！！！！！！
9.788          1531052968.0    来了
9.793          1531188971.0    【阿杀】已进入直播间
9.824          1530956970.0    〖祝红〗来到此直播间
9.937          1531030482.0    支付宝积分可以兑换优酷会员不要谢我
10.116         1530984859.0    又见面了
10.153         1531056863.0    来了
10.179         1530999420.0    网易云来的😂😂😂😂😂
10.345         1531292478.0    该来的还是来了
