作品名称：绝地求生丨史上最丢人的开挂队友，真给卢姥爷丢脸！
网址：https://www.bilibili.com/video/av26278783
更新时间：07-10
弹幕总量：997
preciseTime    ofTime          comment
0.415          1531017413.0    黄字是主播！
2.203          1531018175.0    教学视频
2.406          1530935688.0    上个香先
2.697          1531032283.0    卢姥爷：喵喵喵
3.581          1531026024.0    上波香
4.027          1530947440.0    卢来佛祖用不丢人，上香（滑稽）
5.037          1531024257.0    上香
5.461          1530965645.0    在下2121
5.574          1531017436.0    黄字是主播！黄字！
5.641          1531018013.0    上香
6.316          1531037731.0    妙啊
6.616          1530943948.0    鞭尸
7.993          1530953994.0    3
8.277          1531027879.0    举报，消遣过世主播
8.617          1530934929.0    巴掌好评
10.311         1531035623.0    祖传兄弟讲究
10.755         1530943654.0    v
10.77          1531102069.0    吓我一跳
11.451         1530938318.0    跟开哥有什么关系，别什么事都带上人家
11.637         1530934626.0    厚颜无耻
11.767         1530952870.0    不要脸
12.276         1530997985.0    感觉和卢姥爷的恭喜你吃鸡了有异曲同工之妙完
13.105         1531017690.0    黄字是up主
14.327         1530963287.0    厚颜无耻
15.54          1531034076.0    看标题想。。。
16.196         1530972986.0    gay
16.376         1530964115.0    小潮？
17.857         1530971432.0    消费过世主播
18.245         1531011795.0    队友:我感谢毛主席
18.345         1530963465.0    丢人
19.958         1530958012.0    我tm弄死你
20.117         1531016265.0    感谢CCTV，马上就和央视合作了
20.216         1531015161.0    你应该感谢bilibili
20.5           1530957692.0    @cctv一哥
20.623         1530958035.0    cao你ma
21.229         1531060496.0    这小孩，真.社会
21.265         1530936777.0    信号枪
21.346         1530941050.0    我tm弄死你，啥diao，nm隔壁
21.616         1531018724.0    我tm弄死你(ー_ー)!!
21.702         1530958160.0    我踏马neng死你
21.78          1531051649.0    我TM弄死你，傻diao，滚，尼玛了比
21.82          1531045551.0    无论那个死宁
21.974         1531094677.0    我特码弄死你233
22.014         1530963489.0    这个真的流弊
22.162         1531027510.0    这黑人说的是河南话啊
22.259         1530943418.0    其实我想要这个图
22.425         1530964465.0    滚～
22.467         1530949324.0    中华文化独具魅力
22.557         1531018753.0    沙雕！
22.575         1530943601.0    我TM弄死你
22.913         1530962072.0    求原视频
22.956         1530968530.0    这不是我老家的方言吗
23.392         1530938283.0    中文十级
23.716         1531018764.0    滚(︶︹︺)
23.721         1530969672.0    暗示投币
23.923         1530951773.0    济宁话？
24.399         1531020427.0    老番茄?
24.925         1530964504.0    你马勒戈壁～
24.976         1531018776.0    尼玛了个币
24.994         1531021673.0    说的竟然是我家乡标准的方言，卧槽
25.106         1530941282.0    尼玛了个币
25.179         1530964377.0    滚，你马勒戈壁
26.974         1531094698.0    山东话，没得洗
27.579         1530962420.0    这小孩一开口，内裤都吓掉了
27.71          1530952886.0    哈哈哈哈哈哈哈
27.778         1531088102.0    非洲社会娃
28.786         1530937063.0    你ml个b？wtf？
30.236         1530936629.0    you马勒戈壁。哈哈哈哈哈哈哈
30.516         1531030389.0    朕不死，你们永远都是太子😂😂
31.199         1530959285.0    你不死，还活到最后，那肯定吃鸡啊，这不是废话吗
31.233         1530939553.0    废话
31.465         1530939546.0    废话
32.262         1531032902.0    老番茄声音怎么可能是这样的啊！！
32.484         1530949050.0    这不是废话吗？只要你不死，肯定会吃鸡呀。
32.54          1530978183.0    笑死我了
33.317         1531010573.0    这特么不是废话吗。最后活着的就是吃鸡啊！
33.553         1530939567.0    6666没毛病
34.34          1531102134.0    哇，还真是一本正经的胡说八道啊
34.457         1530946616.0    废话，最后唯一不死的就是吃鸡的
34.521         1530956809.0    好有道理呀，只要活到最后就能吃鸡
34.612         1530949801.0    对，是不是有能力保护的你不死的人都能带你吃鸡
34.647         1531026034.0    大家都是吃鸡不留鸡腚尖高手
35.41          1531025474.0    你不是当然能吃鸡
35.43          1530960876.0    这不是废话吗23333
36.198         1530946251.0    你不死
36.269         1531017087.0    6666666
36.276         1531022839.0    废话。
36.441         1530972365.0    那不是废话吗
36.47          1530950277.0    没错，是事实啊，只要活到最后一个人，不就吃鸡了吗
36.585         1530945409.0    这TM不是废话吗，你不死怎么可能吃不到鸡
36.838         1530965476.0    骚的一批
36.916         1531036067.0    一句不死不吃鸡就不存在的好吗
36.966         1530937740.0    思路好像很对啊……只要不死
37.139         1530936174.0    那个素材在哪
37.283         1530966840.0    我从未见过如此厚颜无耻之人
37.521         1531032123.0    这不是废话么
37.617         1531017115.0    你不死就是别人死了，当然1吃鸡
37.885         1531025558.0    废话
38.162         1530967802.0    安静的开挂
38.165         1530973780.0    和超果果同款衣服
38.354         1531041961.0    不懂，这关卢姥爷屁事，还要鞭尸
38.587         1531026837.0    像yjj的声音，2333
38.734         1531014928.0    字幕好多错字2333
40.081         1531010207.0    不死当然能啦
40.38          1531025894.0    废话
40.876         1531019580.0    不死当然吃鸡😂😂
41.097         1531024114.0    这两个是不是都是主播
41.138         1530971836.0    你不死当然能吃鸡，规则不就是不死
41.721         1530969279.0    小潮？
41.897         1531027482.0    队友:我特么能打死这个人吗？
42.497         1530946631.0    卧槽，这人自恋，气质，态度，语气，跟我班一个人太像了，，，，，，虽然他满脸痘
43.016         1530965525.0    up主:过会儿分分钟给你安排个明明白白。
43.257         1530938521.0    不死可不就是能吃鸡吗
43.456         1530934661.0    厚颜无耻
43.617         1531024131.0    进度条说明了一切
43.636         1530964146.0    打
43.857         1530980360.0    队友说话方式好像卢姥爷啊
44.201         1531025537.0    可以可以
44.31          1531013903.0    我从未见过如此厚颜无耻之人
44.354         1530968887.0    谁不死都能吃鸡。。。
45.245         1531039642.0    不想死的话，就活下去！
45.457         1530964171.0    对面是小潮不信可以去看小潮视频
45.964         1530938529.0    好熟悉的背景音乐，多听一会
47.923         1531028118.0    还以为就这么结束了
48.803         1531036740.0    好无耻
48.967         1530960886.0    人才
49.042         1530975057.0    厚颜无耻
49.465         1530962826.0    丢人
49.595         1530960595.0    住口，无耻老贼。
50.001         1530971950.0    切尔洛贝利禁区
50.118         1531022221.0    厚颜无耻
50.448         1531025867.0    好久之前的吧 诶
50.681         1530956299.0    厚颜无耻
50.914         1530972434.0    这个背景音乐是老版本绝地求生的大厅背景音乐
51.396         1530970513.0    说的好有道理，不能不听。
52.818         1530935775.0    无限法则BGM
53.366         1531011830.0    你不死当然吃鸡喽
54.777         1530961660.0    队友误伤了解一下
55.374         1530942542.0    厚颜无耻
55.416         1530963560.0    老炮儿
55.931         1530963676.0    还是
56.131         1531032128.0    不死肯定吃鸡啊
56.837         1531036752.0    八十
57.179         1531025332.0    啊我喜欢这个老版音乐
57.255         1530966558.0    12cm
57.943         1531039043.0    满嘴骚话的开头讲究
58.511         1530964388.0    12厘米？
59.116         1531021861.0    小成了解一下
59.137         1531019468.0    我从未见过如此厚颜无耻之人
59.457         1530943582.0    我13和这个声音也差不多
59.982         1531018602.0    老成
60.197         1531014489.0    放肆的岁数
60.477         1531023661.0    让人还念的BGM
60.69          1531028299.0    这是…………忽悠？
61.739         1530963361.0    12cm
62.001         1530947606.0    我从未见过如此厚颜无耻之人
62.694         1531017400.0    无法反驳
64.463         1530942592.0    12，比21还老
64.717         1530962635.0    这个估计是b站的吴切吴大忽悠（他喜欢直播双排调戏男生）
65.983         1530960334.0    我有个胆小的想法
66.815         1530970848.0    哈哈哈哈哈哈
67.316         1530968475.0    如果我遇见你一定打死他
68.132         1531028052.0    不是忽悠，声音都不一样好嘛
69.241         1530934259.0    找男朋友搞基吗
69.25          1531032948.0    前面红字！！不是的！！！！
69.607         1530969567.0    一起唱兄贵之歌
71.617         1530935985.0    1912位同胞好
72.36          1531024993.0    gay
76.847         1531028151.0    66666
77.782         1531022130.0    哈哈哈哈哈哈哈哈哈哈
77.935         1531036434.0    绝地相亲
78.094         1530935709.0    哈哈哈哈哈哈哈哈哈哈哈哈
78.134         1530972491.0    我肯定不想啊，，，，这句话暴露了好多信息，让我消化一下
78.759         1531023809.0    可以年下攻～～～
78.976         1531017038.0    互攻吧
79.036         1530938034.0    注意一号ID abgay
79.46          1531023613.0    路人听起来好像嘎嘎v
79.681         1530957665.0    2333333
80.991         1531008720.0    hhhhh
81.497         1531019509.0    尴♂尬的对话
81.51          1531007614.0    还真有人相信他12岁
81.61          1530953293.0    我去
82.169         1530939722.0    ....。
83.182         1531195274.0    哈哈哈哈哈哈哈
83.488         1531017920.0    突然有点想刚up
85.076         1530952714.0    不想
86.057         1531032109.0    哈哈哈
86.142         1530952402.0    大忽悠
86.178         1531031335.0    年下赛高
86.561         1531032480.0    这个阿彬就是逊啦
86.69          1531021701.0    空气开始变得蕉灼
87.138         1530963035.0    才知道up是黄色。。
87.684         1530953315.0    基佬紫
88.676         1530972756.0    狂用葱X我
89.456         1530940405.0    emmmmm
89.522         1530953623.0    我把你当兄弟，你却想搞我
90.405         1530960376.0    颜表立
91.054         1530973230.0    哈哈哈
91.057         1530934660.0    打野主播
91.571         1531020146.0    听着像我同学
91.657         1530935908.0    基佬紫
92.606         1530963664.0    变色
93.176         1530970562.0    哲学♂
93.531         1530963661.0    大忽悠
93.567         1530952476.0    基佬紫
93.665         1530957814.0    基佬紫
93.92          1530934286.0    哈哈哈哈哈哈哈哈哈哈哈哈哈
94.326         1530952516.0    12岁有女朋友。。。
94.601         1530958905.0    啊哈哈哈
95.078         1530947072.0    不是，他是受就应该是要搞啊
95.08          1530950776.0    逐渐忘记标题
95.804         1530940159.0    彬嫂正在提刀敢来的路上
96.198         1530957187.0    我有男朋友
96.698         1530941558.0    女朋友有游戏好玩？
96.817         1530937564.0    12岁有女朋友
96.852         1531019266.0    gay
97.063         1530969318.0    我从来都是用粉色，这次我居然用了紫色。。。。。。。
97.12          1531041500.0    你是没有女粉丝的别想了
97.653         1530972607.0    异性只是为了繁殖，同性才是真爱
97.794         1530960008.0    只有娘炮才会干女人。男人就应该干男人
97.951         1530944155.0    暴击
98.017         1531017158.0    东西。。。
98.193         1531002447.0    我是白色的吧
98.339         1530962695.0    主播原来是杂食性动物
98.786         1531032866.0    ……
98.876         1531019068.0    女朋友们
99.181         1531036820.0    异性只为繁衍后代  同性创造美好未来
99.723         1530962537.0    女朋友们
99.842         1530948009.0    男粉丝可以走了
99.854         1530945782.0    忽然变粉
100.007        1530947244.0    基佬紫
100.022        1530937396.0    男人就该去干格格兰
100.837        1531028952.0    异性只为繁衍后代，同性才是真爱
101.132        1530952960.0    ？？
101.519        1531036108.0    怎么声音听着像我资格同学呢，说话的方式口头禅也像
101.66         1531031250.0    啊♂乖乖站好？
102.017        1530967638.0    可怕
102.22         1530957837.0    女朋友们，自动变色
102.258        1530991216.0    你还有女朋友？？！
102.296        1530960286.0    我永远爱我的五指姑娘 双胞胎姐妹
103.397        1531016358.0    女朋友们
104.835        1530936391.0    男人就应该干男人
104.958        1530971461.0    男人就应该肛变形金刚
105.058        1531040632.0    皮
105.068        1530972665.0    男♂人就应该干变形金刚
105.403        1530935868.0    同性才是真爱，异性只为繁衍后代。
105.915        1530973960.0    求生欲强烈
106.274        1531021583.0    等一下，十二有女朋友！Σ(ŎдŎ|||)ﾉﾉ
107.0          1530936123.0    柴刀
108.835        1530934990.0    三个人一起就是了
109.016        1530969276.0    只有娘炮才干娇弱的女孩子。
109.57         1530961029.0    渐渐忘记标题
110.075        1530945324.0    电子竞技没有女朋友
110.081        1531026587.0    性别不同，哪来的真爱？
110.336        1531018260.0    男人就该肛威震天
110.379        1531018679.0    有道理
111.896        1531023599.0    GG
111.91         1530946763.0    套路扳弯
112.967        1531028187.0    6666666
115.036        1530965638.0    有猿粪
118.418        1531013357.0    那就当众打手枪啊
120.276        1531017667.0    打手枪 啊  兄弟
122.365        1531017459.0    男男才真爱
122.436        1531027016.0    男男是真爱
123.248        1531039483.0    异性只为后代，同性才是真爱
126.658        1530937069.0    逐渐忘记标题
126.737        1531014659.0    股惑仔
126.757        1531026855.0    逐渐忘记标题
127.178        1531020386.0    暴露年龄
129.237        1530938172.0    股♂惑仔
129.48         1531038022.0    Bgm乱世巨星不谢
130.237        1530938873.0    铮铮铁骨王境泽
130.429        1530953602.0    只有娘们，才干娘们，男人，就应该干男人
131.769        1530945814.0    战歌想起
134.67         1531011283.0    某幻君
140.893        1530939760.0    你外边儿有人？
142.171        1530947046.0    看来你们没有缘分
148.998        1531036137.0    现在十二房真的穷
152.944        1531025894.0    66666
154.315        1531035463.0    绿的发油
156.081        1530937148.0    蒂花之秀
157.942        1530941376.0    代打石锤
