作品名称：徐老师来巡山172：今天给大家表演空手接下死歌大
网址：https://www.bilibili.com/video/av26280475
更新时间：07-11
弹幕总量：1649
preciseTime    ofTime          comment
0.079          1531056805.0    LPL！牛逼！我们是冠军！
0.281          1531023752.0    我带着我的小弟们来了！！
0.308          1531283340.0    记住了！老徐在右边打击就空一堆然后在护眼！
0.438          1531024012.0    正片在11分。不用谢。
0.672          1531011007.0    看前不投币，身价几千亿，看完不收藏，两套海景房。
1.101          1531033550.0    老徐丑啊 老徐丑啊 老徐丑啊 老徐丑啊 老徐丑啊 老徐丑啊 老徐丑啊 老徐丑啊 老徐丑啊 老徐丑啊 老徐丑啊 老徐丑啊 老徐丑啊
1.78           1531012666.0    90w以后
2.011          1531113511.0    不投不收藏，十套海景房。
2.875          1531022166.0    许愿上元节贴边长裙
3.624          1531024478.0    看前投个币  亏本一个亿
3.84           1531022603.0    看后不投币 能开法拉利
4.158          1531103668.0    你又在放屁！
4.201          1531027116.0    看我的空手套白狼！
4.528          1531219235.0    日常开场
4.619          1531014437.0    看前不投币，赚他十个亿
4.693          1531114955.0    1
4.921          1531289359.0    老徐短
5.2            1531064569.0    看前先投币，被骗一个币
5.6            1531072180.0    lpl牛壁!
5.764          1531019821.0    有发现优酷看不了来b站看的吗
5.908          1531034622.0    童趣
5.938          1531039776.0    看完不收藏，十套海景房
5.944          1531234026.0    看前先投币，头铁没的洗，看完点收藏，P用都没有
6.017          1531057186.0    恭喜LPL，恭喜RNG，成功卫冕洲际赛冠军。LPL牛逼，剑指S8。
6.039          1531159498.0    不收藏
6.144          1531057023.0    我们是冠军🏆🏆🏆！！！
6.22           1531013579.0    看完老徐不投币 炒股能赚好几亿 
6.26           1531024515.0    看完点收藏 即秃也不强
6.398          1531122604.0    RNG 牛逼
6.4            1531012202.0    老徐短啊
6.84           1531100318.0    。
7.06           1531284024.0    不要脸
7.325          1531019237.0    11111111
7.463          1531012832.0    吓我一跳啊
7.499          1531056044.0    老徐长了
7.605          1531067315.0    夏诗媛和我结婚了
7.7            1531024154.0    看前先投币，看后变沙比      看完点收藏，变成光头强
7.947          1531303914.0    ...
8.042          1531149714.0    vip
8.104          1531016936.0    27972777
8.981          1531015121.0    欠下3.5个亿
9.099          1531102553.0    恭喜LPL
9.215          1531300019.0    男勃秃比丸
9.514          1531147213.0    你强任你强，就不点收藏
10.002         1531290185.0    呸
10.104         1531013816.0    略略略
10.459         1531009856.0    77777777
10.639         1531298879.0    6666666
10.64          1531290832.0    又亏一个亿
10.675         1531107159.0    小米上市了？！
10.742         1531111785.0    护眼大队何在？
10.852         1531061399.0    恭喜LPL
11.121         1531298703.0    哇吓死我
11.842         1531233615.0    收藏
12.006         1531220605.0    老婆了
12.8           1531010310.0    我从未见过如此厚颜无耻之人
12.939         1531064162.0    会变丑，我不要。
13.62          1531032222.0    ........护眼护眼护眼护眼护眼护眼护眼护眼
14.096         1531297569.0    看后不收藏，十套海景房
15.121         1531289381.0    老徐越来越短
15.216         1531103936.0    我们总是冠军！
15.636         1531106705.0    啧啧啧
15.779         1531281307.0    护眼大队准备
15.921         1531274347.0    护眼小分队准备
15.959         1531298895.0    不就是骗币嘛
16.613         1531034739.0    666
16.88          1531013074.0    挨哦德不服
17.244         1531036162.0    吓我两跳
17.361         1531017580.0    看了不收藏   秃了才最强
17.401         1531019845.0    嘤嘤嘤
17.786         1531012582.0    护眼
17.867         1531014553.0    你还知道回来啊！
18.059         1531038731.0    。。。。
18.368         1531012848.0    徐老师徐老师
19.36          1531008828.0    收到暗号，嘤嘤嘤
19.582         1531286262.0    66666
20.116         1531008802.0    护眼小队准备完毕
20.919         1531019157.0    护眼大队
21.261         1531111799.0    嘤嘤嘤
21.616         1531051268.0    R皇🐮🍺
21.998         1531011771.0    护眼准备就绪
22.113         1531009885.0    看到我你就是84万后了
23.04          1531057523.0    要强必须秃
23.322         1531056268.0    rng牛逼
23.561         1531013222.0    嘤嘤嘤
24.108         1531193428.0    杂下载
24.28          1531047903.0    老徐越来越短了
24.384         1531012945.0    龙珠AV.9569610952
24.518         1531137230.0    嘤嘤嘤
24.999         1531056831.0    嘤嘤嘤
