排名：79
网址：https://www.bilibili.com/video/av26283407
更新时间：07-16
弹幕总量：1883
preciseTime    ofTime          comment
0.11           1531143055.0    破10万l
0.418          1531193870.0    叶修君莫笑
0.859          1531544023.0    这个boss要在野外打到6 7级在回家去打boss
1.156          1531666001.0    仙剑
1.168          1531540070.0    没有什么是一发害怕母铁鸡干不倒的 如果有 那就邪门了
1.183          1531108088.0    仙剑奇侠传
1.274          1531093502.0    第三遍了
1.489          1531544830.0    封面是鲲吗？
1.51           1531367859.0    吱付宝搜索“95O6639”，你会回来打死我的（滑稽）
1.713          1531143839.0    sans
1.986          1531533546.0    0灯尤格萨隆。
2.224          1531666026.0    情缘个屁，这是仙剑1，98柔情版
2.283          1531321961.0    仙一
2.316          1531234738.0    333
2.346          1531199275.0    Re:plus
2.534          1531230340.0    SCP_682大爷不服！
2.66           1531623165.0    侠盗猎车手这一关气的我弃坑了现在才过去
2.831          1531665991.0    xianiian
2.832          1531140840.0    君莫笑
3.417          1531235629.0    阴蜂了解一下
3.5            1531149156.0    东方project了解一下
3.729          1531709496.0    第一次打的石长老才是最强的【要求输
3.843          1531072923.0    啊这个飞机卡死了过不去总是爆炸
3.887          1531525746.0    直升机一生之敌
3.913          1531127121.0    这个直升机我我玩的老是炸，吐血
3.961          1531537729.0    这个我玩了几十次......
4.029          1531145090.0    这个直升机玩了好几天
4.036          1531169392.0    快请卢来佛祖那个xswl
4.041          1531099948.0    修改游戏数据警告
4.084          1531198217.0    我都玩过了好几遍了
4.096          1531120496.0    就是这个飞机。让我不玩罪恶都市了
4.109          1531219150.0    哇，看到这个我瞬间头皮发麻
4.161          1531537719.0    这里当时超级难
4.2            1531299316.0    这装炸弹，我真的完了几十次
4.204          1531104210.0    仙剑一
4.228          1531218982.0    这关确实是我童年过不了的
4.241          1531531091.0    这个破飞机，当时拿笔记本玩，没小键盘根本玩不了
4.276          1531676054.0    啊啊啊啊啊吧，这个这个，，，！！！我是子荣我留名
4.315          1531712818.0    狗1克拉肯打不过
4.364          1531507225.0    最难BOSS：渣渣辉，技能：装备换元宝，开局将你的装备全部高价回收，元宝只能在推出对战使用
4.385          1531545205.0    飞机我过了，先到最上面，楼梯直接上下飞就行
4.44           1531710056.0    这个飞机是真的难控制
4.457          1531718346.0    逼得我开修改器
4.46           1531577079.0    表示这个几百年没过关
4.474          1531233224.0    这个飞机真tm要命
4.475          1531065284.0    哇这个飞机
4.484          1531138843.0    这个飞机还好，玩了三次就过了
4.501          1531056319.0    罪恶都市直升机真的难
4.511          1531122597.0    我过了
4.621          1531061196.0    我当年被这个飞机搞得头皮发麻
4.632          1531196878.0    vc
4.641          1531587681.0    就是这个劝退我！虽然过了可也不想玩下去了
4.648          1531215731.0    这个不难，把按键改改就行了
4.684          1531544350.0    第一个人我就通关了，真的很难，尤其是那些洞穴什么的，就是迷宫一样。
