排名：99
网址：https://www.bilibili.com/video/av26284735
更新时间：07-17
弹幕总量：1982
preciseTime    ofTime          comment
1.761          1531636635.0    别刷其他app，我觉得抖音、知乎都不错，快手嘛……
3.38           1531642273.0    片头不放完讲究
3.454          1531649380.0    进度条好评
3.496          1531636780.0    猴啊，还能是什么？
3.614          1531032058.0    我是段子用户
3.878          1531646150.0    是羡羡吗？
4.152          1531639067.0    是羡羡叭
4.356          1531135687.0    敌台敌台开炮开炮
4.979          1531032295.0    过于真实
5.42           1531032341.0    进度条好评
5.92           1531030954.0    我是用知乎的…
6.22           1531637500.0    太真实了
6.494          1531636647.0    知乎好评
6.545          1531121516.0    中国傻子千千万，快手抖音各一半
7.4            1531635534.0    猜疑链
7.44           1531633190.0    进度条好评
7.618          1531641237.0    我的最右呢？？？？？？？
7.654          1531633599.0    不应该加一个网易云嘛 滑稽
7.78           1531650112.0    辣鸡快手
8.178          1531792126.0    前面的那个不是舅舅哦
8.621          1531636858.0    抖音明显比快手有技术含量
8.979          1531130073.0    知乎不是人均985
9.597          1531063368.0    知乎怎么了
11.44          1531031119.0    知乎用户表示不鄙视任何人，自己选择的兴奋点和消遣方式有何可干涉的
11.73          1531644590.0    bilbil素质真高
11.76          1531124763.0    我清华大一新生，各位大哥哥大姐姐们我可以开始用知乎了吗？
11.98          1531105888.0    进度条好评
12.258         1531641248.0    右友在哪
13.191         1531047188.0    壮大我内涵
13.46          1531036640.0    美颜100%启动！
15.143         1531031411.0    你们不是南方人?
15.485         1531634716.0    段友在这 天王盖地虎 抖你奶奶个腿
15.813         1531641049.0    520
16.126         1531646213.0    段子呢？
16.54          1531651127.0    天王盖地虎
18.401         1531032762.0    一个凉了的软件比什么？
18.82          1531031679.0    知乎优越感爆棚
19.011         1531703885.0    ↑抖音盗的视频还少吗？
19.161         1531650574.0    天王盖地虎
19.408         1531645638.0    段友在此鄙视👎
19.552         1531648226.0    好玩吗
19.58          1531633784.0    辣眼睛妈也
20.019         1531646144.0    段友出征
20.419         1531641303.0    右友在此
20.567         1531124793.0    你不是985
20.574         1531645326.0    天王盖地虎
20.641         1531044725.0    段子在哪？
20.821         1531648077.0    额😓额😓额😓额😓额😓😓
20.98          1531646418.0    这只是抖音的一部分啊，你下个抖音看看
21.059         1531638690.0    天王盖地虎
21.629         1531641880.0    段友好
21.678         1531135062.0    前边的985211也能玩知乎？不是藤校起步（滑稽）
21.768         1531650187.0    内涵段子内涵段子
22.24          1531650581.0    鄙视👎
22.393         1531125081.0    尼玛这是换头怪吧
22.562         1531704312.0    亚洲四大邪术
23.142         1531642105.0    段友出征，寸草不生。。
23.181         1531031751.0    太真实了
23.429         1531074953.0    手机上都有
24.489         1531745366.0    👎👎👎👎👎👎
24.701         1531633389.0    清风扶杨柳
24.72          1531646135.0    小鸡炖蘑菇
25.123         1531647032.0    右友在此
25.64          1531192685.0    还是喜欢B站
25.641         1531634232.0    右友报道
25.769         1531633876.0    清风拂杨柳，敢问是段友？
25.799         1531135107.0    天哪
25.81          1531030664.0    哈哈哈哈哈哈哈哈哈
26.075         1531031219.0    B站最棒没商量！！！！！
26.162         1531133062.0    段子活了，可以搜索皮皮搞笑下载，里面都是老段友
26.424         1531644693.0    段友好
26.442         1531644707.0    段友在此
27.561         1531639928.0    @🐛🐛🐛🐛🐛🐛🐛🐛🐛🐛🐛🐛🐛🐛🐛🐛🐛🐛
28.116         1531644567.0    天王盖地虎
28.26          1531068465.0    猝不及防
29.164         1531130056.0    😂😂
29.499         1531651144.0    嗷
29.543         1531056348.0    苏喂苏喂苏喂
30.092         1531633828.0    天王盖地虎
30.681         1531649480.0    段友好
30.789         1531062898.0    03:16笑死
31.46          1531061792.0    💃💃
31.565         1531140977.0    💃💃💃💃
31.6           1531032597.0    他们快手不就喜欢这种吗
31.66          1531031022.0    顶一下我b乎
32.231         1531034463.0    💃💃💃💃💃💃💃Y
32.4           1531638470.0    段友何在
32.561         1531045691.0    💃💃💃💃
32.665         1531727707.0    下了抖音之后你会觉得，全是些无聊的视频……
32.998         1531132579.0    💃💃💃💃💃💃💃💃💃💃💃💃💃💃
33.2           1531129178.0    💃💃💃💃💃💃💃💃💃💃💃💃💃💃
33.459         1531032660.0    💃💃💃💃💃💃💃💃💃
33.49          1531030525.0    💃💃💃💃💃💃💃💃
33.58          1531102244.0    💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃
33.648         1531642065.0    段友在此
33.998         1531061882.0    💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃
34.224         1531058457.0    等等
34.398         1531030571.0    涩会
34.452         1531102243.0    别说知乎了，现在的知乎真的是逼呼了。一大堆营销号
34.539         1531103592.0    💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃
34.601         1531061235.0    💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃
34.656         1531137671.0    💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃
35.2           1531646107.0    南抖音北快手，智障界俩泰斗
35.361         1531648095.0    辣鸡
35.64          1531642065.0    段友出征，寸草不生！
35.641         1531053292.0    这难道不是快手吗
36.049         1531634068.0    苏喂苏喂苏喂
36.239         1531071164.0    摇就完事了
36.477         1531137420.0    💃
36.648         1531634746.0    宝塔镇河妖 蘑菇放辣椒
36.941         1531031775.0    苏伟苏伟，卢本伟
37.545         1531639139.0    哈哈哈哈哈
37.693         1531060401.0    我。。。快尴尬死了。。。。
37.724         1531103544.0    💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃
37.904         1531034432.0    段友出征
37.969         1531030423.0    敢问是段友
38.042         1531132208.0    全国最大的手语app。
38.16          1531031037.0    文艺复兴
38.281         1531644312.0    文明观猴
38.475         1531201888.0    芦苇？
38.525         1531030710.0    快手还有的鄙视呢？
38.581         1531098879.0    好红红火火恍恍惚惚哈哈哈哈哈哈哈
39.099         1531063473.0    💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃
39.229         1531044166.0    我是北方人但是我只玩B站爱死这个破站了
39.349         1531649385.0    💃💃💃💃💃💃💃💃💃💃💃
39.482         1531144569.0    文明观猴
40.19          1531650115.0    hhhhhh
40.459         1531031965.0    壮哉我大贴吧
40.46          1531652279.0    这难道不是快手吗
40.526         1531151978.0    🐒🐒🙉🐒🙊🙉🙈🙊🙊
40.561         1531059038.0    知乎鄙视一切视频网站
41.54          1531031100.0    龙王
41.72          1531647857.0    天王盖地虎
41.839         1531152419.0    笑死我了
41.853         1531119016.0    壮哉我大贴吧的好评
41.958         1531031716.0    哈哈哈哈哈哈哈哈哈哈哈哈哈
42.078         1531136793.0    💃💃💃💃💃💃💃💃💃💃
44.758         1531053016.0    🏃🏃🏃🏃🏃🏃🏃🏃🏃🏃
44.801         1531677216.0    段子还是不错的呀
45.608         1531637537.0    段某出征 亲🐴丧生
45.64          1531646169.0    段友好
45.986         1531210628.0    upupupupupupup
46.015         1531143505.0    意思就是差不多
47.232         1531047642.0    卧槽
47.266         1531642078.0    段友
48.087         1531031198.0    知乎蓝
49.538         1531057178.0    我的眼睛去哪了？
49.799         1531061117.0    真正的知乎er绝不会摆出一副高高在上的态度，而是一种客观和包容的心
50.619         1531032206.0    b乎
50.751         1531032586.0    敢问是段友？
51.881         1531044766.0    段友+1
52.468         1531648463.0    敢问是段友？
52.921         1531069580.0    美颜10已开启
54.762         1531652069.0    不不不  段子出了个APP叫《段友》
55.019         1531032099.0    没家的段友暂住最右看戏
55.021         1531648122.0    恶心
56.08          1531640809.0    我们他趣不参与
56.821         1531042714.0    右友站住
58.066         1531634777.0    我们段子表示不屑一顾
59.663         1531032491.0    皮皮搞笑，新段子，段友们回家
59.825         1531638045.0    最右安全
60.153         1531633053.0    敢问是段友
60.412         1531053981.0    大姐快住手，是友军
61.637         1531635817.0    我咋觉得都是快手里的
62.359         1531129989.0    护眼护眼护眼护眼护眼护眼
62.833         1531124104.0    换头怪
62.912         1531222972.0    知乎不早凉了吗
64.079         1531032029.0    贴吧万岁
64.66          1531129997.0    护眼护眼护眼护眼护眼护眼
64.92          1531130004.0    护眼护眼护眼护眼护眼护眼
65.835         1531030397.0    没有眉毛比较好画呀
65.917         1531032319.0    段子已经驾鹤西游了
66.434         1531649853.0    眉毛呢？
67.459         1531031244.0    握草
67.825         1531135149.0    wodem
68.013         1531219631.0    我在吃饭
68.24          1531643022.0    我赌五个硬币，某手是社会摇
68.626         1531030894.0    B站只是部分受众群体，其它软件都是社会人，什么人都有
68.759         1531644556.0    内涵段子才是王道
69.001         1531653480.0    王？
69.337         1531032187.0    OMG
69.781         1531636934.0    易容术
69.816         1531646034.0    恶心
71.521         1531053331.0    假的吧
72.367         1531648605.0    打扰了
73.004         1531649778.0    段
73.29          1531643424.0    看抖音是一种什么体验？
73.291         1531651209.0    哥们儿，段子复活啦!名叫段友。
73.617         1531031249.0    眼线依旧坚挺。。
73.682         1531646762.0    前面拥有所有软件的带我一个
75.283         1531031062.0    可啪
75.591         1531648477.0    这么真实？
75.649         1531646439.0    天王盖地虎
75.763         1531642107.0    内涵段子才是王道
77.219         1531031263.0    再也不相信婚姻
77.78          1531642315.0    逼乎
78.839         1531636545.0    求什么歌
79.081         1531636924.0    化妆再丑都能变漂亮
80.02          1531651099.0    告辞
80.288         1531650913.0    段友在此
81.318         1531030452.0    一天俩APP，哔哩哔哩和知乎
81.393         1531644812.0    我内涵段子何在
