作品名称：【全明星一人一句】—学猫叫
网址：https://www.bilibili.com/video/av26286781
更新时间：07-12
弹幕总量：992
preciseTime    ofTime          comment
0.0            1531225679.0    这是我吗
0.042          1531204276.0    🎉欢迎回来🎉
0.05           1531132362.0    🎉🎉🎉欢迎回来🎉🎉🎉
0.06           1531209141.0    该来的还是来了
0.081          1531140014.0    火钳刘明
0.109          1531132369.0    🎉🎉🎉欢迎回来🎉🎉🎉
0.128          1531132372.0    🎉🎉🎉欢迎回来🎉🎉🎉
0.215          1531278686.0    火后留名~
0.235          1531132379.0    🎉🎉🎉欢迎回来🎉🎉🎉
0.383          1531325420.0    试图打断
0.4            1531118873.0    火钳刘明
0.402          1531135872.0    🎉🎉🎉欢迎回来🎉🎉🎉
0.416          1531363772.0    火钳刘明
0.578          1531363738.0    火钳刘明
0.591          1531229228.0    火钳刘明
0.62           1531153138.0    火钳刘明
0.666          1531132383.0    🎉🎉🎉欢迎回来🎉🎉🎉
0.694          1531363769.0    火钳刘明
0.786          1531132387.0    🎉🎉🎉欢迎回来🎉🎉🎉
0.787          1531363755.0    火钳刘明
0.896          1531181090.0    火钳刘明
0.919          1531221030.0    结尾彩蛋看到结尾哦
0.996          1531363749.0    火钳刘明
1.188          1531369164.0    [0,0,"1-1",4.5,"打断成功\n打断成功\n打断成功",0,0,0,0,500,0,1,"SimHei",true,"M413,278L413,278L413,278"]
1.242          1531325426.0    打断失败
1.264          1531150688.0    欢迎回来各位
1.277          1531381444.0    学猫叫
1.693          1531363727.0    火钳刘明
1.787          1531127792.0    为什么我这么卡
1.84           1531315334.0    火帖留名
1.849          1531146927.0    火钳刘明
1.855          1531363743.0    火钳刘明
1.978          1531131631.0    冲着雷军我就点了进来
2.318          1531273760.0    攻克音乐区
2.459          1531132354.0    🎉🎉🎉欢迎回来🎉🎉🎉
2.662          1531115039.0    额
2.821          1531311980.0    火钳刘明
3.16           1531312815.0    火钳刘明
3.388          1531363732.0    火钳刘明
3.659          1531132299.0    🎉🎉🎉欢迎回来🎉🎉🎉
3.874          1531363119.0    火钳刘明
3.9            1531208669.0    火钳刘明
3.949          1531264621.0    火钳刘明
4.002          1531292167.0    6666
4.195          1531172599.0    火钳刘明
4.227          1531354736.0    666
4.745          1531109805.0    哈哈哈哈
5.06           1531277622.0    火钳刘明
5.209          1531104307.0    火钳刘明
5.317          1531154923.0    ！x
5.336          1531114624.0    66666666666
5.508          1531128883.0    。。。。这词
5.823          1531124503.0    先投币再说好吧
6.02           1531383117.0    66666666666666
6.036          1531184654.0    哈哈哈哈哈哈哈哈
6.24           1531222803.0    2333333333
6.272          1531319544.0    好东西啊
6.784          1531321828.0    哇
6.84           1531317682.0    啦啦啦
7.372          1531307827.0    火钳刘明
7.433          1531126096.0    标准开头
7.6            1531325125.0    火钳刘明
7.642          1531128638.0    火钳刘明
7.725          1531150705.0    欢迎回来
7.741          1531311417.0    干得好
7.781          1531216770.0    火钳刘明
7.957          1531207913.0    居然没有那个男人
8.06           1531145347.0    标题就觉得好笑
8.252          1531309819.0    火钳刘明
8.338          1531221831.0    火钳刘明
8.367          1531322191.0    火钳刘明
8.411          1531233854.0    很秀
8.65           1531391357.0    火钳刘明
8.747          1531271429.0    流弊
8.792          1531295821.0    火候刘明
8.836          1531363995.0    火钳刘明
8.912          1531317267.0    妙啊
8.916          1531302825.0    火钳刘明
8.948          1531104316.0    妙啊
9.039          1531232776.0    开口跪
9.337          1531391461.0    なぜお金がなくなったのか，きっと私は足りないではない
9.566          1531107192.0    火钳刘明
9.598          1531109812.0    老子终于考过了
10.68          1531285634.0    火钳刘明
10.718         1531304310.0    火钳刘明
11.015         1531213232.0    火钳刘明
11.49          1531213962.0    HHHHHH
11.561         1531132344.0    🎉🎉🎉欢迎回来🎉🎉🎉
11.579         1531185490.0    开口脆！
11.717         1531209801.0    火钳刘明
11.835         1531317280.0    开口跪
12.057         1531248189.0    火候刘明
12.3           1531144190.0    妙不可言
12.307         1531304803.0    火钳刘明
12.454         1531277189.0    哈哈哈哈
12.572         1531211626.0    ......................
12.593         1531219681.0    火钳刘明
12.887         1531109401.0    火钳刘明
13.059         1531149230.0    开口跪
13.073         1531108772.0    火钳刘明
13.161         1531324156.0    火钳刘明
13.358         1531303733.0    给你五句
13.508         1531391509.0    お金を盗んで私の財布に入ったのか
13.584         1531117000.0    开口跪
13.643         1531140389.0    666
13.959         1531180454.0    火钳刘明
14.034         1531381471.0    奥观海
14.038         1531142618.0    2333
14.116         1531322742.0    我以为是素颜😂
14.161         1531292026.0    火钳刘明
14.188         1531206937.0    火钳刘明
14.351         1531203164.0    火钳刘明
14.545         1531324616.0    火钳刘明
14.575         1531305736.0    摇摇摇
14.741         1531109676.0    火钳刘明
14.882         1531304415.0    开口跪
15.002         1531322278.0    火钳刘明
15.097         1531128462.0    🔥钱刘明
15.111         1531390929.0    ？？？？
15.401         1531384852.0    居然没榜首？
15.691         1531148480.0    开口跪
15.973         1531385279.0    开口跪
16.136         1531197316.0    火钳刘明
16.165         1531220948.0    妙啊
16.371         1531199532.0    马狗蛋儿
17.225         1531317375.0    不就是硬币吗，给给给Σ(ŎдŎ|||)ﾉﾉ
17.323         1531301004.0    66666
17.391         1531379776.0    负债百亿调音师
17.424         1531312646.0    火钳刘明
17.724         1531217157.0    你还不够?
17.791         1531391542.0    ビデオカードは破壊され，皮膚はすべて黒くなった。
17.801         1531269751.0    火钳刘明
17.904         1531282929.0    该来的还是来了
17.986         1531293087.0    火钳刘明
18.46          1531381494.0    葛炮葛炮葛平葛炮葛平葛炮葛平葛炮
18.822         1531297664.0    火钳刘明
18.869         1531365136.0    火钳刘明
19.095         1531219328.0    开口跪
19.202         1531117814.0    看到云我进来了
19.37          1531104110.0    2333
19.41          1531232558.0    6666
19.622         1531277197.0    开口翠
20.12          1531304014.0    火钳刘明
20.142         1531218652.0    6666666
20.667         1531223656.0    有点骚
20.684         1531374858.0    b站方文山
20.92          1531319828.0    火钳刘明
21.829         1531373491.0    收到暗号嘤嘤嘤
21.893         1531126220.0    火钳刘明
22.114         1531107642.0    666666
22.392         1531391567.0    私は頭を抱くて鳴く
22.942         1531304590.0    _(눈_눈」∠)_开口跪
23.298         1531287116.0    ，²³³³³³³    6666666    厉害了23333     ²³³³³³³³³³³     2333     6666         ²³³   666    太流弊了！！卧槽     
23.589         1531234410.0    6666666
24.07          1531303248.0    火钳刘明
24.148         1531144568.0    嘤嘤嘤
24.346         1531183149.0    6666666666
24.377         1531216038.0    蛤蛤蛤蛤蛤
24.699         1531124392.0    抱着头言叶感
24.771         1531231021.0    火钳刘明
24.79          1531183991.0    火钳刘明
24.981         1531298739.0    耳朵流产了
25.175         1531201788.0    666666
25.242         1531193839.0    火钳刘明
25.561         1531299496.0    666
25.857         1531124002.0    \
26.258         1531232785.0    火钳刘明
26.369         1531296406.0    王境泽上线
26.379         1531205847.0    精神！
26.565         1531205816.0    精神！
27.181         1531115103.0    你的好友金坷垃已上线
27.33          1531274408.0    每日一刷，过瘾
27.378         1531391587.0    毎日目覚める気がします
27.405         1531126634.0    卡哇伊！
27.451         1531281929.0    233333333333
27.58          1531274286.0    火钳刘明
27.696         1531117457.0    火钳刘明
27.702         1531141928.0    百万填词
27.712         1531212625.0    蜜汁好听
28.164         1531369286.0    [0.99,0.74,"1-1",4.5,"提神洗脑\n  洗脑      \n              脑",0,0,0.01,0.5,500,0,1,"SimHei",true]
28.377         1531316708.0    66666666666
28.494         1531358490.0    233333333333333333
28.522         1531352659.0    都是dalao
28.577         1531212081.0    嘤嘤嘤
28.682         1531120266.0    火钳刘明
28.812         1531198993.0    氧化钙，俗称生石灰，化学式为CaO
28.854         1531149478.0    Ca2Oh3
28.899         1531147239.0    氢氧化钙，俗称熟石灰，化学式为Ca（OH）。
29.195         1531202423.0    0.5新世界
29.473         1531124358.0    火钳刘明
29.595         1531202131.0    666666
29.675         1531236431.0    哈哈哈哈哈哈哈哈哈哈哈
29.778         1531134716.0    无聊
29.974         1531152879.0    不错，加油
30.01          1531391634.0    水酸化カルシウムはあなたの好きな味です
30.069         1531277207.0    嘤嘤婴
30.14          1531208954.0    Ca(OH)2  熟石灰
