作品名称：洲际赛SMLZ赛后采访全程高能，任栋被秀得不知所措，观众齐呼笑一个！
网址：https://www.bilibili.com/video/av26289433
更新时间：07-10
弹幕总量：496
preciseTime    ofTime          comment
0.524          1531107446.0    大家下午好
0.602          1531152215.0    欢迎回来
1.397          1531224682.0    主持人自闭采访唯一指定对象
1.678          1530930364.0    终于找到这个视频了
2.039          1530940031.0    欢迎来到电竞周泽楷系列
2.054          1531137914.0    这里的bgm是什么？跪求！！！
2.48           1530976905.0    好，很好，非常好，马哥你也好！
3.797          1530936170.0    你马哥永远是你马哥
3.92           1530921465.0    谢谢马哥的正奶
4.761          1531014571.0    不灭之握
5.478          1530976943.0    赛后采访的选手是主持人挑的，任栋是真的喜欢挑战马哥呢
5.638          1531056600.0    我们是冠军！
6.356          1531029105.0    一分三十秒？
6.414          1530957320.0    谢谢他们买票
6.416          1531025072.0    会用词吗 什么叫侮辱 
6.584          1531171992.0    被水淹没，不知所措
6.641          1531159384.0    常规的问好。。
7.017          1531094087.0    卧槽马哥说话了
7.184          1531187882.0    马哥笑了
7.321          1530947681.0    常规的问好。。。
7.516          1530919607.0    为啥不让阿姨采访
8.388          1530930835.0    忍不住看第二遍
8.448          1530965470.0    看你一眼算我输
8.889          1531103171.0    老贼。我要是变了表情算我输
9.068          1530927264.0    司马老贼
9.197          1530943189.0    看，马哥在笑
9.237          1531130036.0    谢谢粉丝买票
9.24           1531064059.0    看一次笑一次
9.386          1531214466.0    这是面瘫
9.791          1531170246.0    任栋采访完想打人。。。
9.859          1531127472.0    面瘫，nc啊
9.956          1530939244.0    采访鬼才 马哥
10.077         1530920022.0    常规
10.408         1530929549.0    ¿
10.427         1530927904.0    看似常规的开头，任栋小心
10.577         1531047810.0    任栋每次都挑马哥，怕不是个m
10.775         1530917316.0    在现场
10.832         1531141383.0    周泽楷
12.144         1530934011.0    感谢粉丝买票😂😂😂
12.24          1530933893.0    余霜怎么不采访了
12.357         1530924969.0    笑一个
12.475         1531201987.0    看马哥已经哈哈哈大笑了好么
12.511         1530927776.0    谢谢大家买票
12.544         1530948992.0     谢谢买票，太真实了。
13.414         1530931428.0    马哥可爱
13.926         1530963251.0    主持人：我有点头晕
14.214         1531113263.0    笑了
14.223         1530929404.0    哈哈哈哈哈哈，在现场，笑死我了
14.436         1530975372.0    事实证明，马哥还是你马哥
14.599         1531221750.0    采访鬼才
14.807         1531148116.0    hhhhhhhh
14.984         1530965064.0    憋着好累
15.12          1530975183.0    任东：为啥让我采访这个面谈。换个人行不
15.317         1531144874.0    被秀的头皮发麻
15.957         1530942900.0    采访鬼才。。
16.287         1530923093.0    23333
16.401         1531032597.0    666
16.534         1530954723.0    哈哈哈哈哈
16.837         1531218857.0    6666666666
17.028         1531132286.0    常规的问好
17.163         1531131419.0    😂😂😂
17.254         1531206137.0    哈？
17.347         1530931437.0    Lpl最实诚的人
17.408         1531153396.0    哈哈哈哈哈哈
17.501         1530912865.0    马哥忍住不笑
17.628         1531124768.0    6666666666666666
17.642         1530932831.0    在现场
17.683         1531130391.0    这句话听一遍笑一遍
17.761         1530950027.0    哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
17.822         1531159405.0    66666666
17.901         1530945953.0    不怎么样，哈哈哈
17.911         1530953955.0    不灭之握你也有今天
17.985         1531115829.0    哈哈哈
18.152         1531101411.0    常规问好
18.298         1531106039.0    66666冷场鬼才
18.395         1530915154.0    ？？？
18.619         1531071875.0    哈哈哈哈哈哈哈哈哈哈哈哈
18.802         1531114841.0    23333333
19.076         1531103770.0    哈哈哈哈哈哈哈
19.396         1531111205.0    头晕，………
19.398         1530943986.0    不灭之握被秀了？
19.416         1530940834.0    不灭之握
19.476         1530929145.0    司马脸
19.558         1531133539.0    马哥日记：7月8，赢，没c
19.572         1530924953.0    23333
19.842         1530968307.0    真实
20.139         1530965168.0    ,卧槽，马哥今天说了好多话
20.158         1530932993.0    其实马哥已经在爆笑了
20.481         1530924206.0    666666666
20.512         1530969781.0    香肠嘴
20.568         1531127233.0    哈哈哈哈哈哈或
20.614         1531110046.0    带秀
20.653         1530935402.0    好真实！
20.812         1531123106.0    233333334
20.858         1531127249.0    好可爱
20.994         1531175918.0    哈哈哈
21.029         1530932230.0    不怎么样可还行
21.116         1531021492.0    心❤给你啊
21.341         1530937661.0    哈哈哈哈哈
21.417         1530971743.0    采访鬼才
21.475         1531010933.0    ？？？？
21.54          1530945341.0    终于答完哦
21.586         1531026570.0    真实
21.593         1531218541.0    真实，哈哈哈哈，马哥贼萌
21.635         1531089388.0    @周泽楷
21.642         1530929145.0    在现场，大家都在喊，马哥笑一个！233333
21.761         1531121340.0    哈哈哈哈哈哈
21.857         1530922415.0    哈哈哈哈哈哈马哥真的圈粉
22.058         1531048188.0    666666666
22.238         1531004099.0    哈哈哈哈哈
22.245         1531103231.0    666666666666
22.288         1530920054.0    真实
22.298         1531111417.0    哈哈 这么真实的吗
22.46          1531067282.0    。。。。。。哈哈哈
22.482         1531121115.0    66666
22.85          1530928561.0    ？？？
22.875         1530939049.0    红红火火恍恍惚惚
22.876         1530930126.0    6666666666
22.939         1531205895.0    6666
23.026         1530995257.0    666马哥
23.142         1531128962.0    666
23.341         1531012502.0    采访鬼才
23.572         1531148124.0    真实
23.654         1530990886.0    V191
23.704         1531099677.0    哈哈哈哈哈哈哈哈哈
23.773         1531139891.0    66666
23.816         1531202907.0    没c，不开心
24.077         1531070175.0    (°_°)…
24.116         1531103725.0    666666
24.195         1531096114.0    马哥日记:7月8日，阴，对阵KZ，我没有carry
24.239         1531125157.0    ？？？？
24.264         1530946222.0    不怎样
24.658         1531213314.0    任栋：这个比不按套路出牌
24.979         1530939241.0    司马脸
25.156         1531123733.0    台湾那边采访话才多，最后还和主持人对拳头了！任栋怕是羡慕死
25.423         1531181232.0    你可以秀李哥，但你永远秀不了我马哥
25.865         1530925253.0    骚
25.995         1531104426.0    马哥日记：赢了，没
26.142         1531132267.0    一本正经的马哥
26.367         1531207620.0    秀
26.417         1531070289.0    从小说里走出来的高冷男主
26.659         1530971872.0    233
26.708         1530934336.0    装
26.723         1530926175.0    采访鬼才
26.788         1530929422.0    钢铁直男
27.003         1530920615.0    6666666666666
27.01          1531061491.0    任栋被秀飞了
27.052         1531133460.0    秀得厉害
27.067         1530934138.0    采访鬼才smlz
27.078         1531048218.0    比春季赛2333
27.601         1531104642.0    哈哈哈，不灭之握，你也有今天
27.707         1530928631.0    输了以后回休息室继续练
27.912         1530934027.0    的确马哥发挥有点失误
28.542         1531195398.0    马哥内心:拿着你的麦克风滚
28.595         1530933806.0    心疼任栋一波
29.0           1531021500.0    我的马
29.138         1530974038.0    马哥爱你呦
29.185         1531070235.0    实诚
29.702         1531107766.0    真实
30.338         1531200800.0    马哥肯说这么多话心情应该还不错
30.651         1531005523.0    你定的职业素养？张口闭口就职业素养，道德婊很好玩？
30.822         1530944647.0    任栋：？？？这还怎么采访
31.296         1530919569.0    真实
31.521         1531110079.0    那你要我怎么样啊，打比赛sm脸，采访sm脸，要我一直笑吗？
31.922         1531162521.0    出汗了吧，任东
32.041         1531145305.0    日常失误
32.281         1530934341.0    装
32.321         1530933716.0    666666
32.322         1531159451.0    真实
32.364         1531146835.0    简洁 优秀
32.396         1530936207.0    握个手把要不
33.04          1530945363.0    终于答完哦
33.137         1531020789.0    马哥笑了吗？感觉笑了啊
33.325         1530945969.0    hi哈哈哈
33.916         1531102371.0    红红火火恍恍惚惚呵呵哈哈哈
33.979         1531132954.0    尬聊
34.316         1531036371.0    任栋好强
34.5           1530937444.0    红红火火恍恍惚惚呵呵哈哈哈是
34.621         1531092713.0    那你要我怎么样嘛？要我一直笑嘛
35.041         1531115846.0    哈哈哈笑死
35.195         1530920033.0    加班加班
35.257         1530909304.0    怎么跟老师训话一样？
35.458         1531120844.0    司马脸
35.515         1530990672.0    司马脸
35.553         1530955401.0    忍得住笑还是牛皮啊
35.6           1531096605.0    哈哈哈
35.623         1530945591.0    马哥就是这么的真实
35.733         1530954742.0    王者藐视
36.122         1530962245.0    马哥已经在爆笑了
36.4           1531123079.0    简简单单
36.539         1530938772.0    哈哈哈哈整个lpl是不是只有马哥在真实的自闭
36.624         1531108630.0    我想起了周泽楷。。。
37.059         1531072806.0    真实
37.243         1531130843.0    说装的你知道马哥这样子多长时间了吗？不管是在什么战队而且现在的自闭比以前好多了
37.259         1531067297.0    采访鬼才
37.266         1531196970.0    笑死我了
37.306         1530932850.0    马哥这场被针对了
37.912         1531191724.0    辛苦任栋了……
38.141         1530944369.0    握个手吧 捏死他
38.709         1531178577.0    真实
38.837         1530924972.0    马哥笑一个！
39.216         1531115943.0    握手都不敢了
39.309         1530933204.0    自闭
39.678         1531103247.0    任栋*老爷们我真的尽力了。这个人实在秀不动
39.793         1530937250.0    司马老贼的自闭真的是装的，夕阳都说过了
40.777         1531166211.0    太真实了
40.795         1531103250.0    鬼才
41.375         1531058623.0    2333333333
41.393         1530927112.0    这摄像，对着马哥都能撸?
41.83          1531112976.0    马哥太实诚了😂
