作品名称：【朱一龙】哥哥这段奶音笑可以听一百遍！
网址：https://www.bilibili.com/video/av26299552
更新时间：07-12
弹幕总量：849
preciseTime    ofTime          comment
0.0            1531323112.0    ？？？？？？
0.177          1531246323.0    哇放我出去！女鬼扒墙。
0.416          1531287777.0    真香警告23333
0.928          1531312857.0    好的再来一遍
0.957          1531138758.0    放我出去
1.1            1531133453.0    出不去了
1.377          1531128573.0    完了出不去了
1.499          1531156949.0    你们好我又回来了
1.595          1531162173.0    千万不要在敷面膜一边看，我憋笑快死了
1.662          1531321686.0    我又来了
1.693          1531234480.0    我保证最后一遍
1.7            1531209194.0    我又忍不住点了进来
1.791          1531201136.0    救命!放我出去!血包!血包!
1.887          1531380606.0    每天一百遍
1.921          1531225370.0    欢迎回来
2.077          1531230607.0    放我出去！！！
2.118          1531193953.0    两个人太可爱了
2.232          1531145969.0    女鬼们有点可怕，中午还是17万的观看量。现在就变成21万了
2.243          1531280068.0    我又来了
2.363          1531196305.0    爱剪辑警告
2.45           1531246553.0    不行了 已经耳朵以怀孕
2.502          1531308730.0    我又来了
2.786          1531218671.0    出不去了
2.807          1531264968.0    日常刷我又来了
2.832          1531288141.0    奶凶奶凶的居老师
2.838          1531164425.0    怎么还呛奶了！！！！
2.858          1531193416.0    又疯了一堆
2.974          1531234945.0    走不出去了
3.039          1531307912.0    233
3.064          1531151949.0    我听完这一遍就去拔网线
3.157          1531201904.0    欢迎回来
3.176          1531238346.0    66666666666666666
3.376          1531152908.0    告诉自己最后一遍
3.412          1531221389.0    出不去了
3.441          1531289656.0    哥哥
3.745          1531237193.0    啊啊啊啊啊啊啊啊啊
3.805          1531366254.0    放我出去，救命
3.875          1531146075.0    沉迷于美色无法自拔
4.033          1531148220.0    来啦
4.183          1531150210.0    哭了
4.365          1531211365.0    听了八百遍了
4.38           1531377637.0    又见面了
4.457          1531159283.0    放我出去
4.478          1531301211.0    我又来了
4.63           1531135828.0    91
4.642          1531231271.0    朱一龙！
4.661          1531227276.0    我又来了
4.677          1531129741.0    我又来了
4.767          1531289868.0    我又又又又又又又又又来了
4.935          1531131215.0    完了，我出不去了
4.99           1531378430.0    大家要去芒果刷点击量了
5.066          1531207361.0    我回来了
5.18           1531233602.0    完了完了完了，彻底出不去了
5.3            1531201585.0    放我出去
5.361          1531265757.0    再看一遍我就去写作业。🌝
5.588          1531221258.0    好好看
5.62           1531210171.0    哦哟哦哦
5.802          1531275151.0    我想出去
5.852          1531222737.0    欢迎回来
5.944          1531232138.0    放我出去
5.968          1531147031.0    怎么了⊙_⊙，原谅我刚来
5.987          1531138063.0    妈呀!
6.036          1531157151.0    凌晨两点钟我又来了
6.154          1531146646.0    啊啊啊啊啊
6.179          1531239897.0    出不去了 都把home键抠死 谁也别想从居老si的视频中出去!
6.229          1531306284.0    放我出去
6.267          1531180680.0    我又来了
6.528          1531188687.0    嘤嘤嘤大宝贝儿
6.535          1531142322.0    回看了好多次
6.706          1531198036.0    这可以循环听一万年！！！
6.711          1531236785.0    美人
6.733          1531292794.0    出不去了
6.835          1531301229.0    完了完了怎么可以那么苏
6.872          1531152919.0    又回来了
6.873          1531210149.0    出不去了~
6.889          1531321144.0    我又来了！
6.988          1531286304.0    出不去了
7.055          1531141617.0    我回来了
7.232          1531378266.0    小揪揪可爱炸了！！！
7.26           1531128979.0    哎哟喂
7.266          1531198033.0    我又来了
7.344          1531224805.0    這可恥的收藏量！！！！
7.432          1531198303.0    我又来了！！
7.457          1531180332.0    死了，
7.606          1531287404.0    我看了千百遍了呜呜呜我爱朱一龙
7.615          1531288493.0    又回来了
7.702          1531327043.0    老公，人家想抓你的小啾啾
7.717          1531283756.0    真出不去
7.718          1531293024.0    少年音max!
7.741          1531272936.0    让我出去
7.858          1531388988.0    视频全程姨母笑
7.972          1531386195.0    跟＂你干什么＂同时食用更妥
8.014          1531143362.0    放我出去！！！！！
8.273          1531147943.0    我怎么又进来了
8.348          1531149242.0    搜朱一龙一直播，23:17龙哥笑的超甜，甜到窒息
8.376          1531128719.0    又来了
8.406          1531379736.0    出不去了
8.433          1531229559.0    前面说要嫁给哥哥的人别跑，咱们俩打一架
8.582          1531213167.0    我咋又进来了？？
8.957          1531217548.0    放我出去！
8.96           1531144946.0    啊啊啊啊啊啊受不住了
9.023          1531128318.0    放我出去
9.102          1531131089.0    已经在坑里躺平了
9.119          1531222331.0    笑声太好听了
9.202          1531133700.0    你们注意龙哥这里是要翘腿！！
9.291          1531299052.0    我又来了
9.302          1531206896.0    今天的我又来了
9.577          1531193131.0    我怎么又来了
9.605          1531329048.0    我又来了
9.717          1531290763.0    又回来了
9.805          1531154511.0    无限循环
9.861          1531199013.0    哼哼的气音最萌
9.863          1531181330.0    奶到爆炸
9.868          1531141234.0    放我出去……第二十四遍了……
9.925          1531237199.0    龙龙龙龙龙龙龙龙
10.0           1531152757.0    我就知道是这段～
10.091         1531140078.0    每天一遍
10.171         1531297593.0    哈哈哈哈哈哈
10.21          1531127726.0    我来了
10.315         1531304087.0    太奶了啊啊啊啊
10.378         1531214547.0    爱剪辑警告
10.839         1531319051.0    男人，你逃不了了
10.99          1531379004.0    我又来了！
11.05          1531139471.0    又回来了
11.052         1531134343.0    这个笑声太适合作为素材了1551
11.088         1531227350.0    爱剪辑警告
11.233         1531306990.0    妈呀
11.378         1531331631.0    又来了
11.418         1531135923.0    太可爱了，卧槽
11.425         1531279857.0    我出不去了
11.466         1531203379.0    后面有个小啾啾
11.552         1531269033.0    每日一看
11.593         1531193769.0    啊
12.26          1531306250.0    放我出去！
12.286         1531189712.0    放我出去
12.352         1531220977.0    真的超级可爱了！少年音
12.462         1531387328.0    我又来了
12.78          1531292098.0    最好听的声音，不许反驳，
12.822         1531388517.0    是的发生
13.004         1531206715.0    我滴妈呀😭😭😭
13.079         1531240063.0    出不去了
13.231         1531386413.0    可耻的播放量
13.336         1531151668.0    超级喜欢啊啊啊
13.359         1531366375.0    0.5播
13.473         1531377620.0    巍巍被澜澜给萌出血了
13.653         1531140692.0    可爱
13.739         1531206128.0    朱一龙好帅
13.798         1531196810.0    我死了
13.903         1531210179.0    我录下来了这一段
14.031         1531278163.0    好可爱哈哈哈
14.036         1531151786.0    咦？我好像控记不住我寄几了看了无数遍
14.582         1531323184.0    嗷嗷嗷每天都要来几遍
14.599         1531138828.0    哈哈哈哈，
14.804         1531294939.0    放我出去！
14.953         1531244918.0    太好听啦
15.034         1531224897.0    ２７５個小夥伴跟我一起聽居老師的笑聲呀～
15.139         1531134257.0    我的天呐，说好了休息十分钟就去学习的，为什么让我看到这个视频
15.205         1531156878.0    哈哈哈哈哈哈哈居老师俺来辽
15.222         1531135301.0    看清标题再进来好咩，承包朱老师的奶音，萌吐血了。
15.297         1531187327.0    好好好好好好好好好好好好！好棒啊wwwwww
15.491         1531148801.0    我死了!被萌死的
15.51          1531131101.0    好少年啊
15.58          1531154752.0    放我出去
15.779         1531374119.0    啊啊啊啊啊啊啊麻麻他笑起来怎么这么好听
15.806         1531326970.0    我又开始了
15.959         1531244405.0    完蛋了
16.04          1531240081.0    算了反正我也没想出去
16.131         1531142487.0    白叔故意向龙哥卖萌，犯规了！
16.279         1531227273.0    太萌啦
16.347         1531243169.0    可爱啊啊啊啊啊
16.362         1531213683.0    可爱想太阳
16.718         1531144589.0    白宇独家螳螂拳（喵喵拳？）
16.897         1531190434.0    可爱哈哈哈哈哈
16.929         1531227602.0    救命啊 出不去了
16.946         1531248295.0    再次回来
16.972         1531138201.0    龙哥龙哥
16.974         1531130352.0    太可爱了
17.078         1531274121.0    出不去了
17.141         1531283954.0    第一条弹幕送给居老师，居老师超可爱
17.182         1531200554.0    啊啊啊啊啊啊啊
17.258         1531197966.0    为什么可以这么奶！！这还叫我怎么看书！！
17.346         1531211291.0    循环听到出不去
17.5           1531321865.0    啊啊啊啊啊
17.501         1531380057.0    笑声超好听的
17.58          1531205166.0    跟着一起嘿嘿笑嘿嘿嘿
17.584         1531186773.0    好可爱
17.616         1531137133.0    每日一刷
17.644         1531152830.0    救我，我出不去了
17.699         1531140837.0    可耻的收藏量2333
17.787         1531136327.0    啊！龙哥！你要我们怎么办啊！
18.147         1531129705.0    嘤嘤嘤
18.228         1531356820.0    我又来了哈哈哈哈忍不住在听
18.342         1531299303.0    我回来了，第n次
18.37          1531305117.0    怎么可以这么撩人！！！
18.519         1531148247.0    啊啊啊啊，妈耶！
18.581         1531180344.0    好奶啊
18.583         1531224303.0    这俩人特别有意思，感觉
18.645         1531383043.0    我送你们上首页！！！！！！！！！！！！！
18.668         1531200070.0    声音跟狮子的好像啊
18.748         1531129810.0    真出不去了～
18.783         1531226925.0    关不掉了，出不去了
18.787         1531326511.0    注意背后小揪揪
18.979         1531241806.0    好好听啊
19.079         1531127532.0    完了！被你一个男人的笑声迷住了
19.318         1531150121.0    怎么可以这么奶😍
19.374         1531134119.0    心都要酥了
19.589         1531130295.0    啊啊啊啊这个奶音
19.597         1531239816.0    循环了三天，上面的计数君才让我突然发现进度条的秘密
19.69          1531184394.0    笑声让人想推倒
19.785         1531200578.0    白球也好萌啊哈哈哈
19.798         1531129218.0    请问缓存在哪
19.846         1531127014.0    哈哈哈哈哈哈哈
19.955         1531146753.0    啊啊啊啊啊啊啊！！！？？？
19.957         1531211556.0    真~出不去了
19.977         1531129835.0    我天居老师的奶音也太赞了叭❤❤❤
20.085         1531390198.0    我的天，这是什么大宝贝
20.17          1531242760.0    承包居老师的笑声
20.331         1531328009.0    我觉得我可能也出不去了 哥哥救我！
20.359         1531150402.0    这个笑声啊
20.472         1531280871.0    啊啊啊我又来了
20.526         1531316861.0    出不去了
20.645         1531294905.0    可爱死了
20.999         1531203062.0    啊啊啊啊啊啊啊啊啊啊，太苏了，要原地爆炸
21.108         1531200635.0    白叔…打错了
21.362         1531154056.0    北宇:我每天想办法想逗龙哥开心
21.577         1531267200.0    可耻的收藏量
21.662         1531325627.0    朱一龙啊啊啊啊啊啊
21.733         1531143021.0    up超棒！！之前看完整视频还倒回去看了无数遍！！
21.838         1531129709.0    嘤嘤嘤
21.989         1531144680.0    无限循环哈哈哈哈哈哈哈哈
22.012         1531131116.0    声音真的好好听
22.134         1531146658.0    好好听啊
22.136         1531144451.0    我的小奶龙！！！！！
22.141         1531212945.0    敲可爱
22.202         1531127634.0    鼻音好重，是不是感冒了😂
22.344         1531303031.0    居老师也太可爱了吧！
22.383         1531162283.0    不不不，龙哥应该是想翘二郎腿来着，后来发现自己正在做节目
22.437         1531131187.0    这个是喵喵拳赵处！
22.559         1531138836.0    美好的兄弟情
22.662         1531232619.0    哦豁，，，血不够了
22.78          1531203084.0    喜欢他们同框，你在闹，他在笑
22.797         1531146191.0    真的他对我下了魔法，不然我怎么这么喜欢他
22.848         1531316396.0    无限循环啊啊……
23.033         1531146121.0    啊啊啊啊啊啊啊啊啊啊啊啊啊！可爱死了！！！！放我出去！！！
23.04          1531231323.0    无所顾忌的笑
