作品名称：主播炸了超神篇139 久哥妖姬秒杀连招 炽天使z1剑魔最新打开方式
网址：https://www.bilibili.com/video/av26305923
更新时间：07-10
弹幕总量：988
preciseTime    ofTime          comment
0.0            1531056683.0    吱付宝搜索“9506639”，你会回来打死我的（滑稽）
0.067          1530942256.0    （飘过一个替身使者）
0.833          1530930946.0    凌晨两点更新？
0.917          1530936471.0    21.3万
1.413          1531056629.0    lpl流弊
1.64           1530934690.0    哈哈哈
2.241          1530932769.0    11111111
2.939          1530954424.0    ！
3.021          1531135713.0    支付宝的已举报
3.467          1530926027.0    11111111111
3.625          1530929070.0    1111111
3.681          1530973359.0    播放量0
4.034          1531121033.0    7.8 我们是冠军、！
4.184          1531059393.0    我们又是冠军🏆
4.272          1531204346.0    RNG无敌
4.415          1530927695.0    ...
4.689          1530987556.0    深夜福利
4.736          1530939616.0    ？？？
4.999          1530942215.0    前十万！！！！！
5.122          1530939478.0    1520
5.201          1530936996.0    好短
5.339          1531026851.0    我们来了
5.698          1530960354.0    哦
5.741          1530926571.0    福利
5.767          1530934957.0    1784
5.984          1531059398.0    我们又是冠军🏆
6.221          1530939522.0    1111111111111
6.329          1530939426.0    第一个A接拉起
6.62           1531034582.0    777
6.796          1531066889.0    草你奶奶
6.829          1531064424.0    前排，瓜子花生米啤酒
6.921          1530926133.0    巴西GG
6.923          1531056604.0    lpl流弊
7.121          1531152306.0    牛逼
7.139          1530993843.0    111
7.161          1531059371.0    我们又是冠军🏆
7.206          1530962994.0    你好
7.499          1530926348.0    12.1万以后
7.631          1530933413.0    你好
7.66           1530949030.0    前30万算吗？
7.74           1530958787.0    来了来了
7.782          1530941774.0    ，
8.072          1531031369.0    关弹幕保智商
8.083          1530937239.0    卢本伟走好
8.481          1531025465.0    张恒久无敌
8.704          1530942184.0    11小时前！
8.8            1530938222.0    111
9.142          1531050892.0    你们都比我早
9.24           1530945018.0    假装来的早
9.442          1530926006.0    1
9.54           1531121941.0    666
9.761          1531006610.0    哇，你们都是住在b站的吗
9.861          1531056634.0    羡慕你们还能上学的，我只能每天旅游吃大餐
10.0           1531011407.0    34687554667545846
10.065         1531059406.0    我们又是冠军🏆
10.316         1530935814.0    哟  碟男
