排名：56
网址：https://www.bilibili.com/video/av26308379
更新时间：07-18
弹幕总量：973
preciseTime    ofTime          comment
0.0            1531670321.0    上古世纪了解一下 无缝地图
0.163          1531809496.0    我现在游戏时间就剩45小时....EMMMM
0.24           1531738360.0    再次点击收起你的键盘
0.355          1531795570.0    听到了这一首歌，就不准备走了
0.775          1531794193.0    前排提示，强烈建议屏蔽mc，我的世界，Minecraft等关键词
2.369          1531822641.0    孢子银河了解一下
2.588          1531739749.0    我的世界要走三年才能到边境吆
3.061          1531656437.0    欢迎进入抬杠专用视频
3.078          1531811369.0    能别提mc吗。看着真心烦。就没玩过别的游戏？
3.237          1531681183.0    当年曾想尽办法妄图穿越无尽之海
3.522          1531674163.0    这个视频的内容很早前就在推送上看过了
3.532          1531799205.0    传奇！！！B知道的人应该不算很多。
3.556          1531713386.0    捕获坐井玩家一只
3.76           1531644096.0    不会疲劳死吗
3.917          1531665065.0    黑色沙漠了解一下
3.941          1531788506.0    。。。
3.967          1531728499.0    星际争霸了解一下
4.36           1531725040.0    我的世界了解一下
4.56           1531719610.0    造梦西游了解一下
4.625          1531730254.0    游戏人生？
5.932          1531791519.0    无线深空了解一下
6.082          1531640814.0    mc了解一下
6.222          1531707307.0    我的世界了解一下
6.4            1531737567.0    eve了解一下
6.767          1531652512.0    这张图我怎么看不懂..难道我玩了个假传奇
7.045          1531660218.0    不会存档吗
7.199          1531628261.0    bgm一响我还以为要开始喊麦了呢
7.201          1531801174.0    我的世界最短要走两个月。。。
7.595          1531785301.0    这都特么飞多少遍了
7.679          1531766676.0    EVE了解下，不用迁跃你走到一个星球试试
7.68           1531700441.0    两万平方米等于大型城市?
7.896          1531786382.0    EVE了解一下
8.043          1531725167.0    我的世界是地球面积的900倍
8.364          1531707043.0    我当初玩了个巨魔猎人小号看到海想着我要游过去，但是游着游着死了忘了什么情况了
8.38           1531723747.0    我的世界了解一下
8.479          1531715865.0    我的世界你走穿。。。
8.539          1531733837.0    方舟了解一下
8.64           1531729245.0    let her go
8.782          1531651456.0    以前20级德鲁伊可以游到水城
8.997          1531794474.0    mc地图是随机的好嘛
9.362          1531743231.0    秒五米666
9.391          1531711208.0    我印象中的土城沙巴克没有护城河
9.397          1531783606.0    盟重另外一个世界好吧
9.415          1531760521.0    求bgm
9.738          1531642792.0    。。。传送是要花钱的。。。各别土豪着急才会传送。正常有钱人也会用腿跑路
9.762          1531827468.0    私服玩多了吧？官服全靠跑
9.86           1531707413.0    这图和我玩的传奇地图不同啊。
9.924          1531816385.0    星际公民了解下
9.925          1531661115.0    以前没那么多副本的时候毒蛇峡谷和上面去虫洞的地方全是人。up还是太年轻了
10.043         1531737720.0    想跟我的世界比吗？这辈子你都走不完
10.203         1531680236.0    这是哪个地图啊
10.389         1531803709.0    大型超市 谢谢
10.422         1531714079.0    你一定玩了假传奇，认真陈小春古天乐渣渣辉代言的贪玩真传奇（滑稽）
10.462         1531841136.0    我的世界了解一下
10.739         1531641337.0    两万平米的超市
11.021         1531635941.0    let her go
11.117         1531726009.0    mc了解下
11.238         1531748075.0    Mc了解一下
11.274         1531736247.0    我的世界了解一下
11.3           1531649510.0    不断生成的游戏没什么好比的
11.399         1531737598.0    说我的世界的怕不是小学还没毕业
11.46          1531749996.0    无人深空了解一下
11.609         1531828323.0    mc系统可以自动生成，算什么。
11.618         1531719100.0    这好像是私服自己拼接的地图 也不错
11.863         1531702686.0    当年魔兽70 年代我还真这么干过！探索了所有地图
12.009         1531712014.0    我就是这样的
12.06          1531880547.0    我的世界了解一下
12.487         1531646826.0    多层超市2W平很正常吧
12.525         1531717878.0    mc六百万米
12.62          1531657752.0    别老刷mc性质不同
12.684         1531799434.0    let her go!!!!
12.968         1531643077.0    Minecraft的地图最大
12.99          1531670351.0    上古世纪
13.326         1531822749.0    孢子银河了解一下，绝对最大
13.592         1531799355.0    问题来了，红色警戒的地图有多大，测的出来算我输
13.777         1531706413.0    每秒5米?
14.024         1531846609.0    传奇，白日门
14.06          1531805326.0    BGM:Let her go
14.753         1531661707.0    唉？不是贪玩传奇吗？
14.841         1531667653.0    North:走穿MC？洗洗睡吧
15.183         1531653789.0    两万平米都有一个学校大了吧
15.439         1531702775.0    走穿mc是有可能的，mc地图大小由你电脑（手机）的承受能力而定的
15.606         1531708574.0    MC了解一下
15.637         1531837839.0    我以为是帝国。
15.987         1531826430.0    我的世界了解一下
16.079         1531815937.0    我的世界你试试，100000000000000000X10000000000000000
16.293         1531662470.0    膜拜大佬
16.462         1531825292.0    别刷我的世界好吗 哪个是随机生成 跟固定的大地图没有比较的理由吧
16.844         1531742180.0    GTA
17.368         1531646736.0    200x100就是两万了哦，正常啊
17.441         1531711016.0    无人深空了解一下？不比我的世界大？
17.483         1531742114.0    押镖跑得还少了？
17.611         1531641194.0    老滚匕首雨才大
17.648         1531836869.0    我的世界了解一下
17.879         1531717468.0    我的世界了解一下。
18.098         1531786994.0    传奇啊
18.213         1531801227.0    别TMMC 那画质能看吗？
18.521         1531879256.0    这不是贪玩蓝月吗？
18.801         1531733117.0    贪玩蓝月(古天乐绿)
18.965         1531646842.0    别吹MC好吗？那是即时生成的，不是做的
19.54          1531676151.0    上古世纪了解一下
19.772         1531711665.0    MC了解一下
19.856         1531738795.0    我的世界了解一下
20.064         1531717040.0    无人深空了解一下
20.12          1531880571.0    都是辣鸡只要电脑好我的世界无限大
20.121         1531792218.0    mc了解下
20.141         1531765730.0    说了解一下的 你们倒是走一次看看
20.296         1531875555.0    我的世界地图是地球的180倍
20.319         1531642806.0    传送。花钱
20.606         1531718376.0    弱弱的问一句eve有多大？
20.631         1531804805.0    mMC了解一下，怕是你走到明年也够呛能到世界之彼
20.792         1531712523.0    无人深空了解一下
20.996         1531651829.0    魔兽世界？
21.039         1531705974.0    你肝不疼么
21.154         1531643947.0    mc走不完的吧
21.456         1531857999.0    MC无限地图了解一下
