排名：87
网址：https://www.bilibili.com/video/av26308651
更新时间：07-21
弹幕总量：3203
preciseTime    ofTime          comment
0.038          1531908558.0    mmp，我班的同学！
0.085          1531304482.0    支
0.112          1531879838.0    卧槽，吓得我手机都摔地上了
0.158          1532071627.0    我变黄了
0.171          1532158022.0    没有封面😡😡😡😡😡😡😡😡😡
0.198          1531855956.0    呵呵哈哈哈啊
0.231          1531909479.0    0.5倍速赛高
0.392          1531278138.0    omg
0.438          1532155885.0    这个开头吓到我了
0.528          1532130218.0    我一进来就看到常威在打来福
0.538          1531979660.0    啊呀，萌死我了！
0.618          1531324425.0    笑容逐渐变态
0.677          1531995364.0    跟着笑了
0.678          1531245398.0    裘千仞？？？
0.749          1531906061.0    支咐宝首頁捜索“86OO14”这么优秀吗
0.75           1531273893.0    专职各种不悦
0.765          1531868524.0    封面在哪
0.798          1531850131.0    0.5恐怖片那个。。别走
0.817          1531813477.0    啊呀，萌到我了
0.898          1531215477.0    看的我尴尬的笑了笑
0.946          1531872619.0    我就不信忍不住
0.998          1532162784.0    鹿晗
1.065          1531273021.0    我都想剪出来做铃声了
1.185          1532017886.0    我一进去就看见常威在傻笑。
1.228          1532073027.0    上来就笑了
1.278          1531216170.0    完了我停不下来了
1.308          1531879630.0    可耻的播放量
1.358          1532049055.0    开口跪
1.456          1531990218.0    ┏┳━━━━━━━━━━━━┓┃┃████████████┃┃┃████████████┃┣┫██████┏━━┓██┃┃┃██████┃        ┃██┃┃┃██████┃  蒂  
1.538          1531265719.0    糟了！是心肌梗塞的感觉。
1.757          1531215566.0    我去，一上来就高能
1.778          1531910483.0    嘎嘎嘎嘎嘎嘎
1.833          1531881148.0    打扰了
1.87           1531264228.0    打扰了
1.998          1532099035.0    哎呀卧槽，萌到我了
2.133          1532068789.0    。。。。。。。0.5倍食用更佳。。。
2.299          1531325732.0    就我觉得像鹿晗吗
2.377          1531910531.0    请不停用手往前退，超魔性
2.469          1531924417.0    0.5倍新世界
2.474          1531858006.0    卡在了奇怪的地方
2.498          1531234056.0    我也跟着一起笑了
2.499          1531269215.0    好萌
2.574          1531873504.0    0.5贼恐怖
2.66           1532142385.0    0.5
2.74           1531267155.0    我靠？！手机都吓掉了！！！
