作品名称：第五人格：新监管者曝光“摄影师—约瑟夫”跑的会比求生者慢？
网址：https://www.bilibili.com/video/av26311237
更新时间：07-10
弹幕总量：1000
preciseTime    ofTime          comment
0.0            1531146693.0    是你！不会跑步的香港记者！
0.092          1531215977.0    看开头识up
0.46           1531117553.0    前排承包约瑟夫
0.772          1531182636.0    。。。我选择杰克谢谢
0.908          1531131460.0    见封进
1.579          1531134420.0    我隐约记得这是个恐怖游戏
1.7            1531148261.0    约瑟夫.水蛭
1.801          1531182679.0    我还是要选择爪爪杰吧
2.605          1531219514.0    可不嘛，扛着一台相机跑
2.612          1531225920.0    看开头识up主
3.213          1531187194.0    看开头识up主
3.253          1531064523.0    渣渣辉
3.279          1531149462.0    约瑟夫早就知道了
3.307          1531129796.0    渣渣辉渣渣辉渣渣辉
3.625          1531127758.0    渣渣辉
3.958          1531136255.0    渣渣辉
4.196          1531194357.0    约瑟夫不是神父吗
4.334          1531218638.0    渣渣辉
4.532          1531203754.0    渣渣辉
4.676          1531194981.0    渣渣灰
4.738          1531127206.0    渣渣辉
4.772          1531200577.0    渣渣辉
4.773          1531067362.0    渣渣辉
4.812          1531178589.0    水蛭·约瑟夫
4.82           1531191788.0    我系渣渣辉
4.875          1531062003.0    我系渣渣辉
4.979          1531140216.0    渣渣辉
5.161          1531143007.0    渣渣辉
5.241          1531062395.0    看开头识up
5.397          1531203768.0    渣渣灰
5.487          1531194988.0    渣渣辉
5.562          1531122797.0    渣渣辉
5.76           1531194111.0    渣渣辉
5.803          1531188225.0    渣渣辉
5.874          1531207166.0    鬼刀2
5.889          1531063135.0    渣渣辉
6.038          1531125453.0    渣渣辉
6.084          1531057603.0    渣渣会
6.104          1531150403.0    那还玩个蛋啊(ಡωಡ) 
6.136          1531216005.0    渣渣辉
6.145          1531129096.0    渣渣辉
6.213          1531184544.0    鬼刀233
6.234          1531196066.0    渣渣辉
6.272          1531193654.0    渣渣辉
6.348          1531131274.0    我奈布永远爱猪蹄子！
6.369          1531184721.0    渣渣辉
6.372          1531194455.0    在完成律师的一个推演（要三星）的结论里又说约瑟夫是
6.433          1531146169.0    渣渣辉
6.454          1531224803.0    渣渣辉
6.48           1531061115.0    渣渣辉
6.5            1531131675.0    渣渣辉
6.507          1531131801.0    渣渣辉
6.518          1531127798.0    渣渣辉
6.547          1531141780.0    火车王
6.582          1531201064.0    渣渣辉
6.631          1531132980.0    zh
6.653          1531195815.0    渣渣辉
6.705          1531138960.0    渣渣辉
6.747          1531208753.0    渣渣辉
6.754          1531057504.0    渣渣辉
6.756          1531142808.0    标准开头
6.834          1531214347.0    我是渣渣辉
6.888          1531222186.0    渣渣辉
6.907          1531197034.0    渣渣辉
6.91           1531118239.0    渣渣辉
6.984          1531151094.0    唯一有羸弱，上等人的监管者
7.003          1531135765.0    渣渣辉
7.014          1531175719.0    渣渣辉
7.106          1531060131.0    渣渣辉
7.147          1531132025.0    渣渣辉
7.167          1531049269.0    渣渣辉
7.207          1531159844.0    梁非凡
7.217          1531136990.0    渣渣辉
7.254          1531058156.0    渣渣灰
7.284          1531137077.0    渣渣辉
7.325          1531141669.0    渣渣辉
7.436          1531125934.0    渣渣辉
7.455          1531192020.0    渣渣辉
7.476          1531133106.0    渣渣辉
7.509          1531060013.0    我是捞关老人哥
7.524          1531198739.0    渣渣辉
7.579          1531180156.0    祖传开头
7.594          1531126647.0    渣渣辉
7.695          1531137700.0    渣渣辉
7.821          1531141082.0    渣渣辉
7.921          1531215076.0    渣渣辉
7.954          1531132996.0    渣渣 滚
